CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_HAPPINESS_MEAN_FEMALE	CHINESE_HAPPINESS_MEAN_MALE	CHINESE_ANGER_MEAN_FEMALE	CHINESE_ANGER_MEAN_MALE	CHINESE_SADNESS_MEAN_FEMALE	CHINESE_SADNESS_MEAN_MALE	CHINESE_FEAR_MEAN_FEMALE	CHINESE_FEAR_MEAN_MALE	CHINESE_DISGUST_MEAN_FEMALE	CHINESE_DISGUST_MEAN_MALE	CHINESE_ANXIETY_MEAN_FEMALE	CHINESE_ANXIETY_MEAN_MALE	CHINESE_SURPRISE_MEAN_FEMALE	CHINESE_SURPRISE_MEAN_MALE	CHINESE_CONTENTMENT_MEAN_FEMALE	CHINESE_CONTENTMENT_MEAN_MALE	CHINESE_AMUSEMENT_MEAN_FEMALE	CHINESE_AMUSEMENT_MEAN_MALE	CHINESE_SERENITY_MEAN_FEMALE	CHINESE_SERENITY_MEAN_MALE	LINE_IN_SOURCE
2482	TOGETHER	一起	2.9	2	1	1	1	1	1.25	1	1.411764705882353	1.2	1.2	1	1.1764705882352942	1.5	2.2857142857142856	3.5	1.1428571428571428	1.3333333333333333	3.7333333333333334	3	3244
2483	COLD (OF WEATHER)	凉快	3.5789473684210527	4	1	1	1	1	1	1	1	1	1		1.1176470588235294	1	3.9047619047619047	4.5	1.8	3	3.642857142857143	5	1728
2486	HIDE	隐藏	1.25	1.25	1.4285714285714286	1.75	1.6363636363636365	1.4285714285714286	2.1333333333333333	3	1.7058823529411764	1.8	2	1.5	1.8823529411764706	3	1.4	1.6666666666666667	1.0454545454545454	1	2.25	2.2	3308
2498	OPIUM	鸦片	1	1	4.454545454545454	5	3.4705882352941178	3.4	3.923076923076923	3.2	4.625	4.666666666666667	2.8260869565217392	2	3.3529411764705883	2.25	1.0512820512820513	1.2	1.0952380952380953		2.45	1	3167
25	DIRT	泥土	2.1818181818181817	1	1.2941176470588236	1	1.1538461538461537	1	1.1764705882352942	1	2	1.75	1	1	1.2352941176470589	1	2.0476190476190474	2.5	1.1666666666666667	1.75	4	4	1949
2505	BEDROOM	卧室	2.8	2	1	1	1	1	1	1.5	1.125	1	1	1	1.0555555555555556	1	2.380952380952381	3	1.380952380952381	1.1666666666666667	4.466666666666667	4.75	2878
2506	LOOSE	丢失	1.0526315789473684	1	3.2666666666666666	3	2.857142857142857	4.25	2.533333333333333	3.25	3	3.5	2.588235294117647	1	2.4	3.6666666666666665	1.1578947368421053	1.6666666666666667	1.2272727272727273	1.2	2.2	2	601
2509	EXCHANGE	交换	1.7777777777777777	1.25	1	1	1	1	1.0769230769230769	1	1.1538461538461537	1.125	1.2666666666666666		1.368421052631579	1	1.5714285714285714	3	1	1	3.176470588235294	2.8	1351
2517	CROWDED	拥挤	1.0588235294117647	1	3	2.4	2.272727272727273	2.125	2.5714285714285716	3.2	3.176470588235294	3	3.2	3.25	1.8571428571428572		1.0555555555555556	1.5	1.1428571428571428	1.1666666666666667	2.3076923076923075	2.5	3329
2524	JOY	喜悦	4.315789473684211	5	1	1	1	1	1	1	1	1	1	1	1.35	1	4.705882352941177	3.8	2.3181818181818183	1.8333333333333333	3.230769230769231	2.25	2933
2526	POWER	权力	2.8421052631578947	2	2.3333333333333335	2.25	1.7857142857142858	1.25	2.111111111111111	2.5	2.588235294117647	2.25	2.3333333333333335	2	1.7777777777777777	2	1.95	2.3333333333333335	1.2608695652173914	1	2.0714285714285716	2.6666666666666665	2221
2527	ABILITY	能力	2.5	3	1.3478260869565217	1	1	1	1	1	1	1	1.7272727272727273	1.3333333333333333	1.1176470588235294	1.75	3.05	3	1		4.684210526315789	5	1945
2531	BROAD	宽广	2.4444444444444446	2.75	1.0666666666666667	1	1	1	1	1	1.1764705882352942	1	1	1	1.4545454545454546	2	3	2.5	1.3076923076923077	1.6	4.214285714285714	3	1638
2534	DEPTH	深度	1.7058823529411764	2.3333333333333335	1	1	1	1.25	1.4	1	1.1666666666666667	1.25	1.1176470588235294	1	1.15	1	2	2.75	1.4736842105263157	1.2857142857142858	3.8333333333333335	3.8333333333333335	2383
2540	LIME (MATERIAL)	石灰	1.1764705882352942	1	1.4666666666666666	1	1	1	1.6153846153846154	1.8	1.875	1.5714285714285714	1.25		1.2352941176470589	1	1.2	1	1.0526315789473684	1.2	3.5714285714285716	3.5	2442
2541	MIRACLE	奇迹	3.2777777777777777	4.666666666666667	1.0909090909090908	1	1.2941176470588236	1.25	1	1	1	1	1.4782608695652173	1.6666666666666667	3.411764705882353	3.25	4.157894736842105	4.4	1.4090909090909092		3.4	2	2083
2547	CITY	城市	2	2	1	1	1.0588235294117647	1.5	1	1	1.1875	1.3333333333333333	1.4375	2	1.2777777777777777	1.6666666666666667	2.2777777777777777	2.8	1.3181818181818181	1.3333333333333333	2.857142857142857	3.75	321
2549	VEHICLE	车辆	1.1875	1	1.2173913043478262	2	1	1	1.4166666666666667	1.1666666666666667	1.1333333333333333	1	1.3043478260869565	1	1	1	1.6	1.75	1.0454545454545454		4.526315789473684	5	285
256	FOOD	食品	2.45	3.3333333333333335	1	1	1	1	1.0666666666666667	1	1	1	1	1	1.125	1.25	2.9473684210526314	3.5	1.434782608695652	1.6666666666666667	4.230769230769231	4.2	2467
2573	FEELING (EMOTION)	情感	2.5	3.3333333333333335	1	1	1.2307692307692308	1.6666666666666667	1.1333333333333333	1.3333333333333333	1.25	1.1666666666666667	1.3333333333333333	1.3333333333333333	1.4375	1	2.473684210526316	3	1.3043478260869565	1.5	3.8461538461538463	3.6	2188
2578	PENCIL	铅笔	1.4210526315789473	1.6666666666666667	1	1	1	1	1	1	1	1	1	1	1	1	1.35	3	1	1	3.4285714285714284	3.8333333333333335	2119
2579	TOOTHBRUSH	牙刷	1.5454545454545454	1	1	1	1	1	1	1	1.3888888888888888	1	1	1	1	1	1.5238095238095237	3	1.1666666666666667	1.6666666666666667	3.5384615384615383	3.25	3171
258	CALM	冷静	2.3684210526315788	2.6666666666666665	1.1538461538461537	1.25	1.0769230769230769	1	1	1	1.1764705882352942	1	1.411764705882353	2	1.1111111111111112	1.5	2.45	4	1.1304347826086956	1.6	4.615384615384615	4.666666666666667	1685
2588	GLOBE	地球	2	2.3333333333333335	1	1	1	1.25	1	1	1.0555555555555556	1	1.125	1	1.3333333333333333	1	2.65	2.6666666666666665	1.380952380952381	1.3333333333333333	4.2	4.4	538
2620	CARRIAGE	马车	1.2352941176470589	1	1	1	1.2	1.4	1	1	1	1	1	1	1.0625	1.25	1.775	1.6	1.0909090909090908		4.631578947368421	5	1802
2621	CURTAIN	窗帘	1.4444444444444444	1	1	1	1	1	1	1	1	1	1.1304347826086956	1.3333333333333333	1	1	2.225	1.8	1.0454545454545454		4.526315789473684	5	388
2623	FLAG	旗子	1	1	1	1	1	1.2	1	1	1.0666666666666667	1	1.0476190476190477	1.3333333333333333	1	1	1.925	2.2	1.0909090909090908		4.526315789473684	5	2087
2624	FRAME	陷害	1	1	4.588235294117647	3.5	3.4	4.4	3.8666666666666667	4	4.222222222222222	2.5	3.1666666666666665	1	3.15	3	1	1.25	1.2222222222222223	1.5714285714285714	1.2727272727272727	1.1666666666666667	2982
2625	MAP	地图	1.736842105263158	1.3333333333333333	1	1	1	1	1	1	1	1	1		1.0625	1	1.631578947368421	3.25	1.3888888888888888	1.5	3.7142857142857144	4	542
2626	NERVE	神经	1.1666666666666667	1	2.652173913043478	2	2	2	1.4615384615384615	1.5	2.3125	2	1.7142857142857142	2	1.6470588235294117	2	1.575	1.8	1.7727272727272727		3.6	3	2393
2627	ORANGE (FRUIT)	橘子	2.1666666666666665	3.3333333333333335	1	1	1	1	1	1	1	1	1	1	1	1	3	2.4	1.3181818181818181		4.526315789473684	5	1511
2631	WIRE	电线	1.1176470588235294	1	1.0909090909090908	1	1	1	1.4166666666666667	2	1.25	1	1.565217391304348	2	1	1	1.6666666666666667	2.2	1.0476190476190477		4.368421052631579	5	585
2648	HAIR (HEAD)	头发	1.9411764705882353	1	1.0714285714285714	1.5	1	1	1.1333333333333333	1	1.25	1.5	1	1	1.2272727272727273	1.5	1.8888888888888888	2	1.3846153846153846	1.8	3.2142857142857144	4.333333333333333	2746
2656	MIDNIGHT	半夜	1.6666666666666667	1.3333333333333333	1.75	1.8333333333333333	1.5	1.3333333333333333	2.6470588235294117	1	1.75	1.5	1.9411764705882353	2.5	1.875	1.25	1.5	1.5	1.2916666666666667	1.4	3	2.857142857142857	35
2692	MATERNAL UNCLE (MOTHER'S BROTHER)	舅舅	2.0555555555555554	2.2	1.4	1.3333333333333333	1.1	1.1428571428571428	1	1	1.3529411764705883	1.2	1.0588235294117647	1	1.0625	1.3333333333333333	1.7222222222222223	2.8	1.4285714285714286	1.6666666666666667	3.0833333333333335	3.2	1501
2695	SISTER-IN-LAW (OLDER BROTHER'S WIFE)	嫂子	1.8421052631578947	1	1.2941176470588236	1	1	1	1		1.6	1.3333333333333333	1.0714285714285714	1	1.1875	1	1.5263157894736843	2.5	1.6363636363636365	1.6666666666666667	3.7142857142857144	3	2308
27	AIR	空气	2.111111111111111	2.3333333333333335	1	1	1	1	1	1	1	1	1.2173913043478262	1	1	1	2.55	2.2	1.0909090909090908		4.6	5	1614
2710	TAKE A PHOTO	照相	2.5	1.75	1.0666666666666667	1	1.1428571428571428	1	1.1333333333333333	1	1.2777777777777777	1	1.1538461538461537	1.3333333333333333	1.2727272727272727	1	2.8421052631578947	2.5	1.28	2	3.0714285714285716	4	3504
2744	PLUM BLOSSOM	梅花	2.4444444444444446	3.3333333333333335	1	1	1.125	1.2	1	1	1	1	1	1	1	1	3.225	3.4	1.0952380952380953		4.894736842105263	5	1832
