ID	RANK	LINKS	WEIGHTS	URLS	DIRECTIONS	DEGREE	WEIGHTED_DEGREE
Zalizniak-2020-2590-40	40	1042 1009 343 950 570 964 2553 1605 114 10 1971 301 680 341	3 1 12 7 6 1 3 2 1 2 2 2 0 1	shift54 shift221 shift904 shift1185 shift1195 shift1283 shift1406 shift1469 shift1649 shift1717 shift2711 shift3398 shift3730 shift4109	→ → — → → — → — — → → → — —	14	1
Zalizniak-2020-2590-41	41	85 846 113 97 112 997 2358 305 229 176 182 958 2284 578	6 1 5 1 6 1 2 3 5 1 3 1 2 1	shift357 shift358 shift611 shift1223 shift1367 shift1893 shift1894 shift2037 shift2038 shift2235 shift2912 shift3238 shift3390 shift3994	→ → — → → — → → — — — → → —	14	1
Zalizniak-2020-2590-42	42	1230 1974 1338 1190 394 2021 2014 2004 750 714 2054 64 145 920	1 1 2 1 1 17 7 7 1 1 1 1 2 1	shift123 shift176 shift177 shift218 shift400 shift785 shift1011 shift1310 shift1735 shift1785 shift2246 shift2322 shift3682 shift3705	→ → → → — → → → — → → → → →	14	1
Zalizniak-2020-2590-43	43	189 3 1959 99 298 1831 1477 169 445 1940 44 333 452 1354	2 3 3 1 6 1 1 2 1 1 1 1 1 3	shift278 shift453 shift1731 shift1778 shift2126 shift2378 shift2470 shift2622 shift2623 shift2624 shift2738 shift3141 shift3449 shift3925	→ → → — → → → → → → → → → →	14	3
Zalizniak-2020-2590-44	44	250 583 616 1827 951 84 123 52 233 439 1767 238 346 966	1 6 1 1 3 4 2 7 11 1 1 2 1 3	shift579 shift617 shift631 shift1052 shift1196 shift1480 shift1652 shift1840 shift2356 shift2506 shift2682 shift2741 shift3032 shift3191	— — — → → — — — — — → — — —	14	3
Zalizniak-2020-2590-45	45	97 162 403 201 2459 78 24 2300 2479 325 634 1601 467 112	1 2 1 4 2 3 1 2 1 1 1 1 1 1	shift423 shift823 shift1624 shift2085 shift2542 shift2693 shift2880 shift2882 shift2940 shift2979 shift2980 shift2981 shift2984 shift2993	→ — — — → — — → → → → → → →	14	1
Zalizniak-2020-2590-46	46	580 60 201 471 84 1771 122 2398 617 1512 304 484 38 452	9 3 11 1 1 3 28 2 1 1 1 5 1 1	shift673 shift803 shift1137 shift1214 shift1664 shift2237 shift2539 shift2729 shift3047 shift3910 shift3911 shift3968 shift4108 shift4236	→ ↔ → → — — — → → — — → — —	14	1
Zalizniak-2020-2590-47	47	2365 608 856 1763 112 1729 24 1647 305 1955 754 929 138 867	3 15 1 4 2 1 1 1 1 1 1 1 4 3	shift397 shift638 shift1483 shift1504 shift1914 shift2172 shift2515 shift2516 shift2517 shift2518 shift2942 shift3424 shift3425 shift3444	→ → → → → — → → → → → — — —	14	3
Zalizniak-2020-2590-48	48	2169 795 318 214 2253 1867 1552 338 141 1666 801 61 313 571	4 4 3 4 2 3 25 9 2 2 2 2 2 1	shift364 shift385 shift409 shift434 shift533 shift882 shift888 shift1433 shift1946 shift2301 shift2715 shift2887 shift3570 shift3747	→ — — — → — → — — → — — → —	14	1
Zalizniak-2020-2590-49	49	369 1990 290 117 1986 2453 521 2060 1316 385 1329 1146 202	3 1 1 1 2 1 1 5 1 6 1 4 4	shift319 shift320 shift570 shift2048 shift2148 shift2706 shift2856 shift3246 shift3716 shift3717 shift3718 shift3719 shift4206	→ → → → → → — → — — — — →	13	4
Zalizniak-2020-2590-50	50	3 2480 118 2481 862 801 2316 1551 1761 451 302 303 2057	2 2 2 0 7 9 2 2 2 4 1 1 1	shift445 shift859 shift3110 shift1028 shift1392 shift1465 shift1466 shift1949 shift1993 shift1994 shift2905 shift3111 shift3483	— → — → — → → → → → → → →	13	1
Zalizniak-2020-2590-51	51	1437 1872 2577 1045 1483 156 2202 1863 576 479 1706 319 222	8 5 1 6 2 1 1 1 1 1 1 2 4	shift46 shift586 shift587 shift1062 shift1410 shift2555 shift2927 shift2928 shift2929 shift3176 shift3879 shift3947 shift4170	→ → → → → → → → → → → → —	13	4
Zalizniak-2020-2590-52	52	343 172 1558 238 44 1871 2394 1014 233 346 148 1460	8 8 1 2 7 1 1 1 1 1 1 1	shift48 shift53 shift682 shift1656 shift1840 shift3084 shift3085 shift3847 shift3848 shift3876 shift3884 shift3936	— — — — — → → — — — — —	12	1
