CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	ENGLISH	POLISH_POS	POLISH_VALENCE_MEAN	POLISH_AROUSAL_MEAN	POLISH_DOMINANCE_MEAN	POLISH_ORIGIN_MEAN	POLISH_SIGNIFICANCE_MEAN	POLISH_CONCRETENESS_MEAN	POLISH_IMAGEABILITY_MEAN	POLISH_AOA_MEAN	POLISH_VALENCE_MEAN_FEMALE	POLISH_AROUSAL_MEAN_FEMALE	POLISH_DOMINANCE_MEAN_FEMALE	POLISH_ORIGIN_MEAN_FEMALE	POLISH_SIGNIFICANCE_MEAN_FEMALE	POLISH_CONCRETENESS_MEAN_FEMALE	POLISH_IMAGEABILITY_MEAN_FEMALE	POLISH_AOA_MEAN_FEMALE	POLISH_VALENCE_MEAN_MALE	POLISH_AROUSAL_MEAN_MALE	POLISH_DOMINANCE_MEAN_MALE	POLISH_ORIGIN_MEAN_MALE	POLISH_SIGNIFICANCE_MEAN_MALE	POLISH_CONCRETENESS_MEAN_MALE	POLISH_IMAGEABILITY_MEAN_MALE	POLISH_AOA_MEAN_MALE	LINE_IN_SOURCE
1430	STAR	gwiazda	star	N	6.52	4.1	6.42	5.36	4.32	2.38	7.74	6.8	6.48	3.84	6.84	5.52	4.76	1.76	8.2	6.12	6.56	4.36	6	5.2	3.88	3	7.28	7.48	969
1432	CUT	ciąć	to cut	V	4.14	4.58	5.26	5.46	3.6	3.98	6.98	6.92	3.92	4.6	5.32	5.72	3.8	3.32	7.52	6.76	4.36	4.56	5.2	5.2	3.4	4.64	6.44	7.08	401
1435	HUNT	polować	to hunt	V	4.68	4.9	6.3	5.24	3.22	4.04	6.8	8.56	4.4	5.16	6.52	5.56	3.6	3.64	7.16	8.92	4.96	4.64	6.08	4.92	2.84	4.44	6.44	8.2	2713
1439	SWIM	pływać	swim	V	6.18	4	5.74	5.54	3.6	3.72	7.78	6.56	6.28	4.16	5.48	5.8	3.76	2.88	8.32	6.6	6.08	3.84	6	5.28	3.44	4.56	7.24	6.52	2595
1441	FLY (MOVE THROUGH AIR)	latać	fly	V	6.52	4.36	6.32	4.92	3.74	3.98	7.3	6.68	6.8	4.6	6.24	5.16	4	3.44	7.64	6.12	6.24	4.12	6.4	4.68	3.48	4.52	6.96	7.24	1481
1443	WALK	iść	to go	V	5.7	3.62	6	5.76	4.62	3.64	6.98	5.88	5.8	3.8	6	5.8	5.24	3.16	7.6	5.48	5.6	3.44	6	5.72	4	4.12	6.36	6.28	1074
1452	PUSH	pchać	to push	V	4.78	4.76	5.4	5.88	3.92	3.5	6.96	7.44	4.48	4.84	5.64	5.68	4.52	3.2	7.2	7.2	5.08	4.68	5.16	6.08	3.32	3.8	6.72	7.68	2446
1455	PULL	ciągnąć	pull	V	4.84	3.93877551	5.28	5.76	3.66	4.24	6.76	8.18	4.56	4.083333333	5.52	5.76	4.24	3.76	7.2	7.72	5.12	3.8	5.04	5.76	3.08	4.72	6.32	8.64	403
1457	SEW	szyć	to sew	V	5.68	3.36	5.2	6.54	3.32	3.36	7.4	8.18	5.88	3.8	5.56	6.36	3.12	2.84	7.84	8.08	5.48	2.92	4.84	6.72	3.52	3.88	6.96	8.28	3725
1464	LADDER	drabina	ladder	N	5.26	3.2	5.4	6.02	2.9	1.7	8.26	7.4	5.16	3.44	5.52	6.4	3.04	1.12	8.4	6.76	5.36	2.96	5.28	5.64	2.76	2.28	8.12	8.04	594
