CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_FREQUENCY	DUTCH_CD	DUTCH_FREQUENCY_PM	DUTCH_FREQUENCY_LOG	DUTCH_SUBTITLE_CD	DUTCH_CD_LOG	LINE_IN_SOURCE
1820	BEAR	beer	1113	404	25.452	3.0469	5.0062	2.6075	2321
1821	BRUSH	borstel	92	76	2.1038	1.9685	0.9418	1.8865	14467
1824	DEXTEROUS	handig	604	547	13.8122	2.7818	6.7782	2.7388	3721
1826	ANGRY	boos	4626	2615	105.7869	3.6653	32.404	3.4176	745
1829	JUMP	springen	2049	1335	46.8563	3.3118	16.5428	3.1258	1442
1831	MEET	ontmoeten	5596	3033	127.9688	3.748	37.5836	3.482	648
1839	CRY	huilen	2384	1548	54.5171	3.3775	19.1822	3.1901	1256
1840	BUILD	metselen	9	9	0.2058	1	0.1115	1	60079
1843	THOUSAND	duizend	1765	1157	40.3618	3.247	14.3371	3.0637	1615
1844	BOAT	boot	4195	1351	95.9308	3.6228	16.741	3.131	820
1845	BALL	bal	3526	1320	80.6322	3.5474	16.3569	3.1209	942
1847	SICK	ziek	5650	2925	129.2036	3.7521	36.2454	3.4663	639
1849	ROW	roeien	334	214	7.6379	2.525	2.6518	2.3324	5763
185	FIREPLACE	openhaard	18	14	0.4116	1.2788	0.1735	1.1761	40390
1850	COTTON	katoen	221	153	5.0538	2.3464	1.8959	2.1875	7846
1856	SOFT	zacht	999	814	22.845	3	10.0867	2.9112	2531
1857	CROCODILE	krokodil	213	87	4.8709	2.3304	1.0781	1.9445	8079
1861	ACTIVE	actief	425	361	9.7189	2.6294	4.4734	2.5587	4841
1862	DONKEY	ezel	499	293	11.4111	2.699	3.6307	2.4683	4305
1864	HUNGER	honger	4043	2483	92.4549	3.6068	30.7683	3.3952	851
1867	COIN	munt	476	245	10.8851	2.6785	3.0359	2.3909	4472
1868	VISIBLE	zichtbaar	277	242	6.3344	2.444	2.9988	2.3856	6636
1869	BUY	kopen	5713	3106	130.6443	3.7569	38.4882	3.4923	635
1870	ANCHOR	anker	220	143	5.0309	2.3444	1.772	2.1584	7894
1879	DANCE	dansen	4500	1933	102.9055	3.6533	23.9529	3.2865	772
1881	ENOUGH	genoeg	26311	7194	601.6773	4.4202	89.145	3.857	197
1884	HARD	hard	6973	3939	159.4579	3.8435	48.8104	3.5955	562
1887	CHEAP	goedkoop	705	597	16.1219	2.8488	7.3978	2.7767	3319
1894	ASHAMED	schamen	698	606	15.9618	2.8445	7.5093	2.7832	3342
1895	CLOTHES	kleren	4585	2653	104.8493	3.6614	32.8748	3.4239	752
1898	SPECTACLES	bril	1071	682	24.4915	3.0302	8.4511	2.8344	2396
1899	MAD	gek	23733	6505	542.7238	4.3754	80.6072	3.8133	218
1904	DROWN	verdrinken	420	334	9.6045	2.6243	4.1388	2.525	4873
1906	SOUR	zuur	445	342	10.1762	2.6493	4.2379	2.5353	4667
1908	ATTENTIVE	aandachtig	102	99	2.3325	2.0128	1.2268	2	13510
1917	TIE	vastmaken	91	83	2.081	1.9638	1.0285	1.9243	14492
1920	DREAM (SOMETHING)	dromen	3404	1828	77.8423	3.5321	22.6518	3.2622	969
1921	PLOUGH	ploegen	104	86	2.3783	2.0212	1.0657	1.9395	13268
1923	ROUGH	ruw	349	310	7.9809	2.5441	3.8414	2.4928	5588
193	SHALLOW	ondiep	54	46	1.2349	1.7404	0.57	1.6721	20498
1938	FORTRESS	kasteel	1207	377	27.6016	3.0821	4.6716	2.5775	2185
194	FAMILY	familie	13299	4690	304.1202	4.1239	58.1165	3.6713	347
1942	NEAR	dichtbij	2167	1598	49.5547	3.3361	19.8017	3.2038	1377
1943	CROWN (OF HEAD)	kroon	626	312	14.3153	2.7973	3.8662	2.4955	3641
1948	SAW	zagen	2303	1733	52.6648	3.3625	21.4746	3.239	1295
1954	GENTLE	teder	121	111	2.767	2.0864	1.3755	2.0492	11923
1959	RAW	rauw	204	174	4.6651	2.3118	2.1561	2.243	8301
1962	ROAST (SOMETHING)	braden	66	48	1.5093	1.8261	0.5948	1.6902	18091
1968	SOYA SAUCE	sojasaus	19	13	0.4345	1.301	0.1611	1.1461	38907
1971	FAN (OBJECT)	ventilator	110	83	2.5155	2.0453	1.0285	1.9243	12736
1993	SELF	zelf	19130	6596	437.4629	4.2817	81.7348	3.8193	261
200	SAME	zelfde	1004	730	22.9594	3.0022	9.0458	2.8639	2520
2000	CLOVE	kruidnagel	14	11	0.3202	1.1761	0.1363	1.0792	47061
2001	PAINTING	tekenen	2085	1421	47.6796	3.3193	17.6084	3.1529	1424
2005	MASK	masker	841	422	19.2319	2.9253	5.2292	2.6263	2876
2009	DOG	hond	7375	2330	168.6508	3.8678	28.8724	3.3675	543
2017	MIX	mixen	64	59	1.4635	1.8129	0.7311	1.7782	18394
203	MARRY	trouwen	6571	2233	150.265	3.8177	27.6704	3.3491	583
2030	DRAG	slepen	391	355	8.9413	2.5933	4.399	2.5514	5160
2042	WALNUT	walnoot	31	21	0.7089	1.5051	0.2602	1.3424	28953
2043	PEACH	perzik	100	58	2.2868	2.0043	0.7187	1.7709	13629
2058	STOOL	kruk	112	84	2.5612	2.0531	1.0409	1.9294	12608
2070	COMB (VERB)	kammen	115	100	2.6298	2.0645	1.2392	2.0043	12375
2077	DILIGENT	ijverig	57	55	1.3035	1.7634	0.6815	1.7482	19852
209	RARE	zeldzaam	438	387	10.0161	2.6425	4.7955	2.5888	4713
2090	MY	mijn	192935	7922	4412.0181	5.2854	98.166	3.8989	35
2099	CHILD	kind	14575	4637	333.2996	4.1636	57.4597	3.6663	316
2108	RAINING OR RAIN	regenen	347	278	7.9352	2.5416	3.4449	2.4456	5613
2112	OLD (AGED)	bejaard	24	21	0.5488	1.3979	0.2602	1.3424	34397
2113	OLD (USED)	tweedehands	158	136	3.6131	2.2014	1.6853	2.1367	9977
2148	PICK	plukken	284	225	6.4945	2.4548	2.7881	2.3541	6507
2151	COARSE	grof	520	443	11.8913	2.7168	5.4895	2.6474	4167
2157	FINE OR THIN	ijl	20	19	0.4574	1.3222	0.2354	1.301	38181
216	MOVIE	film	7621	2143	174.2763	3.8821	26.5551	3.3312	525
219	TOILET	toilet	1727	1143	39.4929	3.2375	14.1636	3.0584	1647
220	INTACT	heel	45425	7455	1038.7743	4.6573	92.3792	3.8725	129
2204	LEDGE	richel	128	88	2.9271	2.1106	1.0905	1.9494	11471
221	FIRE	vuur	4398	2148	100.573	3.6434	26.6171	3.3322	790
2235	CLEAN (SOMETHING)	lappen	169	144	3.8647	2.2304	1.7844	2.1614	9498
2246	BELL	bel	13629	4790	311.6666	4.1345	59.3556	3.6804	341
2253	DRIP (EMIT LIQUID)	druppelen	29	25	0.6632	1.4771	0.3098	1.415	30596
227	FISH	vis	2190	1095	50.0807	3.3406	13.5688	3.0398	1363
2277	WHOLE	totaal	2128	1573	48.6629	3.3282	19.4919	3.197	1393
228	CARVE	uitsnijden	37	28	0.8461	1.5798	0.347	1.4624	25986
230	SWEEP	vegen	264	235	6.0371	2.4232	2.912	2.3729	6894
2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	bol	429	273	9.8103	2.6335	3.3829	2.4378	4801
2308	THIN	dun	398	324	9.1014	2.601	4.0149	2.5119	5096
231	SHAVE	scheren	448	355	10.2448	2.6522	4.399	2.5514	4651
2316	FREE	vrij	10185	4743	232.9096	4.008	58.7732	3.6761	424
2318	CHESTNUT	kastanje	13	10	0.2973	1.1461	0.1239	1.0414	49193
2329	LACK (NOT HAVE)	barsten	284	254	6.4945	2.4548	3.1475	2.4065	6516
2334	MELT	smelten	253	197	5.7856	2.4048	2.4411	2.2967	7144
2340	SUNNY	zonnig	130	117	2.9728	2.1173	1.4498	2.0719	11338
2344	PETROL	benzine	1078	624	24.6516	3.033	7.7323	2.7959	2387
2349	SHRIMP	garnaal	80	62	1.8294	1.9085	0.7683	1.7993	15823
2354	CRICKET	krekels	36	28	0.8232	1.5682	0.347	1.4624	26611
2366	ONION	ui	102	84	2.3325	2.0128	1.0409	1.9294	13424
2368	GARLIC	knoflook	192	139	4.3906	2.2856	1.7224	2.1461	8689
239	FLOWER	bloem	590	370	13.4921	2.7716	4.5849	2.5694	3788
2396	KNOCK	kloppen	1023	875	23.3939	3.0103	10.8426	2.9425	2494
2398	MANGO	mango	54	39	1.2349	1.7404	0.4833	1.6021	20523
2409	BROWN	bruin	598	477	13.675	2.7774	5.9108	2.6794	3750
2410	GOOD-LOOKING	fraai	280	239	6.403	2.4487	2.9616	2.3802	6597
2427	FUTURE	toekomst	4524	2434	103.4544	3.6556	30.1611	3.3865	767
243	FRESH	vers	781	655	17.8598	2.8932	8.1165	2.8169	3050
244	LEFT	links	2998	1709	68.558	3.477	21.1772	3.233	1060
