CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SENSES	LINE_IN_SOURCE
2002	DITCH	ditch	empty;hole;pool;shallow;liquid;mountain	1752
119	DIVE	dive (V)	to go;to sink	1753
1119	DIVIDE	divide (V)	to cut;to destroy;to tear;edge;to divide;to make;to open;to stay	1758
3672	DIVORCE (SEPARATE)	divorce (V)	to divide	1765
2712	GET DIZZY	dizzy	dark;to deceive	1767
813	DO	do (V)	to make	1768
2009	DOG	dog	dog;child;wolf;hunt	1776
1659	DOLL	doll	to play;ornament;child	1779
1479	DOLPHIN	dolphin	pig	1780
1862	DONKEY	donkey	horse	1784
1567	DOOR	door	door;to open;house	1785
80	DOORPOST	door-post	face	1787
1308	DOUBT	doubt	to know;name;to think;to curse	1793
273	DOUGH	dough	grain	1794
1853	DOVE	pigeon	bird	4475
1326	DOWN	downwards	below	1800
3168	DOWRY	dowry	debt;to give;to work	1802
2030	DRAG	drag (V)	to beat;to rub;to pull;to change	1804
2038	DRAGON	dragon	snake;fish;bird	1806
2352	DRAGONFLY	dragon-fly	insect	1807
2001	PAINTING	draw (V)	to beat;to write;to rub;to scoop;to bend;to scrape	1809
1911	DRAW (WATER)	draw water (V)	to scoop;vessel	1816
2374	DREAM	dream	dream;to sleep	1823
1920	DREAM (SOMETHING)	dream (V)	dream;to sleep	1824
474	DRESS	dress	clothes	1827
814	DRESS UP	dress (V)	clothes;to press	1828
3423	DRILL	drill	knife	1831
1501	BORE	perforate (V)	to pierce;knife	4426
1401	DRINK	drink (V)	beer;to drink;to eat;to sink;vessel;to suck;to pour	1834
808	DRIP (FALL IN GLOBULES)	drip (V)	drop;to flow	1835
741	DRIVE	drive (V)	to drive;shape;to meet;to run	1836
30	DISPEL	drive away (V)	to drive	1838
1016	DRIZZLE	drizzle	sky;snow	1842
750	DROP	drop	drop;rain;to fall;to flow;spot	1845
1904	DROWN	drown (V)	to sink;to die	1850
1372	MEDICINE	drug	beer;devil;grass;liquid	1852
908	DRUM	drum	music	1853
1463	DRUNK	intoxicated	to tire	3287
1398	DRY	dry	dry;hunger;to roast;to break;to wither	1857
1786	DRY UP	dry up (V)	dry;to roast;bad;little	1862
452	DRY SEASON	dry season	time	1861
1360	DUCK	duck	bird	1865
1492	DUMB	dumb	dark;blunt;grief;dumb;bad;silly	1873
2057	DUNG (ANIMAL FAECES)	manure	dirt;mucus	3758
2297	DUSK	twilight	dark	6572
2	DUST	dust	dust;coal;earth;smoke;wind;dirt	1881
3471	OBLIGATION (DUTY)	duty	debt;able	1884
363	DWELL (LIVE, RESIDE)	dwell (V)	to put;to be;to sit	1887
157	DYE	dye (V)	to paint;to sink	1890
3416	EVERY (EACH)	each	pronoun;all;one;together	1891
1905	EAGLE	eagle	bird	1893
3244	EAR (OF GRAIN)	ear of grain	fruit;thorn	1896
770	EARRING	ear-ring	ornament;to bend	1899
672	EARLY	early	time;quick	1902
733	EARN	earn (V)	to take;to tire	1904
1228	EARTH (SOIL)	soil	dust;field;earth;dirt	5703
1877	EAST	east	side;top;mountain;front	1913
686	EASY	simple	naked;one;right;particle	5543
1336	EAT	eat (V)	to drink;to eat;to bite;grain;to suck;belly	1915
2285	ECLIPSE	eclipse	dark	1918
863	EDGE	edge	edge;side;fringe;mouth;sharp;head;end;stick;shore;thorn;front	1919
1013	FRESHWATER EEL	eel	fish	1926
744	EGG	egg	egg;nit;circle;skin;grain;nest;child;stone	1930
1146	AUBERGINE	egg-plant	vegetable	1933
1705	EIGHT	eight	eight	1935
981	ELBOW	elbow	joint;to bend;bone;hand	1939
1759	OLDER BROTHER	elder brother	host;relative	1941
1758	OLDER SISTER	elder sister	relative	1945
1290	ELEPHANT	elephant	elephant	1954
2936	ELEVATION	elevation	top	1957
1772	ELK	elk	goat;deer	1959
3317	ELM	elm	tree	1960
67	EMBERS	embers	to burn	1969
928	EMBRACE	embrace (V)	to carry;to take;to bind;to love;to cover	1970
2573	FEELING (EMOTION)	feeling	to fear;to love;to think	2262
3377	EMPEROR	emperor	god;devil	1981
1624	EMPTY	empty	empty;hole;hunger;dry;bad;naked	1985
3904	ENCOUNTER (MEET)	encounter (V)	to meet	1997
742	END (OF SPACE)	end	below;mouth;end;sign;edge;side;back	2000
833	ENDURE	endure (V)	sick;to endure;to stand;anger;to love	2008
1358	ENEMY	enemy	devil;together;war;to meet;to take;bad	2010
1881	ENOUGH	enough	good;many;end;full	2021
749	ENTER	go in (V)	deep;to go	2701
2277	WHOLE	entire	body;end;full;together	2029
3088	ENVELOPE	envelope	to cover	2036
40	ENVY	envy	grief	2039
1570	EQUAL	equal	one;two;straight;similar;together	2046
1293	MISTAKE	error	bad;to deceive;to divide	2054
1615	ESCAPE	escape (V)	free;to flow;to divide;to go	2055
1629	EVENING	evening	dark;time;to sink;night	2074
2999	EVERYWHERE	everywhere	to twist;together	2079
45	EVIL	wicked	bad;thief;rough;war;silly	6895
1345	EWE	ewe	sheep	2083
1466	EXACT	exact	good	2084
2509	EXCHANGE	exchange (V)	to change;to move;debt	2100
675	FAECES (EXCREMENT)	faeces	dirt	2178
1426	EXPENSIVE	expensive	end;expensive;to love;little	2124
2218	EXPERIENCED	experienced	to know	2127
1626	EXPLAIN	explain (V)	to speak;to see;to know;sign	2130
3976	EXPLODE	explode (V)	to pierce	2133
127	EXTINGUISH	extinguish (V)	to destroy;end;time;to hide	2147
1248	EYE	eye	eye;to see	2161
3807	EYEBALL	eyeball	eye;to see	2163
1540	EYELASH	eyelash	head;hair	2165
17	EYELID	eyelid	skin;head;shadow	2166
1641	SILK	fabric	hair;skin;cloth	2168
1560	FACE	face	cheek;face;body;skin;nose;similar;front	2172
2704	FADE (LOOSE COLOR)	fade (V)	to wither;end;skin;old;to drive;sick	2175
3861	FAIL	fail (V)	bad;to deceive;thief	2180
3616	FAINT (PASS OUT)	faint (V)	dark;to tire;silly;to sleep;to pull;to forget;weak	2181
3258	FALCON	falcon	bird	2187
2234	FALL (OF SNOW AND RAIN)	fall (V)	rain;to fall;to sink;to roll;snow;to move;to lie;to put	2188
1106	FALL ASLEEP	fall asleep (V)	to sleep	2189
1280	FALL	fall down (V)	to fall	2191
2894	TUMBLE (FALL DOWN)	tumble (V)	to fall	6536
3069	FALSE	fraud	to deceive	2520
865	FAME	fame	to know;to speak	2208
194	FAMILY	family	group;house;grain;village	2209
199	FAMINE	famine	hunger	2210
1971	FAN (OBJECT)	fan	to shake	2211
360	FAN (ACTION)	fan (V)	to shake;to throw	2212
1159	FART	fart	to smell	2222
1631	FAST	swift	quick;heavy;good;to run;time;strong	6158
3331	FASTING	fast (V)	hunger	2228
1094	FASTEN	tighten (V)	to bind	6383
323	FAT (ORGANIC SUBSTANCE)	grease	fat	2760
1688	FATE	fate	name;road;shape;good	2232
1217	FATHER	father	father;relative	2234
1985	PATERNAL UNCLE (FATHER'S BROTHER)	father's brother	relative	2235
2691	PATERNAL AUNT (FATHER'S SISTER)	satisfy (V)	to eat;to want	5259
1055	FATHER-IN-LAW	father-in-law	relative	2240
81	FATHOM	fathom	measure;hand;wide;long	2242
1140	FATIGUE	fatigue	to tire	2243
134	FAULT	guilt	bad;debt;to curse	2816
131	FESTIVAL	feast	to play;to make;to give;face;luck;ornament;god	2253
1201	FEATHER	feather	hair;feather;wing;to fly;skin;bird;neck	2254
1601	WEAK	feeble	slow;to tire	2259
739	FEED	feed (V)	to eat;to guard;grain;to lick;belly;to love	2260
1079	FEEL	feel (V)	to know;to think;to beat;to touch	2261
1301	FOOT	feet	foot	2263
325	FELT	felt	clothes;to sew;to cover;to work	2268
1551	FEMALE	female	mother;woman;relative;person;dog	2270
1690	FENCE	fence	edge;obstacle;circle	2276
967	YEAST	ferment	sour;beer;liquid;to rot	2280
3802	FERN	fern	grass;vegetable	2284
3551	FETCH	fetch (V)	to take	2286
1534	FEVER	fever	sick;to swell	2290
1847	SICK	feverish	sick	2291
1242	FEW	few	little;one	2292
212	FIELD	field	earth;field;meadow;valley;side;to grow;flat	2297
1423	FIGHT	fight	war;to curse	2302
1945	IDOL	figure	god;shape;to write;ornament	2306
3407	FILE (TOOL)	file	to scrape;to rub;knife	2307
3113	FILE (SOMETHING)	file (V)	to pierce;to touch;to rub;sharp;to scrape	2308
2006	FILL	fill (V)	full;group;obstacle	2311
213	FIN	fin	flat;clothes;tail	2320
719	FIND	found (V)	to melt	2506
218	FINE (PENALTY)	fine (V)	war	2323
1303	FINGER	finger	finger;hand;to pinch;to bend;vessel	2327
1374	RING	finger-ring	circle	2330
1766	FINISH	finish	end	2331
1915	FIR	fir	tree;thorn	2334
221	FIRE	fire	fire;hearth;to burn;warm	2336
206	FIREFLY	firefly	insect;to shine	2339
185	FIREPLACE	hearth	hearth;to roast;house	2942
10	FIREWOOD	firewood	tree;stick;thorn;fire	2341
728	FIRST	first	head;to start;one;front	2344
227	FISH	fish	fish;meat;hunt;wet	2345
2638	FISHING	fish (V)	fish;net	2346
389	FISH TRAP	fish-trap	obstacle	2355
1074	FISHHOOK	fish-hook	to bend	2352
388	FISHNET	fish-net	net	2353
1473	FIST	fist	hand;to take;to pinch	2359
493	FIVE	five	five	2368
3074	FIX	patch	hair;spot	4360
2623	FLAG	flag	cloth;snake	2374
889	FLAME	flame	to burn;to lick;tongue;to shine	2377
1633	FLAT	flat	flat;to bend;wide;to press	2385
2709	FLATTER	flatter (V)	grief	2388
2190	TASTE	flavour	to smell;taste	2390
232	FLEA	flea	flea;insect	2393
956	FLEE	flee (V)	to fly;to run;to follow	2394
2259	FLESH	flesh	dense;meat;kidney	2397
1691	FLEXIBLE	flexible	soft;slow;to tire	2399
494	FLIRT	flirt (V)	to love	2404
1574	FLOAT	float	boat	2406
613	HIGH TIDE	flood	to flow;river	2412
1632	FLOOR	floor	earth;layer;field;house;obstacle;below;place	2413
1594	FLOUR	flour	dust;grain	2417
2003	FLOW	flow	to flow;to swim;liquid;to go	2420
239	FLOWER	flower	flower;leaf;to open;tree;root;grass	2424
1441	FLY (MOVE THROUGH AIR)	fly (V)	light;to throw;to fly;feather;to swim;to fall;high;top;to jump	2433
3271	FLYING SQUIRREL	flying squirrel	marten	2435
1768	FOAM	foam	foam;liquid	2437
3046	FODDER	fodder	to eat	2438
249	FOG	mist	sky;dark;liquid;smoke	3900
1470	FOLD	fold	house	2442
1085	FOLLOW	follow (V)	back;to follow;shape;similar;near;to take;to twist;hunt;to search;to run	2448
256	FOOD	food	to eat;grain;fat;belly;fruit	2454
1518	STUPID	foolish	silly;to laugh;dumb;bad;anger;grief	2457
318	FOOTPRINT	track	back;to go;foot	6454
83	FORBID	forbid (V)	obstacle;to fear;silly;to guard	2466
2818	FORD (CROSSING)	ford	river;shallow;to go;wet	2472
446	LOWER ARM	forearm	joint;bone;foot	2475
123	FOREHEAD	forehead	face;head;top;front;horn	2477
109	FOREIGN	foreign	foreign;to meet;far;relative	2478
791	STRANGER	foreigner	foreign;relative	2479
420	FOREST	woods	field;forest;tree;thorn;mountain;back	7051
288	FORGE	forge (V)	to beat;metal	2486
1523	FORGET	forget (V)	to forget	2487
1302	FORK	fork	fork;tree;to divide	2489
3747	SHAPE	form	shape;thing;face;side;to measure	2493
3004	FORMER	former	old	2495
2912	FORWARD	forward	to run;front	2502
1500	FOUR	four	four	2508
265	FOWL	fowl	bird;feather	2509
1312	FOX	fox	wolf;marten	2511
376	FRAGRANT	fragrant	taste;to smell	2517
2624	FRAME	frame	obstacle;fence;door;vessel;circle;stick	2518
530	FRECKLE	freckle	rust;spot	2522
2316	FREE	free	free;clean;hunger	2523
1431	FREEZE	freeze (V)	cold;dense;hard;ice	2528
243	FRESH	fresh	new;to live;to bear;wet;vegetable;time	2531
1325	FRIEND	friend	to help;to meet;relative;war;similar	2535
252	FRIGHTEN	frighten (V)	to fear;shame	2538
2989	FRINGE	fringe	fringe;ornament	2540
503	FROG	frog	frog	2542
2194	FRONT (PART)	front	face;side;top;nose;front;head;straight;right	2546
2034	FROST	frost	liquid;snow;cold;sky	2549
1507	FRUIT	fruit	fruit;grain;leaf;to hang;to mow;vegetable;grass	2553
991	FRY	fry (V)	to boil;to roast;to burn	2557
1429	FULL	full	full;end;to eat;many;to pour;wide	2561
641	MUSHROOM	fungus	mushroom;sour;grass	2571
2602	FUNNEL	funnel	door;vessel	2572
580	FUR	fur	hair;skin;thorn	2574
1794	FURROW	furrow	river;sign;obstacle	2579
2427	FUTURE	future	time	2586
2948	GAP (DISTANCE)	gap	hole;ravine;middle	2598
1028	YAWN	gape (V)	to open;hole	2599
586	GARDEN	garden	garden;fruit;field	2600
2368	GARLIC	garlic	grass;onion	2601
2940	GATE	gate	door;to open;house;obstacle	2607
7	GATHER	gather up (V)	to take	2611
198	GENITALIA	genitalia	genitals	2623
1954	GENTLE	meek	to guard	3830
694	GET	obtain (V)	to take;to be;to give;to see	4174
570	STAND UP	get up (V)	top	2632
1175	GHOST	ghost	devil;shape	2634
2511	GIBBON	gibbon	monkey	2635
2982	GIFT	present (V)	to give;to take;to change	4665
1916	GILL	gill	cheek;mouth;skin;fringe;tail;face	2638
2500	GINGER	ginger	grass	2640
1646	GIRL	girl	woman;grain;child	2646
1447	GIVE	give (V)	sacrifice;to give;debt;to take;many;to put;to change;to send	2648
1696	SURRENDER	give up (V)	particle;end;shame	2650
1495	HAPPY	glad	luck;heart;to love	2653
604	GLASS	glass	ice;ornament	2659
1069	GLUE	glue	liquid;to adhere;to swell;dirt;beer	2679
2750	GLUTINOUS RICE	glutinous rice	grain	2681
1509	MOSQUITO	gnat	insect	2684
2706	GNAW	gnaw (V)	mouth;to bite;to scrape;to grind;to swallow	2685
695	GO	go (V)	to follow;to go;to be;to move;to drive	2688
1742	TRAVERSE	go through (V)	to flow;to pierce;wide;to pass	2707
1502	GOAT	she-goat	goat	5437
1944	GOD	god	devil;god;shape;sky	2718
1957	GOITER	goitre	throat	2719
1369	GOLD	gold	metal;red	2720
2502	GONG	gong	music	2722
1035	GOOD	good	able;good;new;near;thing;big;healthy;to think;to love	2724
3406	MERCHANDISE	goods	expensive;thing;house;to carry;to guard;to take;debt	2725
1187	GOOSE	goose	bird	2726
3640	GOSSIP	gossip	to speak;to curse	2733
411	GOURD	gourd	vegetable	2735
382	GOVERN	govern (V)	host;to meet	2736
855	SEIZE	snatch (V)	thief;to take;to pinch	5673
605	GRAIN	grain	grain;to eat;tree;fruit;stone	2741
3657	GRANARY	granary	house;obstacle	2742
1617	GRANDCHILD	grandchild	relative;child	2743
1619	GRANDDAUGHTER	granddaughter	relative	2744
1383	GRANDFATHER	grandfather	relative;father	2745
1496	GRANDMOTHER	grandmother	mother;relative	2746
1618	GRANDSON	grandson	relative;child	2747
920	GRAPE	grape	grass;fruit	2748
2021	GRASP	grasp (V)	to take;to touch;to scrape	2749
606	GRASS	grass	grass;meadow;rope;grain;wet;vegetable;tree	2750
607	GRASSHOPPER	grasshopper	insect	2751
3114	GRATE (SOMETHING)	grate	obstacle	2752
1773	GRAVE	tomb	grave;hole	6420
3028	GRAVEL	gravel	earth;stone	2756
153	GREY	gray	variegated	2757
3058	GRAZE	graze (V)	to touch;to scrape;to rub;to guard	2759
955	GREASY	greasy	fat	2761
2018	GREEDY	greedy	to love;hunger;to suck;to endure;to swallow;luck	2765
1425	GREEN	green	blue;soft;sour;to live;grass;vegetable;dirt	2766
3552	GREET	greet (V)	to speak;shame	2767
1668	GRIEF	sorrow	grave;grief	5731
1033	GRIND	grind (V)	to grind;to rub;to beat;to scrape;to destroy;to break	2775
2459	GRINDSTONE	grindstone	sharp;knife	2777
2159	GROUND	ground	earth;field;grave;root;road	2788
479	GROW	grow (V)	flat;wide;to grow;to be;many;to bear;high;big;wet;forest	2796
3679	GROWL	growl (V)	noise	2797
3011	GRUB	grub	worm	2800
1167	GRUEL	gruel	to eat;grain;to swell;to adhere;fat	2806
1940	GUARD	guard	to guard	2809
1932	GUESS	guess (V)	to measure;to guard;sign	2813
1782	GUEST	guest	guest;far;relative;to meet	2814
43	LEAD (GUIDE)	guide (V)	to take	2815
1682	GUILTY	guilty	bad	2817
950	SEAGULL	gull	bird	2818
1798	GUNPOWDER	gunpowder	salt	2823
1040	HAIR	hair	hair;skin;head;fringe;thorn;to pinch	2838
816	HALF	half	to divide;two;middle	2846
1481	HAMMER	mallet	hammer;to beat;to press;metal	3743
3115	HAMMER (SOMETHING)	hammer (V)	to beat	2853
1277	HAND	hand	bone;hand;handle;foot	2855
1020	HANDKERCHIEF	kerchief	rope;cloth	3373
1254	HANDLE	handle	handle;to beat;to take;to bend;hammer;stick;to bind;top	2862
3814	HANDSOME	handsome	to work	2863
2884	HANG	hang (V)	to hang;to bend;to adhere;to bind;to pull;rope	2864
357	HANG UP	hang up (V)	to hang;to measure;wide;to bind	2868
248	HAPPEN	happen (V)	time	2872
2941	HAPPINESS	happiness	big;luck;heart	2873
1884	HARD	hard	dry;hard;heavy;thick;strong;to deceive;to press;big;quick;stone	2875
2926	HARDLY	hardly	particle	2878
1190	HARE	hare	marten;to run	2879
1610	PROSTITUTE	harlot	woman	2881
44	INJURE	harm	to destroy;bad	2882
2597	HARP	harp	music	2888
2545	HARROW (TOOL)	harrow	plough	2890
3327	AUTUMN OR HARVEST SEASON	harvest	time;year;to mow;to take	2894
1827	HARVEST CROPS	harvest (V)	to take	2895
754	HURRY	hasten (V)	quick;to run	2897
771	HAT	hat	hat;to cover;clothes	2900
3116	HATCH (OUT)	hatch (V)	egg;grain	2901
1607	HATE	hate	grief;anger;to think;bad	2903
773	HAVE	have (V)	to be;to take	2910
307	HAWK	kite	bird	3398
1168	HAWTHORN	hawthorn	tree	2918
342	HAY	hay	grass	2919
1211	HE	he	pronoun	2926
2475	MALE GOAT	he-goat	sheep;goat	2927
1256	HEAD	head	hair;head;top;naked;horn;face;neck	2928
1364	HEALTHY	healthy	healthy;body;blood	2935
2984	HEAP	heap	earth;grave;to swell;many;mountain;group	2936
1576	PILE UP	heap up (V)	to put;together	2938
1408	HEAR	hear (V)	ear;to know;to hear	2939
1223	HEART	heart	heart;liver;to pierce;breast;middle	2940
612	HEAT	heat	to roast;to burn;hot;coal	2945
1341	HEAT UP	heat (V)	to burn;warm;hot	2946
1565	HEAVEN	heaven	rain;sky;place	2948
1210	HEAVY	heaviness	heavy;to rot	2950
1797	HEDGEHOG	hedgehog	marten	2955
980	HEEL	heel	foot;below	2957
2985	HEIGHT	height	high	2959
1680	HELMET	helmet	hat;to cover	2960
1897	HELP	help (V)	to help;together;to know;host	2963
2041	HEMP	hemp	grass;vegetable	2965
1514	HEN	hen	bird	2966
2474	HER (GENITIVE OF SHE)	her	pronoun	2967
2542	HERB	herb	devil;grass	2968
2885	HERD (SOMETHING)	herd	to guard;many;deer;horse	2969
263	HERDSMAN	herdsman	meadow	2971
758	HERON	heron	bird	2973
3629	HESITATE	hesitate (V)	obstacle;grief	2976
162	HICCOUGH	hiccup	noise	2981
2486	HIDE	hide (V)	grave;to bend;to cover;to hide;to destroy;shadow;to close;to put;hole	2984
1265	HIGH	high	field;high;long;ripe;to grow;thick;big;top	2985
614	HILL	hill	edge;high;top;mountain;to swell	2990
554	HINDER	hinder (V)	obstacle;to meet;to deceive;to bind	2998
1745	HIP	hip	foot;below;back	3000
3213	HIRE OR RENT	hire (V)	debt;to work;to give	3002
2473	HIS (GENITIVE OF HE)	his	pronoun	3003
1433	HIT	hit (V)	to beat;to press;to touch;to break;to shake;to cut	3006
2942	HOARFROST	hoar-frost	cold;snow;ice	3009
3987	HOARSE	hoarse	noise	3011
284	HOE	hoe	to dig;knife;to scrape;plough;handle	3015
1448	HOLD	hold	to take;to give;to hang	3017
1667	HOLE	opening	hole;to open;to divide	4226
3701	HOLLOW	hollow	empty;hole;middle	3027
1702	HOLY	holy	god	3033
2406	HOME	home	house;village	3034
1120	HONEST	honest	true;heart;straight	3035
942	HONEY	honey	sweet;liquid;beer	3036
3947	HONEYCOMB	honeycomb	wax	3037
152	HOOF	hoof	foot;finger-nail;below;finger;hand	3045
1071	HOOK	hook	to bend;to hang;thorn;obstacle	3046
1092	HOPE	hope	to see	3052
2376	HORIZONTAL	horizontal	to bend;to fall	3054
1393	HORN (ANATOMY)	horn	horn;head;top;sheep;hair;vessel	3055
615	HORSE	horse	horse;deer;goat	3060
3262	HORSEFLY	horsefly	insect	3064
1545	HOST	host	together;war;many;host;guest	3065
1286	HOT	hot	hot;bitter;warm;to burn;to roast;fire	3068
3380	HUNTING DOG	hound	dog	3072
1353	HOUR	hour	time;year	3073
1252	HOUSE	house	house;village;door	3074
1239	HOW	how	pronoun	3080
822	HOW MANY	how many	pronoun	3081
526	HOWL	howl (V)	to cry;to weep;noise	3082
683	PERSON	human being	thing	3090
534	HUMP	hump	back;little;to bend	3101
1634	HUNDRED	hundred	hundred;many;ten	3105
1864	HUNGER	hunger	hunger	3106
1533	BE HUNGRY	hungry	hunger;sick;to want;to eat;bad;grief;fish;weak	3107
1435	HUNT	hunt (V)	hunt;war;to search	3109
1053	HUNTER	hunter	to want	3111
2411	HURT (SOMEBODY)	hurt (V)	sick;to pierce;to break;to destroy;grief	3117
1200	HUSBAND	husband	person;relative;host	3118
2254	FATHER-IN-LAW (OF WOMAN)	husband's father	relative	3121
2501	RICE HUSK	husk	dust;straw;empty;to cut;skin;to throw	3124
926	RICE	husked rice	grain	3126
1678	HUT	shelter	hole;shadow;to cover	5453
1799	HYENA	hyena	wolf	3129
1209	I	i	pronoun	3133
617	ICE	ice	cold;dry;ice	3134
2276	IDENTICAL	identical	one	3138
2756	IDLE	idle	slow;free	3140
737	LIGHT (IGNITE)	ignite (V)	to burn	3144
2651	BE IGNORANT	ignorant	dark;silly	3146
1578	IGUANA	iguana	snake	3147
3879	IMAGINE	imagine (V)	to think	3159
117	IMITATE	imitate (V)	shape	3161
1285	IMPORTANT	important	big	3177
2872	IMPROVE (SOMETHING)	improve (V)	many	3181
1460	IN	within	middle	6955
3356	INCENSE	incense	to smell	3190
1041	INCREASE	increase (V)	big;healthy;many;to bear;to swell;to take	3200
1289	BABY	infant	child;to bear	3212
2705	INHALE	inhale (V)	to drink;to suck;to live;taste	3225
3664	INHERIT	inherit (V)	to follow	3226
2643	INK	ink	liquid;to paint	3232
620	INSECT	insect	insect;worm;bird	3239
3071	INSERT	insert (V)	to pierce;to sit;to press;hole;to close;rope	3243
1606	INSIDE	interior	middle;valley	3273
1771	TASTELESS	insipid	sweet	3247
91	INSOLENT	insolent	rough;anger	3249
2916	INSTANTLY (IMMEDIATELY)	instantly	time;quick	3253
1361	TOOL	instrument	thing	3258
3204	INSULT	insult (V)	to curse	3260
2530	SMART	intelligent	to think;to know	3263
1162	INTENTION	intention	to speak;to think;to want	3268
2062	INTEREST	interest	to want	3271
3623	INTESTINAL WORM	intestinal worm	worm	3282
2010	INVESTIGATE	investigate (V)	to know;devil;to speak;to want	3295
1611	INVITE	invite (V)	to speak;relative	3297
3118	IRON (CLOTHES)	iron (V)	flat	3300
622	ISLAND	island	earth;field;valley;shallow;mountain;obstacle	3305
169	IT	it	pronoun	3308
3855	ITCH (CAUSE ITCHING OR FEEL ITCHY)	itch	to scrape	3309
3800	IVORY	ivory	tooth	3313
3313	JACKAL	jackal	wolf	3314
2770	JACKET	jacket	clothes;skin	3316
1281	PRISON	jail	net	3319
1462	POT	jar	vessel	3323
798	JAW	jaw	cheek;face;mouth;to suck;to bite	3324
2821	JEALOUS	jealous	sick;name;to want	3326
2016	JEALOUSY	jealousy	grief	3327
1029	JEWEL	jewel	stone	3335
1743	JOIN	put together (V)	together;to bind;layer;to make;to take	4811
999	JOINT	joint	joint;to bind;wart;bone	3338
3425	JOKE	joke	to play;to laugh;shame;name	3340
2760	MAKE A JOKE	joke (V)	to laugh;to play;to love	3341
2393	JOURNEY	journey	to go	3343
2524	JOY	joy	beautiful;luck;heart;ornament	3345
1818	ADJUDICATE	judge (V)	to know;sign	3347
270	JUG	jug	vessel	3348
1499	JUICE	juice	fat;liquid;wet;to suck	3349
1829	JUMP	jump (V)	to jump;to run;to fly	3352
3808	JUNGLE	jungle	forest;field	3355
84	JUST	just	true	3358
39	KEEN	keen	sharp	3363
1477	KEEP	keep (V)	to guard;to press;to carry;to stay;to bind	3365
854	KETTLE	kettle	vessel;metal	3375
1472	KEY	key	to bend;obstacle;metal	3377
1135	KICK	kick (V)	foot;to beat	3378
1972	YOUNG GOAT (KID)	kid	goat;child	3380
489	KIDNEY	kidney	kidney;liver;belly	3381
1417	KILL	kill (V)	meat;to destroy;to die;to press;war;hunger	3382
3468	KINDNESS	kindness	to love;to endure	3389
1508	KING	king	big;host	3390
2444	KINGFISHER	kingfisher	bird	3392
578	KISS	kiss	to eat	3395
1365	KITCHEN	kitchen	house;hole	3397
274	KNEAD	knead (V)	soft;to press	3399
1371	KNEE	knee	joint;bone;foot;to bend;hole	3400
66	KNEEL	kneel (V)	joint;to sit;to bend	3405
1352	KNIFE	knife	knife;metal;sharp;to cut;to scrape	3406
2905	KNIT	knit (V)	to bind;to twist;net;to weave	3407
2396	KNOCK	knock (V)	foot;to beat;to break;to cut	3410
760	KNOT	knot	to bind;wart;joint;circle	3413
3626	KNOW	know (V)	to know;to see;to speak;heart;to think	3416
3874	KNOWLEDGE	knowledge	to know	3417
2824	KNUCKLE	knuckle	foot	3418
984	WORK (LABOUR)	labour	strong;to work	3422
2329	LACK (NOT HAVE)	lack (V)	hunger;bad	3427
1464	LADDER	ladder	bridge;obstacle	3428
2657	LADLE	ladle	spoon;vessel	3429
2471	LADY	lady	woman	3432
624	LAKE	lake	pool;swamp;river;water;valley	3435
820	LAMB	lamb	sheep;child	3436
320	LAME	lame	lame;sick	3437
626	LAND	land	dry;field;earth;valley;shore	3440
1307	LANGUAGE	language	tongue	3445
3263	LAP	lap	clothes;rope;to sew;belly	3448
116	LARCH	larch	tree;skin	3451
1282	FAT (FROM ANIMALS)	animal oil	fat	7092
2640	LARVA	larva	insect	3457
3714	LARYNX	larynx	neck;hole	3458
340	LASSO	lasso	to bind;rope	3461
1529	LAST (FINAL)	last	end	3462
514	LAST YEAR	last year	year;old	3466
1012	LATCH	latch	metal;obstacle;to bend	3467
477	LATE	late	long;night;time;slow;to wait	3468
1355	LAUGH	laugh	to laugh	3474
1062	LAW	law	shape;to fear;similar;sign	3476
2071	LAY (VERB)	lay aside (V)	to stay	3480
1564	LAZY	lazy	slow;shame;bad;sick;weak;light	3488
628	LEAF	leaf	grass;leaf;skin;vegetable	3493
2253	DRIP (EMIT LIQUID)	leak (V)	to flow;drop	3495
2219	LEAN (MEAT)	lean	hunger;to tire;to pull;bad;light;little	3496
3619	LEAN	lean (V)	side;to bend	3497
504	LEARN	learn (V)	to learn;to know;to praise	3506
2959	LEASH	leash	rope;circle	3508
629	LEATHER	leather	skin	3509
2273	LEECH	leech	insect;snake;worm	3518
244	LEFT	left side	left	3522
2182	LEFT HAND	left hand	left	3521
1297	LEG	leg	foot;brain;joint;stick	3523
3091	LEMON	lemon	fruit	3528
582	LEND	lend (V)	debt	3529
2537	LENGTH	length	long;measure;wide	3530
3330	LENTILS	lentil	vegetable	3532
1139	LEOPARD	panther	wolf	4322
3624	LEPROSY	leprosy	sick	3536
2896	CAUSE TO (LET)	let (V)	to give;free;to stay	3539
1095	LET GO OR SET FREE	let go (V)	free;to go;to put	3542
1612	LETTER	letter	shape;name;to scrape;sign	3545
3469	LEVEL	level	flat;soft;straight;wide;layer;to bend;slippery;field;low;similar	3546
319	LICK	lick (V)	to lick;tongue;to swallow;to smear	3556
2319	LID (COVER, CAP)	lid	chair;to cover	3557
1411	LIE (REST)	lie	to deceive;to pass	3558
215	LIE DOWN	lie down (V)	to lie;to sleep	3561
210	LIFE	life	time;to be;to live;blood	3562
