CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	GERMAN	VALENCY_MEAN_MEN	VALENCY_MEAN_WOMEN	VALENCY_MEAN_ALL	AROUSAL_MEAN_MEN	AROUSAL_MEAN_WOMEN	AROUSAL_MEAN_ALL	IMAGEABILITY_MEAN_MEN	IMAGEABILITY_MEAN_WOMEN	IMAGEABILITY_MEAN_ALL	POLISH_FREQUENCY	POLISH_FREQUENCY_CD	LINE_IN_SOURCE
742	END (OF SPACE)	koniec	ende	-0.56	0.00	-0.19	3.33	2.50	2.78	5.56	5.72	5.67	33690	0	588
615	HORSE	koń	pferd	0.57	0.92	0.74	1.64	2.31	1.96	6.86	6.62	6.74	2758	0	1789
1928	CEASE	kończyć	enden	0.15	-0.08	0.04	1.92	2.31	2.12	5.92	5.46	5.69	2378	0	589
1204	BARK	kora	rinde	0.53	0.27	0.42	1.60	1.45	1.54	6.13	6.64	6.35	179	0	1975
1539	BASKET	kosz	korb	0.29	-0.31	0.00	1.93	1.62	1.78	6.29	6.54	6.41	655	0	1215
1622	SHIRT	koszula	hemd	0.11	1.00	0.70	2.00	1.61	1.74	6.33	6.72	6.59	1031	0	988
1349	CHURCH	kościół	kirche	0.08	0.69	0.38	2.08	2.69	2.38	6.77	6.69	6.73	2797	0	1147
1394	BONE	kość	knochen	-0.14	0.15	0.00	1.50	1.69	1.59	6.50	6.46	6.48	1666	0	1178
1208	CAT	kot	katze	1.20	1.47	1.37	2.00	2.47	2.30	6.60	7.00	6.85	3264	0	1125
1502	GOAT	koza	ziege	0.93	0.85	0.89	1.86	1.69	1.78	6.71	6.31	6.52	305	0	2859
585	BOOT	kozaki	stiefel	0.18	0.63	0.44	2.55	1.75	2.07	6.45	6.56	6.52	42	0	2314
713	STEAL	kraść	stehlen	-1.86	-2.42	-2.12	3.21	3.08	3.15	5.93	5.17	5.58	928	0	2296
3711	TIE (NOUN)	krawat	krawatte	0.11	0.83	0.59	2.22	1.78	1.93	6.67	6.61	6.63	1459	0	1225
863	EDGE	krawędź	kante	-0.20	-0.64	-0.38	1.80	2.27	2.00	5.53	5.36	5.46	313	0	1108
946	BLOOD	krew	blut	-0.18	-0.19	-0.19	3.27	2.13	2.59	6.73	6.75	6.74	13761	0	405
1857	CROCODILE	krokodyl	krokodil	0.89	-0.06	0.26	2.56	2.22	2.33	6.56	6.28	6.37	212	0	1237
2253	DRIP (EMIT LIQUID)	kropla	tropfen	1.00	0.58	0.81	1.93	2.00	1.96	6.43	6.08	6.27	434	0	2494
2543	RAVEN	kruk	rabe	0.57	-0.33	0.15	2.21	2.33	2.27	6.43	6.25	6.35	257	0	1894
1476	CHAIR	krzesło	stuhl	0.21	0.17	0.19	1.64	1.33	1.50	6.21	6.58	6.38	1870	0	2346
715	SHOUT	krzyczeć	schreien	-1.00	-1.17	-1.08	2.86	3.83	3.31	6.00	6.33	6.15	2313	0	2119
1367	CROSS	krzyż	kreuz	-0.13	-0.55	-0.31	3.07	3.27	3.15	6.27	6.00	6.15	1141	0	1231
963	BOOK	książka	buch	1.43	2.15	1.78	2.29	2.62	2.44	6.93	6.46	6.70	3731	0	440
1313	MOON	księżyc	mond	1.67	2.00	1.81	2.20	2.27	2.23	6.47	6.73	6.58	3156	0	1567
1869	BUY	kupować	kaufen	0.87	1.18	1.00	2.27	2.82	2.50	6.00	6.45	6.19	1180	0	1127
1318	CHICKEN	kura	huhn	1.07	0.85	0.96	1.79	1.77	1.78	6.79	6.69	6.74	303	0	1036
2770	JACKET	kurtka	jacke	0.13	0.27	0.19	1.44	1.55	1.48	6.88	6.82	6.85	701	0	1073
2	DUST	kurz	staub	-0.91	-1.00	-0.96	2.00	1.63	1.78	6.18	6.69	6.48	640	0	2289
1906	SOUR	kwaśny	sauer	-0.64	-0.46	-0.56	2.21	2.46	2.33	6.07	5.85	5.96	95	0	2040
239	FLOWER	kwiat	blume	1.29	2.15	1.70	1.93	2.69	2.30	6.71	6.85	6.78	1244	0	403
1659	DOLL	lalka	puppe	0.11	0.89	0.63	2.00	1.72	1.81	5.89	6.72	6.44	744	0	1883
625	LAMP	lampa	lampe	0.50	0.83	0.65	1.29	2.08	1.65	6.36	6.67	6.50	464	0	1271
1139	LEOPARD	lampart	leopard	1.00	0.28	0.52	2.89	2.11	2.37	6.33	6.39	6.37	92	0	1324
420	FOREST	las	wald	1.64	1.69	1.67	3.09	2.63	2.81	6.64	6.63	6.63	3311	0	2725
1441	FLY (MOVE THROUGH AIR)	latać	fliegen	1.77	1.77	1.77	2.92	3.00	2.96	6.31	5.54	5.92	2785	0	743
1342	SUMMER	lato	sommer	2.36	2.75	2.54	3.57	3.58	3.58	6.50	6.58	6.54	2236	0	2226
597	PHYSICIAN	lekarz	arzt	0.13	0.27	0.19	2.69	1.82	2.33	6.44	6.36	6.41	5651	0	173
1386	LION	lew	löwe	1.36	1.67	1.50	3.00	3.00	3.00	6.43	6.67	6.54	1126	0	1396
1411	LIE (REST)	leżeć	liegen	0.93	1.67	1.27	2.07	1.58	1.85	5.71	6.75	6.19	1566	0	1356
2945	COUNT (QUANTITY)	liczba	anzahl	0.86	0.46	0.67	1.93	1.85	1.89	6.14	5.92	6.04	2119	0	151
1356	NUMBER	liczny	zahl	0.07	0.31	0.19	1.93	2.08	2.00	4.79	4.92	4.85	22	0	2826
1420	COUNT	liczyć	zählen	0.36	0.00	0.19	1.79	2.08	1.92	5.50	4.42	5.00	4159	0	2828
1048	LINE	linia	linie	0.11	0.50	0.37	1.89	1.33	1.52	4.89	6.44	5.93	2313	0	1364
3405	RULER	linijka	lineal	0.14	0.08	0.12	1.36	1.25	1.31	6.00	6.25	6.12	88	0	1363
1312	FOX	lis	fuchs	0.31	-0.46	-0.08	1.69	1.62	1.65	6.54	6.31	6.42	649	0	797
1612	LETTER	list	brief	1.44	1.11	1.22	3.11	2.17	2.48	6.56	6.50	6.52	8682	0	428
2854	NOVEMBER	listopadowy	november	-1.14	-0.33	-0.77	2.29	2.08	2.19	5.71	5.58	5.65	7	0	1690
3006	SPACE (AVAILABLE)	lokalizacja	platz	0.29	-0.08	0.11	1.29	2.00	1.63	5.00	4.69	4.85	341	0	1822
617	ICE	lód	eis	-0.40	0.18	-0.04	1.90	2.24	2.11	6.00	6.65	6.41	2152	0	576
1117	LIKE	lubić	mögen	2.15	2.31	2.23	3.08	3.15	3.12	6.31	6.00	6.15	1535	0	1557
789	PEOPLE	ludzie	leute	1.29	1.00	1.15	2.86	2.92	2.89	6.14	6.85	6.48	72579	0	1339
1171	MIRROR	lustro	spiegel	0.31	0.85	0.58	1.54	2.00	1.77	6.69	6.62	6.65	1614	0	2252
2837	SWAN	łabędzi	schwan	0.78	1.28	1.11	2.67	1.78	2.07	5.00	5.94	5.63	50	0	2139
680	BREAK (DESTROY OR GET DESTROYED)	łamać	brechen	-0.87	-1.64	-1.19	2.67	2.18	2.46	5.60	5.73	5.65	539	0	425
1627	CHAIN	łańcuch	kette	-0.14	-1.08	-0.59	1.57	2.08	1.81	6.64	6.31	6.48	973	0	1138
702	CATCH	łapać	fangen	1.00	0.46	0.74	2.29	2.31	2.30	5.50	5.08	5.30	1167	0	687
2862	CONNECT	łączyć	verbinden	1.07	0.85	0.96	2.57	2.31	2.44	5.50	5.00	5.26	467	0	2592
2819	GRASSLAND	łąka	wiese	2.07	2.67	2.35	3.00	2.83	2.92	6.50	6.75	6.62	59	0	2786
1772	ELK	łoś	elch	1.14	0.67	0.92	2.50	2.33	2.42	6.29	6.67	6.46	284	0	580
1844	BOAT	łódź	boot	1.20	0.88	1.00	2.30	2.18	2.22	6.30	6.53	6.44	4552	0	417
