CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_AOA_MIN	SPANISH_AOA_MAX	LINE_IN_SOURCE
1706	ELEVEN	once	4.4000	1	8	4674
1707	TWELVE	doce	3.8300	2	8	2170
1709	FIFTEEN	quince	4.7600	2	10	5550
1710	TWENTY	veinte	4.7400	1	7	6812
1712	OATH	juramento	7.7400	4	11	3709
1725	CORRECT (RIGHT)	correcto	5.6800	2	10	1625
1726	WET	mojado	3.5400	1	8	4325
1728	ROTTEN	podrido	5.8000	2	11	5201
1730	CHEEK	mejilla	5.2000	1	11	4180
1732	SKY	cielo	3.5800	1	8	1248
174	PROUD	orgulloso	7.9200	4	11	4711
1740	PINE	pino	4.7600	1	9	5112
1743	JOIN	juntar	5.2400	2	10	3704
1745	HIP	cadera	6.3800	1	11	920
1747	CUSTOM	costumbre	7.2800	1	11	1659
1753	TOP	cima	8.1837	5	11	1268
1756	WIDOW	viuda	8.1900	2	11	6951
1757	TIRED	cansado	4.2200	2	7	1006
176	BLOW (WITH MOUTH)	soplar	3.9200	1	9	6230
1763	CLUB	club	7.4000	3	11	1321
1768	FOAM	espuma	4.6200	1	10	2536
1775	TABLE	mesa	2.9600	1	8	4218
1776	SHAME	vergüenza	5.0000	2	8	6872
1782	GUEST	huésped	8.6400	4	11	3352
1783	PAIN	dolor	3.6000	1	9	2181
1788	TELEVISION	tele	2.9200	1	7	6391
1789	AGE	edad	3.4200	1	10	2237
1791	BUTTERFLY	mariposa	3.3800	1	6	4106
1794	FURROW	surco	8.3400	4	11	6312
1803	WOOD	madera	6.0200	2	11	3988
1807	AFTERNOON	tarde	3.6400	1	9	6361
1808	PUS	pus	6.6000	1	11	5500
1810	DANGER	peligro	4.2600	1	9	4939
1820	BEAR	oso	3.3600	1	8	4729
1821	BRUSH	cepillo	3.6600	2	7	1159
1828	ASK (REQUEST)	pedir	4.5400	1	10	4927
1829	JUMP	saltar	3.2600	1	6	5953
183	BAKE	hornear	7.7200	3	11	3322
1831	MEET	encontrar	4.6200	1	9	2338
1833	DINNER (SUPPER)	cena	3.9200	1	10	1147
1834	SHE	ella	3.4600	1	9	2282
1838	NAVEL	ombligo	4.6200	1	10	4672
1839	CRY	llorar	2.8400	1	7	3927
1843	THOUSAND	mil	6.3600	2	10	4254
1844	BOAT	bote	5.3600	1	10	822
1845	BALL	pelota	2.3200	1	5	4945
185	FIREPLACE	fogón	7.3200	1	11	2858
1850	COTTON	algodón	5.1400	2	10	237
1851	POCKET	bolsillo	4.2000	1	7	798
1853	DOVE	paloma	3.2200	1	6	4784
1856	SOFT	suave	4.6400	1	10	6251
1857	CROCODILE	cocodrilo	4.1200	2	8	1344
1859	THIRD	tercero	5.3000	2	9	6452
1867	COIN	moneda	4.2400	1	8	4341
1869	BUY	comprar	4.6600	2	11	1445
1870	ANCHOR	ancla	6.0800	2	11	324
1871	CAMEL	camello	4.3200	2	8	969
1879	DANCE	bailar	4.4400	1	11	637
1884	HARD	duro	5.7600	2	11	2226
1887	CHEAP	barato	6.3600	2	11	674
1888	PAIR	par	6.7200	3	11	4818
1890	BELIEVE	creer	5.6800	2	11	1678
1891	PUMA	puma	6.9200	2	11	5481
1892	TOUCH	tocar	4.8200	1	11	6530
1895	CLOTHES	ropa	2.8000	1	7	5860
1897	HELP	ayudar	4.5400	2	10	619
1901	SHOVEL	pala	4.4200	1	9	4770
1902	BETRAY	traicionar	7.6000	3	11	6602
1905	EAGLE	águila	5.2200	2	10	187
191	NUT	nuez	5.4600	3	11	4591
1914	DEBT	deuda	9.1200	4	11	2038
1915	FIR	abeto	7.6600	2	11	11
1917	TIE	atar	4.4400	1	9	548
1920	DREAM (SOMETHING)	soñar	4.5800	1	10	6227
1923	ROUGH	áspero	7.7000	3	11	530
1925	ARTERY	arteria	9.8400	6	11	487
1929	STUDY	estudiar	5.8000	3	11	2618
1934	BEGGAR	mendigo	6.6400	1	11	4193
1937	THERE	allí	3.4400	1	10	252
194	FAMILY	familia	3.4400	1	7	2734
1941	SOLDIER	soldado	5.8600	2	10	6201
1942	NEAR	cerca	4.2000	1	10	1162
1943	CROWN (OF HEAD)	corona	4.5400	2	7	1617
1945	IDOL	ídolo	8.4200	2	11	3390
1950	BEECH	haya	7.1400	3	11	3229
1961	NECKLACE	collar	3.6400	1	7	1375
197	OTHER	otro	4.6600	1	9	4735
1970	CANOE	canoa	7.0200	4	11	1004
1973	DEMON	demonio	5.9400	2	11	1907
1974	CENTIPEDE	ciempiés	5.1000	2	9	1250
1981	WIDOWER	viudo	8.4200	4	11	6952
199	FAMINE	hambre	2.8600	1	9	3215
1992	MORE	más	3.3400	1	9	4120
1994	COLLARBONE	clavícula	9.5000	3	11	1311
1998	COMMAND	mandar	5.6000	1	10	4039
2	DUST	polvo	5.3800	3	9	5217
2005	MASK	máscara	5.2800	1	10	4124
2007	BOLT (OF LIGHTNING)	rayo	5.1400	2	8	5604
2008	RESCUE	salvar	5.8000	2	11	5962
2009	DOG	perro	2.5800	1	7	5019
2014	GO DOWN (DESCEND)	bajar	4.0600	1	7	643
2019	HAMMOCK	hamaca	6.6200	3	10	3214
2023	CROWD	multitud	8.1600	3	11	4428
203	MARRY	casarse	5.9800	1	10	1081
2058	STOOL	banco	6.1400	3	11	659
2060	STORY	cuento	3.2200	1	8	1758
2070	COMB (VERB)	peinar	3.4800	1	11	4934
208	NASAL MUCUS (SNOT)	moco	2.8400	1	6	4309
210	LIFE	vida	4.6800	1	10	6902
2108	RAINING OR RAIN	llover	3.7600	2	11	3931
2148	PICK	coger	3.6600	1	11	1350
215	LIE DOWN	acostarse	3.9600	1	10	80
218	FINE (PENALTY)	multa	8.2449	3	11	4423
2206	RABIES	rabia	6.2800	3	11	5564
221	FIRE	fuego	3.6800	1	7	2934
2235	CLEAN (SOMETHING)	limpiar	3.7600	2	7	3864
2246	BELL	campana	4.2800	2	8	979
2252	PATH	camino	4.5000	1	8	973
2260	FEMALE (OF PERSON)	hembra	5.5000	1	11	3248
227	FISH	pez	2.4000	1	6	5070
2292	GLASSES	gafas	3.9800	1	11	2975
230	SWEEP	barrer	4.3800	1	8	690
2308	THIN	delgado	4.8400	1	10	1891
231	SHAVE	afeitar	6.7600	4	11	139
232	FLEA	pulga	5.8600	3	9	5476
2366	ONION	cebolla	4.3400	1	8	1136
239	FLOWER	flor	2.6800	1	7	2846
24	PRAY	orar	7.3600	3	11	4694
2407	BIRTHDAY	cumpleaños	2.7800	1	6	1781
244	LEFT	izquierdo	4.4600	2	10	3641
2440	PINEAPPLE	piña	4.2000	1	11	5121
245	BROOM	escoba	4.2000	1	8	2455
249	FOG	neblina	6.9400	3	11	4493
2493	BOIL	hervir	6.5400	2	11	3268
2548	BARREL	barril	6.9000	1	11	694
255	SERVANT	sirviente	7.0200	3	11	6166
