CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_FREQUENCY	CHINESE_FREQUENCY_PM	CHINESE_FREQUENCY_LOG	CHINESE_CD	CHINESE_CD_PERCENTAGE	CHINESE_CD_LOG	LINE_IN_SOURCE
1470	FOLD	折	391	11.66	2.59	298	4.77	2.47	4804
1471	WINTER	冬	161	4.8	2.21	60	0.96	1.78	8578
1472	KEY	钥匙	3751	111.81	3.57	1556	24.92	3.19	837
1473	FIST	拳	1370	40.84	3.14	434	6.95	2.64	1897
1474	SEA	海	1772	52.82	3.25	795	12.73	2.9	1546
1475	COMB	梳子	93	2.77	1.97	52	0.83	1.72	11933
1476	CHAIR	椅子	1184	35.29	3.07	762	12.21	2.88	2115
1479	DOLPHIN	海豚	208	6.2	2.32	102	1.63	2.01	7353
1480	BODY	身	4526	134.92	3.66	2627	42.08	3.42	698
1481	HAMMER	锤子	267	7.96	2.43	155	2.48	2.19	6222
1482	SHOULDER	肩膀	686	20.45	2.84	511	8.19	2.71	3180
1483	NINE	九	1234	36.78	3.09	830	13.29	2.92	2040
1484	OIL (ORGANIC SUBSTANCE)	油	1478	44.06	3.17	879	14.08	2.94	1782
1485	BELOW OR UNDER	下边	49	1.46	1.69	43	0.69	1.63	17147
1486	PLANT (SOMETHING)	栽	143	4.26	2.16	117	1.87	2.07	9224
1487	POUR	倒	6092	181.6	3.78	3315	53.1	3.52	553
1489	CLOUD	云彩	50	1.49	1.7	36	0.58	1.56	16963
149	ITCHY	痒	333	9.93	2.52	249	3.99	2.4	5344
1491	MOUSE	鼠	554	16.51	2.74	302	4.84	2.48	3750
1493	ONE	一	203626	6069.96	5.31	6240	99.95	3.8	21
1494	DIE	死	44056	1313.28	4.64	5748	92.07	3.76	103
1495	HAPPY	乐	1747	52.08	3.24	1105	17.7	3.04	1558
1496	GRANDMOTHER	奶奶	1910	56.94	3.28	734	11.76	2.87	1459
1498	TWO	二	4849	144.55	3.69	2359	37.79	3.37	664
15	OTTER	水獭	72	2.15	1.86	24	0.38	1.38	13924
150	WORRY	发愁	47	1.4	1.67	45	0.72	1.65	17531
1500	FOUR	四	6979	208.04	3.84	3040	48.69	3.48	481
1502	GOAT	山羊	302	9.0	2.48	129	2.07	2.11	5711
1503	SALIVA	口水	153	4.56	2.18	126	2.02	2.1	8874
1504	FLY (INSECT)	苍蝇	291	8.67	2.46	205	3.28	2.31	5851
1506	MEASURE	丈	25	0.75	1.4	21	0.34	1.32	24235
1507	FRUIT	果子	97	2.89	1.99	75	1.2	1.88	11682
1508	KING	王	2052	61.17	3.31	834	13.36	2.92	1381
1509	MOSQUITO	蚊子	128	3.82	2.11	80	1.28	1.9	9902
1510	CHIN	下巴	392	11.69	2.59	292	4.68	2.47	4799
1511	ROOSTER	公鸡	87	2.59	1.94	58	0.93	1.76	12447
1514	HEN	母鸡	61	1.82	1.79	46	0.74	1.66	15232
1515	TEN	十	3610	107.61	3.56	2044	32.74	3.31	865
1517	WASP	黄蜂	96	2.86	1.98	37	0.59	1.57	11784
1518	STUPID	蠢	2524	75.24	3.4	1601	25.64	3.2	1160
1519	RUN	跑	12332	367.61	4.09	4049	64.86	3.61	290
152	HOOF	蹄子	37	1.1	1.57	19	0.3	1.28	20027
1522	SOCK	袜子	525	15.65	2.72	342	5.48	2.53	3905
1523	FORGET	忘记	3632	108.27	3.56	2202	35.27	3.34	858
153	GREY	灰色	291	8.67	2.46	199	3.19	2.3	5857
1530	BOWL	碗	815	24.29	2.91	494	7.91	2.69	2815
1531	BRANCH	丫	161	4.8	2.21	109	1.75	2.04	8591
1533	BE HUNGRY	饿	2943	87.73	3.47	1721	27.57	3.24	1021
1534	FEVER	发烧	292	8.7	2.47	217	3.48	2.34	5839
1536	UNDERSTAND	明白	24744	737.6	4.39	5475	87.7	3.74	175
1537	SPRINGTIME	春	241	7.18	2.38	141	2.26	2.15	6682
1538	SCORPION	蝎子	73	2.18	1.86	40	0.64	1.6	13738
1539	BASKET	篮子	148	4.41	2.17	113	1.81	2.05	9056
1541	CULTIVATE	培育	55	1.64	1.74	45	0.72	1.65	16192
1542	ACCOMPANY	陪	3059	91.19	3.49	1898	30.4	3.28	988
1543	SNAIL	蜗牛	53	1.58	1.72	35	0.56	1.54	16523
1545	HOST	司仪	14	0.42	1.15	11	0.18	1.04	31165
1547	SOUP	湯	2	0.06	0.3	1	0.02	0.0	65996
1548	UGLY	丑陋	384	11.45	2.58	310	4.97	2.49	4871
1550	PREVENT	阻止	4179	124.57	3.62	2176	34.86	3.34	748
1551	FEMALE	女	8343	248.7	3.92	3433	54.99	3.54	412
1552	GLOOMY	幽暗	9	0.27	0.95	9	0.14	0.95	37155
1554	MAN	男	5775	172.15	3.76	2626	42.06	3.42	574
1556	YOLK	蛋黄	86	2.56	1.93	61	0.98	1.79	12485
1559	MONEY	钱	29221	871.06	4.47	4602	73.71	3.66	148
156	RED	紅	3	0.09	0.48	2	0.03	0.3	54194
1560	FACE	面	3906	116.44	3.59	2269	36.34	3.36	800
