CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	GERMAN	POLISH_VALENCE_MEAN_MALE	POLISH_VALENCE_MEAN_FEMALE	POLISH_VALENCE_MEAN	POLISH_AROUSAL_MEAN_MALE	POLISH_AROUSAL_MEAN_FEMALE	POLISH_AROUSAL_MEAN	POLISH_IMAGEABILITY_MEAN_MALE	POLISH_IMAGEABILITY_MEAN_FEMALE	POLISH_IMAGEABILITY_MEAN	LINE_IN_SOURCE
1547	SOUP	zupa	suppe	1.07	1.27	1.15	1.93	1.64	1.81	6.6	6.82	6.69	2861
1553	MALE	samiec	leittier	0.36	0.0	0.19	2.43	2.69	2.56	6.21	5.85	6.04	1961
1554	MAN	mężczyzna	mann	0.21	1.92	1.0	1.36	3.75	2.46	6.57	6.5	6.54	1032
1559	MONEY	pieniądze	geld	1.14	1.0	1.07	2.5	2.92	2.7	6.57	6.38	6.48	1506
1560	FACE	twarz	gesicht	0.93	1.46	1.19	2.14	2.31	2.22	6.5	6.62	6.56	2361
1561	ARMY	armia	armee	-0.15	-1.08	-0.62	2.15	2.77	2.46	5.54	6.54	6.04	54
1566	GUN	pistolet	pistole	-0.14	-1.17	-0.62	2.64	2.83	2.73	6.5	6.58	6.54	1529
1568	ARRANGE	ustalać	ermitteln	0.13	0.18	0.15	2.19	1.45	1.89	4.38	3.73	4.11	2433
1571	SELL	sprzedawać	verkaufen	-0.2	0.53	0.26	2.4	2.0	2.15	5.5	5.94	5.78	2101
1583	BRAIN	mózg	gehirn	1.38	0.82	1.15	2.06	2.27	2.15	6.38	5.82	6.15	1100
1584	BLISTER	pęcherz	blase	-0.5	-0.85	-0.67	1.79	2.08	1.93	5.29	6.15	5.7	1492
1585	SLEEP	spać	schlafen	1.79	2.33	2.04	2.64	2.08	2.38	6.14	6.83	6.46	2068
1590	WAIT (FOR)	czekać	warterei	-1.11	-0.94	-1.0	3.0	2.28	2.52	6.33	5.67	5.89	283
1595	SOUTH	południe	mittag	0.36	0.92	0.63	1.71	1.92	1.81	5.86	5.92	5.89	1616
1596	LOCK	zamek	schloss	1.2	1.09	1.15	2.33	1.55	2.0	6.53	6.45	6.5	2731
1597	AIRPLANE	samolot	flugzeug	1.79	1.5	1.65	3.07	3.83	3.42	6.79	6.75	6.77	1963
