CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_AOA_MEAN	CHINESE_FAMILIARITY_MEAN	CHINESE_IMAGEABILITY_MEAN	CHINESE_CONCRETENESS_MEAN	CHINESE_FREQUENCY_LOG	CHINESE_STROKE	LINE_IN_SOURCE
1671	TOWER	塔	4.095238095		5.272727273	5.6842	1.901038258	13	1989
1672	WRITE	寫	2.476190476		4.772727273	5.5	2.529247184	15	1147
168	REST	歇	5.095238095		4.272727273	3.35	1.412102756	13	686
1681	WAIST	腰	3.476190476		6.045454545	6.2105	1.807791363	13	1926
1703	SIX	六	1.476190476		4.545454545	4.5	3.013286088	4	3443
1704	SEVEN	七	1		4.272727273	4.35	2.876062104	2	3330
1705	EIGHT	八	1		4.272727273	4.7	2.904939676	2	3441
1719	BURY	埋	4.35		4.318181818	4.2	2.312828464	10	1988
1725	CORRECT (RIGHT)	對	2.761904762		2.772727273	2.7	3.502142946	14	3696
1726	WET	濕	3.476190476		6	5.15	1.901766085	17	1990
1730	CHEEK	腮	5.333333333		4.590909091	5.4211	0.271774322	13	2297
1732	SKY	天	1.380952381		6.428571429	5.95	3.221241003	4	3619
1733	RAINBOW	虹	3.35		4.590909091	4.55	1.519396926	9	797
1735	TEAR (SHRED)	撕	4.380952381		5.227272727	5	1.39515923	15	232
175	BLOW (OF WIND)	吹	2.476190476		5.136363636	5.45	1.837959195	7	3554
1755	UNDRESS	脫	3.428571429		5.090909091	4.55	2.133649958	11	1810
1757	TIRED	累	3.380952381		4.5	4.5	2.070917868	11	4109
1760	YOUNGER BROTHER	弟	1.761904762		4.727272727	5.4	2.213498661	7	3766
1762	STONE (OF FRUIT)	核	4		4.681818182	4.6	2.227118403	10	1843
1766	FINISH	完	3		3.818181818	3.9	2.779090362	7	1138
1773	GRAVE	墳	4.476190476		5.681818182	5.85	0.967005757	15	2815
1777	RESEMBLE	像	3.238095238		3.863636364	2.5	2.632719183	14	1560
1779	DARE	敢	3.714285714		2.909090909	2.8	2.070128958	12	3836
1796	SLAUGHTER	宰	5.380952381		3.636363636	3.5	1.238920979	10	3674
1803	WOOD	木	1.666666667		6.65	6.4211	2.226430248	4	3889
1817	WEST	西	2.666666667		3.681818182	3.9	2.995991657	6	4217
1820	BEAR	熊	2.857142857		5.909090909	6.4737	1.905963598	14	3978
1821	BRUSH	刷	3.19047619		5.045454545	5.35	1.38476213	8	3477
1823	BORROW	借	3.333333333		3.409090909	3.85	2.095434824	10	598
1825	COPPER	銅	4.047619048		5.136363636	5.2632	1.996518181	14	103
1829	JUMP	跳	2.666666667		5.5	5.7368	2.350645247	13	1744
1834	SHE	她	2.333333333		3.818181818	3.6	3.237996534	6	1778
1839	CRY	哭	2.333333333		5.727272727	6.15	1.80670653	10	3565
1840	BUILD	砌	4.047619048		4.772727273	4.2	1.239589639	9	1962
1843	THOUSAND	千	2.333333333		3.863636364	3.95	2.903710669	3	3498
1844	BOAT	船	2.904761905		6.047619048	6.6842	2.260969794	11	2260
1845	BALL	球	2.619047619		6.045454545	5.75	3.236235996	11	1772
1847	SICK	病	2.761904762		4.954545455	5.2	2.781610248	10	1191
1849	ROW	划	4.857142857		4.954545455	5	0.790288262	6	3295
1850	COTTON	棉	3.285714286		5.681818182	5.2	1.163868924	12	572
1856	SOFT	軟	3.333333333		4.909090909	4.45	2.031550052	11	4264
1859	THIRD	丙	3.619047619		1.666666667	1.8947	0.900892546	5	3341
1862	DONKEY	驢	4.571428571		6.19047619	6.6842	0.502223243	26	2834
