CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_ACCURACY_PERCENTAGE	DUTCH_PREVALENCE	LINE_IN_SOURCE
1208	CAT	kat	1	1.95996398454005	22159
1209	I	ik	0.992125984251969	1.84552895888549	20091
121	SPIN	spinnen	0.992481203007519	1.85019316122929	41836
1210	HEAVY	zwaar	0.987704918032787	1.79058039306171	54042
1215	THOU	jij	0.992957746478873	1.85651433499467	21402
1216	MOTHER	moeder	0.992647058823529	1.85238478724179	28438
1217	FATHER	vader	1	1.95996398454005	47111
1220	TAIL	staart	0.988970588235294	1.80575970349378	42212
1221	NOSE	neus	0.996138996138996	1.90074129065413	29694
1223	HEART	hart	0.996323529411765	1.90342359907808	18111
1225	DAY (NOT NIGHT)	dag	1	1.95996398454005	9586
1226	YEAR	jaar	0.99609375	1.90008569235542	21195
1228	EARTH (SOIL)	aarde	1	1.95996398454005	510
1229	OLD	oud	0.996240601503759	1.90221649578201	32926
123	FOREHEAD	voorhoofd	1	1.95996398454005	50060
1230	DIRTY	vies	0.986111111111111	1.77203414816915	49171
1231	NEW	nieuw	0.992727272727273	1.85344793727556	29775
1232	WARM	warm	0.996078431372549	1.89986391656232	50928
1233	NIGHT	nacht	0.991701244813278	1.8400041036098	29102
1234	SMOOTH	smeuïg	0.936708860759494	1.37139079774701	40920
1235	WHO	wie	0.992063492063492	1.84471254451686	51917
1236	WHAT	wat	0.996466431095406	1.90551021473344	51031
1237	WHERE	waar	0.992125984251969	1.84552895888549	50661
1238	WHEN	wanneer	0.992424242424242	1.84944252757828	50867
1239	HOW	hoe	0.992537313432836	1.85093361206433	18924
1240	NOT	niet	0.996466431095406	1.90551021473344	29757
1241	SOME	sommige	0.996428571428571	1.9049565890986	41389
1242	FEW	enkele	0.992248062015504	1.84712737274387	12806
1243	WIDE	wijd	0.956140350877193	1.50108594604402	51976
1244	THICK	dik	1	1.95996398454005	10630
1245	BUTTER	boter	0.996296296296296	1.90302688647484	6914
1246	SMALL	klein	0.988416988416988	1.79906928221224	22964
1247	EAR	oor	0.99618320610687	1.90138266532575	31968
1248	EYE	oog	0.996363636363636	1.9040083945599	31892
1251	BELLY	buik	0.996240601503759	1.90221649578201	7570
1252	HOUSE	huis	0.995614035087719	1.89318453467366	19577
1255	SNOWING	sneeuwen	0.992537313432836	1.85093361206433	41046
1256	HEAD	hoofd	1	1.95996398454005	19188
1261	SING	zingen	1	1.95996398454005	53530
1262	BROTHER	broer	0.996153846153846	1.90095663955188	7371
1263	SISTER	zus	0.991935483870968	1.84304404033416	54005
1265	HIGH	hoog	0.995850622406639	1.89657678130406	19263
1267	NARROW	smal	0.996376811594203	1.90420064345074	40842
1268	YES	ja	1	1.95996398454005	21190
1269	NO	nee	0.988636363636364	1.80171085661318	29482
127	EXTINGUISH	blussen	0.989090909090909	1.80722456198038	6311
1270	WHY	waarom	1	1.95996398454005	50702
1272	AUNT	tante	0.996197718631179	1.90159337592032	44060
