CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	PAVIO_NORMS	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_FAMILIARITY_MEAN	LINE_IN_SOURCE
1657	TRUE	TRUE	0	2.97	6.73	2144
1658	PUPIL	PUPIL	707	6.37	6.00	1661
1659	DOLL	DOLL	261	6.17	5.73	603
1663	BED	BED	0	6.63	6.84	190
1664	RAFT	RAFT	0	0.00	5.23	1687
1666	MUTE	DUMB	0	3.69	6.21	630
1668	GRIEF	GRIEF	395	4.70	5.49	930
1671	TOWER	TOWER	856	6.53	4.88	2118
1673	ARM	ARM	48	6.53	6.55	120
1674	POOR	POOR	0	4.56	5.90	1587
1675	PROMISE	PROMISE	0	2.72	6.38	1642
1676	ALWAYS	ALWAYS	0	1.88	6.81	71
1678	HUT	SHELTER	0	4.88	5.49	1870
168	REST	REST	0	3.56	6.41	1748
1686	BEHIND	BEHIND	0	3.38	6.43	194
1688	FATE	FATE	321	2.37	5.32	762
169	IT	IT	0	1.63	6.94	1129
1690	FENCE	FENCE	0	0.00	5.63	771
1711	TELL	TELL	0	2.59	6.56	2054
1726	WET	WET	0	5.31	6.52	2250
1732	SKY	SKY	784	6.73	6.45	1905
1733	RAINBOW	RAINBOW	0	6.38	4.71	1691
174	PROUD	PROUD	0	4.31	6.16	1653
1741	ABOVE	ABOVE	0	3.06	6.47	14
1743	JOIN	JOIN	0	2.81	5.71	1138
1747	CUSTOM	CUSTOM	218	3.43	5.85	508
1749	TAKE	TAKE	0	2.53	5.98	2041
1753	TOP	TOP	0	4.44	6.50	2110
1757	TIRED	TIRED	0	4.00	6.70	2098
1768	FOAM	FOAM	339	6.33	5.02	811
1773	GRAVE	TOMB	854	6.37	4.83	2108
1774	STINGY	STINGY	0	3.53	4.76	1978
1775	TABLE	TABLE	832	6.50	6.76	2037
1776	SHAME	SHAME	768	4.10	5.71	1865
1779	DARE	DARE	0	2.66	5.46	515
1784	WANT	WANT	0	2.91	6.77	2232
1791	BUTTERFLY	BUTTERFLY	126	6.63	4.81	288
1792	PERJURY	PERJURY	656	3.37	4.10	1542
1803	WOOD	LOG	0	0.00	5.06	1242
1812	TRY	TRY	0	2.31	6.61	2148
1819	LOOK	LOOK	0	3.00	6.71	1247
1820	BEAR	BEAR	0	6.03	5.58	184
1821	BRUSH	BRUSH	0	0.00	6.25	263
1826	ANGRY	ANGRY	0	4.94	6.40	90
1829	JUMP	JUMP	0	4.66	5.88	1149
183	BAKE	BAKE	0	4.97	5.89	164
1833	DINNER (SUPPER)	DINNER	0	5.93	6.74	573
1839	CRY	CRY	0	5.00	6.21	502
184	MAST	MAST	557	6.43	4.38	1294
1842	OBSTINATE	OBSTINATE	0	3.41	4.30	1443
185	FIREPLACE	FIREPLACE	330	6.83	5.69	790
1850	COTTON	COTTON	206	6.00	5.55	476
1853	DOVE	DOVE	266	6.53	4.55	612
1856	SOFT	SOFT	0	4.81	6.33	1929
1858	FISHERMAN	FISHERMAN	332	6.50	5.17	794
1861	ACTIVE	ACTIVE	0	4.22	5.92	31
1867	COIN	COIN	175	6.50	5.90	406
1871	CAMEL	CAMEL	0	6.03	3.92	297
1880	PASSIONATE	PASSIONATE	0	4.97	5.47	1519
1882	BEFORE	BEFORE	0	1.66	6.57	191
1884	HARD	HARD	0	4.34	6.66	957
1885	ARMADILLO	ARMADILLO	49	3.77	2.21	121
