NUMBER	ENGLISH	Imagery mean	Imagery SD	AOA mean	AOA_SD	Familiarity mean	Familiarity SD	Concreteness mean	Concreteness SD	Meaning uncertainty	Thorndike-Lorge frequency
330	commercial	3.89	1.71	5.25	0.89	5.12	1.14	3.69	1.69	1.22	43
331	committee	4.68	1.63	5.17	0.83	5.23	1.2	4.57	1.42	0	50
332	communication	3.97	1.62	5.03	0.83	5.27	1.34	4.06	1.58	0	25
333	community	4.22	1.56	5.22	0.98	4.99	1.21	3.94	1.51	0	50
334	company	4.32	1.58	4.36	0.85	5.73	1.08	4.34	1.64	1.66	100
335	compatriot	4.11	1.83	5.72	1.02	3.31	1	4.54	1.78	0	2
336	competition	4.32	1.56	3.81	0.78	5.37	1.19	3.46	1.61	0	28
337	compliment	3.76	1.84	5.06	1.08	4.76	1.31	2.6	1.42	0.62	5
338	complication	2.95	1.58	5.28	0.93	4.8	1.27	3.2	1.6	0	17
339	composer	4.73	1.52	4.61	0.83	4.48	1.18	5.06	1.66	0	8
340	compression	3.81	1.81	6.28	0.87	3.6	1.4	3.57	1.46	0	2
341	comrade	4.95	1.69	4.92	0.92	3.74	1.06	5.06	1.66	0	26
342	concert	5.84	1.24	3.86	1.03	5.2	1.29	2.4	1.29	0	50
343	concern	3.59	1.85	4.44	0.93	5.19	1.19	5.31	1.26	0.66	21
344	conclusion	3.51	1.62	5.36	0.98	5.67	1.25	2.69	1.43	0	39
345	concurrence	2.62	1.57	6.44	0.69	3.14	1.44	2.63	1.53	0	1
346	condition	3.03	1.55	4.61	0.92	5.71	1.1	2.97	1.46	0.97	100
347	cone	5.65	1.36	2.75	0.72	5.06	1.35	6.03	1.42	1.42	7
348	conference	4.81	1.49	5.39	1.01	4.83	1.17	4.46	1.56	0	48
349	confidence	3.75	1.8	4.81	0.88	5.7	1.07	3	1.76	0	50
350	conflict	4.38	1.82	4.97	0.96	4.94	1.3	3	1.55	1.5	30
351	confusion	4.43	1.76	4.72	0.96	5.54	1.1	2.74	1.57	0	36
352	congress	3.62	1.75	5.75	0.76	3.89	1.11	3.89	1.7	0	50
353	conjugation	2.78	1.73	6.33	0.82	3.4	1.01	2.97	1.68	0	1
354	conscience	3.92	1.89	5.03	0.87	5.36	1.11	2.43	1.55	0	37
355	consequence	3.05	1.82	5.14	0.85	5.02	1.14	2.49	1.25	0	47
356	conservation	3.97	1.87	5.83	0.9	4.76	1.29	2.97	1.73	0	7
357	consideration	3.24	1.71	4.94	1.05	5	1.15	2.49	1.4	1.19	44
358	consolation	3.41	1.81	5.19	0.91	4.57	1.2	2.6	1.31	0	5
359	conspirator	3.92	1.75	5.56	1.04	3.64	1.36	4.8	1.65	0	4
360	constitution	2.81	1.45	6.11	0.77	4.39	1.29	3.06	1.6	0.92	46
361	construction	4.16	1.7	5.17	0.96	4.66	1.22	4.8	1.43	0	37
362	consummation	3.3	1.63	6.58	0.64	3.35	0.98	3.14	1.85	0	1
363	contamination	4.62	1.7	5.94	0.74	3.88	1.44	3.4	1.55	0	1
364	content	3.97	1.91	3.89	0.85	5.53	1.16	2.94	1.57	0.93	50
365	continent	4.84	1.53	4.53	1.09	4.59	1.19	4.74	2	0	45
366	continuation	3.27	1.72	4.92	0.86	4.7	1.41	2.8	1.21	0	5
367	contraction	4.03	2.15	5.92	0.92	4.54	1.57	3.71	1.58	0.47	7
368	control	3.53	1.64	4.11	0.91	5.59	1.14	3.06	1.58	1.08	100
369	conveyance	4.03	1.59	6.22	0.71	3.84	1.29	3.71	1.61	0	6
370	convocation	1.57	1.33	6.83	0.44	1.75	0.84	2.47	1.58	0	2
371	cookbook	5.41	1.75	4.19	1.05	4.43	1.42	6.41	1.06	0	2
372	coolness	4.68	1.66	4.28	1.12	4.51	1.26	3.51	1.38	1.5	4
373	copper	5.62	1.51	4.28	0.93	4.92	1.33	6.17	1.25	1.31	46
374	coral	5.62	1.76	4.34	1.17	3.72	1.65	6	1.29	0	19
375	core	4.89	1.71	3.44	1.21	4.65	1.08	4.94	1.67	1.45	7
376	corkscrew	5.86	1.4	4.19	0.97	4.45	1.31	6.49	0.91	0	1
377	cornice	3.08	2.06	6.53	0.69	2.52	1.22	5.09	1.63	0	2
378	corporation	3.43	1.73	5.22	1.16	4.27	1.1	3.63	1.71	0	33
379	correspondent	4.3	1.66	5.58	0.95	4.84	1.14	4.54	1.81	0.95	31
380	corridor	5.59	1.42	3.53	0.87	5.79	1.21	5.97	1.06	0	15
381	corse	1.89	1.39	6.22	0.98	2.2	1.37	3.62	1.93	0	1
382	costume	5.22	1.49	3.92	1.26	4.57	1.26	5.77	1.12	0	25
383	cotton	5.43	1.79	3.06	0.7	5.61	1.15	6.37	0.96	1.44	100
384	council	4.11	1.77	4.64	0.92	5.08	1.12	4.47	1.52	0.3	50
385	counterpane	4.24	2.14	5.36	1.29	3.27	1.43	5.26	1.79	0	1
386	country	5.7	1.27	3.29	0.81	5.95	1.05	4.89	1.7	0.98	100
387	courage	4.46	1.73	4.19	0.84	5.11	1.28	2.68	1.28	0	50
388	cousin	4.84	1.9	2.78	0.79	5.15	1.34	5.23	1.82	0	50
389	cover	4.49	1.87	2.89	0.81	5.97	0.97	5.23	1.22	1.93	100
390	cowl	3.61	1.93	5.92	1.01	2.62	1.26	5	2.15	0	5
391	crab	5.95	1.37	2.92	0.92	4.33	1.52	6.63	0.68	0.17	16
392	craft	4.35	1.63	4.22	0.92	4.87	1.28	4.8	1.74	1.35	21
393	crane	5.68	1.47	3.5	1.17	4.28	1.24	6.4	0.84	0.56	9
394	craven	2.68	1.77	6.08	0.89	2.88	1.27	2.89	1.74	0	3
395	creature	5.24	1.72	3.53	0.87	5.25	1.1	5.77	1.24	0	50
396	credentials	3.75	1.57	6.31	0.7	3.57	1.1	3.71	1.94	0	1
397	creeper	5.32	1.53	4.31	0.91	3.9	1.25	5.83	1.23	0.29	1
398	crew	4.92	1.79	3.66	0.79	4.42	1.24	5.46	1.54	0	46
399	crime	4.68	1.54	3.83	0.76	5.13	1.14	3.6	1.64	0	50
400	criticism	3.43	1.57	5.61	0.98	5.16	1.3	2.6	1.48	0	25
401	crock	3.57	1.85	5.17	1.07	3.56	1.35	4.71	1.83	1.53	2
402	crook	5.32	1.53	3.74	1.13	4.67	1.45	5.43	1.76	0.81	10
403	crosspiece	3.22	1.71	5.89	1.02	2.86	1.02	4.91	1.57	0	2
404	crow	5.89	1.29	3.08	0.8	4.69	1.39	6.63	0.64	0.57	37
405	crucifix	5.97	1.28	4.75	1.19	3.89	1.41	5.71	1.36	0	1
406	crush	4.86	1.65	3.39	1.16	4.8	1.44	3.86	1.4	0.88	49
407	crypt	5.59	1.62	5.39	1.16	3.2	1.32	6.03	1.29	0	1
408	cube	5.81	1.66	3.83	1.04	4.86	1.49	5.69	1.67	0	9
409	cue	4.54	1.93	5.54	1.08	4.2	1.68	5.57	1.76	1.28	3
410	cult	3.92	1.91	5.86	0.92	4.37	1.26	3.49	1.61	1.51	5
411	cunning	3.86	1.71	4.26	0.87	4.22	1.2	2.54	1.36	0	28
412	cure	4.08	1.82	3.5	0.76	5.22	1.21	3.4	1.64	0	46
413	curiosity	4	1.81	3.89	0.94	5.15	1.31	2.97	1.54	0	30
414	curse	4.16	1.73	4.5	1.17	4.36	1.36	3.11	1.69	0.94	39
415	curve	5.84	1.48	3.64	1	5.23	1.39	4.63	1.66	0	36
416	customer	4.94	1.7	3.69	0.84	5.49	1.12	5.26	1.5	0	33
417	cuttie	2.19	1.84	6	1.37	1.84	0.96	4.26	2.16	0	1
418	cynic	3.83	1.77	6.19	1.02	4.65	1.34	3.83	1.8	0	1
419	cyst	5.16	1.46	6.28	0.9	3.35	1.36	6	1.26	0	1
420	dad	6.32	1.34	1.25	0.76	6.46	0.85	6.37	1.04	0	41
421	dairy	5.43	1.55	3.31	0.94	4.67	1.45	5.94	1.53	0	13
422	damage	4.49	1.84	3.58	0.68	5.58	1.1	4.14	1.71	0	32
423	damsel	5.3	1.52	4.06	0.78	3.11	1.28	5.43	1.7	0	36
424	danger	5.24	1.58	3	0.74	5.56	1.3	2.97	1.59	0	100
425	darkness	6.28	1.04	2.42	0.86	5.78	1.13	4.29	1.71	0	50
426	dart	6.03	1.15	3.92	1.01	4.96	1.25	6.43	0.77	0.72	33
427	date	4.73	1.81	3.14	0.75	6.45	0.76	4.97	1.78	1.12	100
428	dawn	6.24	1	3.5	0.76	4.77	1.43	5	1.53	0.29	50
429	daylight	5.89	1.27	3.11	0.77	5.37	1.25	4.89	1.3	0	25
430	deal	3.68	1.8	3.81	0.81	5.37	1.12	3.6	1.73	1.5	100
431	debate	4.03	1.64	5.64	0.85	4.59	1.26	3.79	1.57	0	24
432	debut	3.22	1.78	5.64	0.98	3.51	1.3	2.97	1.16	0	2
433	deceit	3.57	1.76	5.19	0.94	4.48	1.38	2.26	1.08	0	8
434	decision	3.46	1.69	4.37	0.93	6.01	0.94	2.91	1.56	0	46
435	deck	5.73	1.52	3.47	0.69	4.75	1.41	6.21	0.93	0.54	50
436	decomposition	4.54	1.69	5.89	0.91	4.17	1.27	3.8	1.58	0	3
437	decree	3.22	1.69	5.83	1.21	3.37	1.19	3.34	1.49	0	20
438	deer	6.08	1.12	2.81	0.88	4.79	1.26	6.69	0.52	0	35
439	defence	4.19	1.77	4.47	0.93	4.79	1.16	3.46	1.66	0	50
440	defiance	3.89	1.86	5.39	1.06	4.32	1.33	2.66	1.31	0	12
441	definition	2.3	1.63	5.67	0.82	5.19	1.24	2.51	1.23	0	9
442	degree	5.27	1.59	5.08	1.06	5.74	1.09	4.14	1.5	1.85	100
443	deity	3.05	2	6.22	1.16	3.04	1.44	3	2.04	0	9
444	delegation	3.62	1.68	6.11	0.91	4.12	1.39	4.14	1.68	0	6
445	delight	4.65	1.77	4.14	0.92	5.1	1.2	2.74	1.48	0	50
446	dell	4.3	1.83	4.72	1.1	2.78	0.92	5.49	1.76	0	11
447	delta	5.05	1.89	5.54	1.2	3.59	1.19	5.14	1.87	1.37	8
448	demeanour	2.41	1.67	6.17	1.14	3.02	1.05	2.46	1.34	0	6
449	demonstration	4.92	1.46	5.06	0.88	5.51	0.81	3.86	1.51	0	18
450	denial	3.7	1.78	5.03	1.24	4.07	1.25	2.63	1.55	0	4
451	dent	4.92	1.73	3.61	0.79	4.8	1.4	5.4	1.36	0	3
452	department	4.32	1.61	4.94	0.91	5.96	0.91	4.6	1.46	0.88	100
453	dependance	3.78	1.73	4.89	0.99	5.07	1.07	2.37	1.35	0	5
454	deposit	4.19	1.64	4.83	1.19	5.32	1.23	4.26	1.71	0.38	41
455	depression	4.59	1.81	5.5	1.04	5.41	1.1	2.97	1.66	0.83	25
456	deputy	4.41	1.44	4.33	0.85	4.62	1.19	4.69	1.77	0	13
457	derivation	2.73	1.67	6.11	0.77	4.34	1.17	2.29	1.21	0	1
458	description	3.41	2.15	4.69	0.99	5.38	1.34	3.41	1.78	0	30
459	design	4.13	1.86	4.03	1.06	5.38	1.29	4.57	1.5	1.05	50
460	despair	4.08	1.88	4.58	1.04	4.64	1.37	2.54	1.38	0	38
461	desperation	3.95	1.86	5.06	0.94	4.77	1.28	2.46	1.38	0	6
462	despot	3.03	1.84	6.5	0.8	3.13	1.44	3.66	1.8	0	4
463	destruction	4.97	1.65	4.97	1.04	4.67	1.27	3.59	1.63	0	37
464	detective	5.3	1.49	3.77	0.86	5.09	1.31	5.26	1.59	0	13
465	detestation	3.24	1.96	6.28	0.96	2.4	1.22	2.41	1.42	0	1
466	development	3.7	1.72	4.83	1.05	5.36	1.08	3.06	1.58	0.86	50
467	device	3.65	1.83	4.72	0.8	4.9	1.3	4.49	1.65	0.55	34
468	dew	5.65	1.55	3.31	0.66	4.27	1.36	6.09	1.05	0	30
469	dexterity	3.22	2.06	6.14	0.75	3.32	1.31	2.71	1.34	0	4
470	diadem	2.87	1.93	6.08	1.06	2.32	1.23	4.51	1.99	0	4
471	diamond	6.17	1.44	3.39	0.86	4.65	1.61	6.51	0.84	0	50
472	dictation	4.38	1.7	4.94	1.05	4.32	1.26	3.57	1.76	0	3
473	diet	4.92	1.67	4.42	1.04	5.56	1.36	4.63	1.62	0.91	27
474	difference	2.84	1.59	3.78	1.06	6.28	0.92	2.5	1.09	0.68	100
475	diffusion	3.84	1.75	6.17	0.8	4.41	1.37	3.06	1.62	0	2
476	dignity	4.19	1.96	5.22	0.85	4.54	1.13	2.71	1.52	0	36
477	dimension	3.61	1.96	5.28	1.22	4.83	1.24	2.65	1.57	0	10
478	diner	5.03	1.73	4.44	1.38	4.42	1.45	5.37	1.46	0.48	2
479	dip	4.62	1.63	3.31	0.81	4.66	1.43	4.97	1.56	1.25	34
480	direction	3.97	1.89	3.81	1.02	5.69	1.09	3.26	1.46	0.54	100
481	dirge	2.68	1.79	6.06	1.12	2.82	1.49	4.11	1.62	0	3
482	disagreement	3.68	1.64	5.03	0.9	4.89	1.14	3.06	1.62	0	3
483	disc	5.81	1.29	4.47	1.07	4.66	1.42	5.8	1.41	1.27	4
484	discharge	4.32	1.99	5.31	0.81	4.14	1.46	4.91	1.65	1.68	30
485	discoiouration	3.76	1.63	6.06	0.88	3.56	1.32	3.6	1.48	0	1
486	discord	3.24	1.72	6.11	0.84	3.2	1.16	3.17	1.59	0.98	6
487	discovery	3.78	1.61	4.14	0.92	5.22	1.27	3.26	1.42	0	50
488	discussion	3.87	1.63	5.22	0.82	5.41	1.24	3.4	1.44	0	32
489	disgrace	3.84	1.75	4.22	1.06	4.66	1.32	2.69	1.28	0	20
490	dishonesty	3.68	1.86	4.31	1.1	4.75	1.15	2.43	1.25	0	1
491	disinfectant	5.35	1.38	4.33	0.97	4.99	1.23	6.09	1	0	1
492	dislocation	4.24	1.75	5.61	0.92	3.99	1.32	4.03	1.63	0	1
493	dismissal	3.68	1.66	4.94	0.97	4.47	1.32	2.94	1.53	0	3
494	disparagement	2	1.34	6.8	0.4	2.42	0.78	2.46	1.29	0	1
495	display	4.59	1.7	4	0.94	5.67	1.2	4.77	1.4	0	50
496	dispute	4.27	1.65	5.22	1	5.2	1.04	3.51	1.57	0	40
497	disquiet	3.11	1.64	6.17	0.87	3.04	1.01	2.6	1.34	0	3
498	dissection	5.68	1.38	6.06	0.91	4.31	1.46	4.51	1.59	0	1
499	distance	4.38	1.82	3.44	0.9	5.94	1.12	3.54	1.46	0	100
500	distinction	3.16	1.62	5.11	0.91	5.11	1.02	2.37	1.27	0	26
501	distress	4.49	1.85	4.22	0.82	4.94	1.17	2.74	1.48	0	38
502	ditch	5.75	1.44	2.92	0.89	4.87	1.46	6	1.12	0.34	28
503	dive	5.92	1.19	3.22	0.63	5.08	1.31	5.14	1.25	0.38	21
504	dividend	3.19	1.78	5.8	0.95	3.87	1.37	3.69	1.74	0	7
505	division	3.7	1.61	4.17	0.9	5.28	1.1	3.09	1.7	1.72	50
506	dock	5.65	1.28	3.67	0.78	4.83	1.23	6	1.35	0.67	16
507	dog	6.57	0.82	1.69	0.66	6.15	0.97	6.68	0.63	0	100
508	doll	5.81	1.7	1.61	0.68	4.49	1.75	6.54	0.87	0.29	46
509	dolt	2.65	1.93	6.08	1.14	2.33	0.86	3.76	2.03	0	1
510	domination	4.27	1.73	5.58	0.98	4.17	1.42	2.66	1.33	0	4
511	door	5.84	1.52	2.14	0.82	6.66	0.72	6.51	0.77	0	100
512	doorway	5.54	1.65	3.53	0.93	5.32	1.4	6.09	1.13	0	30
513	dormitory	5.81	1.33	4.66	0.86	3.69	1.23	6.06	1.26	0	4
514	dot	5.62	1.71	2.19	0.74	5.24	1.57	5.54	1.59	0	38
515	dough	5.81	1.37	3.69	0.97	4.58	1.35	6.54	0.69	0	11
516	dowager	3.22	1.85	6.31	0.94	2.68	1.05	5.06	1.66	0	2
517	dowry	3.97	1.76	5.56	0.86	3.23	1.21	4.17	1.76	0	2
518	dozen	5.61	1.62	3.19	0.66	5.57	1.23	4.03	1.83	0	50
519	drain	5.46	1.57	3.03	0.87	5.1	1.48	6.23	0.96	0.88	41
520	drape	4.7	1.72	4.69	0.88	3.96	1.14	5.57	1.55	1.11	6
521	dread	3.84	1.92	4.67	0.85	4.6	1.42	2.57	1.48	0	45
522	dreamer	4.97	1.51	3.5	0.9	5.09	1.18	4.23	1.73	0	4
523	dress	6.08	1.4	2.22	0.71	6.17	0.96	6.34	0.92	0.61	100
524	drink	5.97	1.35	2.11	0.57	6.72	0.69	6.17	1.03	0.72	100
525	driver	5.73	1.46	2.83	0.73	5.93	1.28	5.8	1.35	0.71	40
526	drove	3.59	1.79	4.06	1.03	4.32	1.45	4.6	1.81	1.14	50
527	drug	5.7	1.52	4.64	0.92	5.39	1.17	5.83	1.28	0	24
528	dryad	2.57	1.84	6.81	0.46	1.8	0.94	3.74	1.79	0	1
529	duck	6.28	0.99	1.64	0.71	5.22	1.4	6.69	0.78	0.55	49
530	duel	5.27	1.69	4.08	0.95	3.85	1.38	4.49	1.57	0	7
531	dullness	3.89	2.14	3.97	0.76	4.36	1.26	3.03	1.4	0	3
532	dump	5.38	1.44	3.33	0.82	4.99	1.28	5.57	1.46	1.04	10
533	dunghill	4.81	1.78	4.83	1.28	3.13	1.06	6.06	1.31	0	1
534	dusk	5.81	1.16	4.25	0.86	4.59	1.25	4.17	1.65	0	14
535	dwelling	5.4	1.58	4.44	1.01	3.74	1.29	5.46	1.44	0	26
536	dye	5	1.74	3.92	0.76	4.52	1.46	5.83	1.13	0	23
537	earl	4.41	1.68	4.64	0.95	3.58	1.21	5.2	1.82	0	33
538	earth	5.84	1.52	3.17	0.73	5.74	1.06	6.26	0.89	0.98	100
539	ease	3.33	1.86	4.28	0.93	5.19	1.19	3	1.39	1.33	50
540	eater	4.32	1.92	3.31	0.97	4.46	1.55	4.83	1.8	0	3
541	eaves	4.97	1.7	5.06	1.15	3.67	1.22	6.06	0.98	0	6
542	echo	5.62	1.15	3.56	0.83	4.78	1.27	4.24	1.66	0	42
543	edge	4.78	1.86	3.08	0.76	5.91	1.17	5.11	1.7	0.29	100
544	edict	3.03	1.88	6.28	0.9	2.79	1.02	3.49	1.7	0	4
545	education	4.22	1.8	4.08	1.04	5.85	1.12	3.17	1.73	0	50
546	educator	3.76	1.6	5.42	0.98	3.8	1.13	4.32	1.69	0	3
547	effect	2.86	1.6	4.14	1.25	6.02	0.95	2.89	1.49	1.17	50
548	effort	3.73	1.87	4.11	1.1	5.91	1.07	3.06	1.41	0	100
549	egg	6.41	1.24	1.86	0.63	6.35	0.79	6.71	0.56	0	100
550	eight	5.35	1.88	2.11	0.7	6.35	0.86	3.6	2.06	0	100
551	elaboration	3.11	1.65	5.78	0.98	3.81	1.22	2.69	1.56	0	1
552	elbow	6.11	1.26	2.37	0.64	5.73	1.25	6.6	0.68	0	26
553	election	4.41	1.6	5.28	0.87	5.35	1.1	3.43	1.57	0	49
554	electricity	4.92	1.55	4	0.97	6.01	0.92	4.37	1.79	0	18
555	elephant	6.35	1.02	2.22	0.58	4.75	1.57	6.69	0.67	0	35
556	elf	5.49	1.7	2.72	0.69	3.68	1.32	4.49	2.01	0	8
557	elimination	3.81	1.8	5.47	0.9	4.41	1.21	3	1.64	0	4
558	elm	5.68	1.41	3.67	0.71	4.18	1.44	6.69	0.67	0	16
559	elopement	4.59	1.6	6	0.85	3.56	1.47	3.17	1.52	0	1
560	emanation	2.76	1.72	6.61	0.64	2.61	1.13	2.74	1.44	0	1
561	emancipation	3.73	1.95	6.61	0.54	3.63	1.38	2.71	1.39	0	4
562	embellishment	2.81	1.77	6.33	0.82	3.17	1.09	3.74	1.76	0	1
563	embrace	6.03	1.03	4.92	0.89	4.33	1.44	4.63	1.53	0	34
564	emergency	4.81	1.77	3.81	0.7	5.44	1.18	3.17	1.58	0	19
565	emotion	4.84	1.79	4.92	1.06	5.52	1.08	2.49	1.84	0	34
566	emperor	5.08	1.53	4.4	1.13	3.79	1.45	5.51	1.57	0	45
567	employment	4.41	1.76	4.92	1.11	5.31	1.28	4.34	1.57	0	28
568	emulsion	4.57	1.78	5.42	0.95	4.28	1.13	5.23	1.35	0	2
569	enchanter	3.84	1.75	5.33	1.15	3.2	1.22	4	1.82	0	1
570	encounter	3.76	1.6	5.22	0.79	4.63	1.17	3.12	1.47	0	35
571	endeavour	3.16	1.67	5.31	1.08	3.99	1.31	2.71	1.26	0	32
572	endosperm	3.3	1.96	6.97	0.16	3.09	1.72	5.09	2.01	0	1
573	enemy	5.03	1.87	3.67	1.08	5.23	1.22	4.46	1.81	0	100
574	engineer	5.24	1.36	4.49	0.73	4.94	1.41	5.49	1.5	0.38	40
575	enigma	2.65	1.79	6.49	0.87	2.9	1.29	2.29	1.52	0	1
576	enlightenment	3.41	1.9	5.92	0.86	3.95	1.43	2.49	1.23	0	1
577	enroilment	3.86	1.47	4.47	1.07	4.07	1.39	3.56	1.72	0	1
578	ensemble	3.75	1.75	5.78	0.92	3.36	1.33	4.51	1.63	1.86	4
579	enterprise	2.97	1.57	5.58	0.98	3.96	1.09	2.86	1.46	0	29
580	enthusiasm	4.7	1.66	5.22	1.03	5.06	1.18	2.56	1.48	0	28
581	entrance	4.49	1.64	3.72	1.04	5.56	1.2	4.89	1.41	0	50
582	enunciation	2.22	1.58	6.78	0.48	2.38	1.15	2.4	1.4	0	1
583	envy	3.81	1.94	4.31	0.91	5.11	1.14	2.54	1.64	0	27
584	epicure	2.86	2.07	6.6	0.8	2.46	0.74	3.82	1.84	0	1
585	epitaph	4.24	1.81	6.14	0.82	3.48	1.19	4.63	1.71	0	6
586	equanimity	1.59	1.2	6.78	0.42	2.14	1.14	2.17	1.18	0	1
587	equipment	4.16	1.81	4.47	0.93	5.43	1.25	5.57	1.15	0	31
588	error	4.14	1.8	4.25	0.83	5.42	1.16	3.77	1.91	0	36
589	escape	4.65	1.68	3.53	0.87	5.24	1.37	3.4	1.4	0	100
590	essay	5.7	1.49	4.5	0.99	5.78	1.21	5.51	1.3	0.17	14
591	establishment	3.95	1.89	5.26	0.94	4.86	1.19	3.97	1.65	1.52	25
592	estimate	3.22	1.56	5.03	0.87	4.91	1.11	2.86	1.38	0	40
593	ether	4.89	1.72	6.25	0.79	3.86	1.58	5.54	1.64	0	4
594	etiquette	3.94	1.93	6.19	0.84	3.32	1.24	2.4	1.31	0	5
595	evacuation	4.11	1.91	5.5	1.14	3.78	1.24	3.17	1.61	0	3
596	evangelist	4.22	2.07	6.31	0.78	3.12	1.46	4.91	1.78	0	2
597	evening	5.65	1.1	3.03	1.12	6.3	1.01	4.51	1.4	0	100
598	evergreen	5.6	1.28	4.22	0.97	3.99	1.33	5.83	1	0	9
599	evidence	3.58	1.75	4.8	0.85	5.23	1.32	3.15	1.5	0	50
600	ewe	5.81	1.45	3.78	0.67	3.94	1.44	6.5	0.65	0	7
601	examination	5.76	1.4	4.58	0.98	5.4	1.19	4.71	1.67	0.38	28
602	exasperation	3.81	1.81	5.78	0.82	4.19	1.29	2.23	1.35	0	1
603	exception	2.38	1.6	4.72	0.93	5.12	1.41	2.49	1.34	0	31
604	exchange	4	1.52	4.43	0.9	5.04	1.36	3.57	1.64	0.71	50
605	excitement	4.58	1.64	4	1	5.35	1.27	2.74	1.56	0	43
606	excuse	3.14	1.55	3.56	1.01	5.67	1.12	2.91	1.44	1.23	50
607	executive	5.19	1.66	5.47	0.96	4.58	1.4	4.94	1.66	0	31
608	exhaust	5.35	1.61	4.29	0.94	5.13	1.31	4.86	1.68	1.58	28
609	existance	2.84	1.6	5.14	1.03	5.12	1.14	2.8	1.49	0	45
610	expanse	5.03	1.59	5.47	1.04	4.33	1.25	3.94	1.51	0	5
611	expedition	4.78	1.66	4.67	0.91	4.35	1.34	4.11	1.51	0	40
612	experience	3.73	1.84	4.64	0.82	6.04	0.95	2.66	1.47	0.62	100
613	explanation	3.3	1.8	4.44	0.93	5.61	1.19	2.57	1.29	0	31
614	exploration	4.57	1.64	4.23	0.96	4.67	1.25	3.57	1.73	0	13
615	express	4.62	1.4	4.67	1.08	5.3	1.34	4.09	2.13	1.26	100
616	extent	2.54	1.55	4.89	0.89	5.1	1.24	2.57	1.34	0	47
617	exterior	4.03	1.87	4.86	0.95	4.54	1.21	4.91	1.81	0	7
618	extra	3.43	1.79	3.31	0.74	5.7	1.27	2.51	1.44	0	32
619	extreme	3.38	1.85	4.58	1.01	5.57	1.19	2.54	1.34	0	38
620	eye	6.16	1.42	1.67	0.62	6.41	0.97	6.74	0.5	0.45	100
621	eyrie	4.14	2.12	5.56	0.96	2.7	1.07	5.53	1.79	0	1
622	face	5.97	1.57	1.66	0.58	6.57	0.64	6.54	0.84	0.94	100
623	factor	2.7	1.66	4.74	0.97	5	1.27	3.26	1.66	0.91	35
624	failure	4.43	1.65	4.39	0.89	5.42	1.32	2.74	1.56	0	48
625	fairy	5.7	1.37	2.42	0.68	4.33	1.38	4.14	1.99	0.92	35
626	faithfulness	3.86	1.95	5.11	0.87	3.94	1.06	2.29	1.72	0	3
627	falsehood	3.32	1.8	5.31	1.01	3.48	1.16	2.49	1.59	0	11
628	family	6	1.23	2.8	0.82	6.11	0.98	5.49	1.48	0	100
629	fane	2.11	1.29	6.39	1.01	2.25	1.15	2.76	1.65	0	2
630	farewell	4.72	1.56	4.06	0.83	4.36	1.4	3.63	1.71	0	35
631	farmyard	6	1.16	2.61	0.68	4.43	1.4	6.43	0.69	0	4
632	fashion	4.84	1.76	4.67	1.08	5.52	1.2	3.31	1.65	0.45	50
633	fat	6.03	1.3	2.36	0.82	6.04	1.23	5.66	1.33	1.14	100
634	fatherland	3.84	2.05	5.31	1.27	2.86	1.07	3.63	1.84	0	3
635	favourite	3.84	1.84	3.03	0.9	5.94	0.99	3.09	1.61	0	50
636	fawn	5.7	1.47	3.94	1.03	3.77	1.23	6.46	0.69	0.53	13
637	feast	6.16	0.97	3.51	0.73	4.57	1.36	5.68	1.45	0	45
638	fee	4.46	1.57	4.44	0.96	5.15	1.15	4.54	1.71	0	21
639	feeling	3.76	1.7	3.39	0.95	6.12	0.96	2.51	1.71	0.98	50
640	fellow	4.41	1.91	3.78	0.98	4.75	1.51	5.23	1.49	1.23	100
641	fencing	5.24	1.58	4.97	0.93	3.95	1.38	5.49	1.34	0.97	50
642	ferry	5.87	1.21	3.78	0.79	4.49	1.47	6.15	1.06	0	11
643	fervour	3.51	2	5.86	0.92	3.49	0.87	3.03	1.56	0	6
644	fever	5.69	1.24	3.58	0.79	4.54	1.44	5.11	1.17	0	45
645	fiancee	5.19	1.87	5.19	0.94	4.6	1.37	5.57	1.57	0	1
646	fiddle	5.81	1.27	3.67	0.75	4.29	1.39	6.11	1.09	0.63	6
647	fielder	4.78	1.77	4.58	1.09	3.65	1.08	5.31	1.53	0	1
648	fifteen	4.97	1.64	2.89	0.81	5.39	1.28	3.83	2.17	0	50
649	fight	5.49	1.43	2.61	0.72	5.61	1.19	4.69	1.51	0	100
650	filling	4.83	1.85	3.47	0.76	5.62	1.07	5.23	1.59	1.37	100
651	finance	4.11	1.69	5.22	0.75	5.15	1.25	3.74	1.79	0	35
652	find	3.62	1.79	2.72	0.73	6	1.2	3.51	1.66	0	100
653	finish	4.43	1.87	3	0.82	6.17	1.01	3.43	1.68	0	100
654	firearm	5.38	1.24	4.58	1.01	3.93	1.11	6.03	1	0	2
655	firewood	5.92	1.36	3.31	0.81	4.44	1.35	6.66	0.63	0	3
656	fisherman	6.11	1.31	2.89	0.74	4.65	1.29	6	1.47	0	26
657	fissure	3.87	2	6.31	0.94	2.85	1.12	4.94	1.89	0	4
658	flag	6.03	1.37	2.58	0.6	4.98	1.54	6.37	1.07	0.45	50
659	flame	6.19	1.2	2.61	0.72	5.52	1.32	6.09	1.13	0	50
660	flash	5.19	1.62	3.14	0.67	5.04	1.41	4.91	1.57	0.34	50
