CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_HAPPINESS_MEAN	SPANISH_DISGUST_MEAN	SPANISH_ANGER_MEAN	SPANISH_FEAR_MEAN	SPANISH_SADNESS_MEAN	SPANISH_POS	LINE_IN_SOURCE
1623	SPEAK	hablar	3.3000	1.2500	1.2000	1.5500	1.0500	VERB	4943
1630	MACAW	guacamayo	1.9000	1.4500	1.0500	1.1000	1.0000	NOUN	4902
1642	NIECE	sobrina	3.2500	1.0500	1.0000	1.0000	1.0500	NOUN	9290
1645	SHORT	corto	1.3500	1.2500	1.4500	1.1500	1.8000	ADJECTIVE	2633
1646	GIRL	muchacha	2.6000	1.3000	1.1500	1.2000	1.1000	NOUN	6708
1648	ANVIL	yunque	1.3300	1.5000	1.2200	1.4700	1.5300	NOUN	10463
1654	LIGHTNING	rayo	1.5000	1.4500	2.0000	3.3000	1.8500	NOUN	8321
166	MAINLAND	continente	2.0500	1.2000	1.1000	1.2000	1.2500	NOUN	2486
1664	RAFT	balsa	2.3500	1.5500	1.1500	2.2000	1.2000	NOUN	1134
1667	HOLE	agujero	2.0500	1.9500	1.6000	2.2500	1.4500	NOUN	312
1672	WRITE	escribir	2.9000	1.0500	1.2000	1.1000	1.3500	VERB	3899
1675	PROMISE	prometer	2.6000	1.4000	1.8500	1.6000	1.7500	VERB	8053
1676	ALWAYS	siempre	3.4000	1.5500	1.6000	2.0500	1.8500	ADVERB	9186
1678	HUT	rancho	2.1500	1.9000	1.0500	1.1500	1.1000	NOUN	8290
1680	HELMET	yelmo	1.3800	1.2700	1.3300	1.3300	1.3300	NOUN	10451
1681	WAIST	cintura	2.7500	1.1500	1.0500	1.3000	1.1500	NOUN	1949
1683	BUSH	monte	3.2000	1.2000	1.0500	1.3500	1.1500	NOUN	6653
1685	AFTER	después	1.6500	1.7000	1.7000	1.5500	1.5000	ADPOSITION	3172
1689	SMOKE (INHALE)	fumar	1.2500	3.6000	2.2500	2.3500	3.1500	VERB	4643
1699	SUNDAY	domingo	3.1500	1.9000	1.5000	1.3000	2.1000	NOUN	3426
17	EYELID	párpado	2.0000	1.2000	1.0000	1.2000	1.0000	NOUN	7312
1700	SATURDAY	sábado	4.6000	1.1500	1.3500	1.1000	1.0000	NOUN	8923
1702	HOLY	sagrado	2.1000	2.0000	1.8500	1.7500	1.5500	ADJECTIVE	8951
