CONCEPTICON_GLOSS	CONCEPTICON_ID	BABELNET_ID	BABELNET_GLOSS	BABELNET_DEFINITION
COAT	603	00020184n	coat, jacket	"An outer garment that has sleeves and covers the body from shoulder down; worn outdoors"
GLASS	604	00040605n	glass	A brittle transparent solid with irregular atomic structure
GRAIN	605	00017324n	food grain, grain, cereal	Foodstuff prepared from the starchy grains of cereal grasses
GRASS	606	00041433n	grass	"Narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay"
GRASSHOPPER	607	00041452n	grasshopper, hopper, Grasshoppers	Terrestrial plant-eating insect with hind legs adapted for leaping
GULF	608	00042160n	gulf	"An arm of a sea or ocean partly enclosed by land; larger than a bay"
HAIL	609	00042519n	hail	Precipitation of ice pellets when there are strong rising air currents
PORT	610	00063640n	port	A place (seaport or airport) where people and merchandise can enter or leave a country
HARVEST	611	00023931n	crop, harvest	The yield from plants in a single growing season
HEAT	612	00043415n	heat, heat energy, thermal energy	A form of energy that is transferred by a difference in temperature
HILL	614	00044141n	hill, colina, Hills	A local and well-defined elevation of the land
HORSE	615	00031345n	horse, Equus caballus, Horses	Solid-hoofed herbivorous quadruped domesticated since prehistoric times
HOSPITAL	616	00044896n	hospital, infirmary, clinic	A health facility where patients receive treatment
PRECIPICE	618	00017929n	chasm, abyss, gap, precipice	A deep opening in the earth's surface
ANIMAL	619	00004222n	fauna, animal, creature	A living organism characterized by voluntary movement
INSECT	620	00006081n	arthropod, Arthropods, insect	Invertebrate having jointed limbs and a segmented body with an exoskeleton made of chitin
ISLAND	622	00047612n	island, Islands, isle	A land mass (smaller than a continent) that is surrounded by water
LAGOON	623	00049696n	lagoon, laguna, lagune	A body of water cut off from a larger body by a reef of sand or coral
LAKE	624	00049709n	lake, intermittent lake	A body of (usually fresh) water surrounded by land
LAMP	625	00049804n	lamp, Light fixture	An artificial source of visible illumination
LEAF	628	00035596n	leaf, foliage, leafage	The main organ of photosynthesis and transpiration in higher plants
LEATHER	629	00050452n	leather, leather goods, leatherworker	An animal skin made smooth and flexible by removing the hair and then tanning
LIVESTOCK	631	00033678n	livestock, farm animal, stock	Any animals kept for use or profit
LIZARD	632	00051655n	lizard, lacertilian	Relatively long-bodied reptile with usually two pairs of legs and a tapering tail
MARKET	633	00053461n	marketplace, market, mart	An area in a town where a public mercantile establishment is set up
MILL	636	00041812n	mill, grinder, milling machinery	Machinery that processes materials by grinding or crushing
MOSS	637	00055981n	moss	Tiny leafy-stemmed flowerless plants
MOTORCYCLE	638	00010360n	motorcycle, bike, motorbike	A motor vehicle with two wheels and a strong frame
MUD	640	00019625n	mud, clay	"Water soaked soil; soft wet earth"
OAK	644	00058399n	oak, oak tree, oak wood	"A deciduous tree of the genus Quercus; has acorns and lobed leaves"
ASH	646	00006305n	ash	The residue that remains when something is burned
PAPER	648	00060464n	paper	A material made of cellulose pulp derived mainly from wood or rags or certain grasses
PASTURE	649	00041543n	pasture, pastureland, grazing land	A field covered with grass or herbage and suitable for grazing by livestock
SEAL	651	00070018n	seal	"Any of numerous marine mammals that come on shore to breed; chiefly of cold regions"
PLASTIC	654	00062856n	plastic, plastics	Generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
POISON	655	00063256n	poison, toxicant, poisonous substance	Any substance that causes injury or illness or death of a living organism
POLICE	656	00022026n	police, constabulary, law	The force of policemen and officers
REEF	660	00066763n	reef	A submerged ridge of rock or coral near the surface of the water
RELIGION	661	00032768n	faith, religion, religious belief	A strong belief in a supernatural power or powers that control human destiny
BATTERY	662	00009064n	battery, electric battery, battery life	"A device that produces electricity; may have several primary or secondary cells arranged in parallel or series"
BAY	663	00009212n	bay, embayment	An indentation of a shoreline larger than a cove but smaller than a gulf
RESIN	664	00067325n	resin, rosin	Any of a class of solid or semisolid viscous substances obtained either as exudations from certain plants or prepared by polymerization of simple molecules
RIVER	666	00067948n	river, Rivers	A large natural stream of water (larger than a creek)
ROAD	667	00067975n	road, route	An open way (generally public) for travel or transportation
ROCK	668	00068045n	rock, stone	A lump or mass of hard consolidated mineral matter
RODENT	669	00040819n	rodent, gnawer, Rodentia	Relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing
ROOT	670	00068246n	root	"(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground"
SAND	671	00069126n	sand	A loose material consisting of grains of rock or coral
EARLY	672	00101935a	early	At or near the beginning of a period of time or course of events or before the usual or expected time
MOUTH	674	00056135n	mouth, oral cavity, oral fissure	The opening through which food is taken in and vocalizations emerge
FAECES (EXCREMENT)	675	00011778n	excrement, excreta, body waste, faeces	Waste matter (as urine or sweat but especially feces) discharged from the body
SHIT (DEFECATE)	676	00084350v	defecate, shit, ca-ca	Have a bowel movement
BEARD	678	00009361n	beard, whiskers, face fungus	The hair growing on the lower part of a man's face
SIDE	682	00012417n	boundary, edge, bound, side	A line determining the limits of an area
OWN	684	00089241v	have, possess, own	Have ownership or possession of
DECIDE	685	00086370v	decide, determine, make up one's mind	Reach, make, or come to a decision about something
EASY	686	00101973a	easy, convenient, simple	"Posing no difficulty; requiring little effort"
BRING	692	00084058v	bring, take, convey	Take something or somebody with oneself somewhere
FROM	693	09697812n	From	"<i class=""""glyphicon glyphicon-warning-sign""""></i>&nbsp; <i>Sorry, this synset does not have a definition.</i>"
GET	694	00082276v	acquire, get, procure	Come into the possession of something concrete or abstract
HOLD OR TAKE	2104	00082276v	acquire, get, procure	Come into the possession of something concrete or abstract
PICK UP	371	00082276v	acquire, get, procure	Come into the possession of something concrete or abstract
STIR	696	00094375v	stir	Mix or add by stirring
CARRY	700	00083229v	bear, carry, hold	Support or hold in a certain manner
CATCH	702	00084654v	catch, grab, take hold of	Take hold of so as to seize or restrain or stop the motion of
SOON	703	00114513r	presently, shortly, soon	In the near future
DARK	706	00100902a	dark	"Devoid of or deficient in light or brightness; shadowed or black"
REMEMBER	707	00084413v	recall, recollect, remember	"Recall knowledge from memory; have a recollection"
SHINE	708	00092637v	shine, reflect, gleam	Be bright by reflecting or casting light
TEACH	709	00089791v	teach, instruct, learn	Impart skills or knowledge to
WHEEL	710	00080972n	wheel	A simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
RICH	712	00096612a	flush, wealthy, affluent, rich	Having an abundant supply of money or possessions of value
STEAL	713	00094314v	steal, bag, pocket	Take without the owner's consent
SEED	714	00070254n	seed	A mature fertilized plant ovule consisting of an embryo and its food source and having a protective coat or testa
GROAN	716	00089058v	groan, moan	Indicate pain, discomfort, or displeasure
SWEET	717	00111540a	sweet	Having or denoting the characteristic taste of sugar
PAY	718	00085465v	compensate, pay off, make up, pay	Do or give something to somebody in return
READ	724	00092424v	read	Interpret something that is written or printed
FIRST	728	00034737n	first, number one	The first or highest in an ordering or series
DAWN	729	00007205n	dawn, sunrise, aurora	The first light of day
SNAKE	730	00059150n	snake, ophidian, serpent	"Limbless scaly elongate reptile; some are venomous"
EARN	733	00082280v	gain, acquire, win, earn	Win something through one's efforts
MAKE	734	00086008v	create, make	Make or cause to be or to become
OWL	735	00010633n	owl, bird of Minerva, bird of night	Nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes
YARD	736	00024541n	yard, curtilage, grounds	The enclosed land around a house or other building
THING	738	00001734n	affair, matter, thing	A vaguely specified concern
FEED	739	00088084v	feed, deliver, nourish	Provide as food
SHIP	740	00071103n	ship, Ships	A vessel that carries passengers or freight
SHELF	745	00050497n	ledge, shelf	A projecting ridge on a mountain or submerged under water
DROP	750	00087365v	drop	To fall vertically
SHRUB	751	00014095n	shrub, bush, frutex	A low woody perennial plant usually having several major stems
STORE	752	00071215n	shop, store, boutique	A mercantile establishment for the retail sale of goods or services
HURRY	754	00088134v	festinate, hasten, hurry	Act or move at high speed
DENY	755	00086591v	deny	"Declare untrue; contradict"
DEPEND	756	00086606v	depend	Be contingent upon (something that is elided)
BUTTON	757	00014305n	button	A round fastener sewn to shirts and coats etc to fit through buttonholes
SILVER	759	00001887n	silver, Ag, atomic number 47	"A soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography"
KNOT	760	00049367n	knot, working end	Any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object
COVER	761	00085903v	cover	Provide with a covering or cause to be covered
OUTSIDE	762	00032429n	exterior, outside	The region that is outside of something
SKIN	763	00024643n	skin, tegument, cutis	A natural protective body covering and site of the sense of touch
SUIT	764	00088240v	fit, go, suit	"Be the right size or shape; fit correctly or as desired"
MOVE	765	00088912v	move, go, locomote	"Change location; move, travel, or proceed, also metaphorically"
MENSTRUATION	766	00016665n	menstruation, menses, catamenia	The monthly discharge of blood from the uterus of nonpregnant women from puberty to menopause--Hippocrates--Aristotle
CORPSE	767	00014512n	cadaver, clay, corpse	The dead body of a human being
LUNCH	768	00026000n	lunch, tiffin, luncheon	A midday meal
ROOF	769	00068220n	roof	A protective covering that covers or forms the top of a building
HAT	771	00017718n	hat, chapeau, lid	"Headdress that protects the head from bad weather; has shaped crown and usually a brim"
BELT	772	00009823n	belt	A band to tie or buckle around the body (usually at the waist)
CABBAGE	774	00012814n	cabbage, Brassica oleracea, cultivated cabbage	Any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers
TRUMPET	775	00022750n	trumpet, cornet, trump	"A brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves"
DEFEAT	782	00025855n	defeat, licking	An unsuccessful ending to a struggle or contest
VICTORY	783	00078365n	victory, triumph	A successful ending of a struggle or contest
SNOW	784	00072455n	snow, snowfall, snow cover	Precipitation falling from clouds in the form of ice crystals
STRONG	785	00111313a	strong	Not faint or feeble
SOAP	788	00072496n	soap	A cleansing agent made from the salts of vegetable or animal fats
PEOPLE	789	00061450n	people	(plural) any group of human beings (men or women or children) collectively
READY	790	00109485a	ready	Completely prepared or in condition for immediate action or use or progress
STRANGER	791	00002726n	alien, stranger, unknown	Anyone who does not belong in the environment in which they are found
PEN	794	00061314n	pen	A writing implement with a point from which ink flows
TROUT	795	00078435n	trout	Any of various game and food fishes of cool fresh waters mostly smaller than typical salmons
NIPPLE	796	00053077n	nipple, mammilla, mamilla	The small projection of a mammary gland
TESTICLES	797	00008124n	testicle, ball, ballock, Testicles	One of the two male reproductive glands that produce spermatozoa and secrete androgens
WRIST	799	00006143n	wrist, carpus, articulatio radiocarpea	A joint between the distal end of the radius and the proximal row of carpal bones
THIGH	800	00076911n	thigh, thighs	The part of the leg between the hip and the knee
RIB	801	00023011n	rib, costa	Any of the 12 pairs of curved arches of bone extending from the spine to or toward the sternum in humans (and similar bones in most vertebrates)
ANKLE	803	00004293n	ankle, ankle joint, articulatio talocruralis	A gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
WOMB	804	00079392n	uterus, womb	"A hollow muscular organ in the pelvic cavity of females; contains the developing fetus"
SPINE	805	00007731n	rachis, spine, vertebral column	The series of vertebrae forming the axis of the skeleton and protecting the spinal cord
BLANKET	806	00011119n	blanket, cover, coverlet	Bedding that keeps a person warm in bed
SKILLED	807	00110711a	skilled	Having or showing or requiring special skill
TROUSERS	809	00060423n	pant, trouser, trousers	(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately
SOUL	811	00065006n	soul, psyche	"The immaterial part of a person; the actuating cause of an individual life"
GOVERNMENT	815	00007299n	regime, authorities, government	The organization that is the governing authority of a political unit
HALF	816	00042601n	half, one-half, One half	One of two equal parts of a divisible whole
THEY	817	03861247n	they, them	They is thethird-person pluralpersonal pronoun in Modern English.
WILLOW	818	00081240n	willow, willow tree	Any of numerous deciduous trees and shrubs of the genus Salix
STOMACH	819	00012886n	stomach, breadbasket, tum	"An enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion"
LAMB	820	00049758n	lamb, lambkin	Young sheep
SORCERER	823	00052696n	magician, wizard, necromancer, sorcerer	One who practices magic or sorcery
WITCH	824	00030687n	enchantress, witch	A female sorcerer or magician
RACCOON	828	00065797n	raccoon, racoon, coon	An omnivorous nocturnal mammal native to North America and Central America
SOOT	830	00015863n	soot, carbon black, crock	A black colloidal substance consisting wholly or principally of amorphous carbon and used to make pigments and ink
BASE	831	00008783n	base	The bottom or lowest part
BEAN	832	00009322n	bean, edible bean	Any of various edible seeds of plants of the family Leguminosae used for food
ENDURE	833	00086793v	persist, die hard, endure	Continue to exist
CHAPTER	835	00017730n	chapter	"A subdivision of a written work; usually numbered and titled"
SCREWDRIVER	836	00069875n	screwdriver, turnscrew, flat-blade screwdriver	"A hand tool for driving screws; has a tip that fits into the head of a screw"
REMAINS	838	00011746n	body, dead body, cadaver, remains	A natural object consisting of a dead animal or person
ERR	839	00087717v	err, mistake, slip	To make a mistake or be incorrect
MISTAKE	1293	00087717v	err, mistake, slip	To make a mistake or be incorrect
CORMORANT	840	00022676n	cormorant, Phalacrocorax carbo, great cormorant	"Large voracious dark-colored long-necked seabird with a distensible pouch for holding fish; used in Asia to catch fish"
LIQUOR	842	00012195n	booze, hard liquor, John Barleycorn, liquor	An alcoholic beverage that is distilled rather than fermented
MURDER	845	00044565n	homicide, murder	The killing of a human being by another human being
SQUARE	850	00036107n	square, foursquare	"(geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon"
STABLE	851	00044825n	stable, horse barn, stalls	A farm building for housing horses or other livestock
PRIEST	852	00064346n	priest	"A clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders"
KETTLE	854	00011829n	kettle, boiler, tea kettle	"A metal pot for stewing or boiling; usually has a lid"
SEIZE	855	00085207v	clutch, prehend, seize	"Take hold of; grab"
HIRE	856	00084830v	charter, engage, hire	Engage for service under a term of contract
STONE	857	00068045n	rock, stone	A lump or mass of hard consolidated mineral matter
CAUSE	860	00016850n	cause	Events that provide the generative force that is the origin of something
JUDGE	861	00048488n	judge, justice, jurist	A public official authorized to decide questions brought before a court of justice
SUGAR	862	00066804n	sugar, refined sugar, sugar cube	A white crystalline carbohydrate used as a sweetener and preservative
EDGE	863	00012214n	edge, border	The boundary of a surface
WIN	866	00095777v	win	"Be the winner in a contest or competition; be victorious"
BANANA	868	00008269n	banana	Elongated crescent-shaped yellow fruit with soft sweet flesh
BLADE	869	00011081n	sword, blade, brand	A cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard
BREATH	870	00012965n	breath	The process of taking in and expelling air during breathing
RATTLESNAKE	871	00059150n	snake, ophidian, serpent, rattlesnake	"Limbless scaly elongate reptile; some are venomous"
RESIN	664	00062647n	tar, pitch	Any of various dark heavy viscid substances obtained as a residue
TAX	873	00067519n	tax, taxation, revenue enhancement	Charge against a citizen's person or property or activity for the support of government
SHOEMAKER	875	00020211n	cobbler, shoemaker	A person who makes or repairs shoes
ARCH	876	00005384n	arch	A curved shape in the vertical plane that spans an opening
MASON	877	00053648n	stonemason, mason, John Stephenson (coachbuilder)	A craftsman who works with stone or brick
HELL	878	00043604n	Hell, Inferno, perdition	"(Christianity) the abode of Satan and the forces of evil; where sinners suffer eternal punishment- John Milton-Dr. Johnson"
COUGH	879	00085856v	cough	Exhale abruptly, as when one has a chest cold or congestion
PARROT	882	00060741n	parrot, psittacine	Usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
OPPOSITE	885	00107927a	opposite	"Being directly across from each other; facing- Longfellow"
BITTER	887	00098464a	bitter	"Causing a sharp and acrid taste experience;""""quinine is bitter"""
POISONOUS	888	00108743a	poisonous, toxicant	Having the qualities or effects of a poison
FLAME	889	00034625n	fire, flame, flaming	The process of combustion of inflammable materials producing heat and light and (often) smoke
MULE	890	00056255n	mule	"Hybrid offspring of a male donkey and a female horse; usually sterile"
TOAD	894	00004795n	toad, frog, anuran	"Any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species"
TRADE	898	00086333v	trade, deal, sell	"Do business; offer for sale as for one's livelihood"
PRESIDENT	899	00018323n	President of the United States, Chief Executive, President	The person who holds the office of head of state of the United States government
ADOBE	901	00001473n	adobe	The clay from which adobe bricks are made
ADULTERY	902	00001543n	adultery, fornication, criminal conversation	Extramarital sex that willfully and maliciously interferes with marriage relations
BERRY	904	00010066n	berry	"Any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves"
BORING	905	00098708a	boring, deadening, dull	So lacking in interest as to cause mental weariness- Edmund Burke- Mark Twain
TREE	906	00078131n	tree, Trees	"A tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms"
DRUM	908	00028891n	drum, membranophone, tympan	"A musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end"
DEATH	910	00025582n	death, decease, expiry	The event of dying or departure from life
COYOTE	912	00013505n	coyote, brush wolf, prairie wolf	Small wolf native to western North America
LINEN	916	00051362n	linen	A fabric woven with fibers from the flax plant
ORNAMENT	917	00025765n	ornament, ornamentation, decoration	Something used to beautify
INCLINATION	918	00005194n	aptness, propensity, inclination	A disposition to behave in a certain way
GRAPE	920	00041399n	grape	"Any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters"
VALLEY	921	00079476n	valley, vale, dale	A long depression in the surface of the land that usually contains a river
PEAR	922	00061187n	pear	Sweet juicy gritty-textured fruit available in many varieties
LOVE	923	00090504v	love	Have a great affection or liking for
CASSAVA	925	00016385n	cassava, casava, manioc	Any of several plants of the genus Manihot having fleshy roots yielding a nutritious starch
CASSAVA	925	00010774n	bitter cassava, gari, mandioc, manioc	"Cassava with long tuberous edible roots and soft brittle stems; used especially to make cassiri (an intoxicating drink) and tapioca"
EMBRACE	928	00083805v	embrace, bosom, hug	Squeeze (someone) tightly in your arms, usually with fondness
VERMIN	929	00079804n	vermin	"Any of various small animals or insects that are pests; e.g. cockroaches or rats"
WALL (OF HOUSE)	933	00080386n	wall	"An architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure"
MARE	938	00034022n	mare, female horse, brood mare	Female equine animal
MEAD	941	00053985n	mead	Made of fermented honey and water
HONEY	942	00044622n	honey	A sweet yellow liquid produced by bees
SPEAR	945	00049823n	spear, lance, shaft	A long pointed rod used as a tool or weapon
STREAM	947	00074588n	stream, watercourse, Streams	A natural body of running water flowing on or under the earth
WATER	948	00042379n	water, H2O	"Binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent"
SEAGULL	950	00042189n	gull, seagull, sea gull	Mostly white aquatic bird having long pointed wings and short legs
WEAPONS	951	00005704n	weapon, arm, weapon system, WEAPONS	Any instrument or instrumentality used in fighting or hunting
WEATHER	952	00006808n	weather, atmospheric condition, conditions	The atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
RAPE	953	00006469n	rape, assault, ravishment	The crime of forcing a woman to submit to sexual intercourse against her will
FLEE	956	00088291v	flee, fly, take flight	Run away quickly
WHALE	957	00080949n	whale, Whales	Any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head
WIND	960	00002216n	wind, air current, current of air	Air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
WOMAN	962	00001530n	woman, adult female, female	An adult female person (as opposed to a man)
BOOK	963	00012059n	book, Books	A written work or composition that has been published (printed on pages bound together)
WORLD	965	00022991n	cosmos, universe, world	Everything that exists anywhere
YEAST	967	00081864n	yeast	Any of various single-celled fungi that reproduce asexually by budding or division
ACORN	968	03122530n	Geodemographic segmentation, ACORN (tool)	In marketing, Geodemographic segmentation is a multivariate statistical classification technique for discovering whether the individuals of a population fall into different groups by making quantitative comparisons of multiple characteristics with the assumption that the differences within any group should be less than the differences between groups.
TOBACCO	974	00007699n	tobacco, baccy	Leaves of the tobacco plant dried and prepared for smoking or ingestion
SPINACH	975	00064334n	spinach, prickly-seeded spinach, spinach plant	Southwestern Asian plant widely cultivated for its succulent edible dark green leaves
ARROW	977	00005897n	arrow	"A projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow"
WAVE	978	00056171n	wave, moving ridge, ocean surface wave	One of a series of ridges that moves across the surface of a liquid (especially across a large body of water)
FARMER	979	00033687n	farmer, granger, husbandman	A person who operates a farm
HEEL	980	00043531n	heel	The back part of the human foot
ELBOW	981	00006139n	elbow, cubitus, articulatio cubiti	Hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
CONVICT	983	00085771v	convict	Find or declare guilty
VINEGAR	985	00000849n	vinegar, acetum	Sour-tasting liquid produced usually by oxidation of the alcohol in wine or cider and used as a condiment or food preservative
TOMATO	986	00052131n	tomato, love apple, Lycopersicon esculentum	"Native to South America; widely cultivated in many varieties"
REMAIN	987	00092756v	remain, rest, stay	"Stay the same; remain in a certain state"
FRY	991	00088607v	fry	Cook on a hot surface using fat
CLIFF	992	00019767n	cliff, drop, drop-off	A steep high face of rock
SHIVER	52	00060325n	quiver, palpitation, quivering	A shaky motion
DEAF	996	00100975a	deaf	Lacking or deprived of the sense of hearing wholly or in part
JOINT	999	00006137n	joint, articulation, articulatio	(anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
ANXIETY	1000	00004801n	anxiety, anxiousness	(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic
BLACKSMITH	1001	00011046n	blacksmith, Blacksmiths	A smith who forges and shapes iron with a hammer and anvil
PERMIT	1003	00082537v	allow, permit, countenance	Consent to, give permission
BRICK	1006	00013047n	brick, Bricks	"Rectangular block of clay baked by the sun or in a kiln; used as a building or paving material"
COW	1007	00012273n	cattle, Bos taurus, cows, cow	Domesticated bovine animals as a group regardless of sex or age- Bible
BOUNDARY	1010	00012417n	boundary, edge, bound	A line determining the limits of an area
BRIDGE	1011	00013077n	bridge, span	A structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
OR	1014	00027504n	disjunction, disconnectedness, disconnection, OR	State of being disconnected
SOIL	1015	00083350v	soil, dirty, begrime	Make soiled, filthy, or dirty
DRIZZLE	1016	00028809n	drizzle, mizzle	"Very light rain; stronger than mist but less than a shower"
APPEARANCE	1017	00005023n	appearance, visual aspect, look	Outward or visible aspect of a person or thing
MEMORY	1018	00054301n	memory, retention, retentiveness	The power of retaining and recalling past experience
RIGHT	1019	00109848a	right	Being or located on or directed toward the side of the body to the east when facing north
TOWEL	1021	00077761n	towel	A rectangular piece of absorbent cloth (or paper) for drying or wiping
BOOTY	1022	00012193n	dirty money, booty, loot	Goods or money obtained illegally
CHARACTER	1024	00017752n	grapheme, character, graphic symbol	A written symbol that is used to represent speech
WHISTLE	1025	00095748v	whistle	Make whistling sounds
BUG	1027	00013697n	bug	General term for any insect or similar creeping or crawling invertebrate
YAWN	1028	00095868v	yawn	Utter a yawn, as from lack of oxygen or when one is tired
NECESSARY	1030	00031631n	necessity, requirement, essential, necessary	Anything indispensable
GRIND	1033	00085964v	cranch, craunch, crunch, grind	Press or grind with a crushing noise
DEFENDANT	1034	00025884n	suspect, defendant, accused	"A person or institution against whom an action is brought in a court of law; the person being sued or accused"
OWNER	1036	00059954n	owner, possessor	A person who owns something
TEACHER	1038	00046958n	teacher, instructor, educator	A person whose occupation is teaching
SHOW	1039	00093682v	show	Make visible or noticeable
HAIR	1040	00042526n	hair	"A covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss"
INCREASE	1041	00089666v	increase	Become bigger or greater in amount
CARPENTER	1042	00016191n	carpenter	A woodworker who makes or repairs wooden objects
BRAID	1043	00012673n	plait, tress, braid	A hairdo formed by braiding or twisting the hair
PILLOW	1044	00062414n	pillow	A cushion to support the head of a sleeping person
POET	1045	00063196n	poet, poetess, Poets	A writer of poems (the term is usually reserved for writers of good poetry)
PURSUE	1047	00084831v	chase, track, dog, pursue	Go after with the intent to catch
LINE	1048	00051291n	line, straight line	"A length (straight or curved) without breadth or thickness; the trace of a moving point"
MOTHER-IN-LAW	1050	00056010n	mother-in-law, Parent-in-law, parents-in-law	The mother of your spouse
SMALLPOX	1054	00072287n	smallpox, variola, variola major	A highly contagious viral disease characterized by fever and weakness and skin eruption with pustules that form scabs that slough off leaving scars
FATHER-IN-LAW	1055	13580696n	father-in-law	Father of husband or wife
SON-IN-LAW	1056	00072787n	son-in-law	The husband of your daughter
DAUGHTER-IN-LAW	1057	00025365n	daughter-in-law	The wife of your son
STEPSON	1059	00074214n	stepson, stepfamily	The son your spouse by a former marriage
LAW	1062	00048655n	law, jurisprudence	The collection of rules imposed by authority
NEPHEW	1063	00057287n	nephew, Nephew and niece, great-niece	A son of your brother or sister
SHIELD	1064	00013602n	shield, buckler, escutcheon	Armor carried on the arm to intercept blows
CRIME	1066	00023808n	crime	An evil act not necessarily punishable by law
JUDGMENT	1067	00048493n	judgment, mind, judgement	An opinion formed by judging something
GLUE	1069	00001366n	adhesive, adhesive agent, adhesive material, glue	A substance that unites or bonds surfaces together
BUS	1070	00007329n	coach, bus, charabanc	"A vehicle carrying many passengers; used for public transport"
HOOK	1071	00044692n	hook	A curved or bent implement for suspending or pulling something
PRISONER	1072	00015769n	captive	A person held in the grip of a strong emotion or passion
FISHHOOK	1074	00034860n	fishhook, fishing hook, hook	A sharp barbed hook for catching fish
WHEAT	1077	00080959n	wheat, Triticum	Annual or biennial grass having erect flower spikes and light brown grains
FEEL	1079	00087864v	feel, experience	Undergo an emotional sensation or be in a particular state of mind
VULGAR	1080	00099929a	coarse, common, rough-cut, vulgar	Lacking refinement or cultivation or taste
MERCHANT	1082	00054417n	merchant, merchandiser	A businessperson engaged in retail trade
CALL	1084	00084406v	call	Utter in a loud voice or announce
CONCEIVE	1087	00083370v	think, believe, consider, conceive	"Judge or regard; look upon; judge"
FRAXINUS	1089	00006306n	ash, ash tree, Fraxinus	Any of various deciduous pinnate-leaved ornamental or timber trees of the genus Fraxinus
SALTY	1091	00110069a	salty	"One of the four basic taste sensations; like the taste of sea water"
HOPE	1092	00086683v	desire, hope, trust	Expect and wish
MIDDLE	1093	00017123n	midpoint, centre, center, middle	A point equidistant from the ends of a line or the extremities of a figure
FASTEN	1094	00088052v	fasten, fix, secure	Cause to be firmly attached
SONG	1096	00072794n	song, vocal, Human voice	A short musical composition with words
WEIGH	1098	00095701v	weigh	Have a certain weight
SUFFER	1101	00088745v	suffer, sustain, get	Undergo (as of injuries and illnesses)
CLIMB	1102	00085120v	mount, climb, climb up	Go upward with gradual or continuous progress
SACRIFICE	1103	00068753n	sacrifice	A loss entailed by giving up or selling something at less than its value
NURSE	1104	00058325n	nurse	One skilled in caring for young children or the sick (usually under the supervision of a physician)
CAMP	1105	00015037n	camp	Temporary lodgings in the country for travelers or vacationers
SHARK	1110	00070919n	shark, Selachimorpha	Any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales
SUCCEED	1112	00084086v	succeed, come through, win	Attain success or reach a desired goal
WRAP	1113	00095836v	wrap, wrap up, enwrap	Arrange or fold as a cover or protection
BULLET	1114	00013807n	bullet, slug, ball	A projectile that is fired from a gun
SPEECH	1115	00001304n	speech, address, lecture	The act of delivering a formal spoken communication to an audience
DAMAGE	1116	00086261v	damage	Inflict damage upon
LIKE	1117	00090362v	like	Find enjoyable or agreeable
ACCUSTOM	1118	00082251v	accustom, habituate	Make psychologically or physically used (to something)
HONEST	1120	00104302a	honest, honorable	"Not disposed to cheat or defraud; not deceptive or fraudulent"
PIPE	1124	00062569n	pipe, tobacco pipe, smoking pipe	"A tube with a small bowl at one end; used for smoking tobacco"
BALD	1125	00097995a	bald, bald-headed, bald-pated	Lacking hair on all or most of the scalp
SEND	1127	00086868v	direct, send	Cause to go somewhere
