CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	FREQUENCY_COUNT	FREQUENCY_PER_MILLION	LG10_FREQUENCY
3102	TANK	tanque	893.0	21.466346153846153	2.951337518795917
3104	THERMOMETER	termómetro	64.0	1.5384615384615383	1.8129133566428552
3105	UMBRELLA	paraguas	149.0	3.581730769230769	2.176091259055681
3107	WHISTLE (INSTRUMENT)	silbato	198.0	4.759615384615384	2.2988530764097064
3118	IRON (CLOTHES)	planchar	75.0	1.8028846153846154	1.8808135922807911
3121	OPERATE (MEDICINE)	operar	338.0	8.125	2.5301996982030817
3122	PAINT (SOMETHING)	pintar	547.0	13.149038461538462	2.738780558484369
3129	SKATE	patinar	196.0	4.711538461538462	2.294466226161593
3132	SURF	surfear	160.0	3.846153846153846	2.2068258760318495
3137	OAR	remo	79.0	1.8990384615384615	1.9030899869919433
315	CURASSOW	pavo	748.0	17.98076923076923	2.874481817699466
3199	TWIST (AROUND)	torcer	26.0	0.625	1.4313637641589871
33	NETTLE	ortiga	5.0	0.12019230769230768	0.7781512503836435
3351	STOP DOING	parar	2560.0	61.53846153846153	3.4084095784684294
3405	RULER	regla	1450.0	34.855769230769226	3.1616674124377355
344	TREE TRUNK	tronco	226.0	5.4326923076923075	2.3560258571931225
345	SAP	savia	31.0	0.7451923076923077	1.5051499783199058
3534	BEG	suplicar	76.0	1.8269230769230769	1.8864907251724818
365	SPLASH	salpicar	10.0	0.24038461538461536	1.041392685158225
3653	COOKING POT	olla	186.0	4.471153846153846	2.271841606536499
3654	TAKE OUT	sacar	3431.0	82.47596153846153	3.5355472791766673
3659	POLISH (SOMETHING)	pulir	72.0	1.7307692307692306	1.8633228601204557
371	PICK UP	recoger	1433.0	34.44711538461539	3.156549151331781
372	POINTED	puntiagudo	17.0	0.40865384615384615	1.2552725051033058
378	PINCH	pellizcar	13.0	0.3125	1.1461280356782377
388	FISHNET	red	1984.0	47.69230769230769	3.2977605110991335
