CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SER_MEAN	LINE_IN_SOURCE
1429	FULL	full	3.1666666666666665	2017
143	HUMID	humid	6.0	2496
1430	STAR	star	2.8	4875
1431	FREEZE	freeze	4.545454545454546	1987
1432	CUT	cut	3.0833333333333335	1261
1433	HIT	hit	2.4	2422
1434	STAB	prick	4.181818181818182	3809
1435	HUNT	hunt	3.2	2505
1436	SCRATCH	scratch	2.909090909090909	4357
1437	SPLIT	split	3.4545454545454546	4799
1438	FOOL	fool	2.6363636363636362	1931
1439	SWIM	swim	3.909090909090909	5094
144	MACHINE	machine	3.5	2963
1440	SPIT	spit	4.0	4789
1441	FLY (MOVE THROUGH AIR)	fly	3.4	1916
1442	STAND	stand	2.8	4870
1446	COME	came	3.0	707
1447	GIVE	gave	2.2	2083
1448	HOLD	hold	2.0833333333333335	2439
1449	RUB	rub	2.8	4230
1450	ROOM	room	2.0	4210
1451	SMILE	smile	4.363636363636363	4649
1452	PUSH	push	2.4	3921
1453	WASH	wash	2.6363636363636362	5650
1454	WIPE	wipe	3.6	5751
1455	PULL	pull	2.5	3893
1456	THROW	throw	3.1666666666666665	5255
1457	SEW	sew	3.272727272727273	4433
1458	SAY	said	2.25	4275
1459	IF	if	1.0909090909090908	2531
1460	IN	in	2.0	2552
1461	AT	at	1.0	221
1462	POT	jar	3.727272727272727	2633
1463	DRUNK	drunk	4.181818181818182	1567
1464	LADDER	ladder	3.7	2747
1465	BOX	case	1.8	759
1467	CIRCLE	circle	3.8	891
1468	LOOK FOR	seek	1.5454545454545454	4396
1469	WEEK	week	2.0	5676
1470	FOLD	fold	2.8	1922
1471	WINTER	winter	5.818181818181818	5750
1472	KEY	key	4.0	2700
1473	FIST	fist	3.3	1849
1475	COMB	comb	3.0833333333333335	1006
1478	WITHOUT	without	2.2	5761
1479	DOLPHIN	dolphin	2.909090909090909	1490
148	ITCH	itch	4.3	2621
1480	BODY	body	4.3	496
1481	HAMMER	hammer	3.3636363636363638	2310
1482	SHOULDER	shoulder	5.1	4504
