CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_HAPPINESS_MEAN	GERMAN_ANGER_MEAN	GERMAN_SADNESS_MEAN	GERMAN_FEAR_MEAN	GERMAN_DISGUST_MEAN	GERMAN_EMOTION_DOMINANT	LINE_IN_SOURCE
2765	CHERRY	kirsche	3.619047619047619	1.0	1.0		1.0	HAP	775
2766	WATERMELON	melone	3.3636363636363638	1.0	1.0		1.0	HAP	1035
2770	JACKET	jacke	2.1904761904761907	1.380952380952381	1.2380952380952381		1.380952380952381	HAP	708
2771	SHAWL	schal	2.272727272727273	1.1818181818181819	1.0909090909090908		1.0909090909090908	HAP	1449
2783	SCALES (MEASURE INSTRUMENT)	waage	1.4545454545454546	1.9090909090909092	1.2727272727272727		1.5454545454545454	ANG	1832
2819	GRASSLAND	wiese	3.409090909090909	1.0909090909090908	1.2727272727272727		1.0909090909090908	HAP	1880
2826	LIE (FALSEHOOD)	lüge	1.2173913043478262	3.869565217391304	3.0		2.9130434782608696	ANG	964
2829	MUSSELS	muschel	2.9523809523809526	1.0	1.1904761904761905		1.0	HAP	1117
2837	SWAN	schwan	3.3636363636363638	1.0454545454545454	1.0454545454545454		1.1818181818181819	HAP	1506
2851	AUGUST	august	2.9523809523809526	1.1428571428571428	1.1904761904761905		1.0952380952380953	HAP	145
2854	NOVEMBER	november	1.7	1.3	2.0		1.45	SAD	1171
2930	BOSS	chef	1.4545454545454546	2.8636363636363638	1.4090909090909092		1.9090909090909092	ANG	293
2933	CONVERSATION	gespräch	2.65	1.15	1.15		1.4	HAP	571
2939	FLOCK (OF ANIMALS)	herde	1.75	1.7	1.45		1.55	HAP	653
2941	HAPPINESS	glück	4.285714285714286	1.3333333333333333	1.2380952380952381		1.4761904761904763	HAP	594
2945	COUNT (QUANTITY)	anzahl	1.1818181818181819	1.0909090909090908	1.0454545454545454		1.1363636363636365	HAP	103
2946	CRADLE	wiege	2.5217391304347827	1.0869565217391304	1.1304347826086956		1.1304347826086956	HAP	1879
2948	GAP (DISTANCE)	abstand	1.55	1.6	1.45		1.55	ANG	29
2950	MEANING	sinn	2.8636363636363638	1.4090909090909092	1.3636363636363635		1.7727272727272727	HAP	1538
2951	POUCH	beutel	1.2272727272727273	1.0909090909090908	1.0909090909090908		1.1363636363636365	DIS	225
2952	SLAB	platte	1.2857142857142858	1.0476190476190477	1.0		1.0476190476190477	HAP	1283
2955	STATE (POLITICS)	staat	1.5833333333333333	2.375	1.25		1.625	ANG	1589
2959	LEASH	leine	1.9130434782608696	1.6521739130434783	1.4782608695652173		1.608695652173913	HAP	898
2960	LONGING (WISH)	lust	3.65	1.7	1.4		1.65	HAP	968
2962	MOORLAND	moor	1.8095238095238095	1.2857142857142858	1.9047619047619047		3.0952380952380953	FEA	1093
2965	PAW	kralle	1.0454545454545454	1.5	1.0909090909090908		2.1363636363636362	FEA	830
2966	PERCH (FISH)	barsch	1.7727272727272727	1.5909090909090908	1.3181818181818181		1.2272727272727273	HAP	182
2968	REASON	grund	1.619047619047619	1.4761904761904763	1.2857142857142858		1.3333333333333333	HAP	605
2972	SLEEP (STATE)	schlaf	3.909090909090909	1.0	1.0909090909090908		1.0454545454545454	HAP	1472
2975	THOUGHT	gedanke	2.75	1.25	1.35		1.25	HAP	534
2977	WORKER	arbeiter	1.25	1.3	1.25		1.05	ANG	110
2980	AREA	gegend	1.6818181818181819	1.0909090909090908	1.0909090909090908		1.2727272727272727	HAP	539
2982	GIFT	geschenk	4.0	1.0	1.1		1.0	HAP	566
2985	HEIGHT	höhe	2.217391304347826	1.2173913043478262	1.2173913043478262		2.869565217391304	FEA	673
2987	AMOUNT	menge	1.9565217391304348	1.565217391304348	1.3043478260869565		1.434782608695652	HAP	1036
2996	WEALTH	reichtum	3.1904761904761907	1.7619047619047619	1.1904761904761905		1.3333333333333333	HAP	1373
3003	SOLID	fest	3.8095238095238093	1.2857142857142858	1.1904761904761905		1.380952380952381	HAP	450
3006	SPACE (AVAILABLE)	platz	2.090909090909091	1.5	1.3636363636363635		1.4090909090909092	HAP	1284
3060	PHEASANT	fasan	2.238095238095238	1.380952380952381	1.3333333333333333		1.3333333333333333	HAP	433
3076	SLOPE	abhang	1.6521739130434783	1.5217391304347827	1.2608695652173914		2.8260869565217392	FEA	15
3084	BLACKBOARD	tafel	1.7083333333333333	1.2916666666666667	1.0833333333333333		1.3333333333333333	HAP	1637
3085	CARROT	möhre	2.5416666666666665	1.375	1.2083333333333333		1.2083333333333333	HAP	1083
3087	PACIFIER	nuckel	2.2857142857142856	1.2857142857142858	1.1904761904761905		1.2380952380952381	HAP	1172
3089	GIRAFFE	giraffe	3.1	1.0	1.0		1.05	HAP	585
3090	GUITAR	gitarre	3.2	1.05	1.1		1.0	HAP	587
3091	LEMON	zitrone	2.65	1.0	1.0		1.0	HAP	1939
3094	PAINTBRUSH	pinsel	2.1818181818181817	1.1363636363636365	1.0		1.0454545454545454	HAP	1269
3099	SOFA	sofa	3.2857142857142856	1.0952380952380953	1.0		1.0	HAP	1556
31	PAN	pfanne	1.8181818181818181	1.0454545454545454	1.0		1.0	HAP	1252
3101	SWING	schaukel	3.0476190476190474	1.0476190476190477	1.0476190476190477		1.3333333333333333	HAP	1457
3102	TANK	panzer	1.3	3.15	2.2		3.05	ANG	1214
3106	WARDROBE	schrank	1.35	1.1	1.0		1.05	HAP	1489
3107	WHISTLE (INSTRUMENT)	pfeife	1.2857142857142858	1.8571428571428572	1.0476190476190477		1.1428571428571428	ANG	1255
3137	OAR	ruder	1.6818181818181819	1.0909090909090908	1.1363636363636365		1.2272727272727273	HAP	1415
3138	STRAWBERRY	erdbeere	3.6	1.0	1.0		1.0	HAP	396
3147	HAMSTER	hamster	3.2	1.0	1.05		1.0	HAP	623
329	STOCKING	strumpf	1.75	1.0	1.05		1.0	HAP	1619
3303	PICTURE (PAINTING)	bild	3.0	1.4285714285714286	1.4761904761904763		1.380952380952381	HAP	236
3353	SIEVE (TOOL)	sieb	1.7	1.3	1.3		1.2	HAP	1530
338	RAKE	rechen	1.2727272727272727	1.0909090909090908	1.0909090909090908		1.1818181818181819	HAP	1359
3382	PEACOCK	pfau	3.1	1.1	1.2		1.3	HAP	1254
34	STAIRS	treppe	1.3	1.15	1.05		1.15	HAP	1712
3405	RULER	lineal	1.3636363636363635	1.1363636363636365	1.0		1.0	HAP	936
3407	FILE (TOOL)	feile	1.5	1.5	1.3		1.25	DIS	443
