CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_VALENCE_MEAN	ENGLISH_AROUSAL_MEAN	ENGLISH_DOMINANCE_MEAN	LINE_IN_SOURCE
1412	RUDE	rude	0.061	0.821	0.402	15167
1413	PLAY	play	0.812	0.765	0.358	13165
1414	SQUEEZE	squeeze	0.458	0.676	0.532	16734
1416	SIT	sit	0.561	0.230	0.368	16079
1417	KILL	kill	0.052	0.941	0.736	9835
1418	DIG	dig	0.367	0.585	0.637	4899
1419	FEAR (BE AFRAID)	fear	0.073	0.840	0.293	6547
1420	COUNT	count	0.594	0.389	0.492	3963
1421	SUCK	suck	0.344	0.706	0.377	17219
1422	BE ALIVE	live	0.880	0.673	0.676	10336
1423	FIGHT	fight	0.531	0.868	0.809	6664
1424	YELLOW	yellow	0.671	0.275	0.387	19911
1425	GREEN	green	0.630	0.306	0.333	7784
1426	EXPENSIVE	expensive	0.323	0.540	0.530	6281
1427	BEAUTIFUL	beautiful	0.875	0.614	0.648	1537
1428	BURNING	burning	0.229	0.760	0.412	2324
1429	FULL	full	0.602	0.255	0.704	7242
143	HUMID	humid	0.375	0.324	0.366	8610
1430	STAR	star	0.833	0.418	0.560	16800
1431	FREEZE	freeze	0.191	0.406	0.481	7140
1432	CUT	cut	0.490	0.490	0.393	4291
1433	HIT	hit	0.235	0.931	0.679	8391
1434	STAB	stab	0.167	0.882	0.595	16745
1435	HUNT	hunt	0.327	0.806	0.588	8635
1436	SCRATCH	scratch	0.276	0.625	0.270	15501
1437	SPLIT	split	0.344	0.618	0.410	16652
1438	FOOL	fool	0.160	0.560	0.148	6949
1439	SWIM	swim	0.688	0.461	0.529	17452
144	MACHINE	machine	0.510	0.500	0.707	10555
1440	SPIT	spit	0.149	0.545	0.436	16637
1441	FLY (MOVE THROUGH AIR)	fly	0.760	0.775	0.676	6911
1442	STAND	stand	0.600	0.324	0.509	16786
1443	WALK	walk	0.643	0.412	0.450	19398
1446	COME	come	0.529	0.269	0.558	3344
1447	GIVE	give	0.750	0.346	0.500	7511
1448	HOLD	hold	0.448	0.290	0.364	8415
1449	RUB	rub	0.521	0.565	0.400	15155
145	SORROWFUL	sorrowful	0.049	0.422	0.163	16473
1450	ROOM	room	0.729	0.283	0.445	15102
1451	SMILE	smile	0.906	0.598	0.618	16258
1452	PUSH	push	0.417	0.608	0.524	14002
1453	WASH	wash	0.635	0.377	0.297	19458
