CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_RT_MEAN	LINE_IN_SOURCE
1682	GUILTY	culpable	4.0400	527.0688	755
1683	BUSH	monte	2.8000	511.5512	1693
1689	SMOKE (INHALE)	fumar	3.3200	486.3803	1184
1692	FRIDAY	viernes	2.5600	512.8053	2723
1695	TUESDAY	martes	1.9143	501.4215	1597
1697	MONDAY	lunes	2.0000	497.6065	1542
1700	SATURDAY	sábado	2.4231	485.7057	2297
1730	CHEEK	mejilla	3.4000	510.2963	1625
1732	SKY	cielo	2.0000	493.8658	535
1740	PINE	pino	3.0385	529.2239	2004
1745	HIP	cadera	4.0000	520.9471	378
1747	CUSTOM	costumbre	4.4000	531.2809	706
1753	TOP	cima	3.4000	538.1926	541
1756	WIDOW	viuda	4.5200	527.4752	2739
1763	CLUB	club	4.1200	499.9159	568
1768	FOAM	espuma	3.4800	535.3482	1010
1769	AXLE	eje	6.0400	554.4934	905
1773	GRAVE	sepulcro	5.1538	599.2185	2371
1775	TABLE	mesa	1.3800	483.6454	1647
1776	SHAME	vergüenza	2.7692	538.2448	2699
1783	PAIN	dolor	2.4800	469.6354	874
1786	DRY UP	secar	2.3200	535.8046	2338
1788	TELEVISION	tele	2.2400	505.2500	2512
1789	AGE	edad	2.1714	478.7239	896
1791	BUTTERFLY	mariposa	1.9200	493.2279	1594
1793	BAT	murciélago	2.9600	581.1972	1727
1794	FURROW	surco	4.9200	579.0361	2467
1803	WOOD	madera	2.6000	507.1909	1546
1807	AFTERNOON	tarde	2.8400	501.3046	2498
1818	ADJUDICATE	juzgar	4.8400	526.1633	1440
1820	BEAR	oso	1.9200	473.6244	1854
1828	ASK (REQUEST)	pedir	2.0800	510.0115	1946
1829	JUMP	saltar	2.1600	489.6244	2319
1831	MEET	encontrar	2.5200	533.3794	932
1833	DINNER (SUPPER)	cena	1.8400	472.2462	492
1838	NAVEL	ombligo	2.4800	528.5316	1824
1839	CRY	llorar	1.7600	475.4085	1518
1840	BUILD	edificar	4.9200	557.3363	897
1841	SUSPECT	sospechar	4.4400	539.4133	2433
1845	BALL	pelota	1.5200	490.4106	1952
1846	RULE	gobernar	4.7200	545.9465	1228
185	FIREPLACE	fogón	4.6000	601.5038	1146
1853	DOVE	paloma	1.8100	492.7135	1877
1867	COIN	moneda	2.2857	505.4865	1685
1870	ANCHOR	ancla	3.1200	608.2184	123
1879	DANCE	bailar	2.4800	518.7056	259
1884	HARD	duro	3.1600	511.7352	891
1888	PAIR	par	3.5200	497.1128	1892
1890	BELIEVE	creer	2.6000	501.0230	712
1892	TOUCH	tocar	1.9200	502.0558	2569
1895	CLOTHES	ropa	2.0800	469.5397	2282
1897	HELP	ayudar	2.5600	508.4088	250
1905	EAGLE	águila	2.5400	579.6389	70
191	NUT	nuez	2.5972	567.1193	1790
1914	DEBT	deuda	5.2800	536.7296	818
1917	TIE	atar	2.2800	571.2448	214
1920	DREAM (SOMETHING)	soñar	2.5600	474.2753	2427
1927	BAMBOO	bambú	4.1200	568.3012	266
1929	STUDY	estudiar	3.2800	516.6963	1038
1934	BEGGAR	mendigo	4.3500	562.2997	1630
1939	SWEAR	jurar	3.8000	546.4140	1436
1943	CROWN (OF HEAD)	corona	2.7800	519.5892	693
1961	NECKLACE	collar	2.4200	513.0242	591
1977	DEW	rocío	4.1154	517.3388	2274
1982	WHIRLPOOL	remolino	3.6923	566.5335	2218
199	FAMINE	hambre	1.9200	544.0230	1273
1998	COMMAND	mandar	3.0400	521.2618	1565
2	DUST	polvo	3.7200	486.2831	2044
2003	FLOW	fluir	5.0000	533.1383	1143
2007	BOLT (OF LIGHTNING)	rayo	2.5357	499.5928	2172
2008	RESCUE	salvar	2.9600	497.5975	2321
2009	DOG	perro	1.2300	474.4524	1977
2017	MIX	batir	3.6400	551.7535	290
2019	HAMMOCK	hamaca	3.7000	680.0908	1272
2023	CROWD	multitud	4.5200	556.4234	1722
2058	STOOL	banco	2.2200	527.4103	267
2076	SPROUT (VERB)	brotar	5.0000	609.5769	347
210	LIFE	vida	2.8400	503.1127	2716
2148	PICK	coger	2.1600	501.6082	576
2206	RABIES	rabia	3.8800	535.9621	2154
221	FIRE	fuego	2.0571	500.1965	1177
2246	BELL	campana	1.8700	519.8522	405
2252	PATH	camino	2.3200	508.0271	402
2260	FEMALE (OF PERSON)	hembra	3.6000	536.6220	1283
227	FISH	pez	1.6867	502.5494	1991
230	SWEEP	barrer	3.0800	546.1803	281
231	SHAVE	afeitar	3.8400	546.2252	57
2366	ONION	cebolla	2.8300	494.2826	481
239	FLOWER	flor	1.6050	489.1143	1139
244	LEFT	izquierda	2.4800	494.1344	1409
245	BROOM	escoba	2.4400	544.2942	982
2458	PERSPIRE OR SWEAT	sudar	3.0400	531.9750	2443
250	LIGHT (COLOR)	claro	2.8800	496.0706	557
