CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_HUMOR_MEAN	ENGLISH_HUMOR_MEAN_MALE	ENGLISH_HUMOR_MEAN_FEMALE	ENGLISH_HUMOR_MEAN_YOUNG	ENGLISH_HUMOR_MEAN_OLD	LINE_IN_SOURCE
152	HOOF	hoof	3.064516129	2.666666667	3.315789474	2.736842105	3.583333333	2046
1524	WINE	wine	2.6875	2.916666667	2.55	2.785714286	2.611111111	4911
1525	COAST	coast	2.103448276	2.142857143	2.066666667	1.928571429	2.266666667	814
1526	MEAL	meal	2.088235294	1.833333333	2.227272727	2.0625	2.111111111	2555
1527	TICK	tick	2.5	1.916666667	3	2.363636364	2.6	4474
1530	BOWL	bowl	2.428571429	2.444444444	2.411764706	2.24	2.9	421
1531	BRANCH	limb	2.133333333	2.166666667	2.111111111	2.2	2.066666667	2382
1534	FEVER	fever	1.941176471	2.1	1.875	1.722222222	2.1875	1450
1535	SWORD	sword	2.275862069	2.266666667	2.285714286	2.166666667	2.454545455	4338
1537	SPRINGTIME	spring	2.615384615	2.833333333	2.428571429	2.5625	2.7	4104
1538	SCORPION	scorpion	1.861111111	2	1.772727273	1.923076923	1.826086957	3685
1539	BASKET	basket	2.555555556	2.904761905	2.066666667	2.578947368	2.529411765	203
1540	EYELASH	eyelash	2.470588235	2.272727273	2.565217391	2.142857143	2.7	1379
