CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SOUND_MEAN	ENGLISH_COLOR_MEAN	ENGLISH_MANIPULATION_MEAN	ENGLISH_MOTION_MEAN	ENGLISH_EMOTION_MEAN	LINE_IN_SOURCE
1438	FOOL	fool	1.58	0.47	2.13	1.04	-2.03	494
1439	SWIM	swim	2.82	1.30	2.15	4.64	2.23	1227
144	MACHINE	machine	4.17	1.50	4.21	2.80	0.02	763
1451	SMILE	smile	0.57	2.56	3.20	1.64	4.76	1145
146	SUGAR CANE	cane	1.02	1.68	2.86	1.18	-0.95	212
1462	POT	jar	2.00	1.25	3.42	0.08	0.18	666
1465	BOX	box	1.00	0.91	2.54	0.00	-0.83	155
1471	WINTER	winter	1.35	4.00	0.67	0.41	1.05	1371
1472	KEY	key	1.39	2.55	3.29	0.97	1.00	690
1474	SEA	sea	3.49	4.63	1.23	2.72	2.55	1091
1475	COMB	comb	0.52	1.76	3.43	1.63	0.68	300
1476	CHAIR	chair	1.00	1.42	3.23	0.20	0.36	240
1479	DOLPHIN	dolphin	2.84	4.16	2.39	4.00	2.67	384
1480	BODY	body	1.53	2.42	3.68	3.15	1.02	141
1481	HAMMER	hammer	4.58	1.33	3.33	2.58	-1.38	578
1482	SHOULDER	shoulder	0.24	1.10	2.39	1.66	0.16	1118
1484	OIL (ORGANIC SUBSTANCE)	oil	0.44	3.36	2.16	0.74	-0.39	874
1488	FAUCET	tap	3.28	0.43	2.37	1.90	0.00	1236
1489	CLOUD	cloud	0.50	3.45	0.42	2.00	1.82	283
1490	RAT	rat	1.73	3.23	2.00	3.12	-2.49	1025
1491	MOUSE	mouse	1.69	3.53	1.57	3.62	-0.38	827
1499	JUICE	juice	0.83	4.09	2.67	0.73	2.92	684
1501	BORE	bore	0.52	0.69	0.76	0.68	-2.03	149
1502	GOAT	goat	3.23	1.91	2.00	3.80	0.00	542
1504	FLY (INSECT)	housefly	2.10	2.50	1.17	3.54	-2.16	623
1507	FRUIT	fruit	0.85	4.64	3.55	0.15	2.67	511
1508	KING	king	2.14	2.68	2.14	2.23	2.02	696
1509	MOSQUITO	mosquito	3.22	2.05	1.93	3.36	-3.19	821
1510	CHIN	chin	0.30	1.82	2.15	1.55	0.18	258
1511	ROOSTER	rooster	4.68	4.30	1.53	2.57	1.00	1061
1514	HEN	hen	3.00	3.16	1.86	2.50	0.00	597
1517	WASP	wasp	2.52	3.53	1.62	3.18	-3.75	1346
152	HOOF	hoof	3.09	1.38	1.38	2.60	0.31	613
1522	SOCK	sock	0.46	2.10	3.31	0.31	-0.25	1157
1524	WINE	wine	0.50	3.54	3.54	0.73	2.38	1369
1525	COAST	coast	2.22	3.17	1.00	1.25	1.77	289
1526	MEAL	meal	1.45	2.82	2.73	0.75	2.54	788
1530	BOWL	bowl	0.18	1.42	2.83	0.58	0.75	154
1531	BRANCH	limb	0.58	1.08	2.83	2.10	-0.25	741
1534	FEVER	fever	0.10	1.80	1.42	0.85	-3.45	466
1535	SWORD	sword	2.05	2.61	3.95	2.62	-0.90	1228
1537	SPRINGTIME	spring	2.13	4.27	1.27	2.10	3.58	1177
1539	BASKET	basket	0.44	2.09	2.23	0.17	0.33	94
1543	SNAIL	snail	0.10	1.62	1.45	1.58	-0.15	1147
