CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_AOA_MIN	SPANISH_AOA_MAX	SPANISH_AOA_ZSCORE	LINE_IN_SOURCE
2001	PAINTING	dibujar	3.38	2	6	-2.486602188931363	1788
2003	FLOW	fluir	9.76	6	14	-0.05951364168329534	2504
2008	RESCUE	salvar	5.94	2	10	-1.512723398813016	4131
2014	GO DOWN (DESCEND)	bajar	3.86	1	7	-2.303999915784173	691
2017	MIX	batir	7.75	4	14	-0.8241606604871535	714
2022	ADMIT	admitir	8.8	4	13	-0.4247181879776751	176
203	MARRY	casarse	6.38	2	16	-1.3453379817614253	847
2030	DRAG	arrastrar	6.46	2	13	-1.3149042695702269	532
2070	COMB (VERB)	peinar	4.18	2	12	-2.1822650670193795	3347
2076	SPROUT (VERB)	brotar	8.83673469387755	4	17	-0.41074352421641086	760
21	TASTE (SOMETHING)	catar	11.46	3	16	0.5872027423796699	855
2108	RAINING OR RAIN	llover	3.9183673469387754	2	13	-2.2817957278079417	3001
211	CAST	fundir	9.26	4	16	-0.24972434287828496	2553
2117	DESIRE	desear	6.6	2	14	-1.2616452732356298	1537
2134	RAISE (BRING UP)	aumentar	7.428571428571429	2	12	-0.9464389683982183	651
2135	TRADE OR BARTER	trocar	13.875	9	19	1.5059204291514694	4498
2142	RUN AWAY	escapar	5.82	2	14	-1.5583739670998134	2243
2148	PICK	coger	3.24	2	7	-2.53986118526596	965
215	LIE DOWN	acostarse	3.94	2	13	-2.2735662035929747	127
2235	CLEAN (SOMETHING)	limpiar	5.04	2	14	-1.8551026609639973	2983
2243	REPAIR	reparar	7.64	2	15	-0.8660070147500514	3941
2253	DRIP (EMIT LIQUID)	gotear	6.42	2	11	-1.330121125665826	2597
2271	THINK	pensar	5.22	1	13	-1.7866268085338013	3360
228	CARVE	tallar	10.1	4	17	0.06982963512929755	4348
230	SWEEP	barrer	5.56	3	10	-1.6572835317212082	705
231	SHAVE	afeitar	7.14	3	15	-1.056217715945041	200
2334	MELT	derretir	6.4	3	15	-1.3377295537136253	1392
24	PRAY	orar	7.62	2	15	-0.8736154427978509	3267
2411	HURT (SOMEBODY)	herir	6.32	2	14	-1.3681632659048237	2644
2458	PERSPIRE OR SWEAT	sudar	6.1	3	10	-1.4518559744306194	4294
2493	BOIL	hervir	7.46	3	13	-0.9344828671802475	2648
251	SHARPEN (SOMETHING)	afilar	5.52	3	13	-1.6725003878168074	209
2630	WHIP	azotar	8.4	3	17	-0.5768867489336669	686
2638	FISHING	pescar	5.2	3	10	-1.7942352365816006	3407
2715	DESPISE	despreciar	9.08	3	16	-0.31820019530848115	1722
274	KNEAD	amasar	7.98	3	16	-0.7366637379374582	360
275	PEEL	pelar	5.94	2	13	-1.512723398813016	3349
2856	CHANGE (SOMETHING)	alterar	8.3	4	15	-0.6149288891726647	337
2871	SWING (MOVEMENT)	mecer	7.914893617021277	3	15	-0.7614315994547632	3090
2880	HALT (STOP)	detener	6.54	3	13	-1.2844705573790285	1770
2882	ADD	añadir	7.38	3	12	-0.9649165793714459	424
2883	DISTURB	interrumpir	6.52	3	14	-1.2920789854268282	2867
2896	CAUSE TO (LET)	dejar	5	2	13	-1.8703195170595965	1344
2900	PROTECT	guardar	4.64	2	10	-2.0072712219199893	2613
2902	BRAWL (FIGHT)	pelear	5.36	1	10	-1.733367812199204	3350
291	PULL OFF (SKIN)	desollar	11.85	7	19	0.7355670893117613	1669
298	SHRIEK	chillar	4.73469387755102	2	11	-1.971247644224285	907
299	SCOLD	reprender	9.0625	3	17	-0.3248575698503058	3965
2991	SKI	esquiar	7.68	4	14	-0.8507901586544522	2302
303	ABSTAIN FROM FOOD	ayunar	9.63265306122449	4	17	-0.10795914272234566	685
304	PREACH	predicar	10	5	17	0.03178749489029976	3496
3078	IRRIGATE	regar	5.73469387755102	2	15	-1.5908262418343058	3843
3080	SPLIT OPEN	rajar	8.08	3	15	-0.6986215976984604	3653
3108	BOX (SOMEBODY OR SOMETHING)	boxear	7.92	3	19	-0.7594890220808571	751
3110	CLAP	aplaudir	4.7	2	13	-1.9844459377765902	466
3111	CONDUCT	dirigir	8.62	3	15	-0.4931940404078719	1814
3113	FILE (SOMETHING)	archivar	8.66	5	14	-0.4779771843122724	517
3114	GRATE (SOMETHING)	rallar	6.571428571428571	3	12	-1.2725144561610577	3655
3116	HATCH (OUT)	eclosionar	11.973684210526315	6	18	0.7826192101336796	1918
3118	IRON (CLOTHES)	planchar	6.28	2	14	-1.383380122000423	3435
3120	MOP (SOMETHING)	fregar	5.62	2	10	-1.6344582475778093	2536
3121	OPERATE (MEDICINE)	operar	8.5	3	17	-0.5388446086946691	3258
3122	PAINT (SOMETHING)	pintar	3.22	1	7	-2.5474696133137593	3422
3126	POST (SOMETHING)	enviar	6.26	3	12	-1.3909885500482229	2204
3128	SHOWER (ACTION)	ducharse	4.38	2	13	-2.1061807865413837	1909
3129	SKATE	patinar	5.2	3	10	-1.7942352365816006	3334
3135	VACUUM (SOMETHING)	aspirar	9.16	4	15	-0.28776648311728276	598
3189	STAB TO DEATH	apuñalar	9.48	4	17	-0.1660316343524893	508
319	LICK	lamer	6.36	1	18	-1.3529464098092245	2936
3199	TWIST (AROUND)	torcer	6.98	2	17	-1.1170851403274376	4414
3204	INSULT	insultar	6.2	2	13	-1.4138138341916213	2842
321	CHEW	masticar	3.84	1	9	-2.3116083438319723	3072
3230	DECEIVE	engañar	5.38	2	10	-1.7257593841514045	2104
3302	QUARREL (VERB)	discutir	5.66	1	10	-1.6192413914822101	1826
3306	NAIL	clavar	6.9	3	11	-1.1475188525186357	944
3351	STOP DOING	parar	5.2	2	13	-1.7942352365816006	3306
3429	COMPARE	comparar	7.62	3	14	-0.8736154427978509	1009
3447	BEGIN OR START	empezar	5.2	2	10	-1.7942352365816006	2004
352	UNTIE	desatar	6.72	2	15	-1.2159947049488322	1448
353	STRIKE	golpear	5.04	1	10	-1.8551026609639973	2593
3534	BEG	suplicar	9.82	4	15	-0.0366883575398964	4315
3544	WAVE (VERB)	saludar	4.2	1	21	-2.17465663897158	4129
357	HANG UP	colgar	5.18	2	9	-1.8018436646294005	981
3617	STUMBLE	tropezar	5.72	2	12	-1.5964161073388117	4503
3639	AVOID	evitar	7.96	3	18	-0.7442721659852579	2356
364	SMEAR	untar	7.346938775510204	3	14	-0.9774937767565839	4529
3645	PERSUADE	persuadir	12.4	5	20	0.9447988606262501	3399
3649	PUNISH	castigar	4.44	1	10	-2.0833555023979846	849
365	SPLASH	salpicar	6.08	2	15	-1.459464402478419	4125
3654	TAKE OUT	sacar	4.82	2	17	-1.9387953694897928	4111
3659	POLISH (SOMETHING)	lustrar	11.846153846153847	6	17	0.7341039300718002	3011
366	LIMP	cojear	7.58	3	14	-0.8888322988934501	970
3665	TRAVEL	viajar	5.12	2	9	-1.824668948772799	4585
3666	WANDER	deambular	10.54	6	18	0.23721505218088823	1298
367	RIDE	montar	5.72	2	12	-1.5964161073388117	3157
369	OWE	deber	6.2	2	12	-1.4138138341916213	1300
371	PICK UP	recoger	4.7	1	9	-1.9844459377765902	3740
375	SNIFF	husmear	9.58	3	17	-0.1279894941134915	2691
378	PINCH	pellizcar	5.918367346938775	2	15	-1.520952923027983	3353
38	SPREAD OUT	esparcir	9.96	5	14	0.01657063879470091	2284
391	BLESS	bendecir	7.14	1	12	-1.056217715945041	721
398	PIERCE	punzar	7.468085106382978	3	16	-0.9314071196715628	3628
41	IGNORE	ignorar	7.74	3	12	-0.8279648745110533	2699
421	RETREAT	retirarse	8.74	3	17	-0.44754347212107404	4036
43	LEAD (GUIDE)	guiar	7.96	3	13	-0.7442721659852579	2618
46	HOLLOW OUT	ahuecar	10.0625	3	18	0.05556383253967347	271
479	GROW	crecer	4.8	2	10	-1.9464037975375925	1237
48	BE SILENT	callarse	3.96	2	9	-2.265957775545175	798
484	CONDEMN	condenar	10.26	4	16	0.13069705951169427	1069
485	DISAPPEAR	desaparecer	7.16	3	13	-1.0486092878972413	1434
49	REFUSE	negarse	7.1020408163265305	2	14	-1.070658201831681	3201
