ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	FAMILY_FREQUENCY	LANGUAGE_FREQUENCY	WORD_FREQUENCY	RANK	COMMUNITY	CENTRAL_CONCEPT	DEGREE	WEIGHTED_FAMILY_DEGREE	WEIGHTED_LANGUAGE_DEGREE	LINKED_CONCEPTS
Rzymski-2020-4164-32	32	1043	BRAID	BRAID	61	406	485	471	56	SEW	2	30	30	"[{""ID"": ""Rzymski-2020-4164-269"", ""NAME"": ""WEAVE"", ""WordWeight"": 17, ""LanguageWeight"": 16, ""FamilyWeight"": 11}, {""ID"": ""Rzymski-2020-4164-1180"", ""NAME"": ""BRAID (VERB) OR WEAVE (BASKET)"", ""WordWeight"": 56, ""LanguageWeight"": 53, ""FamilyWeight"": 19}]"
Rzymski-2020-4164-33	33	1046	SHUT	SHUT	83	796	1005	887	93	HIDE (CONCEAL)	3	30	30	"[{""ID"": ""Rzymski-2020-4164-1486"", ""NAME"": ""COVER"", ""WordWeight"": 44, ""LanguageWeight"": 43, ""FamilyWeight"": 22}, {""ID"": ""Rzymski-2020-4164-608"", ""NAME"": ""BURY"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-755"", ""NAME"": ""TIE"", ""WordWeight"": 10, ""LanguageWeight"": 9, ""FamilyWeight"": 5}]"
Rzymski-2020-4164-34	34	1047	PURSUE	PURSUE	56	431	544	751	158	HUNT	2	29	29	"[{""ID"": ""Rzymski-2020-4164-63"", ""NAME"": ""FOLLOW"", ""WordWeight"": 52, ""LanguageWeight"": 49, ""FamilyWeight"": 23}, {""ID"": ""Rzymski-2020-4164-369"", ""NAME"": ""HUNT"", ""WordWeight"": 10, ""LanguageWeight"": 10, ""FamilyWeight"": 6}]"
Rzymski-2020-4164-35	35	1048	LINE	LINE	60	518	656	1127	22	THREAD	4	32	32	"[{""ID"": ""Rzymski-2020-4164-741"", ""NAME"": ""FISHING LINE"", ""WordWeight"": 10, ""LanguageWeight"": 10, ""FamilyWeight"": 6}, {""ID"": ""Rzymski-2020-4164-122"", ""NAME"": ""THREAD"", ""WordWeight"": 12, ""LanguageWeight"": 12, ""FamilyWeight"": 9}, {""ID"": ""Rzymski-2020-4164-169"", ""NAME"": ""ROPE"", ""WordWeight"": 12, ""LanguageWeight"": 12, ""FamilyWeight"": 7}, {""ID"": ""Rzymski-2020-4164-1109"", ""NAME"": ""STROKE (OF PEN)"", ""WordWeight"": 40, ""LanguageWeight"": 37, ""FamilyWeight"": 10}]"
Rzymski-2020-4164-36	36	1049	MOLAR TOOTH	MOLAR TOOTH	57	367	411	8	75	TOOTH	1	12	12	"[{""ID"": ""Rzymski-2020-4164-315"", ""NAME"": ""TOOTH"", ""WordWeight"": 34, ""LanguageWeight"": 33, ""FamilyWeight"": 12}]"
Rzymski-2020-4164-37	37	1051	CAN	CAN	24	59	66	136	192	TIN OR TINPLATE	1	4	4	"[{""ID"": ""Rzymski-2020-4164-1167"", ""NAME"": ""TIN OR TINPLATE"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 4}]"
Rzymski-2020-4164-38	38	1052	LIGHT (WEIGHT)	LIGHT (WEIGHT)	73	843	908	931	194	EASY	3	22	22	"[{""ID"": ""Rzymski-2020-4164-729"", ""NAME"": ""CHEAP"", ""WordWeight"": 10, ""LanguageWeight"": 10, ""FamilyWeight"": 5}, {""ID"": ""Rzymski-2020-4164-546"", ""NAME"": ""FAST"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 5}, {""ID"": ""Rzymski-2020-4164-1418"", ""NAME"": ""EASY"", ""WordWeight"": 113, ""LanguageWeight"": 106, ""FamilyWeight"": 12}]"
Rzymski-2020-4164-39	39	1058	STEPDAUGHTER	STEPDAUGHTER	41	276	310	1079	4	SON	4	26	26	"[{""ID"": ""Rzymski-2020-4164-557"", ""NAME"": ""GIRL"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-296"", ""NAME"": ""DAUGHTER"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-553"", ""NAME"": ""NIECE"", ""WordWeight"": 5, ""LanguageWeight"": 5, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-40"", ""NAME"": ""STEPSON"", ""WordWeight"": 47, ""LanguageWeight"": 45, ""FamilyWeight"": 16}]"
Rzymski-2020-4164-40	40	1059	STEPSON	STEPSON	45	290	327	1100	4	SON	4	26	26	"[{""ID"": ""Rzymski-2020-4164-536"", ""NAME"": ""SON"", ""WordWeight"": 4, ""LanguageWeight"": 4, ""FamilyWeight"": 4}, {""ID"": ""Rzymski-2020-4164-44"", ""NAME"": ""NEPHEW"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-39"", ""NAME"": ""STEPDAUGHTER"", ""WordWeight"": 47, ""LanguageWeight"": 45, ""FamilyWeight"": 16}, {""ID"": ""Rzymski-2020-4164-304"", ""NAME"": ""BOY"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}]"
Rzymski-2020-4164-41	41	1060	CHILD-IN-LAW	CHILD-IN-LAW	12	18	26	1356	6	FATHER-IN-LAW (OF MAN)	6	35	35	"[{""ID"": ""Rzymski-2020-4164-897"", ""NAME"": ""MOTHER-IN-LAW (OF MAN)"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}, {""ID"": ""Rzymski-2020-4164-906"", ""NAME"": ""SON-IN-LAW (OF MAN)"", ""WordWeight"": 11, ""LanguageWeight"": 9, ""FamilyWeight"": 8}, {""ID"": ""Rzymski-2020-4164-904"", ""NAME"": ""DAUGHTER-IN-LAW (OF MAN)"", ""WordWeight"": 8, ""LanguageWeight"": 7, ""FamilyWeight"": 6}, {""ID"": ""Rzymski-2020-4164-903"", ""NAME"": ""DAUGHTER-IN-LAW (OF WOMAN)"", ""WordWeight"": 8, ""LanguageWeight"": 7, ""FamilyWeight"": 6}, {""ID"": ""Rzymski-2020-4164-905"", ""NAME"": ""SON-IN-LAW (OF WOMAN)"", ""WordWeight"": 12, ""LanguageWeight"": 10, ""FamilyWeight"": 9}, {""ID"": ""Rzymski-2020-4164-1128"", ""NAME"": ""PARENTS-IN-LAW"", ""WordWeight"": 3, ""LanguageWeight"": 3, ""FamilyWeight"": 3}]"
