CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_EMOTION_DOMINANT	ENGLISH_EMOTION_INTENSITY	LINE_IN_SOURCE
2190	TASTE	savor	anticipation	0.375	2210
2192	REJOICE	rejoice	anticipation	0.562	1755
220	INTACT	intact	trust	0.508	9118
2200	SNOUT	muzzle	fear	0.312	4847
2203	RABID	rabid	anger	0.833	94
221	FIRE	fire	fear	0.636	3938
2218	EXPERIENCED	experienced	trust	0.602	8725
2219	LEAN (MEAT)	lean	trust	0.383	9568
2230	UNTAMED OR WILD	wild	surprise	0.586	7965
2233	LOVELY	lovely	anticipation	0.555	1775
2252	PATH	path	trust	0.484	9216
2259	FLESH	flesh	disgust	0.352	3204
2287	HORIZON	horizon	anticipation	0.508	1890
2291	VOLCANO	volcano	fear	0.663	3854
2295	SUNSET	sunset	anticipation	0.453	2034
2296	SUNRISE	sunrise	joy	0.600	5632
2298	VIRGIN	virgin	trust	0.508	9119
2316	FREE	free	joy	0.544	5740
232	FLEA	flea	disgust	0.578	2718
2321	MAD PERSON	lunatic	anger	0.688	289
234	PADDLE	paddle	anticipation	0.320	2277
2340	SUNNY	sunny	anticipation	0.500	1903
2341	CLOUDY	cloudy	sadness	0.234	7616
2362	BRAN	bran	disgust	0.125	3417
2363	CHAFF (HUSK)	chaff	anger	0.312	1195
2367	MANDARINE	mandarin	trust	0.297	9744
2374	DREAM	dream	joy	0.484	5885
239	FLOWER	flowers	joy	0.406	6022
2393	JOURNEY	journey	anticipation	0.711	1518
24	PRAY	pray	anticipation	0.547	1797
2405	CHRISTMAS	christmas	joy	0.609	5613
2406	HOME	home	joy	0.559	5706
2407	BIRTHDAY	birthday	anticipation	0.633	1608
2410	GOOD-LOOKING	pretty	anticipation	0.414	2115
2411	HURT (SOMEBODY)	hurt	anger	0.561	572
2425	PROBLEM	problem	fear	0.266	4921
2431	REVOLUTION	revolution	anger	0.606	454
2432	MARRIAGE	marriage	anticipation	0.656	1573
2433	THEORY	theory	anticipation	0.359	2230
2434	TRAGEDY	tragedy	fear	0.859	3496
2435	UNIVERSITY	university	anticipation	0.406	2153
2446	SLOTH	sloth	disgust	0.539	2797
2449	FAT (OF MEAT AND FOOD)	fatty	disgust	0.539	2803
2465	DISGUST	disgust	anger	0.602	464
2466	WEIGHT	weight	anticipation	0.258	2325
248	HAPPEN	happen	anticipation	0.484	1952
2482	TOGETHER	together	joy	0.394	6037
2486	HIDE	hide	fear	0.297	4878
2489	ABACUS	abacus	trust	0.406	9507
2493	BOIL	boil	disgust	0.492	2908
2498	OPIUM	opium	anger	0.180	1379
25	DIRT	dirt	disgust	0.500	2886
2507	DISGUSTING	disgusting	anger	0.636	391
2509	EXCHANGE	exchange	trust	0.453	9333
251	SHARPEN (SOMETHING)	sharpen	anger	0.288	1229
2514	SPOUSE	spouse	joy	0.507	5816
2518	HEARING (AURAL SENSE)	hearing	fear	0.156	5104
252	FRIGHTEN	frighten	fear	0.828	3540
2521	FEELING (HAPTIC SENSE)	feeling	anger	0.147	1417
2524	JOY	joy	joy	0.924	5211
2530	SMART	intelligent	trust	0.672	8525
2532	TORNADO	tornado	fear	0.734	3701
2534	DEPTH	depth	trust	0.484	9219
2541	MIRACLE	miracle	anticipation	0.633	1613
2544	SHEPHERD	shepherd	joy	0.058	6456
255	SERVANT	servant	trust	0.344	9665
2553	MISERY	misery	anger	0.547	610
256	FOOD	food	joy	0.258	6266
2562	SEX (GENDER)	sex	anticipation	0.695	1545
2565	CASTRATED BOAR	barrow	disgust	0.258	3324
2569	BUTCHER	butcher	anger	0.578	509
257	WORSHIP	worship	anticipation	0.422	2098
258	CALM	calm	joy	0.394	6032
2581	OCTOPUS	octopus	disgust	0.258	3318
2587	DARTS	dart	fear	0.359	4699
26	UNPLEASANT	unpleasant	disgust	0.477	2943
2604	NOOSE	noose	sadness	0.391	7354
2606	COMPASS	compass	trust	0.570	8847
2628	PLANT STEM	stalk	fear	0.531	4253
2630	WHIP	whip	anger	0.531	659
2640	LARVA	maggot	disgust	0.844	2367
2651	BE IGNORANT	ignorant	disgust	0.406	3084
2665	WART	wart	disgust	0.695	2530
2691	PATERNAL AUNT (FATHER'S SISTER)	satisfy	joy	0.656	5531
2704	FADE (LOOSE COLOR)	fade	trust	0.359	9633
2709	FLATTER	flatter	trust	0.297	9741
2715	DESPISE	despise	anger	0.750	196
2758	CAREFUL	careful	trust	0.578	8839
2759	RECOMMEND	recommend	trust	0.609	8716
2762	BLOCK (THE WAY)	obstruct	anger	0.500	722
2805	BIRTH (ACCOUCHEMENT)	birth	anticipation	0.734	1505
2806	BLACK MAN	negro	sadness	0.281	7543
2821	JEALOUS	jealous	anger	0.470	810
285	THRESH	thresh	anger	0.484	790
2860	BOLT (MOVE IN HASTE)	rush	fear	0.281	4891
2865	DIE (FROM ACCIDENT)	perish	fear	0.784	3608
2872	IMPROVE (SOMETHING)	improve	anticipation	0.453	2044
2889	TWINKLE	sparkle	anticipation	0.484	1957
2892	MAKE ANGRY (ANNOY)	annoy	anger	0.520	678
29	GELD	castrate	anger	0.727	229
2902	BRAWL (FIGHT)	brawl	anger	0.861	59
2907	ROT	decay	fear	0.557	4170
2909	PREPARE	prepare	anticipation	0.633	1616
2911	BACKWARD	backwards	disgust	0.297	3287
2920	SUDDENLY	suddenly	surprise	0.828	7785
2932	COLD (CHILL)	chill	joy	0.281	6235
2936	ELEVATION	elevation	anticipation	0.508	1884
2940	GATE	gate	trust	0.414	9473
2941	HAPPINESS	happiness	anticipation	0.641	1596
2946	CRADLE	cradle	anticipation	0.375	2215
2947	DAMAGE (INJURY)	damage	anger	0.578	503
2957	WARE	ware	fear	0.198	5051
2958	LAUGHTER	laughter	anticipation	0.422	2113
296	CROUCH	crouch	fear	0.266	4935
2960	LONGING (WISH)	desire	joy	0.484	5873
2969	RIBBON	ribbon	anger	0.047	1469
2970	RIDDLE	riddle	surprise	0.422	8138
2971	SIN	sin	anger	0.547	597
2974	SWARM (OF BIRDS)	swarm	disgust	0.422	3049
2975	THOUGHT	thought	anticipation	0.414	2130
2976	VIOLENCE	violence	anger	0.742	203
298	SHRIEK	shriek	anger	0.316	1188
2982	GIFT	gift	anticipation	0.625	1624
299	SCOLD	scold	anger	0.515	705
2993	STROKE (OF PEN)	stroke	fear	0.656	3866
2996	WEALTH	wealth	joy	0.422	5998
3	BRAVE	brave	trust	0.602	8733
3001	POWERFUL	powerful	anger	0.424	935
3002	PRECIOUS	precious	anticipation	0.516	1869
3005	FAMILIAR	familiar	trust	0.656	8563
302	CLAN	clan	trust	0.398	9514
3033	SCARED	scared	fear	0.734	3693
3044	BOVINE	bovine	disgust	0.422	3062
3049	COURAGE	courage	trust	0.695	8468
3055	SWINDLE	cheat	anger	0.630	400
3059	MALARIA	malaria	disgust	0.781	2423
3061	PHLEGM	phlegm	disgust	0.758	2449
3064	RUST	stain	disgust	0.484	2915
3069	FALSE	fraud	anger	0.394	1029
307	HAWK	hawk	fear	0.125	5140
3072	MISPLACE	lose	anger	0.261	1271
3073	MANAGE	manage	trust	0.461	9292
3091	LEMON	lemon	disgust	0.109	3424
3099	SOFA	couch	sadness	0.060	7741
3104	THERMOMETER	thermometer	trust	0.305	9733
3110	CLAP	clap	anticipation	0.430	2089
3112	ERUPT	erupt	anger	0.742	202
3119	MASSAGE (SOMEBODY)	massage	joy	0.470	5895
3153	LORD	lord	disgust	0.125	3418
3160	SLAP	slap	anger	0.791	146
3167	SERMON	sermon	trust	0.477	9252
3176	RACK (FOR STORING FOOD)	rack	sadness	0.188	7660
318	FOOTPRINT	track	anticipation	0.375	2214
3188	MIGHTY OR POWERFUL OR STRONG	mighty	anger	0.172	1386
319	LICK	lick	disgust	0.398	3115
3197	SUSPICION	suspicion	fear	0.391	4620
3200	COUNTRYSIDE	countryside	joy	0.250	6281
3202	CANNON	cannon	anger	0.375	1071
3204	INSULT	insult	anger	0.603	461
3213	HIRE OR RENT	hire	anticipation	0.469	2009
3224	WRING	wring	anger	0.415	966
323	FAT (ORGANIC SUBSTANCE)	fat	disgust	0.617	2651
3230	DECEIVE	deceive	anger	0.547	601
326	CLOAK	cloak	fear	0.266	4931
3274	ENCIRCLE	surround	anticipation	0.445	2059
3276	SUNSHINE	sunshine	joy	0.551	5713
3282	GROOM	bridegroom	anticipation	0.656	1566
3283	CAGE	cage	sadness	0.391	7372
3284	GRAVEYARD	cemetery	fear	0.541	4212
3287	BLOOM	bloom	anticipation	0.617	1638
3288	WEED	weeds	sadness	0.156	7684
3299	KIND	kind	joy	0.621	5594
33	NETTLE	nettle	anger	0.422	954
3302	QUARREL (VERB)	argue	anger	0.734	214
3320	SNARE (TRAP)	snare	fear	0.391	4617
3327	AUTUMN OR HARVEST SEASON	harvest	anticipation	0.578	1712
3336	FUNERAL	funeral	sadness	0.844	6511
3356	INCENSE	incense	anger	0.656	352
3357	CUPBOARD	cabinet	trust	0.438	9392
3361	OFFICIAL	official	trust	0.680	8510
3375	PATIENT (SICK PERSON)	patient	anticipation	0.328	2266
3376	ROBBER	robber	disgust	0.492	2906
3389	MEASLES	measles	disgust	0.696	2524
3401	HENHOUSE	coop	anger	0.156	1406
3403	HORSE BARN	stable	trust	0.750	8394
345	SAP	sap	sadness	0.172	7670
3455	COMMEND	praise	joy	0.578	5663
3458	SILENCE	silence	joy	0.127	6420
3460	BEACH	beach	joy	0.500	5841
3466	DANGEROUS	dangerous	fear	0.750	3651
3468	KINDNESS	kindness	joy	0.606	5625
3469	LEVEL	level	trust	0.453	9335
3470	LIAR	liar	disgust	0.539	2794
352	UNTIE	untie	joy	0.109	6432
353	STRIKE	strike	anger	0.721	230
3534	BEG	beg	sadness	0.484	7151
3535	BE DEFEATED	defeated	sadness	0.750	6613
354	POUND	pound	anger	0.481	804
355	CUT DOWN	fell	sadness	0.453	7234
3554	GOODBYE	farewell	sadness	0.438	7275
3608	WARRIOR	warrior	anger	0.364	1083
3621	DISABLED PERSON	cripple	fear	0.703	3769
3624	LEPROSY	leprosy	disgust	0.773	2431
3628	HONOR (SOMEBODY)	honor	trust	0.844	8344
