CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_IMAGEABILITY_SD	ENGLISH_AOA_MEAN	ENGLISH_AOA_SD	ENGLISH_FAMILIARITY_MEAN	ENGLISH_FAMILIARITY_SD	ENGLISH_CONCRETENESS_MEAN	ENGLISH_CONCRETENESS_SD	ENGLISH_MEANING_UNCERTAINTY	ENGLISH_FREQUENCY	LINE_IN_SOURCE
1615	ESCAPE	escape	4.65	1.68	3.53		5.24	1.37	3.4	1.4	0	100	589
1622	SHIRT	shirt	6.11	1.27	2.69		6.28	0.95	6.6	0.64	0	47	1561
1627	CHAIN	chain	5.81	1.35	3.11		5.3	1.35	6.23	1.2	0.75	50	272
1629	EVENING	evening	5.65	1.1	3.03		6.3	1.01	4.51	1.4	0	100	597
1643	COUSIN	cousin	4.84	1.9	2.78		5.15	1.34	5.23	1.82	0	50	388
1646	GIRL	girl	6.3	1.27	1.83		6.72	0.45	6.66	0.63	0	100	731
1654	LIGHTNING	lightning	6.05	1.25	3.31		4.65	1.44	5.49	1.5	0	31	1011
1659	DOLL	doll	5.81	1.7	1.61		4.49	1.75	6.54	0.87	0.29	46	508
1663	BED	bed	6.59	0.79	1.69		6.83	0.45	6.31	1.24	0.17	100	149
1667	HOLE	opening	4.68	1.77	3.36		5.42	1.28	4.69	1.51	1.5	36	1203
1668	GRIEF	sorrow	4.35	1.76	3.94		4.86	1.33	2.74	1.68	0	50	1617
1670	RAPIDS	rapids	5.7	1.31	4.94		3.99	1.15	5.51	1.36	0	48	1399
1671	TOWER	tower	5.81	1.39	3.53		4.78	1.35	6.09	1.08	0.45	50	1771
1673	ARM	arm	6.03	1.46	1.92		6.41	0.86	6.46	0.81	0.47	100	91
1679	LOAD	burden	5.05	1.33	4.74		4.46	1.24	3.97	1.63	0	50	226
168	REST	rest	4.41	1.85	2.22		6.19	1.19	3.51	1.81	1.26	100	1451
1681	WAIST	waist	5.49	1.62	3.25		5.54	1.24	5.83	1.21	0	33	1878
1683	BUSH	bush	5.87	1.4	2.56		5.47	1.18	6.2	1.01	0	50	230
1684	BUD	bud	5.68	1.34	3.31		4.49	1.33	6.2	1.24	0	30	220
1696	SURRENDER	surrender	4.38	1.84	3.86		4.88	1.06	3.57	1.7	0	27	1700
1705	EIGHT	eight	5.35	1.88	2.11		6.35	0.86	3.6	2.06	0	100	550
1709	FIFTEEN	fifteen	4.97	1.64	2.89		5.39	1.28	3.83	2.17	0	50	648
1712	OATH	oath	4.49	1.8	4.08		4.02	1.5	3.29	1.75	0	18	1186
1730	CHEEK	cheek	5.67	1.58	2.67		5.33	1.33	5.94	1.64	0.85	50	282
1735	TEAR (SHRED)	tear	5.97	1.13	2.64		5.65	1.33	5.6	1.4	1	100	1725
1747	CUSTOM	tradition	3.76	1.71	4.86		5.13	1.04	2.54	1.7	0	37	1774
1748	RIDGE	ridge	5.49	1.37	4.33		4.3	1.43	5.74	1.36	0	31	1465
1756	WIDOW	widow	5.11	1.7	4.26		4.85	1.48	5.74	1.4	0	34	1910
1766	FINISH	finish	4.43	1.87	3		6.17	1.01	3.43	1.68	0	100	653
1773	GRAVE	tomb	5.92	1.28	4.11		4.07	1.3	6.06	1.17	0	22	1764
1776	SHAME	shame	4.36	1.92	3.67		5.3	1.33	2.62	1.16	0.77	50	1552
1778	APPROACH	approach	3.35	1.63	4.44		5.08	1.07	3.2	1.45	0.77	50	83
1781	THUMB	thumb	6.05	1.47	1.83		6.01	1.36	6.77	0.54	0	27	1752
1789	AGE	age	4.97	2.05	2.58		6.2	1.04	3.57	1.75	0.66	100	36
1803	WOOD	wood	6.11	1.27	2.69		5.76	1.43	6.54	0.8	0.91	100	1924
1807	AFTERNOON	afternoon	5.19	1.71	2.81		6.55	0.74	4.14	1.78	0	100	35
1810	DANGER	danger	5.24	1.58	3		5.56	1.3	2.97	1.59	0	100	424
1812	TRY	try	3.54	1.97	2.29		6.51	0.97	2.49	1.54	0.38	100	1795
1817	WEST	west	4.53	1.54	3.42		5.58	1.16	2.97	1.63	0	100	1897
1819	LOOK	look	4.05	1.9	2.25		6.39	0.82	3.77	1.71	0	100	1027
182	SPOKE	spoke	5.22	1.6	3.28		5.14	1.39	6.09	1.18	0.72	100	1633
1821	BRUSH	brush	5.89	1.35	2.14		6.04	1.21	6.43	1.02	1.88	50	218
1825	COPPER	copper	5.62	1.51	4.28		4.92	1.33	6.17	1.25	1.31	46	373
1829	JUMP	jump	5.16	1.6	2.22		5.54	1.25	4.63	1.49	0	50	958
1830	CRANE	crane	5.68	1.47	3.5		4.28	1.24	6.4	0.84	0.56	9	393
1833	DINNER (SUPPER)	supper	6.16	1.03	2.5		6.13	0.81	6.2	0.89	0	50	1695
1839	CRY	weep	5.41	1.57	3.56		4.46	1.44	4.54	1.7	0	38	1894
184	MAST	mast	5.68	1.38	3.92		4.14	1.33	6.09	1.13	0	26	1070
1841	SUSPECT	suspect	3.83	1.97	4.72		4.88	1.35	3.83	1.92	1.5	36	1701
1845	BALL	football	6.25	1.04	2.33		5.64	1.35	6.2	1.51	0.47	26	675
1850	COTTON	cotton	5.43	1.79	3.06		5.61	1.15	6.37	0.96	1.44	100	383
1851	POCKET	pocket	5.54	1.55	2.28		6.16	1.26	6.26	1.02	0.38	50	1308
1853	DOVE	pigeon	6.14	1.03	3.25		4.8	1.5	6.74	0.55	0.17	34	1290
1858	FISHERMAN	fisherman	6.11	1.31	2.89		4.65	1.29	6	1.47	0	26	656
1864	HUNGER	hunger	5.7	1.39	2.75		5.94	0.9	4.06	1.74	0	37	843
1875	REGRET	regret	3.65	1.91	4.28		5.29	1.17	2.49	1.44	0	33	1426
1892	TOUCH	touch	4.62	1.76	2.69		5.9	1.27	4.26	1.63	0.57	100	1770
1893	QUAIL	quail	4.43	2.28	5.36		3.06	1.31	6.23	1.27	0.35	7	1383
1895	CLOTHES	clothes	6.35	1.1	1.94		6.52	0.81	6.34	1.01	0	100	311
1896	FINGERNAIL OR TOENAIL	nail	6.03	1.52	2.72		5.75	1.3	6.57	0.69	0.85	50	1146
1897	HELP	help	4.95	1.59	2.22		6.11	1	3.51	1.89	0	100	804
1931	BEESWAX	wax	5.51	1.39	3.31		4.58	1.34	6.09	1.13	0	28	1889
1932	GUESS	guess	3.36	1.87	2.92		5.85	1.21	2.34	1.39	0	100	767
1934	BEGGAR	beggar	5.81	1.29	3.64		3.75	1.31	5.63	1.4	0	29	152
1936	DEER	deer	6.08	1.12	2.81		4.79	1.26	6.69	0.52	0	35	438
194	FAMILY	family	6	1.23	2.8		6.11	0.98	5.49	1.48	0	100	628
1940	GUARD	guard	5.35	1.66	3.44		4.95	1.46	5.49	1.42	1.5	100	766
1941	SOLDIER	soldier	6.19	1.11	2.75		5.07	1.13	6.14	1.2	0	100	1610
1948	SAW	saw	5.86	1.49	2.69		5.46	1.37	6.29	1.11	0.34	100	1509
1952	TORTURE	torture	5.86	1.45	4.08		4.48	1.35	4.49	1.75	0	25	1769
1966	BUNCH	bunch	5.05	1.68	3.17		5.07	1.23	5.14	1.44	0	32	225
1970	CANOE	canoe	6.08	1.24	3.94		4.41	1.31	6.6	0.68	0	32	246
1977	DEW	dew	5.65	1.55	3.31		4.27	1.36	6.09	1.05	0	30	468
1983	SNORE	snort	4.78	1.69	4.33		4.01	1.39	4.34	1.62	0.92	11	1603
1986	DISEASE	sickness	4.89	1.74	3.56		5.03	1.34	4.34	1.51	0	25	1571
1993	SELF	self	4.72	1.89	3.28		6.04	1.21	4.74	1.87	0	50	1535
2002	DITCH	ditch	5.75	1.44	2.92		4.87	1.46	6	1.12	0.34	28	502
2007	BOLT (OF LIGHTNING)	bolt	5.14	1.7	3.69		4.26	1.47	6.11	1.06	1.46	27	189
2008	RESCUE	rescue	4.62	1.55	3.67		5.32	1.18	3.77	1.57	0	30	1445
2009	DOG	dog	6.57	0.82	1.69		6.15	0.97	6.68	0.63	0	100	507
202	STRENGTH	strength	4.78	1.91	3.25		5.69	1.08	3.54	1.63	0	100	1668
2024	PLOT	plot	4	1.63	4.22		5.06	1.47	3.37	1.42	1.31	36	1305
2034	FROST	frost	6.19	1.09	2.64		5.65	1.26	6.2	1.01	0	41	702
2035	POND	pond	6.05	1.39	2.39		5.06	1.45	6.6	0.68	0	30	1315
2043	PEACH	peach	6.41	0.82	2.92		5.03	1.33	6.8	0.47	0	29	1257
2045	COLUMN	column	4.97	1.72	4.36		5.19	1.31	5.43	1.48	1.51	49	325
2058	STOOL	stool	5.92	1.38	2.03		5.69	1.31	6.49	1.02	0.17	16	1662
2062	INTEREST	interest	3.68	1.92	4.11		5.75	1.1	3.06	1.57	1.58	100	918
2102	BURN	burn	5.86	1.25	2.17		5.58	1.3	5.14	1.66	1.3	100	229
2149	CHOP (INTO PIECES)	chop	5.81	1.39	3.17		4.87	1.48	5.83	1.48	1.12	29	290
2150	MATTER	matter	2.84	1.6	4.11		5.72	1.23	4.51	2.13	1.62	100	1073
2159	GROUND	ground	5.32	1.58	2.58		5.83	1.23	5.97	1.23	0.77	100	763
216	MOVIE	movie	5.68	1.58	3.86		4.94	1.56	6.03	1.28	0	29	1135
2190	TASTE	flavour	4.78	1.54	3.42		5.38	1.2	4.63	1.57	0	23	662
2200	SNOUT	muzzle	5.19	1.63	4.61		3.69	1.18	6.17	1.18	0	9	1144
224	MORTAR	mortar	4.16	1.87	5.51		3.39	1.26	6.23	0.96	1.51	8	1129
2243	REPAIR	repair	4.46	1.7	3.75		5.43	1.28	4	1.76	0	47	1438
2244	METAL	metal	5.62	1.65	3.08		5.89	1.04	6.09	1.18	0	50	1091
2253	DRIP (EMIT LIQUID)	leak	5.51	1.48	3.36		5.14	1.29	4.89	1.75	0	8	994
2259	FLESH	flesh	5.54	1.57	4.11		4.85	1.37	6.4	0.76	0	50	664
2277	WHOLE	whole	3.59	1.92	2.89		6.09	1.02	2.71	1.45	0	100	1907
2297	DUSK	twilight	6.13	1.17	4.11		4.14	1.34	4.29	1.67	0	29	1803
2299	STRAW	straw	5.78	1.44	2.89		4.83	1.28	6.46	0.94	0.38	41	1667
23	RYE	rye	4.65	1.73	5		3.88	1.5	6.34	0.89	0.17	10	1490
230	SWEEP	sweep	5.19	1.62	2.81		4.8	1.39	4.82	1.99	1.15	44	1705
2335	CUNNING	cunning	3.86	1.71	4.26		4.22	1.2	2.54	1.36	0	28	411
2348	CRAB	crab	5.95	1.37	2.92		4.33	1.52	6.63	0.68	0.17	16	391
