CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	POS	WORDNET_ID	NLTK_NAME	HYPERNYMS	HYPONYMS	HYPERNYM_NAMES	HYPONYM_NAMES	IN_DEGREE	OUT_DEGREE	LINE_IN_SOURCE
1076	EMERGE (APPEAR)	appear	v	00422090-v	appear.v.02		00425845-v;01991347-v;00426749-v;00423702-v;00423430-v;00609352-v;02157519-v;00423971-v;00426581-v;00548266-v;00422899-v;00424691-v;00424869-v;01966501-v;00423075-v;00424499-v;00422764-v;00426156-v;00426301-v;00584604-v;02139544-v;00425522-v;00423257-v		basset.v.01;break.v.35;break_through.v.02;come_on.v.01;come_to_light.v.01;come_to_mind.v.01;crop_up.v.01;emerge.v.01;emerge.v.03;erupt.v.04;erupt.v.07;flash.v.02;flash.v.08;leap_out.v.02;manifest.v.03;outcrop.v.01;peep.v.05;pop_out.v.01;reappear.v.01;roll_in.v.01;show.v.08;turn_out.v.05;wash_up.v.04	0	23	327
1077	WHEAT	wheat	n	12142085-n	wheat.n.01	12141495-n	12142874-n;12142450-n;12143215-n;12142750-n;12143065-n;12143405-n	cereal.n.01	common_wheat.n.01;durum.n.01;emmer.n.01;soft_wheat.n.01;spelt.n.01;wild_wheat.n.01	1	6	4445
1082	MERCHANT	merchant	n	10309896-n	merchant.n.01	09882716-n	09833651-n;09865838-n;09884391-n;09930772-n;10141268-n;10147710-n;10162354-n;10221777-n;10461060-n;10525436-n;10542054-n;10549062-n;10557246-n;10577284-n;10592152-n;10652703-n;10720453-n;10748142-n;10754189-n	businessperson.n.01	baker.n.01;bookdealer.n.01;butcher.n.01;clothier.n.01;grain_merchant.n.01;grocer.n.01;hatmaker.n.01;jeweler.n.02;poultryman.n.01;retailer.n.01;rug_merchant.n.01;salter.n.02;schlockmeister.n.01;seller.n.01;shopkeeper.n.01;stationer.n.01;trader.n.01;venturer.n.01;vintner.n.01	1	19	4269
1084	CALL	call	v	00789448-v	call.v.03	00790703-v	00790135-v;00789934-v	telecommunicate.v.01	call_in.v.05;cell_phone.v.01	1	2	595
1085	FOLLOW	follow	v	01998432-v	follow.v.01	01835496-v	02001699-v;01997862-v;02001461-v;01998125-v	travel.v.01	carry.v.30;lag.v.01;shadow.v.01;tailgate.v.01	1	4	1582
1086	WORK (ACTIVITY)	work	v	02410855-v	work.v.02		02343056-v;02408281-v;02420232-v;02394183-v;02412939-v;02576110-v;02420789-v;02419773-v;02420991-v;02420606-v;01095218-v;02411621-v;02421199-v;02460883-v;02411529-v;02464481-v		bank.v.05;drive.v.13;farm.v.01;fill.v.04;fink.v.01;freelance.v.01;job.v.03;labor.v.02;man.v.01;moonlight.v.01;serve.v.02;serve.v.13;slave.v.01;subcontract.v.02;tinker.v.02;turn_a_trick.v.01	0	16	1857
1087	CONCEIVE	conceive	v	00054285-v	conceive.v.03	00146138-v	00067850-v	change_state.v.01	superfetate.v.01	1	1	76
1088	SINK (DESCEND)	sink	v	01989873-v	sink.v.04	01970826-v	01990168-v;01991472-v;01986185-v	descend.v.01	founder.v.02;submerge.v.01;subside.v.03	1	3	1576
1092	HOPE	hope	n	07541053-n	hope.n.02	00026192-n	07541449-n;07541316-n;07541558-n	feeling.n.01	encouragement.n.03;hopefulness.n.02;optimism.n.01	1	3	3680
1093	MIDDLE	middle	n	05868272-n	middle.n.02	05867413-n		part.n.09		1	0	3084
1094	FASTEN	fasten	v	01340439-v	fasten.v.01	01296462-v	01304944-v;01304716-v;01342910-v;01342755-v;01342636-v;01366061-v;01342536-v;01303547-v;01286554-v;01342439-v;01548576-v;01548290-v;01367862-v;01288921-v;01366653-v;01288636-v;01342340-v;01302982-v;01343610-v;01304602-v;01344903-v;01344748-v;01600098-v;01304466-v;01341815-v;01531025-v;01287681-v;01366809-v;01481360-v;01481647-v;01348599-v;01365549-v;01604586-v;01604696-v;01286777-v;01348174-v;01348452-v;01528069-v;01305542-v;01305099-v;01342124-v;01289026-v;01368264-v;01286151-v;01367266-v;01289330-v;01329239-v;01306175-v;01591940-v;01367069-v;01344643-v;00083523-v;01360423-v;01357429-v;01285440-v;01608004-v;01343773-v;01599052-v;01353670-v	attach.v.01	anchor.v.01;anchor.v.02;bar.v.04;belay.v.01;belay.v.02;belt.v.03;bight.v.01;bind.v.04;bitt.v.01;brad.v.01;brooch.v.01;buckle.v.01;button.v.02;cable.v.02;cement.v.03;chain.v.02;chock.v.01;cinch.v.01;clamp.v.01;cleat.v.02;clinch.v.01;clinch.v.05;coapt.v.02;cramp.v.01;crank.v.04;entrench.v.01;garter.v.01;grout.v.01;hang.v.02;hang.v.14;hasp.v.01;hook.v.01;joggle.v.02;joint.v.03;latch.v.01;lock.v.01;lock_up.v.01;lodge.v.02;moor.v.01;moor.v.03;noose.v.02;picket.v.02;pin.v.02;rig.v.03;rivet.v.02;rope_up.v.01;sew.v.01;spike.v.03;stake.v.04;staple.v.01;stay.v.10;strap.v.04;string.v.05;tack.v.01;tie.v.01;toggle.v.02;velcro.v.01;wire.v.03;zip_up.v.01	1	59	1119
1095	LET GO OR SET FREE	release	n	00213694-n	release.n.11	00212808-n	00213903-n	relinquishment.n.02	exemption.n.03	1	1	186
1097	ABANDON	abandon	v	00614057-v	abandon.v.05	00613683-v	02228268-v;00614444-v;02228355-v;00614664-v	leave.v.02	ditch.v.01;expose.v.09;maroon.v.01;walk_out.v.03	1	4	445
1098	WEIGH	weigh	v	02704617-v	weigh.v.03	00489837-v	01456341-v	quantify.v.02	heft.v.02	1	1	2044
1100	COOK (SOMETHING)	cook	v	01664172-v	cook.v.02	01653013-v	01666131-v;01664704-v;01665507-v;00542809-v;01664981-v;01679669-v;01665836-v;00212414-v;01665185-v;01664847-v;01666002-v	create_from_raw_material.v.01	concoct.v.02;deglaze.v.01;devil.v.02;dress.v.06;flambe.v.01;lard.v.01;precook.v.01;preserve.v.04;put_on.v.03;scallop.v.02;whip_up.v.01	1	11	1327
1102	CLIMB	climb	v	01921964-v	climb.v.01	01968569-v	01922576-v;01922895-v;01922754-v;02095545-v;01922466-v	rise.v.01	escalade.v.01;mountaineer.v.01;ramp.v.04;ride.v.11;scale.v.05	1	5	1516
1103	SACRIFICE	sacrifice	n	00227595-n	sacrifice.n.04	00219012-n	00227848-n;00227969-n	killing.n.02	hecatomb.n.01;immolation.n.01	1	2	196
1104	NURSE	nurse	n	10366966-n	nurse.n.01	10165109-n	10106642-n;10140929-n;10164492-n;10258304-n;10303186-n;10314836-n;10477713-n;10516527-n;10565197-n;10756937-n	health_professional.n.01	foster-nurse.n.01;graduate_nurse.n.01;head_nurse.n.01;licensed_practical_nurse.n.01;matron.n.03;midwife.n.01;probationer.n.01;registered_nurse.n.01;scrub_nurse.n.01;visiting_nurse.n.01	1	10	4282
1105	CAMP	camp	n	02945379-n	camp.n.05	03907654-n	03086183-n;03630849-n;04005912-n;04600764-n	penal_institution.n.01	concentration_camp.n.01;labor_camp.n.01;prison_camp.n.01;work_camp.n.01	1	4	2186
1107	GO OUT	exit	n	03303965-n	exit.n.01	03848729-n	03859608-n	opening.n.10	outfall.n.01	1	1	2300
1108	UNCOVER	uncover	v	02143283-v	uncover.v.01	02137132-v	02137710-v;02143539-v;02143906-v;02144101-v	show.v.04	disclose.v.02;excavate.v.01;trot_out.v.01;unfold.v.02	1	4	1679
1109	WOUND	wound	n	14298815-n	wound.n.01	14285662-n	14286549-n;14287408-n;14287113-n;14287314-n;14286339-n;14286435-n	injury.n.01	abrasion.n.01;bite.n.01;cut.n.05;laceration.n.01;raw_wound.n.01;stigmata.n.01	1	6	4739
1110	SHARK	shark	n	01482330-n	shark.n.01	01482071-n	01495493-n;01486540-n;01488385-n;01483021-n;01491874-n;01494475-n;01483522-n;01486838-n;01488918-n;01487506-n;01486010-n;01488038-n	elasmobranch.n.01	angel_shark.n.01;carpet_shark.n.01;cat_shark.n.01;cow_shark.n.01;dogfish.n.02;hammerhead.n.03;mackerel_shark.n.01;nurse_shark.n.01;requiem_shark.n.01;sand_tiger.n.01;thresher.n.02;whale_shark.n.01	1	12	1219
1111	CAR	car	n	02958343-n	car.n.01	03791235-n	02701002-n;02814533-n;02924554-n;02930766-n;03079136-n;03100240-n;03119396-n;03141065-n;03268790-n;03421669-n;03493219-n;03498781-n;03539103-n;03543394-n;03594945-n;03670208-n;03680512-n;03770085-n;03770679-n;03777568-n;03870105-n;04037443-n;04097373-n;04166281-n;04285965-n;04285008-n;04302988-n;04322924-n;04347119-n;04459122-n;04516354-n	motor_vehicle.n.01	ambulance.n.01;beach_wagon.n.01;bus.n.04;cab.n.03;compact.n.03;convertible.n.01;coupe.n.01;cruiser.n.01;electric.n.01;gas_guzzler.n.01;hardtop.n.01;hatchback.n.01;horseless_carriage.n.01;hot_rod.n.01;jeep.n.01;limousine.n.01;loaner.n.02;minicar.n.01;minivan.n.01;model_t.n.01;pace_car.n.01;racer.n.02;roadster.n.01;sedan.n.01;sport_utility.n.01;sports_car.n.01;stanley_steamer.n.01;stock_car.n.01;subcompact.n.01;touring_car.n.01;used-car.n.01	1	31	2197
1112	SUCCEED	succeed	v	02406585-v	succeed.v.02		02381397-v;02405390-v		accede.v.02;supplant.v.01	0	2	1854
1113	WRAP	wrap	v	01283208-v	wrap.v.01	01332730-v	01283893-v;01283611-v;01284160-v;01283746-v;01284002-v;01300437-v	cover.v.01	cere.v.01;do_up.v.01;gift-wrap.v.01;parcel.v.03;shrinkwrap.v.01;shroud.v.03	1	6	1099
1114	BULLET	bullet	n	02916350-n	bullet.n.01	04008634-n	03255488-n;03402369-n;04090548-n;04116389-n	projectile.n.01	dumdum.n.01;full_metal_jacket.n.01;rifle_ball.n.01;rubber_bullet.n.01	1	4	2165
1115	SPEECH	speech	n	07110457-n	speech.n.04	07129867-n		speaking.n.01		1	0	3485
1117	LIKE	like	v	01776952-v	like.v.03					0	0	1400
1120	HONEST	honest	a	01222360-a	honest.a.01					0	0	1042
1121	SECRET	secret	n	06673142-n	secret.n.01	06634376-n	06673435-n;06674028-n;06674385-n	information.n.01	confidence.n.05;open_secret.n.01;trade_secret.n.01	1	3	3351
1125	BALD	bald	s	00210848-a	bald.s.02					0	0	183
1128	ORDER	order	n	07279687-n	order.n.13	07185325-n	07279968-n	request.n.02	short_order.n.01	1	1	3559
1129	PAINFUL	painful	a	01711071-a	painful.a.01					0	0	1350
113	SHORE	beach	n	09217230-n	beach.n.01	09287968-n	09393524-n	geological_formation.n.01	plage.n.01	1	1	4022
1132	BEAM	beam	n	02815950-n	beam.n.02	03932203-n;04341414-n	02884859-n;02953056-n;03437941-n;03503233-n;03502897-n;03601840-n;03609542-n;03609959-n;04045644-n;04088982-n;04089152-n;04204468-n;04433377-n;04436185-n;04475496-n	piece.n.01;structural_member.n.01	box_beam.n.01;cantilever.n.01;girder.n.01;header.n.02;header.n.04;joist.n.01;keel.n.03;keelson.n.01;rafter.n.01;rider_plate.n.01;ridge.n.06;shore.n.02;tie.n.04;timber.n.02;trave.n.01	2	15	2112
1133	MATCH	match	v	00456596-v	match.v.09	00150287-v		adjust.v.03		1	0	351
1134	DIVORCE	divorce	n	01201271-n	divorce.n.01	01201021-n		separation.n.05		1	0	1022
1135	KICK	kick	v	01370561-v	kick.v.03	01400044-v	01372556-v;01370245-v	hit.v.03	boot.v.01;scuff.v.04	1	2	1135
1136	RABBIT	rabbit	n	02324045-n	rabbit.n.01	02323902-n	02328150-n;02328009-n;02324587-n;02324850-n;02324514-n;02324431-n;02325366-n	leporid.n.01	angora.n.03;belgian_hare.n.01;bunny.n.02;european_rabbit.n.01;lapin.n.02;rabbit_ears.n.02;wood_rabbit.n.01	1	7	1803
1141	PITY	pity	n	07305098-n	pity.n.02	07304852-n		misfortune.n.01		1	0	3573
1142	URINE	urine	n	14855724-n	urine.n.01	14853947-n		body_waste.n.01		1	0	4867
1143	OVEN	oven	n	03862676-n	oven.n.01	03620052-n	02905036-n;03259280-n;03425241-n;04111531-n;04388473-n	kitchen_appliance.n.01	broiler.n.01;dutch_oven.n.01;gas_oven.n.02;rotisserie.n.01;tandoor.n.01	1	5	2477
