NUMBER	GLOSS	SENSES	A	B	C	D	
1807	dragon-fly	insect	0	0	0	0
1808	dram	measure	0	0	0	0
1809	draw (V)	to beat;to write;to rub;to scoop;to bend;to scrape	0	0	0	0
1810	draw in (V)	deep;little;to suck	0	0	0	0
1811	draw into the nose (V)	noise	0	0	0	0
1812	draw out (V)	milk;wide	0	0	0	0
1813	draw to an end (V)	to tire	0	0	0	0
1814	draw together at the ends (V)	to bend	0	0	0	0
1815	draw up (V)	to drink	0	0	0	0
1816	draw water (V)	to scoop;vessel	0	0	0	0
1817	draw with strain (V)	free	0	0	0	0
1818	drawer	vessel	0	0	0	0
1819	drawing	to write	0	0	0	0
1820	drawn aside	crooked	0	0	0	0
1821	drawn out	wide	0	0	0	0
1822	drawn together	to press	0	0	0	0
1823	dream	dream;to sleep	0	0	0	0
1824	dream (V)	dream;to sleep	0	0	0	0
1825	dreggy	dirt	0	0	0	0
1826	dregs	dirt	0	0	0	0
1827	dress	clothes	0	0	0	0
1828	dress (V)	clothes;to press	0	0	0	0
1829	dried up	dry	0	0	0	0
1830	drift (V)	to flow;light	0	0	0	0
1831	drill	knife	0	0	0	0
1832	drill (V)	to dance	0	0	0	0
1833	drink	beer;to drink	0	0	0	0
1834	drink (V)	beer;to drink;to eat;to sink;vessel;to suck;to pour	0	0	0	92
1835	drip (V)	drop;to flow	0	0	0	0
1836	drive (V)	to drive;shape;to meet;to run	0	0	0	0
1837	drive along (V)	to drive	0	0	0	0
1838	drive away (V)	to drive	0	0	0	0
1839	drive back (V)	to roll	0	0	0	0
1840	drive out (V)	to stay	0	0	0	0
1841	drivel	mucus	0	0	0	0
1842	drizzle	sky;snow	0	0	0	0
1843	dromedary	deer	0	0	0	0
1844	droop (V)	to bend;to hang	0	0	0	0
1845	drop	drop;rain;to fall;to flow;spot	0	0	0	0
1846	drop (V)	drop;to fall;to bend;rain;to put;to flow;to fly	0	0	0	0
1847	drop or let fall (V)	to stay	0	0	0	0
1848	drought	dry;hunger	0	0	0	0
1849	drove	horse	0	0	0	0
1850	drown (V)	to sink;to die	0	0	0	0
1851	drowsy	hunger;weak	0	0	0	0
1852	drug	beer;devil;grass;liquid	0	0	0	0
1853	drum	music	0	0	0	0
1854	drum (V)	music	0	0	0	0
1855	drunk	dark;to sink;beer;sour	0	0	0	0
1856	drunken	beer	0	0	0	0
1857	dry	dry;hunger;to roast;to break;to wither	0	0	0	195
1858	dry (V)	dry;to burn	0	0	0	0
1859	dry matter	dust	0	0	0	0
1860	dry off (V)	dry	0	0	0	0
1861	dry season	time	0	0	0	0
1862	dry up (V)	dry;to roast;bad;little	0	0	0	0
1863	dry-rot	coal	0	0	0	0
1864	drying	dry	0	0	0	0
1865	duck	bird	0	0	0	0
1866	duck-boards	stick	0	0	0	0
1867	duck-hawk	bird	0	0	0	0
1868	due to	together	0	0	0	0
1869	dug-out	empty;hole;middle	0	0	0	0
1870	dull	dark;blunt;grief;silly;to wither;to sleep	0	0	0	192
1871	dull-sighted	dark	0	0	0	0
1872	dullness	dark	0	0	0	0
1873	dumb	dark;blunt;grief;dumb;bad;silly	0	0	0	0
1874	dumpling	grain	0	0	0	0
1875	dun-bird	bird	0	0	0	0
1876	dung	dirt;mucus	0	0	0	0
1877	dungwash	dirt	0	0	0	0
1878	durable	hard;strong	0	0	0	0
1879	duration	shape	0	0	0	0
1880	dusk	dark;to cover;time	0	0	0	0
1881	dust	dust;coal;earth;smoke;wind;dirt	0	0	0	158
1882	dust (V)	dust	0	0	0	0
1883	dust-storm	smoke	0	0	0	0
1884	duty	debt;able	0	0	0	0
1885	dwarf	little	0	0	0	0
1886	dwarfish	little;short	0	0	0	0
1887	dwell (V)	to put;to be;to sit	0	0	0	0
1888	dwelling	house;door;village	0	0	0	0
1889	dwelling-place	house	0	0	0	0
1890	dye (V)	to paint;to sink	0	0	0	0
1891	each	pronoun;all;one;together	0	0	0	0
1892	eager	heavy	0	0	0	0
1893	eagle	bird	0	0	0	0
1894	ear 1	ear;handle;to hear;head	0	0	0	73
1895	ear 2	fruit;thorn;skin	0	0	0	0
1896	ear of grain	fruit;thorn	0	0	0	0
1897	ear of maize	skin	0	0	0	0
1898	ear of needle	to sew	0	0	0	0
1899	ear-ring	ornament;to bend	0	0	0	0
1900	ear-wax	dirt;ear	0	0	0	0
1901	earlier	to bear;child;old	0	0	0	0
1902	early	time;quick	0	0	0	0
1903	early morning	time	0	0	0	0
1904	earn (V)	to take;to tire	0	0	0	0
1905	earth	dirt;earth;valley;below	0	0	0	159
1906	earth up (V)	to swell	0	0	0	0
1907	earth-worm	worm;insect	0	0	0	0
1908	earthen pot	vessel	0	0	0	0
1909	earthen vessel	vessel	0	0	0	0
1910	earthenware	vessel	0	0	0	0
1911	ease	light;luck	0	0	0	0
1912	ease (V)	to wait	0	0	0	0
1913	east	side;top;mountain;front	0	0	0	0
1914	easy	light;good;slow;luck;soft;to tire	0	0	0	0
1915	eat (V)	to drink;to eat;to bite;grain;to suck;belly	0	0	0	93
1916	eat alone	to endure	0	0	0	0
1917	eat the outside of a thing (V)	to rub	0	0	0	0
1918	eclipse	dark	0	0	0	0
1919	edge	edge;side;fringe;mouth;sharp;head;end;stick;shore;thorn;front	0	0	0	0
1920	edible fruit	fruit;vegetable	0	0	0	0
1921	edible herbs	to mow	0	0	0	0
1922	edible leaves	vegetable	0	0	0	0
1923	edible plant	vegetable;onion	0	0	0	0
1924	edible root	vegetable	0	0	0	0
1925	educate (V)	to move	0	0	0	0
1926	eel	fish	0	0	0	0
1927	effervesce (V)	liquid	0	0	0	0
1928	efficient	good	0	0	0	0
1929	effort	strong;to make;to work	0	0	0	0
1930	egg	egg;nit;circle;skin;grain;nest;child;stone	0	0	0	67
1931	egg of a louse	nit	0	0	0	0
1932	egg-fruit	vegetable	0	0	0	0
1933	egg-plant	vegetable	0	0	0	0
1934	eglantine	grass	0	0	0	0
1935	eight	eight	0	0	0	0
1936	eject forcibly from the throat (V)	mucus	0	0	0	0
1937	elapse (V)	to pass	0	0	0	0
1938	elastic	wide;to press	0	0	0	0
1939	elbow	joint;to bend;bone;hand	0	0	0	0
1940	elder	big;relative;many;time	0	0	0	0
1941	elder brother	host;relative	0	0	0	0
1942	elder brother or sister	relative	0	0	0	0
1943	elder female relative	relative	0	0	0	0
1944	elder relative	relative	0	0	0	0
1945	elder sister	relative	0	0	0	0
1946	elder sister of a female person	relative	0	0	0	0
1947	elder sister or brother	relative	0	0	0	0
1948	eldest	relative;big	0	0	0	0
1949	eldest (of brothers)	relative	0	0	0	0
1950	eldest brother	relative	0	0	0	0
1951	elecampane	grass	0	0	0	0
1952	elegant	good	0	0	0	0
1953	elegantly dressed	clothes	0	0	0	0
1954	elephant	elephant	0	0	0	0
1955	elevate (V)	high	0	0	0	0
1956	elevated	high	0	0	0	0
1957	elevation	top	0	0	0	0
1958	eliminate (V)	to drive	0	0	0	0
1959	elk	goat;deer	0	0	0	0
1960	elm	tree	0	0	0	0
1961	elongated	to stand	0	0	0	0
1962	eloquence	to speak	0	0	0	0
1963	else	foreign	0	0	0	0
1964	emaciated	to tire;hunger;light	0	0	0	0
1965	emanate from (V)	to go	0	0	0	0
1966	emancipate (V)	free	0	0	0	0
1967	embankment	mountain	0	0	0	0
1968	embarrass (V)	grief;to deceive	0	0	0	0
1969	embers	to burn	0	0	0	0
1970	embrace (V)	to carry;to take;to bind;to love;to cover	0	0	0	0
1971	embroider (V)	to sew	0	0	0	0
1972	embroidery	sign;to sew;to write	0	0	0	0
1973	embryo	egg	0	0	0	0
1974	emerge from (V)	to go	0	0	0	0
1975	eminent	to love	0	0	0	0
1976	emit (V)	to pour	0	0	0	0
1977	emit odor (V)	to smell	0	0	0	0
1978	emit smell (V)	to smell	0	0	0	0
1979	emmet	insect	0	0	0	0
1980	emotion	grief	0	0	0	0
1981	emperor	god;devil	0	0	0	0
1982	empire	place	0	0	0	0
1983	employ (V)	to make;to take;to work;to know;to send	0	0	0	0
1984	employed	to work	0	0	0	0
1985	empty	empty;hole;hunger;dry;bad;naked	0	0	0	0
1986	empty a cup (V)	spoon	0	0	0	0
1987	empty husk	empty	0	0	0	0
1988	empty shell	empty	0	0	0	0
1989	empty space	hole	0	0	0	0
1990	emulate (V)	to curse	0	0	0	0
1991	enable (V)	able	0	0	0	0
1992	encamp (V)	circle	0	0	0	0
1993	encircle (V)	circle;obstacle;to bind;together;trap;to bend	0	0	0	0
1994	enclose (V)	to twist	0	0	0	0
1995	enclosure	circle;obstacle;earth;fence;house	0	0	0	0
1996	encompass (V)	to twist;to roll;to bind	0	0	0	0
1997	encounter (V)	to meet	0	0	0	0
1998	encourage (V)	to drive;to love	0	0	0	0
1999	encroach upon (V)	thief	0	0	0	0
2000	end	below;mouth;end;sign;edge;side;back	0	0	0	0
2001	end (V)	end	0	0	0	0
2002	endeavour	to work;to tire	0	0	0	0
2003	endeavour (V)	to work	0	0	0	0
2004	ended	particle;end	0	0	0	0
2005	ended (V)	end	0	0	0	0
2006	ending	sign	0	0	0	0
2007	endow (V)	to give;to stay	0	0	0	0
2008	endure (V)	sick;to endure;to stand;anger;to love	0	0	0	0
2009	enduring	sick	0	0	0	0
2010	enemy	devil;together;war;to meet;to take;bad	0	0	0	0
2011	energetic	anger;strong	0	0	0	0
2012	energy	heavy;to live;strong	0	0	0	0
2013	engagement	debt	0	0	0	0
2014	engrave (V)	to cut;to dig;sign	0	0	0	0
2015	enjoin (V)	to drive	0	0	0	0
2016	enjoy (V)	luck;good;heart	0	0	0	0
2017	enjoy sleep (V)	to sleep	0	0	0	0
2018	enlarge (V)	many;to swell	0	0	0	0
2019	enlighten (V)	to shine;to know;to think	0	0	0	0
2020	enmity	to curse;anger	0	0	0	0
2021	enough	good;many;end;full	0	0	0	0
2022	enough for all	many	0	0	0	0
2023	enslave (V)	slave	0	0	0	0
2024	ensnare (V)	thief	0	0	0	0
2025	enter (V)	to go;to pierce;to sink	0	0	0	0
2026	entertain (V)	to play;luck;to give	0	0	0	0
2027	entertainment	to play	0	0	0	0
2028	entice (V)	thief;to call;to love	0	0	0	0
2029	entire	body;end;full;together	0	0	0	0
2030	entirely	end;to tire;thousand	0	0	0	0
2031	entrails	belly	0	0	0	0
2032	entrust (V)	to give;to know	0	0	0	0
2033	entwine (V)	to twist	0	0	0	0
2034	enumerate (V)	to count	0	0	0	0
2035	envelop (V)	vessel	0	0	0	0
2036	envelope	to cover	0	0	0	0
2037	envious	bad	0	0	0	0
2038	environs	place	0	0	0	0
2039	envy	grief	0	0	0	0
2040	envy (V)	sick;to want;name;to speak;debt;to play	0	0	0	0
2041	epidemics	devil;sick;bad	0	0	0	0
2042	epigastric region	belly	0	0	0	0
2043	epiphytic fig tree	grain	0	0	0	0
2044	epoch	time	0	0	0	0
2045	epos	front	0	0	0	0
2046	equal	one;two;straight;similar;together	0	0	0	0
2047	equal to	to endure	0	0	0	0
2048	equally	together	0	0	0	0
2049	erase (V)	to rub	0	0	0	0
2050	erect	stick;to make;to stand;top;to pierce	0	0	0	0
2051	erect (V)	to make;to put;fence;top	0	0	0	0
2052	ermine	marten	0	0	0	0
2053	err (V)	to deceive;to divide;bad;grief	0	0	0	0
2054	error	bad;to deceive;to divide	0	0	0	0
2055	escape (V)	free;to flow;to divide;to go	0	0	0	0
2056	escort (V)	to follow	0	0	0	0
2057	escorting	to follow	0	0	0	0
2058	essence of flowers	fat	0	0	0	0
2059	essential part	middle	0	0	0	0
2060	essentiality	shape	0	0	0	0
2061	establish (V)	to put;to make;fence	0	0	0	0
2062	estate	earth;to take	0	0	0	0
2063	esteem	to speak;to praise;to measure	0	0	0	0
2064	esteem (V)	to love;to praise;good;to want;debt;to measure	0	0	0	0
2065	estimate (V)	to measure	0	0	0	0
2066	ethic	heart	0	0	0	0
2067	ethnic	foreign	0	0	0	0
2068	euphorbia	swamp	0	0	0	0
2069	evacuate the intestines (V)	dirt	0	0	0	0
2070	evaluate (V)	to measure	0	0	0	0
2071	evaporate (V)	dry;to roast	0	0	0	0
2072	evaporation	wind	0	0	0	0
2073	even	flat;straight;two;soft;to rub;field;wide	0	0	0	0
2074	evening	dark;time;to sink;night	0	0	0	0
2075	evening twilight	dark	0	0	0	0
2076	event	time	0	0	0	0
2077	every	all;many;twenty;together	0	0	0	0
2078	everything	all	0	0	0	0
2079	everywhere	to twist;together	0	0	0	0
2080	evident	to see	0	0	0	0
2081	evil	bad;to curse;to destroy	0	0	0	0
2082	evil spirit	devil	0	0	0	0
2083	ewe	sheep	0	0	0	0
2084	exact	good	0	0	0	0
2085	exact (V)	to endure	0	0	0	0
2086	exactly	time	0	0	0	0
2087	exalt (V)	high;to guard	0	0	0	0
2088	exalted	high	0	0	0	0
2089	examination	to measure	0	0	0	0
2090	examine (V)	to think;to see;to speak	0	0	0	0
2091	example	shape;similar;face	0	0	0	0
2092	exasperated	weak	0	0	0	0
2093	excavate (V)	grave;to dig	0	0	0	0
2094	exceed (V)	many;to move	0	0	0	0
2095	excel (V)	good	0	0	0	0
2096	excellent	good;thing	0	0	0	0
2097	exceptional	little	0	0	0	0
2098	excessive	full	0	0	0	0
2099	excessively	many;to pass	0	0	0	0
2100	exchange (V)	to change;to move;debt	0	0	0	0
2101	exchange for (V)	to change	0	0	0	0
2102	excite (V)	to move;to burn	0	0	0	0
2103	excrement	dirt;urine;dust;belly	0	0	0	0
2104	excrescence	wart;to swell;to grow	0	0	0	0
2105	excuse (V)	to think	0	0	0	0
2106	exercise (V)	to learn	0	0	0	0
2107	exertion	bitter	0	0	0	0
2108	exhaust (V)	hunger;to tire;end	0	0	0	0
2109	exhausted	end;to tire;to endure;bad;hunger;old	0	0	0	0
2110	exhausted as liquid	dry	0	0	0	0
2111	exhibit (V)	to see	0	0	0	0
2112	exhort (V)	to drive	0	0	0	0
2113	exhortation	to speak	0	0	0	0
2114	exile (V)	free	0	0	0	0
2115	exist (V)	to be;to sit	0	0	0	0
2116	existence	to be	0	0	0	0
2117	existing	to be	0	0	0	0
2118	exorcize (V)	devil	0	0	0	0
2119	expand (V)	wide	0	0	0	0
2120	expanse (of water)	water	0	0	0	0
2121	expect (V)	to wait	0	0	0	0
2122	expel (V)	side;to drive;to go;free;to throw	0	0	0	0
2123	expense	debt	0	0	0	0
2124	expensive	end;expensive;to love;little	0	0	0	0
2125	experience	to endure	0	0	0	0
2126	experience (V)	to endure	0	0	0	0
2127	experienced	to know	0	0	0	0
2128	experiment	to touch	0	0	0	0
2129	expire (V)	to die	0	0	0	0
2130	explain (V)	to speak;to see;to know;sign	0	0	0	0
2131	explain details (V)	to see	0	0	0	0
2132	explanation	to think	0	0	0	0
2133	explode (V)	to pierce	0	0	0	0
2134	expose (V)	wide	0	0	0	0
2135	exposed	dry	0	0	0	0
2136	exposed to the sun	to roast	0	0	0	0
2137	express (V)	to speak	0	0	0	0
2138	extend (V)	big;to swell;wide;long;many;to pull	0	0	0	0
2139	extend in time (V)	time	0	0	0	0
2140	extended	long;wide;full	0	0	0	0
2141	extension	wide	0	0	0	0
2142	extensive	big;earth	0	0	0	0
2143	extent	edge;to reach	0	0	0	0
2144	exterior	face;side;shape;front	0	0	0	0
2145	exterminate (V)	hunt	0	0	0	0
2146	external	face;side	0	0	0	0
2147	extinguish (V)	to destroy;end;time;to hide	0	0	0	0
2148	extinguished	to destroy;empty;bad	0	0	0	0
2149	extol (V)	to praise	0	0	0	0
2150	extort (V)	to pinch;thief	0	0	0	0
2151	extra	many	0	0	0	0
2152	extract (V)	to press;to take	0	0	0	0
2153	extreme	strong;many	0	0	0	0
2154	extremely	true;big	0	0	0	0
2155	extremity	edge;foot;joint	0	0	0	0
2156	exuberance	many	0	0	0	0
2157	exuberant	to grow	0	0	0	0
2158	exude (V)	liquid	0	0	0	0
2159	exuviae	skin	0	0	0	0
2160	exuviate (V)	to wither;skin;sick	0	0	0	0
2161	eye	eye;to see	0	0	0	74
2162	eye of a needle	hole	0	0	0	0
2163	eyeball	eye;to see	0	0	0	0
2164	eyebrow	hair;head;edge;face	0	0	0	0
2165	eyelash	head;hair	0	0	0	0
2166	eyelid	skin;head;shadow	0	0	0	0
2167	eyesight	to see	0	0	0	0
2168	fabric	hair;skin;cloth	0	0	0	0
2169	fabulous creature	devil	0	0	0	0
2170	fabulous flying snake	devil	0	0	0	0
2171	fabulous nocuous water animal	devil	0	0	0	0
2172	face	cheek;face;body;skin;nose;similar;front	0	0	0	0
2173	facing	clothes;to sew	0	0	0	0
2174	fact	to endure	0	0	0	0
2175	fade (V)	to wither;end;skin;old;to drive;sick	0	0	0	0
2176	faded	to wither;to tire	0	0	0	0
2177	faecal	dirt	0	0	0	0
2178	faeces	dirt	0	0	0	0
2179	fagged out	to tire	0	0	0	0
2180	fail (V)	bad;to deceive;thief	0	0	0	0
2181	faint (V)	dark;to tire;silly;to sleep;to pull;to forget;weak	0	0	0	0
2182	faint away (V)	to die	0	0	0	0
2183	fair	good;blue	0	0	0	0
2184	fair-skinned	to shine	0	0	0	0
2185	fairway	to flow	0	0	0	0
2186	fairy-tale	devil;front	0	0	0	0
2187	falcon	bird	0	0	0	0
2188	fall (V)	rain;to fall;to sink;to roll;snow;to move;to lie;to put	0	0	0	127
2189	fall asleep (V)	to sleep	0	0	0	0
2190	fall behind (V)	to fall	0	0	0	0
2191	fall down (V)	to fall	0	0	0	0
2192	fall in (V)	little	0	0	0	0
2193	fall in drops (V)	drop;rain	0	0	0	0
2194	fall in torrents (V)	rain	0	0	0	0
2195	fall into (V)	to fall	0	0	0	0
2196	fall into pieces (V)	to break	0	0	0	0
2197	fall off (V)	to fall;to wither	0	0	0	0
2198	fall out (V)	to fall	0	0	0	0
2199	fall over (V)	top	0	0	0	0
2200	fall through (V)	to fall	0	0	0	0
2201	fall upon (V)	to beat;to follow	0	0	0	0
2202	fall upon one's face (V)	to press	0	0	0	0
2203	fall-ploughing	plough	0	0	0	0
2204	fallow	field	0	0	0	0
2205	false	to deceive	0	0	0	0
2206	falsehood	to deceive	0	0	0	0
2207	falter (V)	to deceive	0	0	0	0
2208	fame	to know;to speak	0	0	0	0
2209	family	group;house;grain;village	0	0	0	0
2210	famine	hunger	0	0	0	0
2211	fan	to shake	0	0	0	0
2212	fan (V)	to shake;to throw	0	0	0	0
2213	fancy	to think	0	0	0	0
2214	fancy (V)	to think	0	0	0	0
2215	fang	tooth;horn;thorn	0	0	0	0
2216	far	long;far;to divide;wide;to pass	0	0	0	198
2217	far apart	far	0	0	0	0
2218	far away	long;far	0	0	0	0
2219	farcy	throat	0	0	0	0
2220	farmstead	house;place	0	0	0	0
2221	farrow	barren;deer	0	0	0	0
2222	fart	to smell	0	0	0	0
2223	fart (V)	to blow;dirt	0	0	0	0
2224	farther on	pronoun	0	0	0	0
2225	fashion	shape	0	0	0	0
2226	fashion (V)	to cut	0	0	0	0
2227	fast	hard;quick;to adhere;strong	0	0	0	0
2228	fast (V)	hunger	0	0	0	0
2229	fasten (V)	obstacle;to bind;to take	0	0	0	0
2230	fasting	hunger	0	0	0	0
2231	fat	fat;belly;soft;thick;to swell;meat	0	0	0	66
2232	fate	name;road;shape;good	0	0	0	0
2233	fates	devil	0	0	0	0
2234	father	father;relative	0	0	0	43
2235	father's brother	relative	0	0	0	0
2236	father's older sister's husband	relative	0	0	0	0
2237	father's sister	relative	0	0	0	0
2238	father's sister's husband	relative	0	0	0	0
2239	father's younger brother	relative	0	0	0	0
2240	father-in-law	relative	0	0	0	0
2241	fatherless	one	0	0	0	0
2242	fathom	measure;hand;wide;long	0	0	0	0
2243	fatigue	to tire	0	0	0	0
2244	fatigued	to tire	0	0	0	0
2245	fault	bad;wound;to curse	0	0	0	0
2246	faulty	bad	0	0	0	0
2247	favour	to love;good;luck	0	0	0	0
2248	favour (V)	to love;to guard	0	0	0	0
2249	favourable	good	0	0	0	0
2250	fawn	deer	0	0	0	0
2251	fear	to fear;to shake;grief	0	0	0	0
2252	fear (V)	to fear;to shake;to praise;to follow	0	0	0	106
2253	feast	to play;to make;to give;face;luck;ornament;god	0	0	0	0
2254	feather	hair;feather;wing;to fly;skin;bird;neck	0	0	0	70
2255	feather-grass	grass	0	0	0	0
2256	feature	shape	0	0	0	0
2257	fed with	to tire	0	0	0	0
2258	fee	to endure;debt	0	0	0	0
2259	feeble	slow;to tire	0	0	0	0
2260	feed (V)	to eat;to guard;grain;to lick;belly;to love	0	0	0	0
2261	feel (V)	to know;to think;to beat;to touch	0	0	0	0
2262	feeling	to fear;to love;to think	0	0	0	0
2263	feet	foot	0	0	0	0
2264	feign (V)	to deceive	0	0	0	0
2265	felicitate (V)	luck	0	0	0	0
2266	felicitous	luck	0	0	0	0
2267	fell (V)	to cut;to fall	0	0	0	0
2268	felt	clothes;to sew;to cover;to work	0	0	0	0
2269	felt (V)	saddle	0	0	0	0
2270	female	mother;woman;relative;person;dog	0	0	0	0
2271	female breast	milk;mother;breast	0	0	0	0
2272	female genitalia	genitals	0	0	0	0
2273	female relative-in-law	relative	0	0	0	0
2274	femur	foot	0	0	0	0
2275	fen	swamp	0	0	0	0
2276	fence	edge;obstacle;circle	0	0	0	0
2277	fence (V)	house;obstacle;to guard	0	0	0	0
2278	fence in (V)	obstacle	0	0	0	0
2279	fend off (V)	to drive	0	0	0	0
2280	ferment	sour;beer;liquid;to rot	0	0	0	0
2281	ferment (V)	beer;sour;dense	0	0	0	0
2282	fermented drink	beer	0	0	0	0
2283	fermented liquor	beer	0	0	0	0
2284	fern	grass;vegetable	0	0	0	0
2285	ferret	marten	0	0	0	0
2286	fetch (V)	to take	0	0	0	0
2287	fetlock	below;thorn	0	0	0	0
2288	fetter (V)	to bind	0	0	0	0
2289	fetters	to bind;stick;obstacle;rope;circle	0	0	0	0
2290	fever	sick;to swell	0	0	0	0
2291	feverish	sick	0	0	0	0
2292	few	little;one	0	0	0	20
2293	fiance±	relative;person	0	0	0	0
2294	fib	to deceive	0	0	0	0
2295	fibre	to sew;sinew;fringe	0	0	0	0
2296	fief	to give	0	0	0	0
2297	field	earth;field;meadow;valley;side;to grow;flat	0	0	0	0
2298	fierce	beer;anger	0	0	0	0
2299	fierce animal	wolf	0	0	0	0
2300	fife	vessel	0	0	0	0
2301	fig tree	grain	0	0	0	0
2302	fight	war;to curse	0	0	0	0
2303	fight (V)	to beat;war;to curse;strong	0	0	0	111
2304	fight against (V)	to curse	0	0	0	0
2305	fight with arms (V)	to die	0	0	0	0
2306	figure	god;shape;to write;ornament	0	0	0	0
2307	file	to scrape;to rub;knife	0	0	0	0
2308	file (V)	to pierce;to touch;to rub;sharp;to scrape	0	0	0	0
2309	file±	back	0	0	0	0
2310	filial	shame	0	0	0	0
2311	fill (V)	full;group;obstacle	0	0	0	0
2312	fill in (V)	full	0	0	0	0
2313	fill to overflowing (V)	full	0	0	0	0
2314	fill up (V)	hole	0	0	0	0
2315	filled	full;to close	0	0	0	0
2316	filled to the top	full	0	0	0	0
2317	filter (V)	drop;to press;to filter	0	0	0	0
2318	filth	dirt;liquid	0	0	0	0
2319	filthy	dirt	0	0	0	0
2320	fin	flat;clothes;tail	0	0	0	0
2321	find (V)	to see;to take;to be;to know	0	0	0	0
2322	find acceptable (V)	good	0	0	0	0
2323	fine (V)	war	0	0	0	0
2324	fine 1	beautiful;thin;good;little;to move;new;soft;light	0	0	0	0
2325	fine 2	to give;debt	0	0	0	0
2326	finery	ornament	0	0	0	0
2327	finger	finger;hand;to pinch;to bend;vessel	0	0	0	0
2328	finger (V)	to beat	0	0	0	0
2329	finger-nail	finger-nail;stick;to scrape;needle	0	0	0	0
2330	finger-ring	circle	0	0	0	0
2331	finish	end	0	0	0	0
2332	finish (V)	end;to reach;together;to fall	0	0	0	0
2333	finished	end;together;to reach	0	0	0	0
2334	fir	tree;thorn	0	0	0	0
2335	fir-tree	tree;thorn	0	0	0	0
2336	fire	fire;hearth;to burn;warm	0	0	0	167
2337	fire-brand	to burn	0	0	0	0
2338	fire-place	hearth	0	0	0	0
2339	firefly	insect;to shine	0	0	0	0
2340	fireplace	fire;hearth	0	0	0	0
2341	firewood	tree;stick;thorn;fire	0	0	0	0
2342	firey	to burn	0	0	0	0
2343	firm	good;hard;thick;to pull;true;to stand;to work;strong	0	0	0	0
2344	first	head;to start;one;front	0	0	0	0
2345	fish	fish;meat;hunt;wet	0	0	0	45
2346	fish (V)	fish;net	0	0	0	0
2347	fish basket	trap	0	0	0	0
2348	fish out (V)	spoon	0	0	0	0
2349	fish trap	trap	0	0	0	0
2350	fish with a casting net (V)	net	0	0	0	0
2351	fish-fork	to break;bow	0	0	0	0
2352	fish-hook	to bend	0	0	0	0
2353	fish-net	net	0	0	0	0
2354	fish-pond	swamp	0	0	0	0
2355	fish-trap	obstacle	0	0	0	0
2356	fishing net	net	0	0	0	0
2357	fishing-net	net	0	0	0	0
2358	fissure	to break	0	0	0	0
2359	fist	hand;to take;to pinch	0	0	0	0
2360	fist-measure	to take	0	0	0	0
2361	fistula	hole	0	0	0	0
2362	fit	good;sick;similar	0	0	0	0
2363	fit (V)	similar;together;to speak;good;to press;to meet	0	0	0	0
2364	fit into (V)	full;to take	0	0	0	0
2365	fit together (V)	to make	0	0	0	0
2366	fit up a dwelling (V)	house	0	0	0	0
2367	fitting	good;similar	0	0	0	0
2368	five	five	0	0	0	26
2369	fix (V)	edge;to make;to measure;to bind;hard;to put	0	0	0	0
2370	fix a hole (V)	fence	0	0	0	0
2371	fix in (V)	to put	0	0	0	0
2372	fix on (V)	to stand	0	0	0	0
2373	fixed time	time	0	0	0	0
2374	flag	cloth;snake	0	0	0	0
2375	flageolet	vessel	0	0	0	0
2376	flambeau	to burn	0	0	0	0
2377	flame	to burn;to lick;tongue;to shine	0	0	0	0
2378	flame up (V)	to burn;anger	0	0	0	0
2379	flaming	red	0	0	0	0
2380	flank	side	0	0	0	0
2381	flap	to weave;clothes;edge	0	0	0	0
2382	flap (V)	to fly;to shake;top;to beat	0	0	0	0
2383	flash (V)	to throw;to shine;to burn	0	0	0	0
2384	flask	vessel;vegetable	0	0	0	0
2385	flat	flat;to bend;wide;to press	0	0	0	0
2386	flat surface	flat	0	0	0	0
2387	flatten (V)	flat;rough	0	0	0	0
2388	flatter (V)	grief	0	0	0	0
2389	flatulence	to smell	0	0	0	0
2390	flavour	to smell;taste	0	0	0	0
2391	flaw	bad	0	0	0	0
2392	flay (V)	flat;skin;to divide;to cut;to scrape	0	0	0	0
2393	flea	flea;insect	0	0	0	0
2394	flee (V)	to fly;to run;to follow	0	0	0	0
2395	fleece	hair	0	0	0	0
2396	fleecy	hair	0	0	0	0
2397	flesh	dense;meat;kidney	0	0	0	0
2398	flex (V)	to bend	0	0	0	0
2399	flexible	soft;slow;to tire	0	0	0	0
2400	flight	to fly	0	0	0	0
2401	fling (V)	to beat;to throw	0	0	0	0
2402	fling away (V)	to throw	0	0	0	0
2403	flint	edge;fire	0	0	0	0
2404	flirt (V)	to love	0	0	0	0
2405	flit (V)	light	0	0	0	0
2406	float	boat	0	0	0	0
2407	float (V)	light;to swim;to flow;to fly;wet;to run	0	0	0	143
2408	float down (V)	to flow	0	0	0	0
2409	floating	to swim	0	0	0	0
2410	flock 1	many;group	0	0	0	0
2411	flock 2	hair	0	0	0	0
2412	flood	to flow;river	0	0	0	0
2413	floor	earth;layer;field;house;obstacle;below;place	0	0	0	0
2414	floor-cloth	chair	0	0	0	0
2415	flot out (V)	to rub	0	0	0	0
2416	flounce	fringe	0	0	0	0
2417	flour	dust;grain	0	0	0	0
2418	flourish (V)	many;to shake;to move;face	0	0	0	0
2419	floury	dust	0	0	0	0
2420	flow	to flow;to swim;liquid;to go	0	0	0	0
2421	flow (V)	to flow;water;to wash;to pour;to go	0	0	0	144
2422	flow out (V)	to flow	0	0	0	0
