ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SEMANTIC_CLASS_ID	CATEGORY	TARGET_CONCEPTS	LINKED_CONCEPTS
Urban-2011-160-80	80	1323	CLOCK	clock	II	Artifacts	[]	"[{""ID"": ""Urban-2011-160-61"", ""NAME"": ""sun"", ""Polysemy"": 15, ""ShiftID"": 43}]"
Urban-2011-160-81	81	1898	SPECTACLES	glasses	II	Artifacts	[]	"[{""ID"": ""Urban-2011-160-86"", ""NAME"": ""mirror"", ""Polysemy"": 2, ""ShiftID"": 28}]"
Urban-2011-160-82	82	1252	HOUSE	house	II	Artifacts	"[{""ID"": ""Urban-2011-160-42"", ""NAME"": ""nest"", ""OvertMarking"": 14, ""IndoAryanShift"": 1, ""ShiftID"": 37}]"	"[{""ID"": ""Urban-2011-160-42"", ""NAME"": ""nest"", ""Polysemy"": 7, ""ShiftID"": 37}]"
Urban-2011-160-83	83	1472	KEY	key	II	Artifacts	[]	[]
Urban-2011-160-84	84	1352	KNIFE	knife	II	Artifacts	[]	[]
Urban-2011-160-85	85	1464	LADDER	ladder	II	Artifacts	[]	[]
Urban-2011-160-86	86	1171	MIRROR	mirror	II	Artifacts	"[{""ID"": ""Urban-2011-160-81"", ""NAME"": ""glasses"", ""OvertMarking"": 9, ""IndoAryanShift"": 0, ""ShiftID"": 28}]"	"[{""ID"": ""Urban-2011-160-52"", ""NAME"": ""shadow"", ""Polysemy"": 3, ""ShiftID"": 45}, {""ID"": ""Urban-2011-160-81"", ""NAME"": ""glasses"", ""Polysemy"": 2, ""ShiftID"": 28}]"
Urban-2011-160-87	87	1382	NEEDLE (FOR SEWING)	needle	II	Artifacts	[]	[]
Urban-2011-160-88	88	648	PAPER	paper	II	Artifacts	[]	[]
Urban-2011-160-89	89	794	PEN	pen	II	Artifacts	[]	[]
Urban-2011-160-90	90	1218	ROPE	rope	II	Artifacts	[]	[]
Urban-2011-160-91	91	356	SHEARS	scissors	II	Artifacts	[]	[]
Urban-2011-160-92	92	1381	SHOE	shoe	II	Artifacts	[]	[]
