CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_VALENCE_MEAN	ENGLISH_AROUSAL_MEAN	ENGLISH_DOMINANCE_MEAN	ENGLISH_VALENCE_MEAN_MALE	ENGLISH_VALENCE_MEAN_FEMALE	ENGLISH_AROUSAL_MEAN_MALE	ENGLISH_AROUSAL_MEAN_FEMALE	ENGLISH_DOMINANCE_MEAN_MALE	ENGLISH_DOMINANCE_MEAN_FEMALE	ENGLISH_VALENCE_MEAN_YOUNG	ENGLISH_VALENCE_MEAN_OLD	ENGLISH_AROUSAL_MEAN_YOUNG	ENGLISH_AROUSAL_MEAN_OLD	ENGLISH_DOMINANCE_MEAN_YOUNG	ENGLISH_DOMINANCE_MEAN_OLD	ENGLISH_VALENCE_MEAN_HIGH	ENGLISH_VALENCE_MEAN_LOW	ENGLISH_AROUSAL_MEAN_HIGH	ENGLISH_AROUSAL_MEAN_LOW	ENGLISH_DOMINANCE_MEAN_HIGH	ENGLISH_DOMINANCE_MEAN_LOW	LINE_IN_SOURCE
1443	WALK	walk	6.77	3.24	5.83	6.83	6.67	3	3.36	5.56	6.38	6.64	6.86	3.22	3.25	5.7	6	6.62	6.86	3.27	3.17	5.38	6.2	13530
1446	COME	come	5.64	3.57	5.94	6	5.53	2.29	4.21	6	5.88	5.5	6	3.56	3.58	6.38	5.5	5.88	5.5	3.47	3.83	5	6.88	2355
1447	GIVE	give	7.73	4.57	5.72	7	8.07	3.57	5.07	5.11	6.5	7.57	8.14	3.56	5.33	5.9	5.5	7.88	7.64	4.67	4.33	6.12	5.4	5202
1448	HOLD	hold	6.05	4.86	5.67	5.83	6.13	3.71	5.43	6.22	5.38	6	6.14	4.33	5.25	5.8	5.5	6.25	5.93	5.33	3.67	5.38	5.9	5839
1449	RUB	rub	6.63	4.35	6.78	6.33	6.9	3.57	4.87	6.78	6.78	7.11	6.2	4.5	4.42	5.86	7.3	6.71	6.58	7.33	3.9	7.3	6.12	10518
145	SORROWFUL	sorrowful	3.43	3.64	4.11	4.44	2.67	4.33	3.44	3.86	4.25	3.81	2.2	3.64	3.7	4.11	4.1	3.11	3.67	4.11	3.38	4.5	3.82	11497
1450	ROOM	room	5.55	3.1	5.71	5	5.8	2.57	3.36	5.44	6	5.43	5.86	3.11	3.08	6	5.38	5.75	5.43	3.2	2.83	4.88	6.44	10477
1451	SMILE	smile	7.89	4.62	7.72	6.5	9	5	4.43	7.27	8.43	7.18	9	5.44	4	7.82	7.57	8.5	7.58	5.22	4.17	7.56	7.89	11354
1452	PUSH	push	5.39	4.4	4.06	4.88	5.8	4.71	4.23	3.73	4.57	5.45	5.29	4.67	4.18	4.55	3.29	5.33	5.42	5.25	3.83	3.56	4.56	9714
1453	WASH	wash	6	3.7	6.53	5.38	6.89	4.43	3.31	5.71	7	6	6	3.89	3.55	6.1	7	5.8	6.17	3.54	4	5.83	7.71	13571
1454	WIPE	wipe	4.58	3.54	5.43	4.62	4.55	3.67	3.47	5.14	5.71	4.44	4.7	3.42	3.67	4.86	6	4.67	4.5	3.25	3.83	5.81	4.92	13755
1455	PULL	pull	5.59	4.1	6	6	5.53	3.14	4.57	6.22	5.75	5.93	5.14	3.67	4.42	6	6	5	5.93	4.47	3.17	5.88	6.11	9671
1456	THROW	throw	5.55	4.52	6.12	5.5	5.6	3.71	4.93	6	6.25	5.79	5.14	3.89	5	6	6.25	5.75	5.43	4.6	4.33	5.62	6.56	12531
1457	SEW	sew	5.67	4.35	5.77	5.38	5.85	4.31	4.4	6.31	5	5.38	5.92	5	3.33	5.83	5.7	5.73	5.6	5.57	3.81	5.58	6	10974
1458	SAY	say	5.91	4.43	6.88	6.83	5.6	3.57	4.86	7.11	6.62	6	5.86	4.56	4.33	7.11	6.62	5.62	6.07	4.27	4.83	6.38	7.33	10692
146	SUGAR CANE	cane	4.64	3	4.38	4.94	4.43	3.78	2.69	5.2	3.97	4.37	4.9	3.07	2.96	4.61	4.14	4.21	4.88	3.39	2.53	4.4	4.37	1732
1462	POT	jar	5.71	2.77	5.26	6.1	5.36	1.71	3.27	5.12	5.5	5.55	5.9	2	3	5.14	5.38	6.38	5.31	3.33	2.1	5.46	5.07	6662
1463	DRUNK	drunk	4.06	5.05	2.94	4.62	3.6	4.43	5.38	3.45	2.14	4.55	3.29	5.56	4.64	2.73	3.29	4.83	3.67	4.62	5.33	3.67	2.22	3836
1464	LADDER	ladder	5.32	4.09	5.56	4.78	5.8	4.14	4	6.22	4.89	5.44	5.2	4.5	3.67	5.14	5.6	4.14	6	6	3.8	5.4	5.75	6888
1465	BOX	container	5.7	3.57	6	5.44	5.91	3.73	3.42	4.88	6.69	5.43	6.33	4	3.29	5.75	6.15	6	5.4	3.3	3.77	5.67	6.25	2633
1466	EXACT	exact	5.58	3.95	5.7	6	5.46	4.5	3.73	6	5.46	5.14	5.91	3.43	4.21	4.82	6.5	6.14	5.25	4.5	3.45	5.33	5.93	4270
1467	CIRCLE	circle	5.76	3.33	5.38	5.5	5.96	4.2	2.81	5.18	5.54	6.1	5.45	2.94	3.6	4.96	5.95	5.24	6.12	3.42	3.21	5.6	5.21	2110
1468	LOOK FOR	seek	6.25	3.9	6.16	6.25	6.25	1.67	4.29	6.44	6	6.12	6.33	2.89	4.73	6.07	6.27	5.89	6.55	3.3	4.5	6.57	6	10875
1469	WEEK	week	5.27	3.33	5.28	5.67	5.13	3.14	3.43	4.78	5.75	5.29	5.29	3.33	3.33	5.8	4.62	5.25	5.29	3.2	3.67	4.88	5.6	13628
1470	FOLD	fold	5.19	3	6.67	5.15	5.25	3.09	3.11	6	6.93	5	5.33	2.73	3.3	6.69	6.62	4.89	5.42	3.5	2.69	5.89	7.25	4796
1471	WINTER	winter	5.5	2.77	4.41	5.43	5.54	3.8	1.92	4.87	3.64	5.18	5.89	3.56	2.23	4.53	4	5.57	5.46	2.33	2.94	3.6	5.42	13753
1472	KEY	key	6.22	3.9	6.75	6.24	6.21	4.38	3.62	7.29	6.46	6.67	5.71	4.44	3.5	6.8	6.6	6.16	6.27	3.55	4.3	6.8	6.7	6791
1473	FIST	fist	2.95	4.85	4.95	3	2.94	5.1	4.6	5.7	4.2	2.57	3.14	4.71	4.92	3.38	6	2.75	3.07	4.4	5.3	4.82	5.11	4671
1474	SEA	sea	6.56	2.8	5.22	5.38	7.5	3	2.69	4.27	6.71	5.91	7.57	2.33	3.18	5.09	5.43	6.83	6.42	3.25	2.5	5.56	4.89	10821
1475	COMB	comb	5.65	2.33	6.68	5	5.87	2.33	2.33	5.8	7.42	5.4	5.9	1.9	2.88	6.64	6.73	5.88	5.5	3	1.67	6.73	6.64	2348
1476	CHAIR	seat	5.22	3	6.05	5.67	5.13	3.88	2.42	5.91	6.18	5.1	5.38	3.5	2.67	6.08	6	5.3	5.12	3.1	2.9	6.12	6	10838
1477	KEEP	keep	6.32	3.43	5.71	5.83	6.53	3.71	3.29	5.62	6.12	6.21	6.57	3.22	3.58	5.67	5.75	6.25	6.36	3.33	3.67	6	5.44	6780
1479	DOLPHIN	dolphin	6.67	3	5.67	6.4	6.91	2.43	3.27	5.65	5.7	6.45	6.9	3.4	2.88	5.64	5.69	7	6.46	3.42	2.5	4.69	6.57	3708
1480	BODY	body	5.95	4.62	5.76	6.12	5.83	5.43	4.21	6.12	5.59	6.08	5.8	5.1	4.18	6.07	5.36	5.95	5.95	5.5	4.08	7.14	5.22	1305
1481	HAMMER	mallet	4.7	3.95	6.24	5.22	4.27	4.33	3.67	6	6.38	4.86	4.33	4.5	3.62	6.5	6.08	4.5	4.9	4.11	3.83	6.11	6.33	7380
1482	SHOULDER	shoulder	5.1	2.96	4.81	4.2	5.4	3.33	2.55	4.82	4.78	4.64	5.67	3.25	2.29	5.45	4.1	4	5.69	3.25	2.89	4.29	5.07	11096
1483	NINE	nine	5.1	3.83	5.21	5.62	4.75	4	3.73	4.64	5.79	4.33	5.73	4.5	3.17	5.43	5	5.5	4.7	3.75	3.92	5.81	4.42	8202
1484	OIL (ORGANIC SUBSTANCE)	oil	3.91	4.25	5.63	3.85	4	5.71	3.46	5.71	5.58	4	3.8	4.56	4	6.8	4.33	3.5	4.25	4.38	4	5.08	6.57	8399
1487	POUR	pour	5.16	3.28	5.35	5.36	4.88	4.25	3	4	6.56	5.5	4.91	4.14	2.73	4.17	6	5.33	5.08	4.29	2.64	4.6	6.43	9319
1488	FAUCET	faucet	5.55	3.53	6.31	5.91	5.11	4.83	2.92	6.46	6.15	5.64	5.44	3.6	3.44	6.35	6.22	5.6	5.5	3	3.91	6.4	6.25	4511
1489	CLOUD	clouds	6.76	2.27	5.09	6.5	7.11	2	2.5	4.67	5.47	7.5	6.59	2.64	1.91	5.11	5.05	5.78	7.5	1.83	2.8	4.72	5.38	2237
149	ITCHY	itchy	2.53	4.9	3	3.67	2.31	5.5	4.67	4	2.57	2.5	2.56	4.57	5.07	3.4	2.6	2.45	2.62	5.17	4.56	3.17	2.75	6634
1490	RAT	rat	3.21	5.9	3.35	3.35	3.12	6	5.86	3.5	3.29	3.45	2.69	4.9	6.9	4.1	2.6	3.21	3.22	5.71	6	3.25	3.5	9873
1491	MOUSE	mouse	4.8	3.38	4.29	5.25	4.69	4.25	3.18	4.62	4.12	4.75	4.83	3.1	3.64	4.46	4.09	4.44	5.09	4.27	2.4	3.43	4.65	7953
1492	DUMB	dumb	2.44	5.3	4.39	2.62	2.3	5.29	5.31	4.27	4.57	3	1.57	4.56	5.91	4.64	4	2.33	2.5	7.12	4.08	3.56	5.22	3862
1493	ONE	one	6.09	2.67	5.56	6.5	5.93	2.71	2.64	5.78	5.75	6.07	6.14	2.78	2.58	5.8	5.25	6.25	6	2.73	2.5	5.12	5.9	8418
1494	DIE	die	1.67	6.9	3.28	2.5	1.29	7.43	6.64	3.22	3.5	1.77	1.43	7	6.83	3.7	2.75	2.25	1.31	7	6.67	3.12	3.4	3443
1495	HAPPY	glad	7.55	3.71	7	7.67	7.53	3	4.07	6.75	7.25	7.43	7.86	3.56	3.83	7.22	6.71	7.5	7.57	3.87	3.33	6.43	7.44	5208
1496	GRANDMOTHER	grandmother	7.62	3.75	6.32	7.62	7.62	4.29	3.46	6.71	6.08	7.92	7.22	3.89	3.64	6.3	6.33	7.22	7.92	2.92	5.29	6.25	6.43	5338
1497	POSTCARD	postcard	5.68	4.23	6.08	6.11	5.38	2.8	5.12	7	5.53	4.88	6.14	4.31	4.15	5.67	6.5	6	5.42	5.18	3.53	5.36	6.69	9290
1498	TWO	two	6.3	3.33	5.05	6	6.4	5.33	2.33	5	5.08	6.5	6.1	4.1	2.38	5	5.09	6.5	6.17	3.33	3.33	5.64	4.45	12940
1499	JUICE	juice	6.9	4.6	5.74	6.85	7	5.43	4.15	6.29	5.42	7.17	6.56	4.22	4.91	6.2	5.22	6.78	7	3.85	6	5.5	6.14	6736
15	OTTER	otter	6.95	4.42	5.19	7	6.88	3.88	4.82	5.4	5	7.17	6.7	4.4	4.44	5.08	5.33	6.45	7.45	5.64	2.75	5.33	5	8510
150	WORRY	worry	2.1	6.33	3.17	2.17	2.07	5.71	6.64	4	2.5	2	2.29	5.44	7	3.6	2.62	1.88	2.23	6.4	6.17	3	3.3	13826
1500	FOUR	four	5.26	3.39	5.65	5.64	4.75	4.5	3.07	4.38	6.78	5.25	5.27	3.86	3.09	5.17	5.91	5.33	5.23	4.86	2.45	5.4	6	4899
1502	GOAT	goat	5.3	2.94	5.17	5.8	5.13	4	2.54	5	5.36	5.5	5.1	3.71	2.45	4.75	6	6.5	4.79	2.33	3.25	4.89	5.33	5252
1503	SALIVA	saliva	4.25	4	4.82	4.8	3.7	3.75	4.15	4.93	4.75	4.56	4	4.31	3.5	4.77	4.92	3.7	4.8	4	4	4.59	5.06	10611
1505	SPERM	sperm	5.47	4.86	4.43	6.18	5	5.29	4.64	4.86	4.25	4	6.55	4.12	5.31	4.55	4.33	5.29	5.58	5.82	3.8	4.5	4.38	11587
1506	MEASURE	measure	5.14	4.36	5.41	5.62	4.85	4.69	4	5.77	4.89	5.75	5.08	4.93	3.64	6.33	4.3	5.18	5.1	4.38	4.35	5.25	5.6	7558
1507	FRUIT	fruit	7	4.09	6.12	6.17	7.38	4.92	3.1	5	6.69	7.4	6.56	3.67	4.38	5.88	7	6.64	7.5	3.46	5	5.62	6.38	4984
1508	KING	king	6	4.45	5.53	6.71	5.69	4.67	4.27	5.78	5.4	6	6	4.64	4.16	6.33	4.69	6.22	5.86	4.19	4.58	4.82	6.03	6827
1509	MOSQUITO	gnat	3.43	2.75	3.65	4	3.08	3.17	2.61	4	3.22	3.92	2.78	3.1	2.5	3.85	3.29	3.57	3.36	1.88	3.19	3.62	3.67	5247
151	RAZOR	razor	4.9	4.23	5.93	5.4	4.78	4.5	4.07	6.07	5.8	4.94	4.9	3.8	4.58	5.84	6.1	4.88	4.91	4.07	4.5	5.96	5.91	9895
1510	CHIN	chin	5.07	3.84	5.48	5.07	5.07	4.55	3.25	5.12	5.67	5.09	5.05	4.4	3.11	5.35	6	4.94	5.17	3.73	3.9	4.75	5.87	2046
1511	ROOSTER	cock	5.05	5.74	5.5	4.25	5.58	5	6.21	5.64	5.36	6.22	4.09	6.83	4.55	5.14	5.86	4.7	5.4	5.17	6.36	4.94	6.25	2270
1514	HEN	hen	6.14	3.39	5.39	5.75	6.38	3.4	3.38	5.45	5.36	6.15	6.12	3.08	4	5.2	5.62	6.7	5.64	3	3.7	5.79	5.14	5745
1515	TEN	ten	5.16	3.1	4.8	4.67	5.25	3.33	3	5.17	4.64	5.1	5.22	2.43	3.43	4.6	5	5.55	4.62	3.17	3	4.67	5	12408
1517	WASP	wasp	2.71	5.33	3.8	2.93	2.61	5.07	5.46	4.23	3.33	2.61	2.79	4.89	5.64	4.24	2.88	3.19	2.42	6	4.79	3.56	3.94	13575
1518	STUPID	foolish	3	4.57	3.9	4.67	2.69	4.33	4.67	4.5	3.64	3.4	2.56	4.57	4.57	3.9	3.9	2.82	3.25	4.17	5.11	4	3.75	4812
1519	RUN	run	6.41	5.24	5.44	7	6.2	5.71	5	4.67	6.38	6.5	6.29	4.33	5.92	5.6	5.25	6	6.64	5.2	5.33	5.12	5.7	10548
152	HOOF	hoof	4.74	3.23	5.29	4.5	4.85	3.42	3	5.25	5.31	4.8	4.67	4	2.69	5.35	5.17	4.91	4.5	3.08	3.44	4.62	5.62	5894
1520	CRUSH	crush	4.72	5.6	3.96	4.4	4.85	5.73	5.44	3.88	4.11	5.29	4.36	5.11	6	3.55	5.6	4.67	4.78	5.67	5.55	4	3.95	2967
1521	SEEM	seem	5.45	3.24	4.53	5.17	5.53	3	3.36	3.88	5.12	5.57	5.14	2.78	3.58	4.89	4.12	5.12	5.64	3.27	3.17	4.38	4.67	10877
1522	SOCK	sock	4.43	3.09	5.14	3	4.88	3.83	2.27	5.27	4.67	4.17	4.78	3.44	2.29	4.64	5.7	4.5	4.38	4.25	2.84	6.14	4.64	11443
1523	FORGET	forget	3.73	4.43	3.5	3.17	3.93	4.14	4.57	3	4.12	3.79	3.57	4.33	4.5	4.2	2.62	3.75	3.71	4.67	3.83	2.38	4.4	4859
1524	WINE	wine	5.85	4.24	5.67	4.33	6.12	4.67	4	5.4	6	5.86	5.85	4.67	4	5.14	6	5.73	6	4.1	4.36	6.44	4.89	13743
1525	COAST	coast	5.9	4.17	5.78	5.89	5.92	3.57	4.53	6.09	5.39	5.71	5.92	5.5	3.17	6.04	5.38	5.62	6.08	4.67	4.1	5.53	6	2259
1526	MEAL	meal	7.05	4.85	7.11	7	7.11	6.71	3.85	6.57	7.42	6.92	7.2	4.67	5	7.3	6.89	6.7	7.33	4.31	5.86	6.58	8	7549
1527	TICK	tick	3.05	3.82	3.62	2.67	3.33	3.83	4	2.33	4.13	4.33	2.08	3.2	4	4.2	3.09	2.78	3.25	4.23	3.22	3.67	3.58	12550
1528	FORGIVE	forgive	7.06	3.62	6.44	5.75	8.1	3.43	3.71	6.91	5.71	6.45	8	3.44	3.75	6.73	6	8	6.58	3.89	3.42	7.44	5.44	4862
153	GREY	gray	3.68	2.81	4.77	4.11	3.3	3.86	2.29	4.55	5	4.86	3	3.5	2.18	4.92	4.56	3.56	3.8	2.92	2.62	4.5	4.93	5369
1530	BOWL	bowl	5.67	3.21	5.58	5.82	5.57	2.73	3.38	5.48	5.62	5.66	5.73	3.54	2.79	5.5	5.67	5.58	5.76	2.89	3.43	5.48	5.67	1406
1531	BRANCH	limb	4.42	2.7	6.37	5	4.4	2.4	3	6.67	6.1	4.33	4.58	2.14	3	5.86	6.67	4	4.67	2.8	2.6	6.36	6.38	7105
1532	SHEAR	shear	5.21	3.57	5.15	4.33	5.38	3.33	3.67	5.5	5	5.3	5.11	4.29	3.21	5.2	5.1	5.09	5.38	3.25	4	5.25	5	11020
1533	BE HUNGRY	hungry	3.54	5.6	4.59	3.47	3.59	5.05	6.04	4.24	4.78	3.84	3.29	5.76	5.43	4.56	4.62	3.33	3.75	4.83	6.17	4.74	4.46	6008
1534	FEVER	fever	2.92	5.02	3.12	3	2.95	4.62	5.18	3.47	2.9	2.93	2.92	5.11	4.96	3.41	2.47	3.1	2.74	5.24	4.75	2.85	3.32	4583
1535	SWORD	sword	5.27	5.95	6	6.2	5.12	7	5.18	5.8	6.18	5.17	5.4	6.1	5.78	6.08	5.89	5.27	5.27	6.09	5.75	5.67	6.44	12210
1536	UNDERSTAND	understand	6.68	3.52	6.71	7.33	6.33	3	3.79	6.22	7.25	6.43	7	3.33	3.67	6.78	6.62	6.5	6.79	3.8	2.83	6.38	7	13039
1537	SPRINGTIME	spring	7.64	5.5	5.9	7.33	7.79	5.83	5.33	5.6	6.2	7.77	7.5	5.8	5.12	5.38	6.25	7.68	7.6	5.11	5.89	6.73	4.89	11660
1538	SCORPION	scorpion	3.68	6.45	4.67	4.43	3.3	6.67	6.2	5	4.25	3.28	4	7.11	6	4	5.09	3.76	3.6	7.31	5.22	4.56	4.78	10768
1539	BASKET	basket	5.66	2.48	5.3	5.2	5.69	2	2.69	5	5.59	5.37	5.81	2	2.69	4.9	6.07	5.89	5.48	2.5	2.45	6	4.76	954
1540	EYELASH	eyelash	5.45	2.61	5.05	5	5.6	3.17	2.33	4.4	5.58	5.6	5.3	2.5	2.75	5.09	5	5.75	5.25	2.33	2.89	5.09	5	4410
1541	CULTIVATE	cultivate	5.73	3.81	6.23	5.57	6	4.18	3.56	7.17	5.88	5.1	6.25	3.82	3.8	6.62	5.67	5.9	5.58	4.88	3.15	6.1	6.33	2994
1542	ACCOMPANY	accompany	5.47	3.85	5.63	5	5.56	4.67	3.5	5	5.92	5.7	5.22	3.86	3.85	5.11	6.1	5.55	5.38	3.91	3.78	5.17	6.43	66
1543	SNAIL	snail	4.52	3.05	5.58	5.12	4.2	3.2	2.92	6.29	5.17	4	5.09	3.45	2.64	5.4	6.25	5	4	2.67	3.5	6.4	4.67	11377
1545	HOST	host	5.7	3.21	5.75	6	5.5	5	2.61	5.91	5.56	5.36	6.11	3.7	2.86	5.62	6	5.71	5.69	1.75	3.94	4.62	6.5	5937
1547	SOUP	broth	5.55	2.27	6.23	5.86	5.38	2.4	2.17	6.5	5.82	5.27	5.89	3	1.77	6.25	6.11	5.29	5.69	3.17	1.94	6.43	6	1525
1548	UGLY	ugly	2.47	4.43	3.86	2	2.69	4.62	4.31	3.82	3.9	2.3	2.67	4.11	4.67	3.74	3.96	3	1.75	3.82	5.1	3.91	3.81	12956
1549	TRIBE	tribe	5.63	4.29	5.5	6.12	5.27	4.78	4	5.14	5.86	5.56	5.7	4.5	4.08	5.21	5.79	5.56	5.7	4.42	4.17	5.75	5.17	12805
1550	PREVENT	prevent	5.42	4.18	6.21	4.5	5.85	4.17	4.2	5.88	6.38	5.4	5.44	4.44	4	5.71	7.83	5.27	5.62	4.38	3.89	6.75	5.94	9428
1551	FEMALE	female	7.52	5.9	6.42	8	6.75	7.29	5.15	6.29	6.5	7.67	7.33	6	5.82	5.9	7	7.89	7.25	5.62	6.43	6.33	6.57	4553
1552	GLOOMY	gloomy	3.15	3.32	3.15	4	2.87	3.92	2.6	2.8	3.22	2.75	3.75	3.19	3.67	3.18	3.11	3.5	2.92	2.75	3.44	3.29	3.08	5234
1553	MALE	male	6.91	4.5	5.89	6.38	7.67	4	4.77	7.43	5	7.58	6.1	4.67	4.36	6.4	5.33	6.1	7.58	4.08	5.29	6.33	5.14	7374
1554	MAN	man	5.42	4.36	5.44	5.33	5.44	4	4.65	6	5.19	4.9	6	3.75	5.26	5.48	5.4	5.18	5.75	3.75	4.68	5.1	5.67	7389
1555	CHAMELEON	chameleon	6.3	4.19	5.04	5.33	6.47	3.57	4.54	4.88	5.12	6.14	6.38	4.14	4.23	4.5	5.73	6.82	5.67	3.6	4.73	5	5.06	1933
1556	YOLK	yolk	5.32	3.05	5.67	5.8	5.06	3.88	2.45	5	6.27	5.67	4.9	3	3.11	5.58	5.78	5.18	5.45	3	3.12	6.33	4.78	13885
1557	BEGINNING	beginning	6.39	3	5.72	5.5	7.1	4	2.46	6.09	5.14	5.91	7.14	2.22	3.64	6.27	4.86	7.5	5.83	4.62	1.92	4.89	6.56	1038
1558	SIMILAR	similar	5.86	3.43	5.8	6	5.67	3	3.64	5.4	6.07	6.5	5.71	3.7	3.18	5.29	6	5.78	5.92	2.88	3.77	6.19	5.11	11183
1559	MONEY	money	7.1	6.86	6.32	8	6.8	6.3	7.33	4.88	7	7.5	6.7	6.27	7.45	6.14	6.55	8.25	6.33	6.08	7.8	4.71	6.94	7854
156	RED	red	5.67	5.02	5.2	5.47	5.83	4.83	5.13	5	5.4	5.61	5.74	4.67	5.16	5	5.33	4.83	6.29	4.61	5.5	5.91	4.33	10007
1560	FACE	face	6.36	4.59	5.96	6.15	6.45	4.81	4.43	5.38	6.46	6.38	6.35	4.95	4.25	6.11	5.85	6.21	6.48	5	4.24	5.88	6.05	4421
1561	ARMY	army	4.65	4.49	4.65	5.4	4.4	4.3	4.56	4.47	4.8	5.4	3.9	5.13	4.14	4.53	4.73	5	4.42	4.92	3.95	4.83	4.36	592
1562	MIND	mind	6.7	5.05	6.09	6.18	6.9	5.75	4.57	6.36	5.82	6.62	6.77	5.32	4.8	5.62	6.78	7.09	6.29	5.28	4.86	6.25	6	7725
1563	PYTHON	python	3.61	5.91	3.56	4.12	3.33	6.1	5.84	4.05	3.26	4.75	2.36	5.13	6.32	4.16	2.58	2.92	4.36	5.88	5.95	3.35	3.69	9730
1564	LAZY	lazy	3.05	3.05	5.79	2.17	3.46	2.88	3.14	5.75	5.81	3.3	2.78	3.5	2.67	6.15	5.36	3.09	3	2.93	3.25	5	6.12	6979
1565	HEAVEN	heaven	7.5	4.23	5.22	7.5	7.5	4	4.36	4.69	5.79	6.8	8.42	4.3	4.17	5.05	5.34	7.59	7.43	4.29	4.12	5.04	5.42	5704
1566	GUN	rifle	4.3	6.14	5.28	5	3.44	6.33	6.07	5.62	5.12	4.25	4.31	6.71	5.86	5.14	5.45	4.5	4.17	6.58	5.56	4.29	5.67	10396
1567	DOOR	doorway	5.68	3.65	5.58	5.33	6	2.57	4.27	5.8	5.33	6.11	5.3	4	3.5	5	5.7	5.29	5.92	6.33	3.25	5.82	5.25	3734
1568	ARRANGE	arrange	5.15	3.57	6.71	5.5	4.8	4.5	3	6.21	7.05	4.89	5.36	4.23	2.5	6.86	6.42	5.5	4.8	3.86	3.43	7.06	6.35	597
1569	CHEESE	cheese	6.81	3.8	7.11	6.69	7	4.14	3.62	6.71	7.33	6.75	6.89	3.56	4	6.8	7.44	6.67	6.92	3.38	4.57	7.08	7.14	2005
157	DYE	dye	5.25	3.3	4.77	5.71	5	3.56	3.09	3.67	5.19	5.5	5	3.38	3.25	4.47	5.43	4.56	5.82	3.38	3.25	5.27	4.27	3890
1570	EQUAL	equal	6.47	3.52	6.64	7	6	3.88	3.31	6.71	6.58	6.78	6.2	3.92	2.88	6.29	7.25	6	6.9	4.14	3.21	7	6.29	4178
1571	SELL	sell	5.33	4.19	5.88	4.83	5.53	4.14	4.21	5.56	6.25	4.79	6.43	3.56	4.67	6.22	5.5	5.5	5.23	4.13	4.33	5	6.67	10894
1572	SURPRISED	surprised	6.57	5.95	4.72	6.25	7	7	5.43	4.67	4.77	8.25	6.18	6.2	5.73	5	4.12	6.56	6.58	6.62	5.54	4.5	4.87	12139
1573	SWELL	swell	5.05	4.56	5.59	5.36	4.62	4.75	4.5	4.88	6.22	5	5.09	4.57	4.55	5.33	5.73	5.33	4.92	5.71	3.82	5.2	6.14	12187
1574	FLOAT	float	6.42	3.1	5.91	6.4	6.38	3.5	2.93	6.4	5.54	6.29	6.45	3.14	3.07	5.82	6	6.43	6.42	2.6	3.55	5.78	6	4752
1575	COCKROACH	roach	2.19	5.26	3.33	2.44	2	4.7	5.41	3.44	2.96	2.14	2.31	5.47	5.14	3.4	3.25	2.75	1.85	5.5	4.95	3.65	3.04	10437
1578	IGUANA	iguana	5.23	4.33	4.46	5.75	4.93	4.64	4	4.36	4.53	4.75	5.8	3.82	4.9	4.61	4.2	5.14	5.27	3.62	4.77	4.75	4.25	6098
1579	BE	exist	5.9	4	6.05	5.92	5.88	4.43	3.77	5.43	6.42	6	5.78	3.89	4.09	6.1	6	6	5.83	4	4	5.58	6.86	4324
158	PUT ON	clothe	5.74	3.64	5.61	5.36	5.86	3.62	3.64	4.71	6	5.62	5.82	4	3.38	5.82	5.42	5.71	5.75	4	3.27	6.7	4.77	2232
1581	ALLIGATOR	alligator	4.23	5.36	4.1	3.75	4.5	5.5	5.25	4.29	4	4.27	4.18	5	5.73	4.4	3.2	3.58	5	4.75	6.1	4.6	3.6	317
1583	BRAIN	brain	6.22	3.35	6.28	5.5	6.8	3.71	3.15	6.45	6	6	6.57	3.56	3.18	6.73	5.57	7	5.83	3	3.58	6	6.56	1427
1584	BLISTER	blister	2.87	4.7	4.52	3.08	2.85	4.05	5.32	4.62	4.47	2.64	3.08	4.75	4.65	4.57	4.45	2.84	2.9	5.71	4.21	4.43	4.56	1232
1585	SLEEP	sleep	7.22	3.6	5.3	7.25	7.19	3.88	3.44	4.56	5.79	7.1	7.33	3.91	3.25	5.33	5.25	7.44	7.04	3.41	3.73	5.2	5.38	11291
1587	SMELL (STINK)	stink	2.35	4.48	4.76	2.85	2.15	4.71	4.31	5	4.6	2.6	2.25	5.14	4.08	5.29	4.56	2.35	2.35	3.6	5.27	5.12	4.11	11842
1588	TURN	turn	5.45	3.48	5.88	5.33	5.53	3	3.71	6	5.75	5.36	5.71	3.33	3.58	6.22	5.43	6	5.14	3.4	3.67	5.14	6.44	12899
1589	HUMMINGBIRD	hummingbird	6.74	4.68	5.3	7.25	6.47	5	4.42	4.29	5.85	6.58	6.91	4.91	4.45	4.6	7.4	7.33	6.09	4.58	4.8	5.6	5	5998
1590	WAIT (FOR)	await	5.33	2.91	4.71	4.83	5.58	3.36	2.45	5.09	4.47	5.3	5.38	3	2.82	4.72	4.7	5.17	5.42	2.75	3	4.67	4.75	785
1592	CHEST	chest	5.18	4.95	6.58	5.15	5.22	5.43	4.69	6.86	6.42	5.25	5.1	5.22	4.73	6.6	6.56	4.8	5.5	4.62	5.57	6.67	6.43	2020
1593	DEEP	deep	5.44	3.9	4.94	4.5	6.2	5.14	3.29	5.09	4.71	4.82	6.43	3.44	4.25	5.82	3.57	6.5	4.92	4.89	3.17	4.67	5.22	3188
1594	FLOUR	flour	5.25	3.26	5.86	4.8	5.4	3.25	3.27	6	5.33	5.09	5.44	3.25	3.29	5.45	6.3	4.43	5.69	4	3.11	6.29	5.64	4766
1595	SOUTH	south	6.11	3.48	4.89	5.88	6.3	3.86	3.29	4.55	5.43	6	6.29	4.11	3	5.18	4.43	7	5.67	3.11	3.75	4.89	4.89	11509
