CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	CONCRETENESS_MEAN	CONCRETENESS_SD	DUNNO	FREQUENCY_SUBTITLE	POS	LINE_IN_SOURCE
1033	GRIND	grind	3.97	0.91	0	190	Verb	23855
1455	PULL	pull	3.97	1.09	0	7469	Verb	23857
855	SEIZE	grab	3.52	1.58	0	3614	Verb	24631
1172	SHOOT	shoot	3.97	1.22	0	8412	Verb	23860
1039	SHOW	show	3.97	0.93	0	24906	Verb	23862
1866	STUTTER	stutter	3.97	1.24	0	96	Verb	23864
1755	UNDRESS	take off	3.62	1.4	0	0	#N/A	31683
1431	FREEZE	freeze	3.96	1.26	0	1640	Verb	23875
2334	MELT	melt	3.96	1.07	0	373	Verb	23880
569	SPOIL (BECOME SPOILED)	rot	3.96	1.35	0	394	Verb	23882
1437	SPLIT	split	3.96	1.4	0	1954	Verb	23886
321	CHEW	chew	3.93	1.36	0	462	Verb	23900
1904	DROWN	drown	3.93	1.25	0	540	Verb	23905
1457	SEW	sew	3.93	1.41	0	280	Verb	23913
3698	SINGE	singe	3.92	1.26	2	13	Verb	23927
1377	VISIT	visit	3.92	1.06	1	2993	Verb	23933
1417	KILL	kill	3.9	1.37	0	23081	Verb	23941
121	SPIN	spin	3.9	1.21	0	746	Verb	23944
274	KNEAD	knead	3.89	1.1	0	9	Verb	23960
501	LIFT	lift	3.89	1.4	0	1741	Verb	23962
897	SWALLOW	swallow	3.89	1.26	0	649	Verb	23968
2894	TUMBLE (FALL DOWN)	tumble	3.89	1.2	22	79	Verb	23970
352	UNTIE	untie	3.89	1.19	0	264	Verb	23973
2224	BEND (SOMETHING)	bend	3.88	1.3	0	768	Verb	23974
1921	PLOUGH	plough	3.88	1.56	4	54	Verb	23985
741	DRIVE	drive	3.86	1.21	0	7810	Verb	24004
2706	GNAW	gnaw	3.86	1.33	0	19	Verb	24007
2071	LAY (VERB)	lay	3.86	1.43	0	2970	Verb	24011
1892	TOUCH	touch	3.86	1.11	0	7534	Verb	24021
1428	BURNING	burning	3.85	1.32	0	1561	Verb	24025
708	SHINE	shine	3.85	1.23	0	1053	Verb	24035
3647	TICKLE (SOMEBODY)	tickle	3.85	1.17	0	245	Verb	24041
2705	INHALE	inhale	3.84	1.43	0	120	Verb	24046
713	STEAL	stealing	3.28	1.25	0	1265	Verb	25154
268	DRIBBLE	dribble	3.83	1.17	0	68	Verb	24054
526	HOWL	howl	3.83	1.66	1	105	Verb	24056
279	THATCH	thatch	3.83	1.43	3	38	Verb	24070
1719	BURY	bury	3.82	1.19	1	1054	Verb	24074
29	GELD	castrate	3.82	1.22	1	31	Verb	24075
2017	MIX	mix	3.82	1.22	0	834	Verb	24082
2148	PICK	pick	3.82	1.42	0	10118	Verb	24086
2887	THAW (DEW)	thaw	3.8	1.1	0	81	Verb	24122
2284	CLEARING	clearing	3.79	1.29	0	331	Verb	24123
1098	WEIGH	weigh	3.79	1.32	0	363	Verb	24148
3648	SERVE (SOMEONE)	serve	3.78	1.28	0	1935	Verb	24159
696	STIR	stir	3.76	1.33	0	301	Verb	24187
1414	SQUEEZE	squeeze	3.75	1.43	0	769	Verb	24205
3617	STUMBLE	stumble	3.75	1.21	0	100	Verb	24206
175	BLOW (OF WIND)	blow	3.74	1.53	0	4976	Verb	24211
2827	MENSTRUATE	menstruate	3.74	1.16	0	4	Verb	24219
251	SHARPEN (SOMETHING)	sharpen	3.72	1.36	0	57	Verb	24252
1587	SMELL (STINK)	stink	3.72	1.39	0	673	Verb	24256
230	SWEEP	sweep	3.72	1.17	0	485	Verb	24259
680	BREAK (DESTROY OR GET DESTROYED)	break	3.71	1.21	0	11275	Verb	24263
1840	BUILD	build	3.71	1.46	0	2452	Verb	24264
3112	ERUPT	erupt	3.7	1.17	0	20	Verb	24297
2884	HANG	hang	3.7	1.17	1	7535	Verb	24298
1752	LEAVE	left	3.7	1.46	0	24707	Verb	24302
2124	SMELL	smell	3.7	1.44	0	4240	Verb	24306
2879	SOUND (OF INSTRUMENT OR VOICE)	sound	3.7	1.44	0	7313	Verb	24307
1623	SPEAK	spoke	3.38	1.72	0	1970	Verb	24922
228	CARVE	carve	3.69	1.28	0	158	Verb	24313
128	MUMBLE	mumble	3.69	1.44	2	40	Verb	24318
1448	HOLD	hold	3.68	1.44	0	22273	Verb	24333
38	SPREAD OUT	spread out	3.85	0.97	0	0	#N/A	31277
2880	HALT (STOP)	stop	3.68	1.28	0	36071	Verb	24344
3638	ASSEMBLE (GET TOGETHER)	assemble	3.67	1.36	0	163	Verb	24349
956	FLEE	flee	3.67	1.47	0	233	Verb	24361
400	MUSH	mush	3.67	1.21	1	143	Verb	24365
2891	TIE UP (TETHER)	tether	3.67	1.24	0	24	Verb	24374
3665	TRAVEL	travel	3.67	1.01	0	1702	Verb	24375
1408	HEAR	hear	3.66	1.49	0	28323	Verb	24378
2899	JOG (SOMETHING)	jog	3.63	1.43	0	123	Verb	24425
