CONCEPTICON_ID	CONCEPTICON_GLOSS	ITALIAN	ITALIAN_VALENCE_MEAN	ITALIAN_AROUSAL_MEAN	ITALIAN_DOMINANCE_MEAN	ITALIAN_FAMILIARITY_MEAN	ITALIAN_IMAGEABILITY_MEAN	ITALIAN_CONCRETENESS_MEAN	ITALIAN_HEAD_ACTION_MEAN	ITALIAN_FOOT_LEG_ACTION_MEAN	ITALIAN_HAND_ARM_ACTION_MEAN	ITALIAN_MOUTH_THROAT_ACTION_MEAN	ITALIAN_TORSO_ACTION_MEAN	ITALIAN_INTEROCEPTIVE_MEAN	ITALIAN_GUSTATORY_MEAN	ITALIAN_OLFACTORY_MEAN	ITALIAN_HAPTIC_MEAN	ITALIAN_AUDITORY_MEAN	ITALIAN_VISUAL_MEAN	ITALIAN_PERCEPTUAL_STRENGTH_MAX	ITALIAN_PERCEPTUAL_EXCLUSIVITY	ITALIAN_PERCEPTUAL_DOMINANT	ITALIAN_ACTION_STRENGTH_MAX	ITALIAN_ACTION_EXCLUSIVITY	ITALIAN_ACTION_DOMINANT	ITALIAN_SENSORIMOTOR_STRENGTH_MAX	ITALIAN_SENSORIMOTOR_EXCLUSIVITY	ITALIAN_SENSORIMOTOR_DOMINANT	ITALIAN_POS	LINE_IN_SOURCE
2981	ITEM	elemento	2.9047619047619047	5.238095238095238	6.142857142857143	5.15	4.75	4	2.1818181818181817	0.42857142857142855	1.1363636363636365	0.3333333333333333	0.19047619047619047	1.6666666666666667	0.35	1	2.380952380952381	1.5238095238095237	2.45	2.45	0.21229626573138027	vision	2.1818181818181817	0.466294982260517	head	2.1818181818181817	0.16563005743661344	vision	n	282
2982	GIFT	regalo	8.083333333333334	6.666666666666667	6.055555555555555	7.2	8.05	7.2	1.7142857142857142	0.05	3.0476190476190474	1.380952380952381	0.15	2.4761904761904763	0.7619047619047619	0.8571428571428571	4.05	2.0952380952380953	4.65	4.65	0.3129306200929339	vision	3.0476190476190474	0.47259759759759756	hand/arm	3.0476190476190474	0.21664050235478807	vision	n	714
300	RATTLE	sonaglio	6	4.666666666666667	5.472222222222222	5.45	6.9	7	1.9444444444444444	0.4444444444444444	2.9444444444444446	0.5555555555555556	0.4444444444444444	0.6666666666666666	0.23529411764705882	0.058823529411764705	2.3333333333333335	4.722222222222222	2.9444444444444446	4.722222222222222	0.3737299094771846	audition	2.9444444444444446	0.3947368421052631	hand/arm	2.9444444444444446	0.26965230536659107	audition	n	808
3006	SPACE (AVAILABLE)	spazio	4.285714285714286	6.285714285714286	6	6.3	6.35	4.75	3.25	3.4	3.5	0.45	1.6	2.1	0.10526315789473684	0.55	2.65	1.95	4.85	4.85	0.405033750196222	vision	3.5	0.25	hand/arm	3.5	0.19441449212853135	vision	n	814
3059	MALARIA	malaria	4.238095238095238	4.095238095238095	3.9523809523809526	3.45	5.35	5.75	2.5714285714285716	1.0476190476190477	1.5238095238095237	1.9523809523809523	2.6666666666666665	3.3333333333333335	1.4761904761904763	1.6666666666666667	1.9523809523809523	1.4285714285714286	3.142857142857143	3.3333333333333335	0.23026315789473686	interoception	2.6666666666666665	0.16585365853658532	torso	2.6666666666666665	0.10041841004184099	interoception	n	492
3066	SCARF OR TURBAN	sciarpa	6.647058823529412	4.147058823529412	5.676470588235294	8.6	8.65	8.7	2.8	0	1.8	2.95	1.9	1.05	0	1.15	4.25	0	3.6	4.25	0.38395353839535384	touch	2.95	0.3121693121693122	mouth/throat	2.95	0.21794871794871795	touch	n	766
307	HAWK	falco	6.676470588235294	5.764705882352941	6.4411764705882355	6.25	8.4	8.05	2.5	0.10526315789473684	1.1	0.05263157894736842	0.05263157894736842	0.55	0	0.47368421052631576	1.5	4.1	4.65	4.65	0.4136005439325881	vision	2.5	0.6422651933701656	head	2.5	0.30826936496859736	vision	n	305
3086	COMPUTER	computer	6.340909090909091	5.340909090909091	5.136363636363637	8.4	8.8	8.2	3.619047619047619	0.42857142857142855	4.428571428571429	0.1	0.5	1.0476190476190477	0	0.15	4.75	3.238095238095238	5	5	0.36219385995170744	vision	4.428571428571429	0.4769150052465898	hand/arm	4.428571428571429	0.2149437052200614	vision	n	200
3099	SOFA	divano	7.4411764705882355	2	5.823529411764706	8.45	8.6	8.7	1.85	3.55	2.55	0.55	3.3	1.9	0	1.05	3.8	0.95	3.65	3.8	0.3084654039427909	touch	3.55	0.2542372881355932	foot/leg	3.55	0.16414686825053995	touch	n	266
31	PAN	padella	5.861111111111111	4.722222222222222	5.638888888888889	8.3	8.1	8.15	1.75	0	4.35	0.8	0.2	0.15789473684210525	0.7	0.95	4.4	2.25	3.95	4.4	0.3364700921862124	touch	4.35	0.6126760563380281	hand/arm	4.35	0.22554970996897344	touch	n	600
