CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_RT_MEAN	FRENCH_RT_ZSCORE	LINE_IN_SOURCE
2526	POWER	puissance	609.083333333333	-0.742781271630894	28763
2539	PIT (POTHOLE)	fosse	641.72	-0.553048372437161	16608
2540	LIME (MATERIAL)	chaux	678.052631578947	-0.0553991706782845	6157
2541	MIRACLE	miracle	607.083333333333	-0.666671177053857	23285
2547	CITY	cité	674.791666666667	-0.162245671000549	6543
2548	BARREL	tonneau	659.0	-0.293884822141097	36038
2558	BREAK (CLEAVE)	casser	596.541666666667	-0.821651905598525	5563
256	FOOD	nourriture	679.384615384615	-0.170939415280757	24437
2569	BUTCHER	boucher	700.208333333333	-0.325662875149238	4363
2575	DO OR MAKE	faire	661.14	-0.30025568387413	15587
2576	ALREADY	déjà	576.291666666667	-0.861006380384881	10027
2578	PENCIL	crayon	582.695652173913	-0.998144379830244	8724
258	CALM	calme	577.869565217391	-0.786877820748392	5200
2580	HELICOPTER	hélicoptère	672.521739130435	-0.214366137519391	18561
2584	BENCH	banc	639.304347826087	-0.588748419027787	3533
2591	RHINOCEROS	rhinocéros	753.25	0.402099763354143	32110
2595	CACTUS	cactus	686.217391304348	-0.215444348679804	5076
2597	HARP	harpe	674.333333333333	-0.292494128252031	18495
26	UNPLEASANT	désagréable	704.291666666667	-0.308560111939602	10629
2603	ACCORDION	accordéon	723.04347826087	-0.141441321634886	359
2605	ASPARAGUS	asperge	661.391304347826	-0.356044556444518	2549
2606	COMPASS	compas	741.736842105263	-0.265943986770535	7152
2618	CAMERA	caméra	567.583333333333	-0.930381192754635	5242
2621	CURTAIN	rideau	621.75	-0.667985259377475	32145
2623	FLAG	drapeau	642.88	-0.463167552529617	11958
2627	ORANGE (FRUIT)	orange	616.083333333333	-0.642115044785176	24925
2630	WHIP	fouet	606.36	-0.745902592455688	16627
2648	HAIR (HEAD)	cheveu	741.5625	0.00177111258257928	6254
265	FOWL	volaille	755.708333333333	0.0503382628242225	38101
2657	LADLE	louche	588.916666666667	-0.786565109404456	21780
2658	COAL	charbon	635.083333333333	-0.541320173782899	5986
266	SCALE	écaille	673.041666666667	-0.363455777301011	12124
2668	SKELETON	squelette	662.625	-0.0973056872027972	34421
267	NIT	lente	573.818181818182	-0.830926741181548	21394
268	DRIBBLE	baver	614.458333333333	-0.463943522219825	3797
2680	MACHETE	machette	743.458333333333	0.0267906938850763	21931
2685	CARP (FISH)	carpe	639.695652173913	-0.37141280363293	5482
269	COOKED	cuite	624.375	-0.472553122077709	9104
27	AIR	air	614.666666666667	-0.478880475372617	1210
2706	GNAW	ronger	610.2	-0.504496389460999	32390
271	SAUCER	soucoupe	664.916666666667	-0.18058481016583	34069
2715	DESPISE	mépriser	641.2	-0.429126923362297	22936
272	TONGS	pinces	696.130434782609	-0.313197739291545	26769
273	DOUGH	pâte	562.958333333333	-0.638235351826987	25851
274	KNEAD	pétrir	829.125	0.215285521851545	26528
2765	CHERRY	cerise	642.625	-0.55840199582507	5765
2766	WATERMELON	pastèque	738.045454545455	-0.0637406045515513	25833
2770	JACKET	veste	549.375	-0.779747347117687	37680
2783	SCALES (MEASURE INSTRUMENT)	balance	634.36	-0.599385566053513	3453
279	THATCH	chaume	798.0	0.312308968549941	6137
2818	FORD (CROSSING)	gué	818.8	0.240764465094092	18206
2819	GRASSLAND	savane	704.739130434783	-0.170714214268121	33019
2826	LIE (FALSEHOOD)	mensonge	681.291666666667	-0.470272292505838	22876
2830	OYSTERS	huître	625.285714285714	-0.660795965071395	18841
2831	PENGUIN	pingouin	724.76	0.0296145730697678	26774
2837	SWAN	cygne	704.636363636364	0.0312407560390887	9177
2871	SWING (MOVEMENT)	balancer	560.166666666667	-0.9318732474541	3459
2879	SOUND (OF INSTRUMENT OR VOICE)	son	567.041666666667	-0.697067622268665	33943
288	FORGE	forger	651.458333333333	-0.418166471599509	16536
2882	ADD	ajouter	657.26923076923	-0.408745406453393	1237
289	MOLD	moule	666.333333333333	-0.4942325974234	23736
2890	WALK (TAKE A WALK)	promener	708.84	-0.30630976072186	28432
