CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	VALENCE_LANGUAGE_OMEGAWIKI_NRCVAD	AROUSAL_LANGUAGE_OMEGAWIKI_NRCVAD	DOMINANCE_LANGUAGE_OMEGAWIKI_NRCVAD	VALENCE_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	AROUSAL_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	DOMINANCE_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	VALENCE_MEAN_OMEGAWIKI_NRCVAD	AROUSAL_MEAN_OMEGAWIKI_NRCVAD	DOMINANCE_MEAN_OMEGAWIKI_NRCVAD	LINE_IN_SOURCE
1207	YOUNG	young	0.69	0.441	0.5685	0.69	0.441	0.5685	0.69	0.441	0.5685	624
1208	CAT	kitty	0.752142857142857	0.307428571428571	0.307142857142857	0.70425	0.28075	0.3425	0.7266	0.2932	0.326	5762
121	SPIN	spin	0.5006875	0.471625	0.4235	0.490666666666667	0.481166666666667	0.422666666666667	0.45525	0.48575	0.413	1059
1210	HEAVY	heavy	0.433090909090909	0.632909090909091	0.596	0.3544	0.6024	0.5902	0.3805	0.6395	0.58775	686
1217	FATHER	dad	0.812	0.333	0.824	0.812	0.333	0.824	0.812	0.333	0.824	1248
1218	ROPE	cord	0.4345	0.30075	0.39225	0.4345	0.30075	0.39225	0.451	0.307666666666667	0.408	3605
122	CART	cart	0.622333333333333	0.518666666666667	0.469791666666667	0.623818181818182	0.516	0.469090909090909	0.623818181818182	0.516	0.469090909090909	2380
1220	TAIL	tail	0.450674020136713	0.494235625827137	0.396490375964281	0.452157449933688	0.485392269688048	0.397640367522725	0.448955849273069	0.494805188903155	0.394864886934302	2161
1221	NOSE	nose	0.446454545454545	0.278454545454545	0.307727272727273	0.4826	0.2762	0.291	0.45775	0.27775	0.3025	1164
1222	PENIS	penis	0.564727272727273	0.316909090909091	0.412636363636364	0.562666666666667	0.334	0.425	0.562666666666667	0.334	0.425	688
1225	DAY (NOT NIGHT)	daytime	0.719	0.269	0.389	0.719	0.269	0.389	0.719	0.269	0.389	6594
1227	BOARD	board	0.570944520704644	0.309563886982384	0.48303167181423	0.564515606060606	0.312530703030303	0.485219466666667	0.567917166666667	0.308133773333333	0.476441413333333	100
1228	EARTH (SOIL)	soil	0.378637426900585	0.361880116959064	0.377514619883041	0.410035714285714	0.357303571428571	0.431267857142857	0.352714285714286	0.389738095238095	0.369690476190476	4883
1229	OLD	old	0.37862962962963	0.297592592592593	0.314444444444444	0.416555555555556	0.290444444444444	0.339666666666667	0.4315	0.293	0.3705	4986
123	FOREHEAD	forehead	0.677	0.35	0.623	0.677	0.35	0.623	0.677	0.35	0.623	1221
1230	DIRTY	dirty	0.241684210526316	0.476730263157895	0.343657894736842	0.229095238095238	0.492809523809524	0.353714285714286	0.229095238095238	0.492809523809524	0.353714285714286	5836
1231	NEW	new	0.772571428571428	0.323285714285714	0.491857142857143	0.75	0.3285	0.504	0.75	0.3285	0.504	696
1232	WARM	warm	0.7448125	0.412875	0.5761875	0.73975	0.4465	0.57325	0.73975	0.4465	0.57325	3609
1233	NIGHT	night	0.458	0.185	0.318	0.458	0.185	0.318	0.458	0.185	0.318	5938
1236	WHAT	what	0.228331654655078	0.457089908099614	0.422391985102848	0.222385364685	0.461324825070252	0.428970884352727	0.219374999501322	0.46249999897263	0.430999999046573	697
1239	HOW	how	0.718999999999987	0.352999999999994	0.445999999999992	0.718999999997792	0.352999999998916	0.44599999999863	0.718999999997792	0.352999999998916	0.44599999999863	3940
1241	SOME	some	0.426966756304438	0.30997586523273	0.224982482830208	0.426990255720749	0.309992925698905	0.224994865426624	0.426998472098744	0.309998890750844	0.224999194899806	5486
