CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_EMOTION_POLARITY	FRENCH_JOY_ASSOCIATION	FRENCH_FEAR_ASSOCIATION	FRENCH_SADNESS_ASSOCIATION	FRENCH_ANGER_ASSOCIATION	FRENCH_SURPRISE_ASSOCIATION	FRENCH_DISGUST_ASSOCIATION	LINE_IN_SOURCE
1515	TEN	dix	positive	0	0	0	0	0	0	5239
1517	WASP	guêpe	negative	0	1	0	0	0	0	7281
1518	STUPID	idiot	negative	0	0	0	1	0	1	746
1519	RUN	courir	positive	0	0	0	0	0	0	4344
152	HOOF	sabot	negative	0	0	0	0	0	0	12016
1520	CRUSH	écraser	negative	0	0	1	0	0	0	505
1521	SEEM	sembler	positive	0	0	0	0	0	0	12462
1522	SOCK	chaussette	positive	0	0	0	0	0	0	3560
1523	FORGET	oublier	negative	0	1	1	0	0	0	9825
1524	WINE	vin	positive	0	0	0	0	0	0	13966
1526	MEAL	repas	positive	0	0	0	0	0	0	11650
1527	TICK	tique	negative	0	0	0	0	0	0	13338
1528	FORGIVE	pardonner	positive	0	0	0	0	0	0	9976
1529	LAST (FINAL)	dernier	negative	0	1	1	0	0	0	4936
1530	BOWL	bol	positive	0	0	0	0	0	0	2932
1531	BRANCH	branche	positive	0	0	0	0	0	0	3036
1532	SHEAR	tondre	negative	0	1	0	0	0	0	13387
1534	FEVER	fièvre	negative	0	1	0	0	0	0	6621
1535	SWORD	épée	negative	0	1	0	0	0	0	5988
1536	UNDERSTAND	comprendre	positive	0	0	0	0	0	0	3950
1538	SCORPION	scorpion	negative	0	1	0	1	1	1	12239
1539	BASKET	panier	positive	0	0	0	0	0	0	9903
1540	EYELASH	cil	negative	0	1	0	1	0	0	3657
1541	CULTIVATE	cultiver	positive	0	0	0	0	0	0	366
1542	ACCOMPANY	accompagner	positive	0	0	0	0	0	0	1730
1543	SNAIL	escargot	negative	0	0	0	0	0	1	6074
1545	HOST	hôte	positive	0	0	0	0	0	0	7496
1547	SOUP	soupe	positive	0	0	0	0	0	0	12740
1548	UGLY	laid	negative	0	0	0	0	0	1	8379
1550	PREVENT	empêcher	negative	0	1	0	0	0	0	5653
1551	FEMALE	femelle	positive	0	0	0	0	0	0	6562
1554	MAN	homme	positive	0	0	0	0	0	0	7455
1555	CHAMELEON	caméléon	positive	0	0	0	0	0	0	3228
1558	SIMILAR	semblable	positive	0	0	0	0	0	0	1402
1559	MONEY	argent	positive	0	0	0	1	1	0	2281
156	RED	rouge	negative	0	0	0	0	0	0	11925
1560	FACE	visage	positive	0	0	0	0	0	0	13995
1564	LAZY	paresseux	negative	0	0	1	0	0	1	1096
1566	GUN	fusil	negative	0	1	0	1	0	0	6923
1567	DOOR	porte	positive	0	0	0	0	0	0	10617
1568	ARRANGE	organiser	positive	0	0	0	0	0	0	9782
157	DYE	teindre	positive	0	0	0	0	0	0	13194
1571	SELL	vendre	positive	0	0	0	0	0	0	13847
1573	SWELL	enfler	negative	0	1	0	0	0	1	5855
1574	FLOAT	flotter	positive	0	0	0	0	0	0	6709
1576	PILE UP	entasser	negative	0	0	0	0	0	0	5912
1581	ALLIGATOR	alligator	negative	0	1	0	0	0	0	1992
1583	BRAIN	cerveau	positive	0	0	0	0	0	0	3447
1585	SLEEP	dormir	positive	0	0	0	0	0	0	5303
1586	SMELL (PERCEIVE)	sentir	positive	0	0	0	0	0	0	12483
1587	SMELL (STINK)	puer	negative	0	0	0	0	0	1	11026
1588	TURN	tourner	positive	0	1	0	1	1	0	1507
1590	WAIT (FOR)	attendre	negative	0	0	0	0	0	0	2460
1591	UP	en haut	positive	0	0	0	0	0	0	5734
