CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SINGAPORE_ENGLISH_FREQUENCY	SINGAPORE_ENGLISH_FREQUENCY_ZIPF	SINGAPORE_ENGLISH_CD	SINGAPORE_ENGLISH_CD_PERCENTAGE	LINE_IN_SOURCE
1234	SMOOTH	smooth	483	4.1892265066682	375	0.0198486211824485	46038
1235	WHO	who	31696	6.00539930487245	8619	0.456200709257397	55298
1236	WHAT	what	223345	6.8533593239338	17455	0.923887153972371	55164
1237	WHERE	where	33850	6.03395264782537	8984	0.47552003387498	55213
1238	WHEN	when	91691	6.46671259075469	13777	0.729211877414916	55206
1239	HOW	how	109872	6.54527212778713	17601	0.931614883819404	22549
124	THORN	thorn	9	2.50438114502379	5	0.000264648282432647	50446
1240	NOT	not	163364	6.71754016212203	16926	0.895887365690997	33475
1241	SOME	some	50755	6.20986853373452	13111	0.693960726194887	46429
1242	FEW	few	12335	5.59555550573067	6531	0.345683586513524	17506
1243	WIDE	wide	761	4.38633611636339	578	0.030593341449214	55346
1244	THICK	thick	428	4.13683843720852	292	0.0154554596940666	50344
1245	BUTTER	butter	347	4.04596038897037	188	0.00995077541946753	6625
1246	SMALL	small	8607	5.43928340334611	3384	0.179113957550416	45960
1247	EAR	ear	410	4.11822296689986	247	0.0130736251521728	14624
1248	EYE	eye	978	4.49516383682693	601	0.0318107235484042	16780
125	SWEAT (SUBSTANCE)	sweat	256	3.91431426835509	177	0.0093685491981157	48884
1250	JAGUAR	jaguar	24	2.90232115369583	17	0.000899804160271	25181
1251	BELLY	belly	153	3.69190186586026	91	0.00481659874027418	4528
1252	HOUSE	house	14301	5.65977791872864	4737	0.25072778277669	22503
1254	HANDLE	handle	1474	4.67317316533797	1021	0.0540411792727465	21055
1256	HEAD	head	3082	4.9933546697503	1813	0.0959614672100778	21495
1257	WING	wing	422	4.13072151239883	243	0.0128619065262266	55488
1258	FINGERNAIL	fingernail	7	2.40747113201574	7	0.000370507595405706	17705
1259	WEDDING	wedding	1717	4.73940430451902	719	0.0380564230138146	54987
126	SWEAT (PERSPIRE)	perspire	27	2.95153917636601	23	0.00121738209919018	36429
1261	SING	sing	1574	4.70166170314941	800	0.0423437251892235	45436
1262	BROTHER	brother	2810	4.95324199063123	1087	0.0575345366008575	6177
1263	SISTER	sister	2869	4.96226304175778	1178	0.0623511353411316	45538
1264	CHANGE	change	12721	5.60893653626431	4671	0.247234425448579	7830
1265	HIGH	high	6634	5.32622207222425	3420	0.181019425183931	21921
1266	BRIDE	bride	112	3.55745958850721	66	0.00349335732811094	6031
1267	NARROW	narrow	174	3.74741919371009	145	0.00767480019054676	32575
1268	YES	yes	94196	6.47841821656197	14481	0.766474355581432	56188
1269	NO	no	113509	6.55941526869841	14802	0.783464775313608	33297
127	EXTINGUISH	extinguish	3	2.10644113635175	3	0.000158788969459588	16729
1270	WHY	why	43209	6.13996541133502	7626	0.403641560366273	55338
1271	DELIGHT	please	7269	5.36591555588283	3555	0.188164928809612	37189
1272	AUNT	aunt	321	4.01223701671962	200	0.0105859312973059	3223
1273	CANDLE	candle	52	3.22865701462458	41	0.0021701159159477	6948
1274	SALT	salt	446	4.15468866815573	259	0.0137087810300111	42913
1275	ANSWER	answer	5484	5.24355777693452	2003	0.106018101942518	2093
1276	AUTUMN	autumn	116	3.57256700676995	73	0.00386386492351665	3322
1277	HAND	hand	5091	5.21126954000541	2174	0.115069073201715	21022
1278	VOMIT	vomit	185	3.77389408924171	108	0.00571640290054518	54466
1279	FAT (OBESE)	fatness	1	1.80541114068777	1	0.0000529296564865294	17222
128	MUMBLE	mumble	25	2.91935449299461	15	0.000793944847297941	32112
1280	FALL	fall	1987	4.80279752508509	1326	0.070184724501138	16987
1281	PRISON	prison	340	4.03713552401629	137	0.00725136293865453	38425
1282	FAT (FROM ANIMALS)	lard	38	3.09544575205029	24	0.00127031175567671	27521
1283	TODAY	today	9199	5.46816897236935	5282	0.279574445561848	50920
1284	BANK	bank	11097	5.54962586550194	3502	0.185359657015826	3929
1285	IMPORTANT	important	9030	5.46011698730146	3478	0.184089345260149	23440
1286	HOT	hot	2421	4.88855528383083	1239	0.0655798443868099	22459
1287	COLD	cold	2377	4.88059299530646	1218	0.0644683216005928	9168
1288	CAP	cap	2038	4.81379837080193	1118	0.0591753559519399	7022
1289	BABY	baby	5227	5.2227167239323	1738	0.0919917429735881	3572
129	CHOKE	choke	45	3.16713897670537	34	0.001799608320542	8353
1290	ELEPHANT	elephant	176	3.7523544113856	108	0.00571640290054518	15113
1291	BACK	back	32938	6.0220915552469	9946	0.526438363415021	3594
1292	BAD	bad	14682	5.6711959438147	4577	0.242259037738845	3672
1293	MISTAKE	mistake	753	4.38175249089357	488	0.0258296723654263	31235
1294	ZERO	zero	6779	5.33561083889086	3363	0.178002434764198	56516
1295	STICK	stick	1479	4.67464286041875	1011	0.0535118827078812	47642
1296	WALKING STICK	staff	6305	5.30413511143568	2421	0.128142698353888	47279
1297	LEG	leg	1464	4.67021876971392	641	0.0339279098078654	27854
1298	NEWSPAPER	newspaper	814	4.41553875376377	280	0.0148203038162282	33034
1299	COFFEE	coffee	1801	4.76013593166684	783	0.0414439210289525	9109
13	DECEIT	deceit	4	2.20335114935981	3	0.000158788969459588	11983
1300	COUNTRY	country	6063	5.28714033764779	2605	0.137881755147409	10693
1301	FOOT	foot	362	4.0642877700599	234	0.0123855396178479	18250
1302	FORK	fork	405	4.11290717860099	318	0.0168316307627163	18371
1303	FINGER	finger	429	4.13784960060338	268	0.0141851479383899	17702
1304	CHILD (YOUNG HUMAN)	kids	8978	5.45760911658365	3413	0.180648917588525	26681
1305	CHIMNEY	chimney	5	2.28253239540744	3	0.000158788969459588	8253
1306	QUEEN	queen	600	4.28325561702653	359	0.0190017466786641	39449
1307	LANGUAGE	language	2451	4.89390161087017	740	0.0391679458000318	27479
