CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_OCCURRENCES_TOTAL	ENGLISH_OCCURRENCES_NUM	ENGLISH_AOA_MEAN	ENGLISH_DUNNO	LINE_IN_SOURCE
1349	CHURCH	church	20	20	5.15	1	4690
135	BOOMERANG	boomerang	19	19	9.79	1	3044
1350	MONKEY	monkey	19	19	4.21	1	17460
1352	KNIFE	knife	1929	1929	4.15	1	15241
1353	HOUR	hour	20	20	5.85	1	13158
1354	NEXT	next	21	21	4.346085	1	18172
1355	LAUGH	laugh	19	19	3.79	1	15472
1356	NUMBER	number	18	18	3.94	1	18509
1357	DAUGHTER	daughter	19	19	4.95	1	6780
1358	ENEMY	enemy	19	19	7.26	1	9078
1359	SEPARATE	separate	19	19	6.63	1	24352
136	HERE	here	21	21	3.738636	1	12761
1360	DUCK	duck	20	20	3.5	1	8454
1361	TOOL	tool	19	19	5.37	1	27832
1362	STREET	street	19	19	4.58	1	26262
1363	VOICE	voice	18	18	4.83	1	30122
1364	HEALTHY	healthy	18	18	7.61	1	12605
1365	KITCHEN	kitchen	19	19	3.68	1	15203
1366	BOY	boy	18	18	3.67	1	3167
1367	CROSS	cross	19	19	4.74	1	6392
1368	BREAD	bread	19	19	3.58	1	3239
1369	GOLD	gold	20	20	7.1	1	11761
1370	MONTH	month	19	19	5.79	1	17507
1371	KNEE	knee	19	19	4.42	1	15231
1372	MEDICINE	medicine	18	18	4.89	1	16778
1373	TEA	tea	19	19	5.47	1	27179
1374	RING	ring	19	19	4.53	1	23307
1375	WINDOW	window	19	19	4.74	1	30696
1376	NOW	now	20	20	5.251930000000001	1	18478
1377	VISIT	visit	19	19	5.79	1	30071
1378	SPOON	spoon	18	18	2.5	1	25739
1379	TELEPHONE	telephone	19	19	4.63	1	27264
138	BATHE	bathe	18	18	5	1	2197
1380	TOOTH	tooth	18	18	3.61	1	27837
1381	SHOE	shoe	1923	1923	2.6	1	24620
1382	NEEDLE (FOR SEWING)	needle	19	19	5.32	1	18023
1383	GRANDFATHER	grandfather	18	18	4.39	1	11890
1384	SECOND	second	19	19	4.68	1	24178
1385	PEPPER	pepper	19	19	5.47	1	19905
1386	LION	lion	19	19	4.42	1	15853
1387	ARRIVE	arrive	19	19	6.26	1	1425
1388	SHADE	shadow	18	18	5	1	24461
1389	TOE	toe	20	20	3	1	27768
139	GUMS	gum	18	18	4.89	1	12174
