CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_FEMALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_MALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_FEMALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_MALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_5YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_FEMALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_MALE_5YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_FEMALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_MALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_FEMALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_MALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_7YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_FEMALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_MALE_7YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_FEMALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_MALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_FEMALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_MALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_9YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_FEMALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_POSITIVE_MALE_9YEAR	FRENCH_VALENCE_PERCENTAGE_NEGATIVE_ADULT	FRENCH_VALENCE_PERCENTAGE_NEUTRAL_ADULT	FRENCH_VALENCE_PERCENTAGE_POSITIVE_ADULT	LINE_IN_SOURCE
612	HEAT	chaleur	40.476190476190474	41.66666666666667	38.88888888888889	30.952380952380953	33.33333333333333	27.77777777777778	28.57142857142857	25.0	33.33333333333333	30.555555555555557	47.61904761904761	7.142857142857142	16.666666666666664	9.523809523809524	28.57142857142857	52.77777777777778	42.857142857142854	64.28571428571429	26.47058823529412	27.27272727272727	25.0	17.647058823529413	18.181818181818183	16.666666666666664	55.88235294117647	54.54545454545454	58.333333333333336				117
615	HORSE	cheval	0.0	0.0	0.0	4.651162790697675	5.0	4.3478260869565215	95.34883720930233	95.0	95.65217391304348	3.4482758620689653	6.666666666666667	0.0	13.793103448275861	0.0	28.57142857142857	82.75862068965517	93.33333333333333	71.42857142857143	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0				134
622	ISLAND	île										6.451612903225806	5.263157894736842	8.333333333333332	45.16129032258064	36.84210526315789	58.333333333333336	48.38709677419355	57.89473684210527	33.33333333333333	3.225806451612903	0.0	5.88235294117647	16.129032258064516	7.142857142857142	23.52941176470588	80.64516129032258	92.85714285714286	70.58823529411765				300
625	LAMP	lampe										10.344827586206897	6.666666666666667	14.285714285714285	51.724137931034484	60.0	42.857142857142854	37.93103448275862	33.33333333333333	42.857142857142854	6.451612903225806	7.142857142857142	5.88235294117647	64.51612903225806	71.42857142857143	58.82352941176471	29.03225806451613	21.428571428571427	35.294117647058826				320
628	LEAF	feuille	14.285714285714285	8.333333333333332	22.22222222222222	19.047619047619047	25.0	11.11111111111111	66.66666666666666	66.66666666666666	66.66666666666666	6.451612903225806	0.0	16.666666666666664	67.74193548387096	68.42105263157895	66.66666666666666	25.806451612903224	31.57894736842105	16.666666666666664	3.225806451612903	0.0	5.88235294117647	67.74193548387096	85.71428571428571	52.94117647058824	29.03225806451613	14.285714285714285	41.17647058823529				250
630	LIGHT (RADIATION)	lumière	9.30232558139535	15.0	4.3478260869565215	16.27906976744186	20.0	13.043478260869565	74.4186046511628	65.0	82.6086956521739	9.375	15.0	0.0	43.75	55.0	25.0	46.875	30.0	75.0	3.225806451612903	0.0	5.88235294117647	38.70967741935484	57.14285714285714	23.52941176470588	58.06451612903226	42.857142857142854	70.58823529411765				344
632	LIZARD	lézard										53.125	65.0	33.33333333333333	25.0	30.0	16.666666666666664	21.875	5.0	50.0	38.23529411764706	45.45454545454545	25.0	26.47058823529412	22.727272727272727	33.33333333333333	35.294117647058826	31.818181818181817	41.66666666666667				329
635	MILK	lait										9.375	10.0	8.333333333333332	0.0	0.0	0.0	90.625	90.0	91.66666666666666	10.81081081081081	14.285714285714285	8.695652173913043	8.108108108108109	14.285714285714285	4.3478260869565215	81.08108108108108	71.42857142857143	86.95652173913044				319
636	MILL	moulin										25.806451612903224	35.0	9.090909090909092	32.25806451612903	30.0	36.36363636363637	41.935483870967744	35.0	54.54545454545454	14.705882352941178	4.545454545454546	33.33333333333333	58.82352941176471	63.63636363636363	50.0	26.47058823529412	31.818181818181817	16.666666666666664				379
638	MOTORCYCLE	moto										12.903225806451612	21.052631578947366	0.0	19.35483870967742	31.57894736842105	0.0	67.74193548387096	47.368421052631575	100.0	14.705882352941178	22.727272727272727	0.0	14.705882352941178	18.181818181818183	8.333333333333332	70.58823529411765	59.09090909090909	91.66666666666666				376
