CONCEPTICON_GLOSS	CONCEPTICON_ID	LEGO_ID
DONKEY	1862	344
STUTTER	1866	2214
COIN	1867	1700
BUY	1869	1715
ANCHOR	1870	1671
CAMEL	1871	383
SAUSAGE	1874	1085
REGRET	1875	2093
EAST	1877	1799
DANCE	1879	2207
ENOUGH	1881	1882
BEFORE	1882	1738
IN FRONT OF	1883	1739
HARD	1884	2044
ARMPIT	1886	821
CHEAP	1887	1723
PAIR	1888	1904
ARSON	1889	2383
BELIEVE	1890	2140
TOUCH	1892	2038
CLOTHES	1895	1146
HELP	1897	2285
MAD	1899	2149
SHOVEL	1901	1280
BETRAY	1902	2169
SWELLING	1903	976
DROWN	1904	957
EAGLE	1905	537
SOUR	1906	2004
SHAKE	1909	1589
STINGRAY	1910	635
PRESS	1913	1501
DEBT	1914	1708
FIR	1915	1353
GILL	1916	642
TIE	1917	1449
DREAM (SOMETHING)	1920	927
PLOUGH	1921	1276
LAND (DESCEND)	1922	1673
ROUGH	1923	2050
OINTMENT	1926	1206
BAMBOO	1927	1432
CEASE	1928	1939
STUDY	1929	2151
BEESWAX	1931	695
GUESS	1932	2143
BEGGAR	1934	1703
DEER	1936	352
FORTRESS	1938	2331
SWEAR	1939	2369
GUARD	1940	2340
SOLDIER	1941	2302
NEAR	1942	1796
GOD	1944	2389
IDOL	1945	2409
SAW	1948	1517
BEECH	1950	1338
GOITER	1957	968
UNRIPE	1958	1017
RAW	1959	1015
NECKLACE	1961	1194
IMMEDIATELY	1963	1929
ALONE	1964	1898
BUNCH	1966	1104
CANOE	1970	1662
FAN (OBJECT)	1971	1547
KID	1972	339
DEMON	1973	2408
CENTIPEDE	1974	722
DEW	1977	94
CHISEL	1979	1552
WIDOWER	1981	229
WHIRLPOOL	1982	52
SNORE	1983	925
PATERNAL UNCLE (FATHER'S BROTHER)	1985	197
DISEASE	1986	971
CALF	1989	328
INTESTINES	1991	877
MORE	1992	1880
COLLARBONE	1994	818
PRESERVE	1997	1690
PAINTING	2001	1554
DITCH	2002	1274
FLOW	2003	1592
BEND	2004	1445
BOLT (OF LIGHTNING)	2007	87
RESCUE	2008	1691
DOG	2009	396
COLLAR	2012	1170
BAIT	2013	2351
GO DOWN (DESCEND)	2014	1618
MIX	2017	1070
GREEDY	2018	2134
PLAINTIFF	2020	2366
GRASP	2021	1681
ADMIT	2022	2228
CROWD	2023	1886
PLOT	2024	2289
MOUNTAIN OR HILL	2118	13
STONE OR ROCK	2125	67
HEADGEAR	2130	1178
TORCH OR LAMP	2131	1241
SICKLE OR SCYTHE	2132	1290
STRIKE OR BEAT	2133	1458
TRADE OR BARTER	2135	1717
BRASS INSTRUMENT (HORN OR TRUMPET)	2136	2249
MAGICIAN	2137	2413
LEGENDARY CREATURE	2138	2415
MUROID (MOUSE OR RAT)	2139	420
SPRING OR WELL	2144	54
ROAST OR FRY	2146	1039
THIN (OF SHAPE OF OBJECT)	2249	1817
PATH	2252	1649
DRIP (EMIT LIQUID)	2253	1583
FATHER-IN-LAW (OF WOMAN)	2254	211
FATHER-IN-LAW (OF MAN)	2255	210
MOTHER-IN-LAW (OF WOMAN)	2256	212
MOTHER-IN-LAW (OF MAN)	2257	213
FLESH	2259	735
FEMALE (OF PERSON)	2260	138
MALE (OF PERSON)	2261	314
FEMALE (OF ANIMAL)	2262	315
MALE (OF ANIMAL)	2263	137
DAUGHTER-IN-LAW (OF WOMAN)	2264	218
DAUGHTER-IN-LAW (OF MAN)	2265	217
SON-IN-LAW (OF WOMAN)	2266	216
SON-IN-LAW (OF MAN)	2267	215
HAIR (HEAD)	2648	736
PATERNAL AUNT (FATHER'S SISTER)	2691	202
MATERNAL UNCLE (MOTHER'S BROTHER)	2692	195
MATERNAL AUNT (MOTHER'S SISTER)	2693	200
