CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_RT_MEAN	ENGLISH_RT_ZSCORE	ENGLISH_ACCURACY_PERCENTAGE	LINE_IN_SOURCE
3759	FOGGY	foggy	594.342105263158	-0.263741645576568	0.975	36211
376	FRAGRANT	fragrant	586.815789473684	-0.191663213026204	0.975	36528
3762	SAFE	safe	520.184210526316	-0.6463786490532	1.0	47663
377	LOUD	loud	527.472222222222	-0.709652918448801	0.973684210526316	41342
3777	CATFISH	catfish	699.575757575758	0.259222883479839	0.868421052631579	30705
378	PINCH	pinch	585.666666666667	-0.42182049593965	0.925	44654
3780	PET	pet	533.05	-0.648309680167463	1.0	44455
379	BLUNT	blunt	543.815789473684	-0.60614979000378	1.0	29223
3797	OSTRICH	ostrich	685.27027027027	0.219660677117177	0.973684210526316	43635
3798	STINGER	stinger	660.783783783784	0.373621475731629	0.95	51135
3799	FISHBONE	fishbone	694.142857142857	0.277749735431178	0.9	35807
38	SPREAD OUT	spread	524.95	-0.650796119311708	1.0	50622
380	WRINKLED	creased	632.076923076923	0.0105756035820907	0.975	32627
3801	DATE (FRUIT)	date	500.472222222222	-0.85786624174356	0.973684210526316	33234
3802	FERN	fern	666.15625	0.209618194715682	0.894736842105263	35590
3804	GRAPEFRUIT OR POMELO	grapefruit	598.0	-0.212021255015913	1.0	37708
3807	EYEBALL	eyeball	587.027777777778	-0.266065308326028	1.0	35241
3808	JUNGLE	jungle	522.725	-0.713283499491425	1.0	40074
3809	SCREAM (PRODUCE A CRY)	scream	527.71052631579	-0.716386972213117	1.0	48171
381	BLAME	blame	541.775	-0.656285686324411	1.0	28982
3814	HANDSOME	handsome	564.51282051282	-0.396477934785006	1.0	38338
3815	ALMOND	almond	586.162162162162	-0.287138336907751	0.973684210526316	27539
382	GOVERN	govern	602.342105263158	-0.272255796783059	1.0	37631
3821	BROOK	brook	612.866666666667	0.0499754588684284	0.775	29927
383	MASTER	master	527.2	-0.68369331436418	1.0	41829
384	FREEMAN	freeman	675.69696969697	0.209622935555464	0.875	36592
3841	WINDMILL	windmill	569.925	-0.382939267497985	1.0	55285
3843	BUT	but	528.789473684211	-0.681010094266754	0.95	30263
3844	CONTEMPT	contempt	651.810810810811	-0.084220139589311	0.973684210526316	32137
3848	SURPRISE (FEELING)	surprise	548.307692307692	-0.463893663378602	1.0	51815
3849	TRIUMPH	triumph	557.641025641026	-0.466391814150233	0.975	53571
385	RESPECT (SOMEBODY)	respect	526.3	-0.634253682869748	1.0	46930
3854	SADNESS	sadness	537.473684210526	-0.594190520619027	1.0	47662
3855	ITCH (CAUSE ITCHING OR FEEL ITCHY)	itch	541.805555555556	-0.429980880016684	0.9	39752
3857	EGGSHELL	eggshell	623.942857142857	-0.0484513725630237	0.947368421052632	34785
3858	CONFUSED	confused	539.333333333333	-0.599129398410442	1.0	32045
3859	MIDWIFE	midwife	605.756756756757	-0.157545578944806	0.973684210526316	42131
3861	FAIL	fail	564.78947368421	-0.538563518744273	1.0	35314
3869	ANXIOUS	anxious	582.351351351351	-0.326593951252518	0.973684210526316	27686
387	SLING	sling	677.421052631579	0.298568357595149	0.95	49591
3870	RUSTY	rusty	538.675	-0.597546705434505	1.0	47621
3871	MURDERER	killer	505.275	-0.78811280818	1.0	40205
3872	BLOND	blond	592.4	-0.176850101027587	0.875	29129
3874	KNOWLEDGE	knowledge	567.225	-0.414698946452514	1.0	40363
3876	DENTIST	dentist	578.135135135135	-0.44094067327113	0.973684210526316	33535
3881	PISTOL	pistol	538.315789473684	-0.569552377236492	1.0	44737
3883	NOISY	noisy	570.525	-0.390498051794062	1.0	43221
3888	SKUNK	skunk	667.914285714286	0.028246080456258	0.921052631578947	49422
3893	AFFORD	afford	566.305555555556	-0.470052300774331	0.947368421052632	27357
3894	ATTACH	attach	529.894736842105	-0.633284643433045	1.0	27954
3895	DETECT	detect	563.194444444444	-0.508050785624971	0.973684210526316	33635
3896	ROAR	roar	601.378378378378	-0.20080573225839	0.95	47263
39	KEEN	keen	562.589743589744	-0.420563751557864	0.975	40119
3902	TRUST (SOMEBODY)	trust	514.184210526316	-0.83695679841952	1.0	53677
391	BLESS	bless	539.138888888889	-0.60503590106084	0.947368421052632	29062
3914	TURQUOISE	turquoise	612.358974358974	-0.1231132384745	0.975	53801
3915	PRIDE	pride	542.972972972973	-0.566410531849153	0.973684210526316	45512
3916	PLEASURE	pleasure	534.526315789474	-0.690488931669959	1.0	44920
392	MAGIC	witchcraft	657.222222222222	0.08357910792085	0.947368421052632	55362
394	SHAMAN (FOLK HEALER)	shaman	626.615384615385	0.263710108482015	0.375	48646
395	PILL	pill	584.384615384615	-0.423705183908335	0.975	44628
398	PIERCE	pierce	593.029411764706	-0.365253016664869	0.9	44586
399	PLANTAIN	plantain	705.576923076923	0.781719924880259	0.675	44836
4	COURTYARD	courtyard	533.942857142857	-0.598043192531539	0.947368421052632	32442
40	ENVY	envy	507.35	-0.687929196911885	1.0	35014
400	MUSH	mush	608.0	-0.148622109850932	0.825	42780
402	SURPASS	surpass	642.676470588235	0.188874856053963	0.85	51811
41	IGNORE	ignore	525.459459459459	-0.65810514519574	0.973684210526316	39431
410	YAM	yam	658.047619047619	0.086844583746399	0.578947368421053	55676
411	GOURD	gourd	701.333333333333	0.92615393260257	0.15	37624
419	SEVERE	severe	628.763157894737	-0.125536622252607	1.0	48568
42	STINKING	fetid	756.090909090909	0.881650367929072	0.315789473684211	35620
420	FOREST	woods	547.27027027027	-0.634479804902241	0.973684210526316	55452
421	RETREAT	retreat	599.128205128205	-0.213554038876713	1.0	46999
425	BE LATE	delayed	529.0	-0.599641756869241	1.0	33474
43	LEAD (GUIDE)	guide	522.25	-0.612188656102876	1.0	38037
430	TWIST	twist	534.475	-0.646095668745656	1.0	53892
432	BLOWGUN	blowgun	647.1875	0.234682548485934	0.4	29180
438	CHIGGOE (JIGGER FLEA)	jigger	630.095238095238	0.413742375515027	0.575	39894
44	INJURE	harm	527.25	-0.63458106407839	0.947368421052632	38417
446	LOWER ARM	forearm	640.263157894737	0.0587358420376446	1.0	36332
449	CORN FIELD	cornfield	638.875	0.0600290587783161	0.842105263157895	32296
45	EVIL	wicked	579.314285714286	-0.336784737369731	0.925	55197
459	SNAP (OF STICK)	snap	528.625	-0.584683352115683	1.0	49851
467	CRAYFISH	crayfish	684.542857142857	0.254515628365176	0.875	32604
470	POSSUM	possum	685.74074074074	0.0912304230287399	0.81578947368421	45245
471	UPPER LEG (THIGH)	thigh	623.4	0.0292330590286746	1.0	52632
474	DRESS	dress	533.166666666667	-0.656004427268064	0.947368421052632	34332
476	CUP	cup	541.666666666667	-0.633293790500824	0.973684210526316	32950
477	LATE	later	525.358974358974	-0.667009013386877	1.0	40604
478	LIP	lips	572.666666666667	-0.505881308886246	0.947368421052632	41068
479	GROW	grow	537.552631578947	-0.551647579169783	0.975	37968
48	BE SILENT	silent	566.589743589744	-0.428245991567754	0.975	49194
480	PLATE	plate	526.775	-0.667233959339586	1.0	44856
481	DISH	dishes	542.894736842105	-0.645210038852678	1.0	33861
482	NOBLE	noble	642.941176470588	-0.119965578471184	0.894736842105263	43194
483	COMPOUND	compound	592.157894736842	-0.221797977331199	1.0	31955
484	CONDEMN	condemn	647.324324324324	0.118413032116805	0.925	31999
487	SHY	timid	595.78947368421	-0.27599312001498	0.95	52911
488	MANNER	manner	543.473684210526	-0.488436572006357	1.0	41680
489	KIDNEY	kidneys	550.783783783784	-0.536252632735342	0.973684210526316	40199
49	REFUSE	refuse	558.175	-0.396287976016615	1.0	46698
491	CENTER	centre	568.825	-0.383697295066352	1.0	30802
492	THREE	three	548.194444444444	-0.64112123975864	0.973684210526316	52710
493	FIVE	five	537.921052631579	-0.675845338639346	1.0	35838
494	FLIRT	flirt	545.342105263158	-0.604185629714506	1.0	36040
495	REVENGE	avenge	618.114285714286	-0.0678318560081297	0.947368421052632	28014
497	SCAR	scar	560.5	-0.524192725363792	0.947368421052632	47954
5	GAZELLE	gazelle	747.909090909091	0.262571439289002	0.894736842105263	37149
501	LIFT	lift	539.538461538462	-0.535695352892386	1.0	40948
503	FROG	frog	533.205128205128	-0.730147738086664	1.0	36710
504	LEARN	learn	507.710526315789	-0.766497688825594	1.0	40730
505	PARENTS	parents	549.342105263158	-0.576301212899835	1.0	44008
506	MAIZE	maize	645.233333333333	0.133991687180983	0.789473684210526	41592
507	MELON	melon	561.975	-0.306957474625323	1.0	41986
508	PERIOD	period	542.923076923077	-0.635180147387417	0.975	44392
509	CERTAIN	sure	504.815789473684	-0.833818735435834	1.0	51782
51	SORE	sore	589.027777777778	-0.38471469976154	0.973684210526316	50174
518	SPARK	sparks	552.589743589744	-0.477849130383718	1.0	50312
52	SHIVER	tremble	591.842105263158	-0.346854508866871	1.0	53458
522	WOLF	wolf	577.105263157895	-0.46801716982689	1.0	55412
523	BACK OF HEAD	rear	580.444444444444	-0.368500991870498	0.973684210526316	46514
524	BARBEL	barbel	641.583333333333	0.334351033859861	0.3	28292
526	HOWL	howl	554.578947368421	-0.457158022367975	1.0	39213
528	DREADFUL	dreadful	576.236842105263	-0.34802634325331	0.975	34302
53	SPIRIT	spirit	537.641025641026	-0.575189639189435	1.0	50474
530	FRECKLE	freckle	581.0	-0.206951238101797	0.925	36572
533	GLUTTON	glutton	643.857142857143	0.113175243855152	0.9	37464
534	HUMP	hump	664.972972972973	0.0534623463013555	0.95	39277
537	TURBID	turbid	699.833333333333	0.675454222764468	0.475	53761
539	NEST	nest	559.351351351351	-0.535768661355412	0.973684210526316	43020
54	SHRINK	shrink	539.184210526316	-0.41433314779565	0.95	49032
540	PALATE	palate	704.962962962963	0.694316513132275	0.7	43882
543	SHUTTLE	shuttle	585.794117647059	-0.384180264484559	0.894736842105263	49088
544	SPICY	spicy	562.475	-0.424040365731125	1.0	50427
545	SPRUCE	spruce	675.857142857143	0.332400274196767	0.921052631578947	50665
547	SURFACE	surface	529.025	-0.642096256085015	1.0	51788
55	WHISPER	whisper	553.684210526316	-0.569704004085261	1.0	55130
550	DILUTE	dilute	605.361111111111	-0.207693516143067	0.947368421052632	33746
554	HINDER	hinder	637.264705882353	0.0150164937859079	0.894736842105263	38869
555	INFRINGE	infringe	758.64705882353	0.588033344776478	0.947368421052632	39579
557	OFFEND	offend	579.675675675676	-0.402549173811913	0.973684210526316	43460
568	RISE (MOVE UPWARDS)	rise	550.95	-0.507423232351831	1.0	47208
