ENGLISH	Sound mean	Sound n	Color mean	Color n	Manipulation mean	Manipulation n	Motion mean	Motion n	Emotion mean	Emotion n
oblivion	0.76	33	0.55	29	0.56	27	0.50	26	-1.07	28
oboe	4.07	30	2.12	32	3.34	29	0.97	29	0.84	31
ocean	3.95	38	5.29	42	1.20	41	3.32	38	3.51	43
officer	2.91	11	2.50	10	2.00	12	2.80	10	-0.92	12
oil	0.44	41	3.36	42	2.16	45	0.74	35	-0.39	41
olive	0.17	12	4.36	11	2.14	14	0.08	12	-1.08	12
onion	0.58	12	2.91	11	2.85	13	0.31	13	-0.91	11
optimism	1.10	30	0.91	32	1.36	28	0.69	29	4.34	29
orange	0.12	33	5.87	31	2.29	31	0.16	25	2.11	28
oration	2.33	30	0.16	32	1.79	33	0.86	28	0.18	33
orchestra	5.30	43	1.51	43	2.62	45	2.34	41	1.85	39
oriole	2.45	29	3.53	32	1.15	33	2.75	28	1.48	29
ornament	0.36	44	3.36	44	2.44	45	0.21	38	2.55	44
outset	0.39	28	0.16	31	1.12	33	0.50	24	-0.19	31
oven	1.60	10	1.45	11	2.85	13	0.27	11	0.27	11
overcoat	0.36	11	2.50	10	2.58	12	0.67	9	0.42	12
overtone	2.50	30	0.30	30	1.43	28	0.53	30	0.29	31
owl	3.40	45	3.05	43	1.62	42	2.83	40	0.82	44
oxen	2.87	31	2.94	32	1.61	31	2.97	29	0.41	27
pacifism	0.52	29	0.23	30	1.86	28	0.27	26	-0.03	30
pact	1.07	27	0.16	32	2.24	29	0.62	26	1.82	28
page	0.88	43	1.18	45	2.88	43	0.57	40	-0.02	43
paint	0.67	12	4.58	12	3.33	12	0.92	13	1.00	12
painter	2.40	10	2.64	11	1.29	14	2.91	11	0.75	12
palace	1.42	12	2.45	11	1.43	14	0.67	12	3.85	13
pall	0.29	31	0.10	31	0.67	30	0.56	25	-0.79	28
palm	0.00	10	2.82	11	3.21	14	0.64	11	1.00	10
pan	1.76	33	1.91	32	2.34	29	0.38	24	-0.10	29
panorama	0.79	29	1.41	32	1.24	34	0.42	26	0.71	31
pants	0.58	12	2.33	12	3.85	13	1.17	12	1.31	13
paper	1.90	10	2.42	12	3.79	14	0.25	12	0.18	11
par	0.56	32	0.44	32	0.97	30	0.52	29	0.90	31
parade	5.14	44	3.72	47	1.95	40	3.81	36	2.49	41
paradox	0.31	32	0.17	30	1.52	29	0.39	28	-0.27	30
pardon	0.94	32	0.21	33	1.62	29	0.41	27	0.74	31
park	2.56	43	3.50	42	1.17	41	1.44	39	2.50	40
parrot	4.10	30	4.97	36	1.72	32	3.00	26	1.19	31
parry	0.47	34	0.30	33	1.31	29	1.00	28	-0.07	28
partridge	1.50	28	3.16	31	1.42	31	1.93	28	0.45	29
party	5.16	44	2.47	45	3.32	44	4.29	38	3.57	42
pasture	2.00	12	4.00	12	2.08	13	1.00	11	1.09	11
patent	0.52	31	0.06	31	1.80	30	0.46	28	0.84	32
pathetic	0.47	34	0.26	31	0.68	31	0.28	29	-3.25	32
pea	0.09	43	4.74	46	2.40	47	0.22	36	0.23	39
peace	0.79	29	1.60	35	1.94	32	0.67	27	4.62	29
peach	0.58	12	4.77	13	2.55	11	0.33	12	2.33	12
peacock	1.94	32	5.32	34	1.48	29	2.45	29	1.06	31
pear	0.10	10	4.27	11	2.92	12	0.09	11	1.42	12
pearl	0.54	13	3.90	10	2.62	13	0.09	11	2.85	13
pedal	1.17	12	1.50	12	3.00	13	2.27	11	0.09	11
peg	0.53	30	1.11	35	1.34	29	0.18	28	-0.18	28
pelican	2.48	31	2.97	34	1.13	30	2.93	30	1.10	29
pen	0.91	44	3.30	44	4.45	40	1.59	41	-0.14	42
pencil	1.50	10	3.20	10	4.57	14	1.80	10	0.50	12
pendulum	2.07	43	1.26	46	2.07	41	3.34	41	-0.26	43
penguin	2.27	33	4.67	33	0.93	30	2.69	26	1.53	30
penny	0.64	11	3.90	10	2.46	13	0.77	13	0.38	13
pepper	0.45	42	3.98	43	1.98	43	0.53	38	-0.17	41
perjury	0.91	32	0.20	30	1.32	31	0.52	27	-3.39	31
person	3.39	41	1.98	44	2.86	43	3.66	38	1.65	40
personal	0.29	31	0.32	31	1.37	27	0.34	29	0.47	30
pet	3.14	43	2.00	45	2.86	43	3.55	40	3.07	45
pheasant	1.31	26	3.25	32	0.90	29	2.79	28	0.45	33
phone	4.35	40	1.52	44	3.82	44	0.85	41	1.50	44
physician	2.02	44	1.24	45	1.54	41	2.41	41	1.11	44
pianist	4.58	12	1.83	12	1.38	13	2.42	12	1.08	13
piano	4.86	44	3.26	46	4.69	42	1.82	40	1.85	41
piccolo	4.00	31	2.28	32	4.00	31	1.76	29	0.52	31
pickle	1.33	12	3.50	12	2.57	14	0.09	11	1.33	12
picture	0.20	10	3.33	12	2.69	13	1.00	10	1.33	12
pie	0.61	41	3.23	40	2.73	44	0.38	40	3.00	44
pig	3.68	41	4.52	42	1.85	40	2.86	37	-0.27	41
pigeon	2.64	11	2.50	12	1.50	12	3.33	12	-1.27	11
pill	0.40	10	2.08	12	3.92	12	0.11	9	-1.73	11
pillow	1.33	12	1.55	11	3.45	11	0.45	11	3.50	12
pin	0.64	11	1.54	13	3.38	13	0.50	12	-1.33	12
pine	0.64	11	5.00	10	1.54	13	0.60	10	1.08	12
pineapple	0.33	42	4.96	45	2.20	45	0.16	38	2.07	43
pipe	1.90	10	1.50	10	3.92	12	0.25	12	-0.46	13
pique	0.70	30	0.17	30	1.43	30	0.44	27	-0.20	30
pistol	4.90	31	2.61	33	4.07	27	2.67	27	-3.55	29
pitchfork	1.13	30	1.94	31	3.72	29	1.33	30	-0.94	32
plane	5.22	41	2.37	43	3.28	43	4.27	45	1.49	43
planet	0.91	11	2.82	11	0.64	14	3.55	11	1.54	13
plant	0.36	11	4.50	12	2.85	13	0.83	12	1.31	13
platter	0.91	11	0.80	10	2.54	13	0.18	11	0.55	11
plea	2.53	32	0.36	33	2.31	29	0.61	28	-1.67	30
pledge	1.84	32	0.28	32	2.35	31	0.50	28	2.03	30
pliers	0.60	10	1.08	12	3.83	12	1.45	11	-0.45	11
plot	0.74	31	0.17	30	2.12	33	0.77	26	0.00	33
plug	0.40	10	0.42	12	1.83	12	0.27	11	0.00	11
plum	0.31	39	4.80	45	2.29	42	0.22	36	1.23	44
pole	0.25	12	1.27	11	1.67	12	0.08	12	0.33	12
police	3.74	31	3.10	31	1.88	33	3.38	26	-1.62	29
policeman	2.93	42	3.50	44	2.00	39	2.88	41	-0.44	43
polio	0.24	45	0.36	44	1.63	43	0.53	40	-4.37	43
polo	0.93	29	0.91	32	2.29	28	2.88	25	0.91	34
pond	1.80	10	3.20	10	1.64	14	1.64	11	2.64	11
pony	3.59	46	3.36	42	2.23	47	3.54	39	1.88	42
pool	3.30	10	4.18	11	2.46	13	1.00	12	3.67	12
pope	1.90	10	2.50	12	0.69	13	1.31	13	1.27	11
porch	1.27	11	1.33	12	1.54	13	0.64	11	1.67	12
porcupine	1.40	30	2.57	30	1.07	29	2.56	25	-0.68	31
portrait	0.26	39	2.93	43	2.41	44	0.23	39	1.53	43
potato	0.73	11	3.08	12	3.21	14	0.18	11	1.27	11
pound	2.92	12	0.10	10	1.31	13	0.67	9	-1.50	12
power	2.10	29	1.03	30	2.86	29	1.46	26	1.90	31
prairie	1.45	44	3.22	46	1.21	42	0.75	36	1.31	42
precursor	0.31	29	0.09	34	0.87	31	0.67	27	-0.46	28
president	2.70	46	1.18	44	1.69	39	2.07	41	0.33	40
priest	3.09	11	2.27	11	1.23	13	3.40	10	1.50	12
primate	3.03	29	2.67	30	1.94	34	3.21	29	0.90	29
prince	2.10	10	1.91	11	1.43	14	2.36	11	2.92	12
prison	2.86	42	1.36	44	1.88	42	1.20	40	-4.20	41
prisoner	2.09	45	1.80	41	2.67	46	1.85	39	-3.63	43
problem	0.94	32	0.23	31	2.37	30	0.33	27	-3.31	29
professor	2.86	43	1.27	44	1.89	44	2.35	40	0.89	45
profile	0.42	12	0.64	11	1.00	13	0.44	9	-0.54	13
projector	1.96	45	1.28	43	3.07	43	1.02	41	0.07	44
propeller	4.32	41	1.28	46	2.50	42	3.78	37	0.14	43
proxy	0.12	32	0.07	30	1.19	32	0.41	27	0.31	29
prune	0.00	11	4.73	11	2.46	13	0.30	10	-0.85	13
pub	3.17	30	1.61	31	1.31	29	1.43	30	1.14	28
puddle	2.42	12	2.58	12	1.00	11	0.45	11	0.31	13
pulpit	0.27	11	1.36	11	1.50	14	0.58	12	0.45	11
pump	2.03	39	0.47	45	3.28	43	2.07	41	0.28	43
pumpkin	0.34	29	5.52	33	2.30	30	0.37	27	2.21	29
pun	1.09	33	0.34	32	1.41	32	0.50	30	0.36	33
punch	2.71	34	1.88	33	2.90	29	2.72	25	-1.38	32
punt	2.03	34	0.34	29	2.72	29	3.45	29	-0.53	32
pup	3.70	43	2.52	44	2.21	42	3.77	39	3.14	43
pupil	0.62	40	2.25	44	2.43	42	1.79	38	1.02	43
puppy	3.77	40	3.25	44	2.65	43	4.49	41	4.12	41
purse	0.64	11	2.31	13	3.62	13	0.82	11	1.33	12
quack	4.44	32	0.74	31	1.10	31	0.85	27	0.37	30
quantity	0.23	30	0.06	33	1.27	30	0.33	30	0.40	30
quartet	4.44	32	0.52	31	2.07	30	1.00	26	1.47	30
queen	2.25	12	1.82	11	1.33	12	3.64	11	2.83	12
quest	0.86	29	0.42	33	1.76	29	2.16	25	1.86	28
quicksand	0.72	29	2.61	31	1.10	30	3.03	29	-3.06	31
rabbi	2.17	12	1.27	11	1.08	12	2.45	11	0.92	12
rabbit	1.56	45	3.76	45	1.54	41	3.84	37	1.98	41
raccoon	1.52	33	3.85	33	1.30	30	2.93	28	-0.16	31
racer	3.16	32	1.86	29	2.71	31	4.64	28	0.97	30
racket	3.91	32	1.68	34	4.00	30	1.96	28	-0.17	30
radio	4.61	44	1.36	44	3.59	44	0.92	39	2.02	43
radish	0.09	32	4.44	32	1.86	29	0.08	26	-0.40	30
rail	1.50	12	0.85	13	1.85	13	0.27	11	-0.08	12
railroad	4.26	43	2.04	45	2.19	42	1.97	39	0.35	43
rain	3.55	11	2.25	12	0.92	13	3.42	12	1.25	12
rake	1.93	42	2.09	46	4.02	44	2.11	38	-0.26	43
rally	4.39	33	0.75	32	2.48	31	3.07	29	0.23	30
rape	3.37	41	0.95	44	3.21	42	3.44	41	-5.60	42
rarity	0.32	31	0.16	32	0.52	31	0.11	27	0.87	30
raspberry	0.13	46	5.37	46	1.93	42	0.15	41	2.09	43
rat	1.73	40	3.23	44	2.00	44	3.12	41	-2.49	43
rattle	4.70	10	2.00	12	3.58	12	3.15	13	-0.15	13
ray	0.66	29	2.59	34	0.90	31	1.04	28	0.61	31
reality	1.12	32	0.57	35	1.07	27	1.54	26	0.62	29
realm	0.45	29	0.53	34	1.19	32	0.44	27	0.69	29
rebound	1.37	30	0.14	35	2.87	31	2.64	28	1.41	32
record	4.42	12	2.75	12	2.85	13	2.58	12	2.00	11
recorder	3.50	34	1.23	31	2.83	30	0.79	29	0.56	32
referee	3.75	12	2.77	13	1.85	13	3.09	11	0.83	12
refrain	1.62	32	0.22	32	1.55	31	0.45	29	-0.72	29
refresh	0.81	31	0.65	31	1.00	30	1.00	27	2.90	30
regency	0.47	30	0.03	32	0.70	30	0.44	27	-0.07	30
reign	0.45	29	0.20	30	1.68	31	0.84	25	0.20	30
remedy	0.52	31	0.00	35	2.12	26	0.45	29	2.86	28
reminder	1.60	30	0.30	33	1.36	33	0.28	29	0.73	30
reprisal	1.15	33	0.00	31	1.91	32	0.63	27	0.06	32
republic	0.84	31	0.67	30	1.18	28	0.75	28	1.13	31
revenge	1.44	32	0.68	31	2.58	31	0.81	26	-3.28	32
review	0.84	31	0.09	33	1.81	31	0.84	25	0.07	30
revolver	4.51	47	1.93	43	4.00	43	2.32	37	-3.07	43
rhino	2.68	28	3.52	33	1.10	30	2.54	26	0.03	33
ribbon	0.33	12	3.23	13	3.08	13	0.69	13	1.58	12
ricochet	3.13	30	0.29	31	0.84	32	2.97	29	-0.34	32
rifle	5.07	41	1.90	42	4.12	42	2.26	38	-2.53	43
ring	2.90	10	3.17	12	3.15	13	1.00	14	2.75	12
riot	5.17	30	1.15	34	2.74	31	3.96	28	-3.33	33
ripple	1.44	32	1.03	33	1.68	31	2.56	27	0.65	31
rite	0.40	30	0.16	31	1.06	31	0.76	25	0.52	31
river	3.33	45	3.84	43	1.37	41	4.15	34	2.35	43
roach	1.27	33	2.55	33	1.48	31	2.48	27	-2.97	29
road	3.00	12	1.80	10	2.38	13	2.09	11	0.33	12
robin	2.98	42	4.23	44	1.07	42	3.39	41	1.48	42
rock	1.54	13	2.70	10	1.50	12	0.08	12	0.00	12
rocket	5.46	41	2.62	45	3.00	44	5.46	39	1.19	42
role	0.42	31	0.12	34	2.12	32	0.76	29	0.48	33
roof	1.38	13	0.83	12	1.50	12	0.17	12	-0.50	12
rooster	4.68	31	4.30	30	1.53	32	2.57	28	1.00	28
root	0.17	12	2.00	11	1.62	13	0.33	12	0.17	12
rope	0.60	10	1.42	12	3.38	13	1.17	12	0.42	12
rose	0.20	45	5.55	44	1.70	40	0.56	39	3.52	42
rug	0.33	39	2.50	44	1.60	40	0.40	40	0.16	43
rum	0.85	47	3.16	44	2.61	44	0.58	38	0.36	39
rumour	1.50	32	0.23	31	2.55	29	1.73	26	-2.90	29
sack	0.62	34	1.70	33	2.19	31	0.27	30	-0.42	31
saddle	1.00	11	1.91	11	2.69	13	0.25	12	1.46	13
saga	0.84	31	0.03	32	1.52	31	0.79	28	-0.81	31
sail	1.78	46	2.49	45	3.23	44	2.71	42	1.95	40
sailboat	2.17	30	2.75	32	4.00	33	3.46	28	2.25	28
salad	1.46	13	4.27	11	2.83	12	0.60	10	0.92	13
salmon	0.97	31	4.18	34	1.43	30	3.03	30	0.64	33
salt	0.38	13	3.45	11	2.58	12	0.00	13	0.45	11
sandpaper	3.25	32	2.77	31	3.25	28	1.21	29	-0.77	30
satin	0.18	11	3.08	13	1.64	14	0.82	11	2.91	11
satire	0.97	29	0.50	32	1.44	32	0.28	29	0.19	31
sauce	0.75	12	2.92	12	3.23	13	0.67	12	0.45	11
saxophone	4.67	45	3.71	41	4.51	43	1.30	40	1.49	45
scalpel	1.17	29	2.26	34	3.50	32	1.76	29	-2.66	29
scar	1.36	11	1.00	11	1.62	13	0.17	12	-2.23	13
scare	2.31	29	0.55	33	2.00	29	1.74	27	-2.87	31
school	4.27	11	1.25	12	1.92	13	1.58	12	1.45	11
scissors	2.27	40	2.17	41	4.40	45	2.17	40	0.19	42
scooter	3.30	27	1.85	34	4.07	30	3.93	28	1.77	31
scotch	0.33	12	2.00	11	3.14	14	0.43	14	-0.08	12
scout	2.00	11	1.09	11	2.00	13	3.00	11	0.64	11
scream	5.67	43	0.41	44	2.38	47	1.59	39	-3.37	43
screech	5.36	33	0.29	31	1.62	29	0.93	29	-2.57	30
sea	3.49	43	4.63	43	1.23	44	2.72	39	2.55	42
seagull	3.73	33	3.72	32	1.72	32	3.25	28	-0.13	31
seal	3.45	11	2.82	11	2.00	14	3.46	13	1.17	12
seam	0.62	13	0.69	13	1.85	13	0.38	13	-0.25	12
seat	0.73	11	0.82	11	2.91	11	0.17	12	0.23	13
seaweed	0.33	12	4.23	13	1.17	12	1.33	12	-1.50	12
secretary	2.22	45	1.30	47	1.58	43	2.03	39	0.37	43
semester	0.66	29	0.16	31	0.91	32	0.90	30	0.12	33
serial	0.25	32	0.27	33	0.75	28	0.29	28	-1.76	29
severance	0.42	31	0.20	30	1.44	27	0.69	26	-1.58	31
sex	4.00	45	1.25	44	4.24	41	4.80	40	3.93	42
shadow	0.30	10	2.42	12	1.14	14	2.70	10	0.83	12
shame	0.33	30	0.28	32	1.68	28	0.26	27	-3.69	29
shawl	0.17	12	1.67	12	2.83	12	0.46	13	-0.23	13
shed	0.82	11	1.92	13	1.17	12	0.55	11	0.00	10
sheep	2.62	40	3.86	43	2.09	43	2.68	41	0.70	44
sheet	0.67	12	1.83	12	2.85	13	0.30	10	0.58	12
shell	1.75	12	2.54	13	1.46	13	0.23	13	1.75	12
shelves	0.61	33	1.23	31	1.76	29	0.00	27	0.47	30
shield	1.36	11	1.08	12	3.08	13	0.33	9	-0.15	13
ship	3.00	13	2.42	12	2.62	13	2.92	12	1.25	12
shirt	0.55	11	2.80	10	3.62	13	0.55	11	1.54	13
shoe	1.35	46	2.58	43	2.84	44	2.19	36	1.33	39
shop	2.55	11	1.00	13	1.77	13	1.64	14	2.17	12
shore	3.00	11	2.92	13	0.69	13	0.92	12	3.08	12
shot	4.94	31	0.97	31	2.59	32	3.07	29	-2.89	28
shotgun	5.39	31	2.15	33	4.03	31	2.96	26	-3.13	30
shoulder	0.24	37	1.10	40	2.39	41	1.66	38	0.16	43
shower	3.36	11	0.54	13	2.58	12	2.23	13	2.82	11
shrimp	0.30	44	3.93	46	2.11	45	1.72	39	1.07	42
shrub	0.27	11	2.83	12	1.62	13	0.42	12	1.09	11
shy	0.21	28	0.20	30	1.65	31	0.46	28	-1.17	30
simile	0.68	31	0.39	33	1.77	31	0.36	28	1.07	28
simple	0.24	29	0.17	30	0.71	31	0.19	27	1.33	33
sin	0.81	31	1.18	34	2.43	28	0.96	27	-4.55	29
singer	5.00	41	0.83	46	2.05	40	2.15	39	2.58	45
sink	2.73	11	1.09	11	1.75	12	0.25	12	-0.08	12
siren	5.70	43	3.11	47	2.39	46	2.08	38	-2.95	44
sister	3.20	44	1.18	44	2.23	44	2.76	34	2.68	44
skate	1.58	12	0.70	10	3.33	12	3.15	13	1.64	11
skin	0.31	13	3.09	11	3.15	13	1.17	12	1.27	11
skirt	0.55	11	2.67	12	3.38	13	1.30	10	2.17	12
skull	0.50	12	1.64	11	1.09	11	0.58	12	-2.69	13
sky	0.98	44	5.11	45	0.35	40	1.59	37	3.02	45
slang	2.43	30	0.19	32	2.38	32	0.38	29	-0.47	30
slave	1.41	41	2.71	42	3.51	45	2.92	39	-4.84	44
slavery	1.22	32	1.68	31	2.30	30	2.39	28	-5.41	32
sled	1.86	28	2.64	33	2.94	31	3.37	27	2.00	32
sleeve	0.30	10	0.45	11	2.69	13	0.38	13	0.00	11
slingshot	2.00	31	1.09	33	4.29	28	3.04	26	-0.23	30
slipper	0.60	10	1.30	10	2.92	12	0.70	10	1.45	11
slope	0.25	12	0.85	13	1.31	13	0.21	14	0.08	12
sly	0.34	29	0.39	31	1.23	30	0.75	28	-1.64	33
smack	4.30	10	0.17	12	2.00	13	3.30	10	-1.08	12
smile	0.57	46	2.56	43	3.20	44	1.64	36	4.76	42
smoke	0.77	13	2.33	12	2.46	13	2.54	13	-4.08	12
snail	0.10	10	1.62	13	1.45	11	1.58	12	-0.15	13
snake	2.20	41	3.39	41	1.17	42	3.35	40	-2.61	44
sneer	2.06	32	0.31	32	2.26	31	0.75	28	-3.23	30
sneeze	4.62	29	0.62	32	2.20	30	2.82	28	-0.62	29
snow	0.64	14	4.50	12	1.23	13	1.80	10	2.75	12
snub	0.59	32	0.06	32	1.50	30	0.69	26	-2.18	33
soap	0.62	13	1.67	12	3.38	13	0.33	12	2.69	13
sob	4.12	33	0.44	32	1.87	30	1.15	27	-2.67	30
sobriety	0.59	29	0.12	34	2.34	32	0.36	28	1.23	30
soccer	3.33	43	2.73	44	3.20	44	4.08	37	2.33	42
sock	0.46	13	2.10	10	3.31	13	0.31	13	-0.25	12
sofa	1.08	13	2.90	10	1.92	13	0.20	10	2.75	12
soil	0.18	11	3.09	11	2.42	12	0.00	12	-0.25	12
soldier	3.42	12	1.90	10	2.85	13	4.00	12	-0.15	13
solemnity	0.40	30	0.12	32	1.03	31	0.41	27	-0.09	32
song	4.45	11	0.09	11	2.58	12	1.92	13	3.73	11
soup	1.40	10	3.00	11	2.92	13	0.82	11	1.83	12
spade	1.30	30	3.09	34	2.68	34	1.27	26	-0.07	28
spaghetti	0.97	30	4.56	34	2.37	30	0.57	30	1.53	30
span	0.39	33	0.16	32	1.00	30	0.45	29	0.07	30
spatula	0.78	32	1.64	33	2.80	30	0.70	27	0.65	31
spear	1.57	30	1.47	34	4.11	28	2.67	27	-2.16	31
speech	4.61	28	0.41	32	2.93	28	1.32	25	0.69	32
sphere	0.42	12	1.17	12	1.50	14	0.50	12	0.73	11
spice	0.18	11	2.36	11	2.43	14	0.00	11	0.31	13
spider	0.27	11	3.50	12	2.17	12	2.45	11	-2.42	12
spinach	0.33	12	4.55	11	2.83	12	0.10	10	-0.69	13
sponge	1.38	13	1.91	11	3.67	12	0.36	11	-0.15	13
spoon	1.73	11	2.30	10	2.92	13	0.82	11	1.08	12
spray	1.56	9	0.60	10	2.77	13	2.21	14	-0.38	13
spring	2.13	45	4.27	44	1.27	44	2.10	39	3.58	40
squawk	4.66	32	0.25	32	1.35	31	1.04	28	-0.52	29
squeak	3.77	30	0.13	30	1.75	32	1.08	25	-0.90	31
squeal	4.45	29	0.53	30	1.91	34	1.56	27	-1.00	30
squid	0.74	31	2.50	32	1.62	29	2.68	25	-0.61	31
squirrel	1.91	43	3.58	45	1.36	47	3.56	41	0.87	45
stadium	5.25	12	2.90	10	1.50	12	2.18	11	1.83	12
stair	1.30	10	0.82	11	2.69	13	0.64	14	-0.15	13
stallion	3.41	29	3.41	29	1.85	33	4.35	26	1.69	32
stampede	5.19	32	0.94	32	1.27	30	4.81	26	-2.70	30
stapler	2.47	30	2.00	33	3.97	31	1.36	28	-0.11	28
star	0.38	13	3.55	11	0.77	13	1.09	11	4.33	12
station	3.17	12	0.64	11	0.77	13	0.18	11	-0.08	12
steak	0.45	11	3.27	11	3.82	11	0.08	12	2.33	12
steam	2.33	9	1.55	11	1.00	12	2.90	10	-0.10	10
steeple	0.80	10	1.09	11	0.23	13	0.33	12	0.27	11
stereo	5.09	32	1.35	31	3.56	32	1.04	27	1.93	30
stew	1.27	11	1.46	13	2.83	12	0.55	11	0.69	13
sting	1.25	12	0.75	12	1.64	14	1.25	12	-3.23	13
stipend	0.26	31	0.10	31	1.52	31	0.32	25	0.72	29
stocking	0.50	10	2.00	13	3.00	14	0.42	12	0.83	12
stoic	0.16	31	0.14	29	1.19	31	0.29	28	-0.10	30
stomach	1.92	12	1.58	12	3.00	12	1.00	10	-0.82	11
stone	1.23	13	2.36	11	2.67	12	0.27	11	-0.58	12
storm	5.10	41	3.33	43	0.91	44	4.08	37	-0.36	39
stove	1.58	12	1.25	12	2.92	13	0.60	10	-0.08	13
straw	1.00	11	2.82	11	3.07	14	0.38	13	1.00	12
street	3.50	12	2.18	11	2.00	13	1.33	12	0.08	13
stride	1.06	34	0.26	31	2.29	31	3.04	27	1.27	30
string	1.00	11	0.60	10	3.62	13	0.33	12	0.42	12
stripe	0.45	11	2.00	10	0.92	12	0.07	14	0.08	13
student	3.00	11	1.10	10	2.00	13	3.55	11	1.73	11
submarine	2.30	47	2.68	44	2.79	43	3.38	39	-0.32	44
subway	4.21	28	1.88	33	1.93	30	4.12	25	0.59	32
suds	0.82	11	1.25	12	2.00	13	1.27	11	1.00	11
suffrage	1.15	27	0.73	33	2.38	32	1.00	29	-0.90	31
sugar	0.38	13	3.67	12	2.91	11	0.82	11	2.09	11
sulphur	0.62	13	1.67	12	2.62	13	0.42	12	-2.15	13
sum	0.03	31	0.16	31	1.00	28	0.14	29	0.20	30
summer	2.63	43	3.98	44	0.50	42	1.87	38	4.19	42
sun	0.24	41	5.45	42	0.59	44	1.98	42	4.00	43
sunburn	0.90	10	5.25	12	1.64	14	0.50	12	-3.00	12
sunlight	0.35	43	4.91	47	0.97	39	1.42	38	3.91	43
sunset	0.19	42	5.37	43	0.47	45	1.54	39	4.53	43
sunshine	0.24	41	5.05	42	0.60	42	1.51	41	4.32	44
supper	2.30	10	1.45	11	3.75	12	1.00	12	2.25	12
surf	3.40	10	3.55	11	1.62	13	3.62	13	2.55	11
surfboard	1.06	32	3.38	34	3.80	30	3.32	28	2.03	29
swamp	1.91	11	3.40	10	0.62	13	0.80	10	-2.08	13
sweat	1.42	12	0.82	11	0.50	12	1.67	12	1.17	12
swim	2.82	11	1.30	10	2.15	13	4.64	11	2.23	13
sword	2.05	42	2.61	44	3.95	43	2.62	40	-0.90	41
sympathy	1.09	32	0.28	29	1.61	31	0.39	28	1.30	27
symphony	5.00	32	1.66	32	3.14	29	2.00	28	2.27	30
table	0.40	10	1.50	10	2.38	13	0.09	11	0.08	12
tail	0.91	11	0.50	12	1.58	12	2.50	12	0.36	11
tally	0.34	32	0.17	35	1.48	29	0.54	28	0.21	33
tangerine	0.26	31	4.94	32	1.68	28	0.08	25	2.14	29
tank	4.40	10	1.08	12	2.92	13	1.36	11	-1.08	12
tap	3.28	32	0.43	28	2.37	30	1.90	30	0.00	30
tape	1.92	13	0.75	12	2.46	13	1.00	11	-0.31	13
tar	0.50	40	4.43	42	1.98	41	0.40	40	-1.49	41
tax	0.38	32	0.48	31	1.45	31	0.69	26	-2.52	31
tea	0.84	43	2.60	45	2.52	40	0.23	40	1.60	45
teacher	3.25	12	1.92	13	1.45	11	3.15	13	2.25	12
team	3.40	10	1.36	11	2.50	14	3.08	12	3.00	12
teeth	1.64	11	3.25	12	2.57	14	0.64	11	0.18	11
telephone	4.60	42	1.63	46	3.49	41	0.88	41	1.86	43
telescope	0.70	10	1.50	10	2.82	11	0.45	11	1.17	12
tennis	3.11	37	2.86	43	2.48	40	4.20	40	1.63	43
tenor	4.12	32	0.72	32	1.69	29	1.42	26	0.32	31
tent	1.27	11	2.27	11	2.69	13	0.55	11	1.58	12
termite	1.00	30	2.60	30	1.24	33	2.57	28	-2.50	30
testimony	2.63	30	0.18	34	2.52	31	0.48	29	-0.23	30
theme	1.12	32	0.61	31	1.71	31	0.22	27	0.61	33
theory	0.74	31	0.10	31	2.28	29	0.25	28	0.94	32
thief	1.47	30	0.94	33	1.77	30	3.19	27	-3.29	31
thorn	0.58	12	1.42	12	1.08	13	0.11	9	-3.08	13
thread	0.36	11	2.50	12	3.92	12	0.42	12	0.00	11
throat	2.08	13	1.23	13	2.08	13	0.58	12	-1.62	13
thumb	0.27	11	2.00	10	3.31	13	2.00	12	-0.08	12
thunder	5.45	44	1.23	43	0.62	39	1.97	38	0.39	44
ticket	0.82	11	1.91	11	2.38	13	0.70	10	-1.25	12
tie	0.38	39	2.53	43	3.09	43	0.87	38	0.45	44
tiger	4.05	41	5.05	43	1.37	41	4.21	39	1.07	42
timber	2.40	10	0.82	11	3.08	12	0.54	13	-0.27	11
timpani	2.70	30	1.57	30	2.58	33	1.35	26	0.65	26
tip	0.70	30	0.34	32	2.48	31	0.82	28	1.87	31
toad	2.91	11	4.73	11	2.33	12	3.00	12	-0.45	11
toast	1.17	12	2.25	12	3.54	13	0.82	11	1.38	13
toaster	1.97	32	2.06	32	3.30	30	1.23	31	0.48	31
tobacco	0.40	43	2.83	42	4.00	43	0.53	38	-3.58	43
toe	0.35	43	2.22	46	2.22	45	2.08	38	-0.64	44
toilet	3.69	13	1.50	12	3.31	13	0.83	12	-0.25	12
tolerant	0.38	32	0.03	32	1.26	31	0.48	25	2.17	30
tomato	0.21	42	5.54	46	2.00	44	0.18	39	0.63	41
tomb	0.92	13	1.10	10	1.25	12	0.00	11	-3.15	13
tongue	1.67	9	3.85	13	4.00	12	2.50	10	1.58	12
tool	2.58	33	1.53	34	4.33	33	1.59	29	0.58	31
tooth	0.92	12	2.69	13	2.92	13	1.08	12	0.42	12
torment	2.53	32	0.60	35	1.63	30	1.67	27	-4.48	31
tornado	4.85	39	2.49	43	0.79	42	5.42	40	-3.02	41
tortoise	0.90	31	4.31	32	1.28	29	1.41	27	1.31	32
toucan	3.13	31	4.97	34	1.06	31	2.57	28	1.43	30
