ENGLISH	Sound mean	Sound n	Color mean	Color n	Manipulation mean	Manipulation n	Motion mean	Motion n	Emotion mean	Emotion n
dad	3.02	42	2.00	44	1.98	40	3.31	39	4.23	43
dancer	1.93	42	2.52	42	2.76	45	4.27	41	2.17	42
dandelion	0.36	44	5.09	43	1.47	43	0.61	44	0.86	42
danger	2.13	31	1.84	32	1.03	29	1.78	27	-3.16	32
dare	0.90	29	0.39	31	2.19	31	0.77	31	-0.53	30
dart	1.74	31	2.41	34	3.76	29	3.21	28	0.34	32
dash	1.16	31	0.43	30	2.41	29	3.64	28	0.59	27
dawn	1.15	13	4.92	12	0.57	14	0.92	12	3.08	12
day	1.22	32	2.94	34	1.13	30	1.59	27	2.59	29
daylight	0.54	41	4.62	42	0.36	45	1.08	39	3.43	42
debacle	1.11	27	0.06	33	1.52	29	0.52	29	-1.32	31
deceit	0.84	32	0.26	35	1.59	29	0.81	27	-4.26	31
decision	0.77	30	0.21	33	3.25	32	1.00	28	0.86	28
decree	1.07	30	0.23	30	1.25	32	0.33	30	-0.39	31
deer	1.40	42	3.56	45	1.95	43	3.71	34	1.00	42
delirium	0.82	28	0.34	32	1.30	33	1.12	26	-1.76	29
demeanour	0.67	30	0.19	31	1.31	29	0.46	28	0.07	30
democracy	1.65	31	0.97	31	2.30	33	1.00	26	2.86	29
denial	0.72	29	0.10	31	2.19	32	0.26	27	-3.39	31
dentist	3.50	10	1.17	12	1.50	12	3.45	11	-2.00	12
desk	1.17	12	1.33	12	2.38	13	0.33	12	-0.69	13
despise	0.93	30	0.53	30	1.88	32	0.73	26	-4.10	29
dew	0.29	14	1.23	13	0.86	14	0.18	11	1.85	13
diamond	0.10	10	3.91	11	2.54	13	0.18	11	3.38	13
dictation	2.39	31	0.12	32	1.66	29	0.74	27	-1.19	31
dime	1.08	12	2.78	9	2.38	13	0.17	12	1.08	13
dinner	2.00	13	2.70	10	3.25	12	0.60	10	3.00	12
diploma	0.90	30	2.17	30	1.84	31	0.45	29	4.25	32
disc	2.24	42	2.07	43	2.70	44	1.83	41	1.22	41
discord	1.41	29	0.17	30	1.29	31	0.52	27	-2.28	29
dismissal	1.38	34	0.16	32	1.22	27	1.15	26	-1.10	30
disquiet	2.15	27	0.19	32	1.10	31	0.89	28	-1.00	27
ditch	0.60	10	1.00	12	1.67	12	0.00	11	-1.17	12
dive	2.30	10	0.58	12	2.08	12	2.83	12	0.46	13
dock	2.50	12	2.00	11	1.50	12	0.45	11	1.62	13
dockyard	2.00	29	1.72	32	1.74	31	1.23	30	0.00	29
doctor	3.08	13	1.50	12	2.21	14	3.00	11	1.92	12
dog	4.28	40	3.54	46	2.35	46	3.86	37	3.40	42
doll	0.48	44	2.42	45	2.68	38	0.64	39	0.86	44
dollar	0.67	12	3.92	12	3.75	12	1.55	11	2.75	12
dolphin	2.84	31	4.16	31	2.39	31	4.00	28	2.67	30
dome	2.08	13	0.50	10	1.15	13	0.00	12	0.33	12
door	2.50	12	1.83	12	3.15	13	3.25	12	0.00	11
doorknob	1.66	32	2.42	31	3.18	28	1.44	27	0.28	32
dotage	0.34	29	0.09	33	1.56	32	0.57	30	-0.39	31
dough	0.50	42	2.38	45	3.90	40	0.80	41	1.42	43
dove	1.75	40	4.36	44	1.51	45	3.00	37	3.02	43
downpour	4.55	33	2.64	33	0.58	31	3.80	30	-0.63	30
dread	0.45	31	0.19	31	1.39	28	0.50	28	-3.71	31
dress	0.58	12	2.64	11	4.14	14	2.00	11	1.83	12
drill	4.58	12	0.67	12	3.46	13	1.85	13	-1.50	12
drink	1.45	11	1.50	10	3.27	11	1.23	13	0.27	11
drip	3.10	29	0.88	32	1.32	28	1.75	28	-0.63	30
driver	2.36	11	1.00	10	2.50	12	2.75	12	-0.18	11
drizzle	2.30	10	0.80	10	0.43	14	2.45	11	0.42	12
drug	0.61	44	1.05	42	3.84	44	1.39	36	-1.62	42
drum	5.28	39	2.22	45	4.40	42	1.58	36	1.05	40
drumstick	3.00	31	2.34	32	4.41	29	1.73	26	1.06	33
duck	3.55	40	3.54	46	1.58	38	2.79	38	1.22	41
duckling	2.50	28	3.90	31	1.23	30	2.43	30	1.81	31
due	0.47	30	0.11	35	0.52	31	0.77	26	-2.00	32
