CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	CROATIAN	CROATIAN_HAPPINESS_MEAN	CROATIAN_ANGER_MEAN	CROATIAN_SADNESS_MEAN	CROATIAN_FEAR_MEAN	CROATIAN_DISGUST_MEAN	LINE_IN_SOURCE
1327	UNCLE	uncle	ujak	2.8	1.1	1.2	1.4	1.35483870967742	2637
1330	DEFEND	to defend	braniti	2.85	1.4	1.55	1.4	1.4	160
1331	SHEEP	sheep	ovca	2.5	1.2	1.3	1.35	1.35	1498
1334	GUTS	gut	crijevo	1.4	1.3	1.55	1.4	1.85	245
1335	WHITE	white	bijel	2.52380952380952	1	1.1	1	1.17391304347826	107
1336	EAT	eat	jesti	3.55	1.27272727272727	1.14285714285714	1.1	1.14285714285714	714
1337	PIG	pig	svinja	2.1	1.40909090909091	1.38095238095238	1.05	1.28571428571429	2464
1338	PEACE	peace	mir	3.80952380952381	1.28571428571429	1.05	1.15	1.25	1092
134	FAULT	fault	krivica	1.75	2.18181818181818	2.80952380952381	2.16666666666667	1.9	884
1342	SUMMER	summer	ljeto	4.35	1.1	1.15	1.2	1.45	982
1343	SUN	sun	sunce	3.8	1.15	1.15	1.1	1.4	2430
1346	THROAT	throat	grlo	1.8	1.15	1.4	1.25	1.4	528
1349	CHURCH	church	crkva	2.6	2	1.85	1.55	1.75	246
1352	KNIFE	knife	nož	1.7	1.6	1.85	2.31578947368421	1.48387096774194	1326
1356	NUMBER	number	broj	2.25	1.2	1.1	1.15	1.2	172
1357	DAUGHTER	daughter	kćer	3.52380952380952	1	1.1	1	1.04347826086957	760
1358	ENEMY	enemy	neprijatelj	1.25	2.7	2.15	2.5	2.25	1266
1360	DUCK	duck	patka	2.3	1.09090909090909	1.0952380952381	1.25	1	1544
1361	TOOL	tool	alat	2.35	1.22727272727273	1.0952380952381	1.1304347826087	1.1	19
1362	STREET	street	ulica	2.25	1.04545454545455	1.1	1.17391304347826	1.5	2645
1364	HEALTHY	healthy	zdravo	3.65	1.04545454545455	1.3	1.08695652173913	1.1	2947
1366	BOY	boy	dečko	3.23809523809524	1	1.35	1.05	1	273
1367	CROSS	cross	križ	2	2.04545454545455	1.71428571428571	1.66666666666667	1.55	887
1369	GOLD	gold	zlato	2.55	1.22727272727273	1.19047619047619	1.05	1.14285714285714	2980
1372	MEDICINE	medicine	lijek	2.75	1	1.25	1.3	1.4	961
1374	RING	ring	prsten	3.25	1.35	1.3	1.35	1.05	1928
